Nome: CAPELINHA
Codigo Estacao: A541
Latitude: -17.70555555
Longitude: -42.38916666
Altitude: 932.06
Situacao: Operante
Data Inicial: 2007-08-30
Data Final: 2024-07-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2007-08-30;null;null;null;null;null;null;null;null;null;null;
2007-08-31;null;null;null;null;null;null;null;null;8,5;null;
2007-09-01;null;916,5;14,2;25,5;18,2;13,3;79,1;null;8,4;2,2;
2007-09-02;,4;916,4;12,7;27,3;19,5;14,3;68,5;null;10,1;3,4;
2007-09-03;0;917;13,4;25,6;18,9;13,5;72,7;null;11,9;3,2;
2007-09-04;2,4;918,3;14,4;23,2;17,5;14,8;83,3;null;13,4;3,9;
2007-09-05;1,8;918,7;13,6;24,2;17,6;12,6;79,3;null;11,2;4,1;
2007-09-06;,6;918,3;12,6;25,3;18;14,1;73,2;null;11,3;3,4;
2007-09-07;0;916,9;13,1;24,5;17,6;14,5;76,4;null;9,5;3,7;
2007-09-08;0;915,6;10,6;24,4;17,4;13,5;67,4;null;10,4;3,4;
2007-09-09;0;914,9;10,2;24,5;18;13;63,6;null;11,4;3,8;
2007-09-10;0;915,2;12,1;22,5;17,6;14,2;71,2;null;9,8;3,9;
2007-09-11;0;915,7;12,3;22,2;17;13,9;75,1;null;10,5;4,1;
2007-09-12;0;915,8;9,8;25,8;18,2;12,4;62,2;null;10,7;4,7;
2007-09-13;,6;915,1;11,7;24,4;17,1;12;73,8;null;11,3;3,5;
2007-09-14;0;914,2;10,2;25,4;18;12,3;64,8;null;10;3,9;
2007-09-15;0;912,6;10,6;26,7;18,4;11,4;64,3;null;8,3;2,2;
2007-09-16;0;910,8;9,7;28,9;20;12,3;56,3;null;22,7;1,3;
2007-09-17;0;911,2;11;29,8;21,8;13,2;53,6;null;10,1;2,1;
2007-09-18;0;914,4;13,6;24,4;18,5;16,4;74,1;null;11,1;4,3;
2007-09-19;0;914,4;12,3;23,9;16,8;13,3;76,7;null;10,8;2,8;
2007-09-20;0;912,7;9,7;27;17,9;10,6;64,5;null;8,6;2,3;
2007-09-21;0;912,6;9,7;27,5;18,4;10,8;62;null;8,4;1,7;
2007-09-22;0;913,1;10,9;28,7;18,7;11,5;64,6;null;8;2;
2007-09-23;0;911,5;11;29,8;20,6;12,3;58,8;null;8,6;1,4;
2007-09-24;0;909,8;10,5;34,2;23,3;14;49,6;null;9,9;2;
2007-09-25;1;913,1;15,3;24,2;20,1;18,2;75;null;11,2;3,9;
2007-09-26;0;916,9;12,1;24,4;17,3;13,8;72,4;null;12,7;5,1;
2007-09-27;,2;917,3;13,4;21,8;16,4;14;82,8;null;9,5;3,4;
2007-09-28;0;915,4;13;28,9;20,1;13,8;68,5;null;8,3;2,4;
2007-09-29;0;914,6;14,7;28,4;20,8;14,9;70,5;null;11;2,2;
2007-09-30;,2;915,6;14,8;24,5;19,7;16,5;74,3;null;11,5;4,3;
2007-10-01;0;916,8;11,4;21;16,9;13,1;70,1;null;11,2;4;
2007-10-02;0;916,5;12,7;18,4;15,5;13,2;83,5;null;8,6;3,4;
2007-10-03;0;914,3;12,3;26,4;18,3;14,1;71,5;null;8,4;2,9;
2007-10-04;0;913,3;12,5;25,5;18,4;14,4;70,9;null;9,7;3,5;
2007-10-05;0;912,8;11,1;27,2;18,9;12,9;64,8;null;10,2;3,4;
2007-10-06;0;912,4;13,6;27,5;20,2;13,4;68,2;null;9,9;3,3;
2007-10-07;0;911,7;13,3;27,8;20,2;15,3;67,9;null;9,2;2,6;
2007-10-08;0;912,6;11,6;26,8;19,5;13,7;64,7;null;10,8;3,3;
2007-10-09;0;914,2;9,5;25,4;18,7;11,5;58,8;null;11,9;3,6;
2007-10-10;0;913,2;11,6;25,4;18,6;14,3;66,2;null;9,5;3,1;
2007-10-11;0;910,7;11,5;26,4;19,1;11,6;64,9;null;8,4;3,1;
2007-10-12;0;909,5;13,3;28,8;20,5;15,3;66,8;null;9,3;2,8;
2007-10-13;0;909,4;14;29,5;21,6;17,6;65,2;null;9,9;3;
2007-10-14;0;910,2;12,7;29,4;21,6;15,5;61;null;10,7;2,3;
2007-10-15;0;912;11,9;29,6;21,7;14,7;58,9;null;10,4;3,5;
2007-10-16;0;912,4;11,2;29,8;21,6;14,9;56,2;null;10,9;3,3;
2007-10-17;0;909,5;13,1;32,5;22,4;14,6;60,1;null;7,8;1,8;
2007-10-18;0;908,6;13,6;31,8;24,5;17,3;52,5;null;9,9;2,4;
2007-10-19;0;909,7;14,9;30,8;22,6;18;64,8;null;10,5;3,4;
2007-10-20;0;909,7;14,1;31,8;23,5;15,9;58,2;null;8,4;2,6;
2007-10-21;0;909,7;15,9;29,3;23,3;17,6;64,3;null;7,2;2,1;
2007-10-22;0;910;13,1;32,8;24,4;17,1;55,9;null;13,1;2,8;
2007-10-23;0;912,5;14,5;31,3;23,3;18;60,4;null;10,2;4,1;
2007-10-24;0;912,9;13,6;29,1;22,5;17,5;59,2;null;12;4,6;
2007-10-25;0;911,2;14,1;31;23;18,1;60,4;null;9,4;3,6;
2007-10-26;0;910,7;15,4;28,5;21,9;16,6;69;null;8,9;2,6;
2007-10-27;0;908,8;12,5;33,4;23,8;15;55,5;null;7,9;1;
2007-10-28;,2;907,9;11,9;34,4;26,7;19,5;43,7;null;10,6;1,8;
2007-10-29;0;908,4;11,8;34,9;26,9;18,3;43,1;null;10,6;2,3;
2007-10-30;0;907,4;12;34,1;25,7;16,9;47,2;null;9,4;2,2;
2007-10-31;0;906,4;11,3;34;26;16,9;44,4;null;9,3;2,5;
2007-11-01;0;905,6;11,5;34,9;26;17,7;42,5;null;8,6;1,7;
2007-11-02;0;906,1;12,2;35,9;27,8;20,5;40,3;null;8,4;2,5;
2007-11-03;0;907,1;15,8;33;25,3;20,2;57,8;null;7,8;1,4;
2007-11-04;0;907;16,6;32,6;23;18,5;70,2;null;13,3;1;
2007-11-05;7,4;908,8;15,8;30,3;22,7;18,1;68,1;null;10,4;3,3;
2007-11-06;0;911,1;12,2;29,6;22,1;15,3;57;null;10,1;3,7;
2007-11-07;0;910,9;13,5;30,7;22,8;18;59,2;null;14,6;3,5;
2007-11-08;0;909,1;13,8;31,9;23,5;16,4;58,4;null;8,8;2,8;
2007-11-09;0;907,5;11,5;32,8;24,1;15,6;52;null;11,9;2,6;
2007-11-10;0;906,1;9,7;33,9;25,2;16,3;41,6;null;9,3;2,7;
2007-11-11;0;906,4;11;34,5;25,7;16,4;43,9;null;8,6;2,5;
2007-11-12;0;907,8;12,2;33,3;null;17,7;45,3;null;10,3;2,6;
2007-11-13;null;null;null;null;null;null;null;null;null;null;
2007-11-14;null;null;null;null;null;null;null;null;null;null;
2007-11-15;null;null;null;null;null;null;null;null;null;null;
2007-11-16;null;912,3;12,4;29,8;23,5;null;52,3;null;13,2;4,5;
2007-11-17;0;913,6;13,5;29,7;22,6;16,8;59,4;null;12,7;4,8;
2007-11-18;,2;911,8;14,4;27;21;16,7;67,1;null;9,6;2,4;
2007-11-19;0;909,3;13,2;31,2;23;15,5;57,8;null;8,3;2,7;
2007-11-20;0;908,1;14,9;31,5;23;17;63,4;null;9,8;2,3;
2007-11-21;2;911,2;16,5;21,9;19;16,7;85,6;null;8,5;2,1;
2007-11-22;4,4;911,5;16;19,6;17,7;16,8;89,5;null;8,6;3,8;
2007-11-23;3,4;910,2;15;24,9;18,4;15,3;81,5;null;10,4;2,5;
2007-11-24;0;908,6;15,7;29,7;21;15,4;75,3;null;12,1;2;
2007-11-25;13,4;907,8;17,6;27,9;21,9;17,5;78,1;null;8,4;2,2;
2007-11-26;11,6;906,9;18,3;26,9;21,4;18,9;83,7;null;9;1,7;
2007-11-27;32,2;905;19,1;23,3;20,2;19;93,5;null;9,5;1,4;
2007-11-28;58;905,9;17,8;27;21,3;18,5;82,1;null;8,5;2,4;
2007-11-29;0;907,7;15,8;23,4;19,4;16,2;79,9;null;9,1;4;
2007-11-30;0;909,1;16,1;25,6;20;16,7;79,3;null;9;3,2;
2007-12-01;0;909,8;16,6;22,5;19,4;17,7;84;null;8;2,9;
2007-12-02;1,2;910,3;17,1;29,3;22;17,7;76;null;8,8;2,4;
2007-12-03;0;909,5;16,3;30,5;23,3;15,9;68;null;8,4;1,8;
2007-12-04;0;908;15,1;32;24,5;17,1;59;null;10,5;1,7;
2007-12-05;0;909,1;16,4;31,6;22,7;17,6;70,3;null;13,6;1,4;
2007-12-06;3,8;908,6;17,7;32,1;23,2;18,8;74,5;null;12,5;1,6;
2007-12-07;0;906,8;18,4;32,2;22,6;17,3;79,5;null;16;1,3;
2007-12-08;17,6;907,8;18,3;25,8;21,5;18,3;82,9;null;13,2;2,2;
2007-12-09;0;909,1;18,3;26,8;21,3;17,8;83,5;null;10,5;1,7;
2007-12-10;,8;910,6;16,5;26,7;20,6;16,7;78,5;null;12,9;2;
2007-12-11;0;910,8;15,9;30,3;21,8;14,4;71,7;null;7,8;1,4;
2007-12-12;0;908,9;16,4;30,5;23,1;15,9;67,4;null;7,6;1,3;
2007-12-13;0;907,9;17,1;29,9;23,2;17,1;70;null;9,1;2,1;
