Nome: SAO ROMAO
Codigo Estacao: A547
Latitude: -16.36277777
Longitude: -45.12388888
Altitude: 490.29
Situacao: Operante
Data Inicial: 2007-06-29
Data Final: 2024-07-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2007-06-29;null;null;null;27,8;null;null;null;null;1,8;null;
2007-06-30;null;963,7;11,3;30;18,8;9,7;68;null;6;1;
2007-07-01;,4;964,3;11,7;30,3;19,6;10,8;66,3;null;6,8;1,1;
2007-07-02;0;964,4;9,9;29,9;20,3;12,2;58,9;null;7,3;1,5;
2007-07-03;0;963,6;11,6;29,6;19,5;9,9;64;null;4,7;1;
2007-07-04;0;963,5;13,3;29,5;20,9;11,6;66;null;7,6;1,4;
2007-07-05;0;964,2;14,2;28,4;20,1;12,6;72,1;null;5,4;,9;
2007-07-06;0;963,2;13,4;29,1;20;11,3;69,8;null;6,4;1,5;
2007-07-07;null;961,4;11,2;29,5;null;10,2;56,5;null;5,2;1;
2007-07-08;null;960,9;12,5;30,6;null;10,5;59,2;null;7,3;1;
2007-07-09;null;961,3;14,2;31,2;null;13,4;62,6;null;7,7;1,6;
2007-07-10;null;960,4;13,2;30,6;null;12,2;60,7;null;6,6;,9;
2007-07-11;null;960,1;11,9;31,3;null;12,7;56,6;null;6,1;1,2;
2007-07-12;null;961,3;10,3;30,4;null;10,7;50,5;null;7,5;1,8;
2007-07-13;0;962,2;10,6;28,8;20,3;10,5;57,4;null;8;1,2;
2007-07-14;0;961;12,4;29,6;19,9;12;67;null;5,8;,9;
2007-07-15;0;959,4;10,8;31,6;19,6;9,8;64,8;null;6,4;,9;
2007-07-16;0;958,4;11,3;31,3;19,7;9,6;65,1;null;5,4;,6;
2007-07-17;0;958,5;12,3;32;21,1;12,8;62,4;null;5,6;1;
2007-07-18;0;957,7;12,5;32,9;21,2;11;63,4;null;8,8;1,2;
2007-07-19;0;957,6;13,1;31,3;21,1;12,3;65;null;8,6;1,7;
2007-07-20;0;958,9;13,9;33;21,9;12,6;65,8;null;6;1,5;
2007-07-21;0;960,1;14,2;32,2;23;16,4;62,6;null;6,4;1,7;
2007-07-22;0;958,7;12,6;31,1;21,2;12,2;62,4;null;7,9;1,1;
2007-07-23;0;957,6;11,6;32,7;20,6;11,1;63,5;null;6,8;1,1;
2007-07-24;0;957,6;11,8;33,5;21,4;12,2;60,7;null;4,9;1;
2007-07-25;0;958,4;11,6;32,2;21,4;11,3;59,9;null;8,9;1,2;
2007-07-26;0;960,5;14,7;30,9;22,2;13,3;66,4;null;7,8;1,5;
2007-07-27;0;960,6;14,4;32,6;23,3;14,3;62,3;null;8,1;1,7;
2007-07-28;0;962,2;15,6;30,2;23,2;17,7;64,1;null;7,8;1,7;
2007-07-29;0;962,6;14,2;27,5;20,5;13,1;69,5;null;7,9;2,1;
2007-07-30;0;963,6;12,4;27,3;20,9;14,3;60,9;null;8,5;1,9;
2007-07-31;0;963,5;6,8;26,1;16,8;7;56,6;null;7;1,7;
2007-08-01;0;962,8;7,2;28,3;16,9;5,4;58,5;null;7,4;1,7;
2007-08-02;0;963,2;8,9;28,4;18,2;7,7;59,7;null;6,8;1,5;
2007-08-03;0;962,8;9,9;29,8;19,7;8,6;58,8;null;7,9;1,6;
2007-08-04;0;962,9;10,3;30,6;20,4;11,3;57,1;null;6;1,4;
2007-08-05;0;961,7;10,2;31,7;20,8;10,9;56,6;null;7,4;1,5;
2007-08-06;0;961,3;10,5;30,7;21,4;12,9;54;null;10,2;1,9;
2007-08-07;0;962;10,3;30,9;20;10,3;58,5;null;9,3;1,2;
2007-08-08;0;961,3;9,8;30,6;19,7;10;58,4;null;8,7;1,9;
2007-08-09;0;962,5;11,2;30,8;22,6;13,3;51,8;null;11,2;2,6;
2007-08-10;0;963,3;12,6;29,2;22,1;14,7;57,6;null;8,2;2,3;
2007-08-11;0;963,3;11,8;30,1;21,1;11,4;59;null;11;2,4;
2007-08-12;0;963;11,6;30,8;21,7;13,1;58,7;null;8,6;2,3;
2007-08-13;0;963,9;9,6;30,2;21,7;11,6;53;null;10,1;2,5;
2007-08-14;0;963,7;9,2;29,5;21,5;14,1;49,3;null;10,3;2,7;
2007-08-15;0;963,8;8,5;29,7;22,1;16;44,8;null;11,6;3,4;
2007-08-16;0;963,5;10,6;28;21,1;15,7;53;null;11,8;3;
2007-08-17;0;962;9,8;29,9;20,5;11,9;57,1;null;9,1;2,2;
2007-08-18;0;960,8;8,4;30,2;20,7;10,1;51,6;null;8,2;2;
2007-08-19;0;961,5;8,3;30,2;20,2;9,5;51;null;6,4;1,5;
2007-08-20;0;961,5;8;31,1;20,4;9,9;51,2;null;11,3;1,3;
