Nome: AGUAS VERMELHAS
Codigo Estacao: A549
Latitude: -15.75166666
Longitude: -41.45777777
Altitude: 754.07
Situacao: Operante
Data Inicial: 2007-09-08
Data Final: 2024-07-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2007-09-08;null;null;null;null;null;null;null;null;null;null;
2007-09-09;null;933,7;12,4;25,1;19;null;67,7;38;10,9;3,2;
2007-09-10;0;933,9;13,5;25,2;18,6;13,8;74,1;44;10,7;2,6;
2007-09-11;,2;934,4;13,1;25,6;19,2;15,6;70;35;10;3,2;
2007-09-12;0;934,6;11,2;26,1;19,3;11,6;62,6;32;14,2;4;
2007-09-13;,4;933,4;12,7;25,4;18,3;11,8;71,9;38;11,2;2,5;
2007-09-14;0;932,8;10,9;26,7;18,5;10,5;65,3;33;9,3;2,5;
2007-09-15;0;931,6;10,8;27,8;19,3;11,9;62,1;28;8;2,1;
2007-09-16;0;929,8;10,4;32,2;21,4;11,5;57,1;18;9,7;1,8;
2007-09-17;0;929,8;10,6;31,6;20,9;9,6;57,6;24;9,9;2,1;
2007-09-18;0;932,9;13,8;26,6;21,2;15,8;64,8;41;11,4;3,3;
2007-09-19;0;933,2;12,4;27;19,9;16,1;65,3;32;8,6;2,9;
2007-09-20;0;931,6;8,4;28,2;17,7;7;60,5;25;10,5;2,3;
2007-09-21;0;931,6;10;28,8;18,8;8,1;61,3;26;9;2,4;
2007-09-22;0;931,8;10,9;29,7;20,7;11,7;59,6;23;9,3;2,4;
