Nome: JOAO PINHEIRO
Codigo Estacao: A553
Latitude: -17.78444444
Longitude: -46.11944443
Altitude: 877.05
Situacao: Operante
Data Inicial: 2007-07-06
Data Final: 2024-07-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2007-07-06;null;null;null;null;null;null;null;null;null;null;
2007-07-07;null;null;null;null;null;null;null;null;null;null;
2007-07-08;null;919,7;8,2;26,4;20,2;null;47,2;null;8,8;2,2;
2007-07-09;0;920,1;10,6;27,3;21,1;16,2;52,3;null;9;2,2;
2007-07-10;0;919;10,7;26,8;21,5;16,4;52,4;null;9,3;1,9;
2007-07-11;0;918,7;9,6;27,7;21;15,6;50,3;null;7,1;2,3;
2007-07-12;0;919,7;7,3;26,6;21,1;15,9;43,2;null;10,7;2,6;
2007-07-13;0;920,6;7,7;25,4;19,3;14;48,8;null;11,5;2,8;
2007-07-14;0;919,5;8,7;26,2;20,2;14,7;48,7;null;8,1;2,2;
2007-07-15;0;918;8,5;28,3;21,8;15,8;44,5;null;6,7;1,5;
2007-07-16;0;917,1;8,2;28,3;22,2;16,6;42,3;null;10,1;2,1;
2007-07-17;0;917,2;10;27,7;21,7;14,8;49;null;9,9;2,7;
2007-07-18;0;916,4;10,9;27,8;22,2;16,4;50,6;null;9,9;3,2;
2007-07-19;0;916,8;11,8;26,9;21,2;16,2;56,5;null;8,6;3;
2007-07-20;0;918,1;9,5;29,3;21,8;16,2;48,2;null;6,8;2,4;
2007-07-21;0;918,7;10,8;28,8;21,9;16,6;53;null;7,7;2,4;
2007-07-22;0;917,2;10;28;21,8;16,3;48,5;null;10,3;3,1;
2007-07-23;0;916;10;29,4;22,9;16,9;45,7;null;10,9;3,5;
2007-07-24;0;916,5;11,6;29,4;24,2;18,8;47,5;null;8,5;2,8;
2007-07-25;0;917,1;10,4;29,1;22,9;17,8;47,6;null;12;4,1;
2007-07-26;0;919,6;11,6;26,9;20,9;15,1;58,5;null;9,7;2,9;
2007-07-27;0;919,6;10,9;28,4;22,5;17,6;48,5;null;9,2;3;
2007-07-28;8;921,1;15,3;24,8;19,3;16,2;79,1;null;12,1;5,2;
2007-07-29;2;921,5;14,6;22,1;17,7;15,3;83,2;null;10,9;4,5;
2007-07-30;0;922;10,2;22,4;16,1;10,3;69,8;null;10,3;4,5;
2007-07-31;0;921,2;7,4;23,3;15,9;9,6;60,9;null;7,3;2,8;
2007-08-01;0;920,9;6,6;25;17,3;10,8;51,4;null;9,5;3,1;
2007-08-02;0;921,4;7,2;24,9;17,8;10,9;52,8;null;10,4;3,3;
2007-08-03;0;921,2;8;26,6;19,1;12,9;51,8;null;8,8;2,4;
2007-08-04;0;921,4;8,8;26,8;19,8;13,5;51,7;null;9,5;2,5;
2007-08-05;0;920,4;9,1;28,4;21,1;15,2;48,9;null;8,5;2,7;
2007-08-06;0;919,9;9,1;26,9;20,4;15;50,6;null;13;3,8;
2007-08-07;0;920,4;10;26,8;20,1;13,5;55,2;null;9,8;2,8;
2007-08-08;0;920;7,8;27,9;21,1;15,1;44,3;null;14,1;3,2;
