Nome: IBIRITE (ROLA MOCA)
Codigo Estacao: A555
Latitude: -20.03138888
Longitude: -44.01111111
Altitude: 1198.82
Situacao: Operante
Data Inicial: 2008-06-05
Data Final: 2024-07-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2008-06-05;null;null;null;null;null;null;null;null;null;null;
2008-06-06;null;null;null;null;null;null;null;39;8,4;null;
2008-06-07;null;887;10;25;19,5;15,7;56,1;32;9,3;3,6;
2008-06-08;0;886,8;10,6;24,8;19,1;15,5;59;32;10,4;4,4;
2008-06-09;0;886,3;12,4;24,9;18,7;15,2;68,3;44;10,1;3,9;
2008-06-10;0;885;11,8;24,8;18,6;14,6;66,8;33;7,2;2,3;
2008-06-11;0;885,3;11,2;25,2;19,9;15,7;58,6;39;7,4;2,5;
2008-06-12;0;886,4;10,5;24,9;19,2;15,9;58,3;36;9,6;4,3;
2008-06-13;0;885,5;10;24,6;18,9;15,2;58;31;10,6;3,7;
2008-06-14;0;883,8;11;24;18,4;15;63,3;41;10,3;3,2;
2008-06-15;0;884,3;9,4;23,2;17,8;13,6;59,2;39;8;2;
2008-06-16;0;885;10,9;24;18,2;13,6;63,5;46;10,1;2,3;
2008-06-17;0;885,4;12,8;19,6;15,6;13,3;83,7;66;14,4;6,1;
2008-06-18;0;884,9;12;22,7;16,6;12,5;76,1;45;11;2,8;
2008-06-19;0;884,6;12,3;23,1;17,2;13,2;74,2;48;10,3;3;
2008-06-20;0;884,3;10,5;23;17,7;13,4;64;42;10,3;2,4;
2008-06-21;0;883,2;10,1;24;18,6;14;59,1;40;7,1;1,4;
2008-06-22;0;883,6;10,9;24,7;19,5;14,9;58;42;6,3;1,8;
2008-06-23;0;885,7;13,3;23,6;18,7;15,7;72;53;13;4,5;
2008-06-24;0;887,4;13,4;20,5;16,7;14,9;81,5;64;11,5;4,1;
2008-06-25;2,4;886,6;12,6;21,3;16,5;13,5;79,1;51;11,4;3,8;
2008-06-26;0;887,1;10,2;20;15;12,3;73,9;56;15,5;7;
2008-06-27;0;888,6;9,9;20,8;15;11,6;73,5;46;12,9;5,3;
2008-06-28;0;889;10,1;20,8;14,8;11,3;75,1;47;11,4;4,7;
2008-06-29;0;888;10,8;23,1;16,1;12,6;72,3;46;14,1;4,7;
2008-06-30;0;887,4;9,2;22,3;17,1;13,2;61,7;38;9,8;3,7;
2008-07-01;0;887,8;6,5;23,8;18,7;15,1;47,9;24;8,9;3,7;
