Nome: MANHUACU
Codigo Estacao: A556
Latitude: -20.26333333
Longitude: -42.18277777
Altitude: 819.47
Situacao: Operante
Data Inicial: 2010-09-24
Data Final: 2024-07-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2010-09-24;null;null;null;null;null;null;null;null;null;null;
2010-09-25;null;null;null;null;null;null;null;null;null;null;
2010-09-26;null;null;null;null;null;null;null;null;null;null;
2010-09-27;null;null;null;null;null;null;null;null;null;null;
2010-09-28;null;null;null;null;null;null;86,4;73;9,1;null;
2010-09-29;13,4;918,6;16;28;20,9;15,4;76,1;44;7,8;1,7;
2010-09-30;8,2;920,1;16,5;29,8;22,9;18,3;70;35;9;1,7;
2010-10-01;0;920,6;16,7;31,5;24,2;17,5;66;37;11,6;2,2;
2010-10-02;25,8;921,8;16,3;26,4;21,2;17,4;74,8;51;15,5;3,1;
2010-10-03;0;923,6;16,2;26,8;20,7;17,4;76,5;55;10,9;2,8;
2010-10-04;0;926;12,6;21,6;18,3;14,8;69,7;55;7,8;2,8;
2010-10-05;,6;923,3;15,3;26,4;20,1;16,5;74,8;52;7,1;2,3;
2010-10-06;0;922,3;16,5;28;21,9;16,6;72,5;49;8,7;2,9;
2010-10-07;0;922,9;17,2;23;20,9;19,7;79,9;68;9,3;3,6;
2010-10-08;17,6;921,1;16,7;27,7;21,7;17,3;75,2;49;15,9;2,2;
2010-10-09;0;923,1;12,4;28,2;22,1;18,4;58;31;12,4;3,5;
