Nome: CORONEL PACHECO
Codigo Estacao: A557
Latitude: -21.54666666
Longitude: -43.26111111
Altitude: 411.14
Situacao: Operante
Data Inicial: 2012-10-16
Data Final: 2024-07-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2012-10-16;null;null;null;null;null;null;null;null;null;null;
2012-10-17;null;null;null;null;null;null;null;null;null;null;
2012-10-18;null;null;null;null;null;null;null;null;null;null;
2012-10-19;null;null;null;null;null;null;null;41;9,5;null;
2012-10-20;10,2;966,6;16,7;30,3;21,7;16,7;76;40;11,9;1,6;
2012-10-21;0;963,6;17,8;31,1;24,6;19,8;68,9;39;9;1,8;
2012-10-22;0;961,3;18,3;32,1;23,8;19,3;73,1;42;10,2;1,7;
2012-10-23;2,6;961;18,3;34,4;25;18,4;70,9;30;11;1,3;
2012-10-24;0;963,2;17,6;34,6;26,5;20,6;62,5;29;9,5;1,7;
2012-10-25;0;966,3;17,2;31,4;24,9;19,6;64,3;40;8,9;2,3;
2012-10-26;0;966,4;18,3;32,8;24,1;18,4;73;38;6,5;1,3;
2012-10-27;0;966;17,7;34,3;25,1;18,3;68,1;30;6,7;1,6;
2012-10-28;0;964,1;16,4;37;26,5;18;60,7;21;5,1;1,4;
2012-10-29;0;964,9;18,4;35,7;27,5;20,9;60,1;32;16,7;2;
2012-10-30;,2;962,4;18,7;36,8;26,1;18,5;68,6;30;8,7;1,4;
2012-10-31;0;959,8;18,8;35,6;25,2;19;70,5;34;10,5;1,1;
2012-11-01;,2;960,7;19,4;34,3;24,7;20,8;74,6;38;14,5;1,7;
2012-11-02;10,4;964,2;19,5;24;21,6;19,9;88;76;5,2;1,1;
2012-11-03;9,8;965,1;18,2;22,1;20,2;18,5;88,3;78;6,1;1,6;
2012-11-04;,2;963,1;18,7;28,1;22,2;19,2;81,3;57;7,1;1,6;
2012-11-05;41,4;962,8;19,2;28,2;22,2;19,3;84;60;14,2;1,4;
2012-11-06;37;964,5;18,4;28,7;22,9;18,4;78;48;6,4;1,4;
2012-11-07;0;965,9;17,8;29,8;23,8;19;70,6;46;7,8;2,2;
2012-11-08;0;964,9;18,2;28,7;23,4;18,5;73,9;52;6,6;2;
2012-11-09;,6;963,6;19,9;24,9;21,9;21,1;88,1;68;8,3;1,8;
2012-11-10;22,4;964,4;19,5;22,2;20,6;19,4;93,5;88;4;1,2;
2012-11-11;14,4;964,5;18,9;28,3;23,1;20,1;79,3;52;11,8;1,8;
2012-11-12;0;963,6;19,6;30,9;24;18,6;78;50;7,6;1,3;
2012-11-13;15;961,5;20,9;27,6;22,8;21,7;89,2;70;7,5;1,2;
2012-11-14;48;964,1;17,8;24,1;20;18,2;87,3;65;6,5;1,3;
2012-11-15;7,8;964,3;16,7;22;18,9;16,8;87,5;70;5,4;1,5;
2012-11-16;21,4;963,7;18,2;25,9;20,2;18,2;88,9;69;6,8;1,2;
2012-11-17;18,4;967,2;14,6;28;20,9;14,5;70;36;10;1,6;
2012-11-18;0;969,4;14,8;27,3;20;14,4;74,8;41;6,3;1,4;
2012-11-19;0;967,8;16,9;27,3;21,3;17,5;77,3;53;5,8;1,4;
2012-11-20;1,6;964,9;18,8;22,4;19,9;18,4;93,3;84;5,4;,8;
2012-11-21;30,6;964,2;16,7;30,6;23,4;19,1;70,7;27;7,4;1,3;
2012-11-22;0;965,2;16;29,9;22,3;14,7;70,3;42;5,6;1,6;
2012-11-23;0;962,9;19;32,2;24,4;18,9;74;46;6,3;1,3;
2012-11-24;0;961;20,2;33,5;24,8;19,2;78,1;38;13,4;1,9;
2012-11-25;5;963,6;20,1;24,2;22;20,4;89;77;7,1;,8;
2012-11-26;9;965,5;19,7;27,9;22,6;20;84,5;59;8,7;1,4;
2012-11-27;41;962,6;20,1;26,8;22,1;20;88,9;65;8,7;1,4;
2012-11-28;9,4;960,5;19,8;29,6;22,2;19,1;87,3;62;14;1,5;
2012-11-29;10,8;963,8;18,5;31,6;23,7;17,7;75,7;31;8;1,7;
2012-11-30;0;967,3;18;27,4;22,4;18,3;78,3;52;7;1,7;
2012-12-01;0;966,9;18,3;26,4;22,5;19,8;77,5;66;6,8;1,7;
2012-12-02;0;964,1;19,9;30,8;24,2;20;78,6;46;7,5;1,6;
2012-12-03;26;964,6;19,7;29,9;24,1;19,8;78,5;49;9;1,7;
2012-12-04;0;966;20,1;31,7;25,6;21,6;75,1;42;5,7;1,4;
2012-12-05;0;965;19,9;31,2;25,2;19,9;75,2;46;7;1,5;
2012-12-06;0;962,7;19,7;32,6;25,3;18,9;74,3;43;6,9;1,5;
2012-12-07;0;962,1;19,8;33,7;26;19,4;72;43;9;1,8;
2012-12-08;,8;962,9;21,2;34,6;26,1;20,7;76,8;38;9,4;1,3;
2012-12-09;0;963,7;21,4;31,4;24,3;21,7;85,3;55;14,5;1,7;
2012-12-10;51;962,5;20,9;29,8;24,4;20,4;82,5;57;7;1,3;
2012-12-11;,2;960,2;21,5;33,1;26,4;21,6;76,6;49;9,8;1,6;
2012-12-12;0;960,6;21;33,5;25;21;80,7;49;20,1;1,7;
2012-12-13;10;961,4;21,1;32,1;24,5;20,6;82,9;53;7,5;1,4;
2012-12-14;3,6;961,3;21,3;31;23,2;21,7;89,5;56;18,2;1,2;
2012-12-15;10,4;962,3;21,6;28,8;23,3;20,5;90,6;66;6,5;1,1;
2012-12-16;13,2;961,9;21,1;32,9;24,5;21,1;83,4;45;9,9;1,6;
2012-12-17;12;962;20,5;33,3;24,6;20,1;79,9;45;15;1,6;
2012-12-18;0;961,8;19,9;33,1;25,1;18,7;76,3;42;6,3;1,3;
2012-12-19;,2;963,5;21,1;31,1;24,6;20,8;81,7;56;9,7;1,3;
2012-12-20;,8;963,9;20,8;30,7;24,3;19,7;82,5;57;5,5;1,4;
2012-12-21;0;963,4;21,6;32,7;26,2;21;77,7;47;6,7;1,7;
2012-12-22;0;963,8;20,5;34,2;26,1;20,7;73,9;31;13;1,4;
2012-12-23;0;965,8;20,2;31,9;25,9;22;72,5;42;5,8;1,4;
2012-12-24;0;965,8;19,3;31,5;24,6;18,6;75,2;43;5,6;1,2;
2012-12-25;0;963,6;19,5;33,7;25,6;18,4;73;40;6,4;1,5;
2012-12-26;0;963;20,9;35,7;26,8;19,7;73,5;38;5,9;1,5;
2012-12-27;0;962,1;19,7;34,5;27,9;21,5;64;32;10,9;2,1;
2012-12-28;0;963,2;20,4;33;26,3;21,7;72,8;38;12,7;1,6;
2012-12-29;9,8;964,7;19,2;31,9;22,6;18;83;47;13,2;1,7;
2012-12-30;1;965,5;19,8;32,4;24,7;19;77;42;6,8;1,6;
2012-12-31;14;966,1;20,1;31,5;25,1;20;76,8;43;9;1,7;
2013-01-01;,2;964,6;18,5;32,1;24,8;18,6;72,3;37;7,7;1,9;
2013-01-02;0;964,1;18,7;32,5;24,9;17,9;71,7;39;5,8;1,4;
2013-01-03;0;967;20,1;31,3;25,7;21,7;72,3;48;9,1;1,7;
2013-01-04;2;969,1;20,2;30,6;24,8;21,3;76,8;48;6,4;1,4;
