Nome: JANUARIA
Codigo Estacao: A559
Latitude: -15.44805555
Longitude: -44.36638888
Altitude: 468
Situacao: Operante
Data Inicial: 2016-06-22
Data Final: 2024-07-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2016-06-22;null;null;null;null;null;null;null;null;null;null;
2016-06-23;null;null;null;null;null;null;null;null;null;null;
2016-06-24;null;null;null;null;null;null;null;null;null;null;
2016-06-25;null;null;null;null;null;null;null;null;null;null;
2016-06-26;null;null;null;null;null;null;null;null;null;null;
2016-06-27;null;null;null;null;null;null;null;28;8;null;
2016-06-28;null;966,1;12,1;30,2;22,1;15,6;54,9;32;10,1;2,7;
2016-06-29;0;965,7;12,2;30;22,7;15,3;54,1;30;9,3;2,7;
2016-06-30;0;964,7;12,6;31,2;21,5;14,1;60,3;30;2,6;null;
2016-07-01;0;965,2;11,7;30;21,7;13,7;55,9;28;null;null;
2016-07-02;0;965,8;13,3;30;22,2;12,9;59,3;38;null;null;
2016-07-03;0;965,8;12,8;30,4;22,5;13,8;57,1;32;null;null;
2016-07-04;0;965,5;14,9;29,3;23,4;17,2;59,5;44;null;null;
2016-07-05;0;964,5;14,1;30,8;23,4;16,4;59,4;33;null;null;
2016-07-06;0;963,7;12,3;31,1;23;14,2;53,7;29;null;null;
2016-07-07;0;962,3;10,6;33,4;23,9;13,2;47,7;21;null;null;
2016-07-08;0;962,7;10,6;34,1;24,9;16,4;43,3;22;null;null;
2016-07-09;0;963,3;12,3;31,7;24,3;15,2;48,5;30;null;null;
2016-07-10;0;962,7;11,7;32,1;23,8;16;49,5;26;null;null;
2016-07-11;0;961,4;10,6;31,9;22,3;13,1;52;24;null;null;
2016-07-12;0;960,8;9,8;32,2;21,6;12,2;51;23;null;null;
2016-07-13;0;961;9,6;33,2;22,5;13,3;48,5;22;null;null;
2016-07-14;0;960,4;9,9;33,3;22,4;12,4;49;22;null;null;
2016-07-15;0;959,7;9,7;33,7;22,7;13;48,3;20;null;null;
2016-07-16;0;959,2;10;33,4;22,7;13,1;48;23;null;null;
2016-07-17;0;958,8;9,3;34,6;23,2;12,5;47;20;null;null;
2016-07-18;0;959,9;11,2;34,7;25,1;17,5;45,2;19;null;null;
2016-07-19;0;961,4;12,8;33,6;24,7;17,4;49,9;26;null;null;
2016-07-20;0;961,1;13,3;33,6;24,9;16,7;51,8;26;null;null;
2016-07-21;0;960,6;13,2;33,2;24,3;15,2;53;30;null;null;
2016-07-22;0;960,9;13,3;32,6;23,8;15,6;55;32;null;null;
2016-07-23;0;962,8;12,6;31,7;23,8;17,8;52;29;null;null;
2016-07-24;0;964,4;12,5;30,3;23,3;16,5;52,4;34;null;null;
2016-07-25;0;963,3;14;30,8;23,8;19,1;56,2;31;null;null;
2016-07-26;0;962,7;12,9;31,5;23,3;15,5;55,2;29;null;null;
2016-07-27;0;962,7;10;32,1;21,7;12;51,5;23;null;null;
2016-07-28;0;961,9;8,2;32,5;22,5;12,2;43,3;17;null;null;
2016-07-29;0;963,4;8,8;30,9;22,2;14,5;45,4;22;null;null;
2016-07-30;0;964,4;10,8;29,4;21,7;13,4;53;28;null;null;
2016-07-31;0;964,1;12,4;29,9;22,4;15,3;55,7;33;null;null;
2016-08-01;0;964,2;9,4;29;20,9;14,7;51,4;25;null;null;
2016-08-02;0;963,6;9,9;31,9;21,5;12,3;50;27;null;null;
2016-08-03;0;962,9;14,1;32,2;23,9;15,3;57,2;30;null;null;
2016-08-04;0;964,1;13;31;23,7;17,6;54,7;29;null;null;
2016-08-05;0;964,1;10,5;30,2;null;15,8;50,6;24;null;null;
2016-08-06;0;963,8;11,3;30,6;22,5;15,2;51,8;28;null;null;
2016-08-07;0;962,6;11,7;33,2;23,6;14,5;50,1;26;null;null;
2016-08-08;0;961,2;10,7;33,4;23,3;13;49,1;23;null;null;
2016-08-09;0;961,7;9;34,1;24,6;15,4;40,1;19;null;null;
2016-08-10;0;960,4;7,3;35,4;23,7;11,8;40,3;15;null;null;
2016-08-11;,4;958,7;6,6;35,8;25,3;14,3;32,6;16;null;null;
2016-08-12;0;959,6;12,8;34,4;25,5;18,2;47,2;28;null;null;
2016-08-13;1,8;960,2;15,6;31,7;24,6;17,7;60,2;34;null;null;
2016-08-14;0;960,6;14,8;28,9;23,6;19,3;58,6;43;null;null;
2016-08-15;0;958,5;12,5;35,3;24,5;14;54,5;20;null;null;
2016-08-16;0;958,4;11,7;33,6;25;16,2;46;27;null;null;
2016-08-17;0;959,5;13,3;36,4;27,2;18,3;46,2;24;null;null;
2016-08-18;0;959,1;13;37,3;28,3;19,8;40,7;23;null;null;
2016-08-19;0;959,5;14;35,2;27,1;20,3;46;28;null;null;
2016-08-20;0;960,3;13;34,2;26;18,8;46,8;24;null;null;
2016-08-21;0;958,9;11,9;37,8;27,1;16,4;42,8;19;null;null;
2016-08-22;0;960,4;15,1;35,1;27,5;21,5;48,6;27;null;null;
2016-08-23;0;961,7;15;33,5;26,9;21,1;49,8;32;null;null;
2016-08-24;0;963,3;13,6;33;25,4;17,6;50,6;28;null;null;
2016-08-25;0;963,3;10,5;31;23,3;14,5;48,1;22;null;null;
2016-08-26;0;961,9;10;31,8;23,2;14,8;46;22;null;null;
2016-08-27;0;961,2;12,1;33,2;24,7;16,7;47,2;26;null;null;
2016-08-28;0;961,5;12,6;33,1;25,6;18,7;47,1;27;null;null;
2016-08-29;0;961,4;11;33,6;25;16;43,6;24;null;null;
2016-08-30;0;961,1;14;33,8;26,5;19,4;49,2;24;null;null;
2016-08-31;0;959,9;13;35,5;27,1;19;44;24;null;null;
2016-09-01;0;960,7;13,4;35,6;27,4;19,2;43,7;25;null;null;
2016-09-02;0;962,4;12,9;32,9;26,2;19,7;46;25;null;null;
2016-09-03;0;962,6;9,7;32,5;24,9;17,5;41,1;20;null;null;
2016-09-04;0;962,9;10,9;32,5;25;16,8;44,4;23;null;null;
2016-09-05;0;962,8;10,9;32,9;24,8;16,2;44,8;21;null;null;
2016-09-06;0;962,4;10,4;33,6;25,1;17,5;42,8;21;null;null;
2016-09-07;0;961,2;8,5;34,7;25,9;17,4;35,8;17;null;null;
2016-09-08;0;959,8;9,3;35,9;26,2;17;36,5;20;null;null;
2016-09-09;0;960,9;9;35,1;27,4;20,4;33,4;16;null;null;
2016-09-10;0;963,9;11,9;32,8;26,3;20,6;42,5;25;null;null;
2016-09-11;0;962,9;9,2;32,7;25,3;20;38;20;null;null;
2016-09-12;0;960,5;7,9;34,1;24,9;15,1;38,3;14;null;null;
2016-09-13;0;959,6;8;35,8;25,3;14,6;36,1;16;null;null;
2016-09-14;0;959,2;9,2;36,4;27,7;19,9;32,9;18;null;null;
2016-09-15;0;957,5;9,4;38,4;27,9;16,2;34,9;15;null;null;
2016-09-16;0;958,2;10,1;38,5;29,3;20;33;16;null;null;
2016-09-17;0;959,6;12,5;35,4;28;21,9;39,7;25;null;null;
2016-09-18;0;960,1;13,2;35,8;27,3;19,1;43,9;25;null;null;
2016-09-19;0;958,3;11,6;37,5;29;20,7;37;17;null;null;
2016-09-20;0;957,1;9,9;37,1;27,2;17,1;36;19;null;null;
2016-09-21;0;955,9;9,5;38,3;29,7;20,8;31;16;null;null;
2016-09-22;0;958,6;15,7;34,8;29;22,4;46,3;30;null;null;
2016-09-23;0;961,4;15,1;34,1;27,8;20,8;47,2;32;null;null;
2016-09-24;0;960;15,1;35,8;28,1;20,3;46,5;30;null;null;
2016-09-25;0;958,5;16,9;29,7;25,9;22,5;58,3;45;null;null;
2016-09-26;0;957,5;17,1;32,5;26,4;21,6;57;38;null;null;
2016-09-27;0;958,9;17,2;33,8;26,5;20,9;59,8;34;null;null;
