Nome: POMPEU
Codigo Estacao: A560
Latitude: -19.23249999
Longitude: -44.96416666
Altitude: 705
Situacao: Operante
Data Inicial: 2015-08-20
Data Final: 2024-07-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2015-08-20;null;null;null;null;null;null;null;null;null;null;
2015-08-21;null;null;null;null;null;null;null;null;null;null;
2015-08-22;null;null;null;null;null;null;null;null;null;null;
2015-08-23;null;null;null;null;null;null;null;null;null;null;
2015-08-24;null;null;null;null;null;null;null;null;null;null;
2015-08-25;null;null;null;null;null;null;null;29;8,4;null;
2015-08-26;0;936,7;11,3;31,9;23,3;14,8;51,8;24;9,9;2,4;
2015-08-27;0;936,2;11,9;33,8;24,7;15,8;48,7;20;9,6;2,7;
2015-08-28;0;938,2;14,2;30,1;22,4;15,7;62,3;38;9,7;2,7;
2015-08-29;0;939,7;14;30,5;23;15,5;59,4;32;8,1;2,4;
2015-08-30;0;940;12,2;31,2;23;14,4;56;24;7,4;1,9;
2015-08-31;0;939,4;10,2;32;23,1;14,3;49,7;18;7,7;1,7;
2015-09-01;0;937,8;7,8;34,2;24,2;14,4;39,8;16;7,3;1,7;
2015-09-02;0;936,7;9,2;32,4;24,1;14,9;42,1;22;7,6;2,3;
2015-09-03;0;936;10,6;32,6;24,5;16,6;45,1;21;9,1;2,5;
2015-09-04;0;934,1;7,7;36,7;26,1;14,9;35;13;13,3;2,6;
2015-09-05;0;934,7;10,7;35;25,3;16,8;43,9;18;9,5;2,3;
2015-09-06;0;934,5;14,7;33,4;25,4;18,8;56;26;10,4;2,6;
2015-09-07;0;933,1;14,5;33,7;25,1;18,6;56,5;24;10,6;2,8;
2015-09-08;10,8;933,5;18,2;26,5;21,9;19,2;80,8;54;16;2,8;
2015-09-09;38,6;935,6;17,2;23,3;19;17,1;89,4;70;11,4;2,4;
2015-09-10;1,2;935,9;17,2;23;19;17;89,9;73;5,8;2,1;
2015-09-11;,2;934,5;16,9;27,5;20,4;16,4;82;49;9,8;2,4;
2015-09-12;0;936,3;16,4;28;21,5;16,8;74,6;47;7,6;1,7;
2015-09-13;0;936,7;17,2;30,8;22;17,4;76,9;39;14,9;2,3;
2015-09-14;1;938,3;16,9;29,7;22,2;15,7;74,7;45;11,9;2,6;
2015-09-15;0;938,9;15,8;32,3;24,2;16,2;64,1;31;10,2;2,4;
2015-09-16;0;938,1;14;31,8;24,7;17,9;54,6;27;9,8;2,4;
2015-09-17;0;936,9;10,9;33,3;25;16,2;48,2;16;7,1;1,9;
2015-09-18;0;936,7;9,3;34,9;25,5;16,1;41,8;13;6,5;1,8;
2015-09-19;0;936,9;7,1;34,6;25,8;15,6;35,5;11;8,3;2,3;
2015-09-20;0;936,5;5,7;33,1;24,9;15,5;33,5;12;7;2,2;
2015-09-21;0;935,7;7,2;33,4;24,8;15,6;36;16;7,8;1,9;
2015-09-22;0;935,1;10,8;34,2;25,3;16,3;44,3;17;8;2,1;
2015-09-23;0;934,1;11,5;34,7;26,7;17,1;42,8;19;7,3;2,2;
2015-09-24;0;933,8;11,1;36,1;28,1;18,3;38,4;17;8,1;2,3;
2015-09-25;0;933,7;9,8;36,9;29;18,8;34,3;15;9,9;2,2;
2015-09-26;0;933,8;12,4;36,2;28;19,1;41,3;20;8,5;2,1;
2015-09-27;0;933,9;13,9;34,8;28,1;20,3;44,5;25;7,6;2,5;
2015-09-28;0;933,1;13,5;33,3;26,4;19;46,2;26;9,3;3;
2015-09-29;0;934;16,2;27,4;23,6;21,6;64;42;8,4;2,7;
2015-09-30;0;934,3;15,7;30,5;23;17,9;66,8;33;6,8;2,1;
2015-10-01;0;934;12,9;34,4;25,5;16,8;52,7;21;7,5;1,8;
2015-10-02;0;934,3;12,6;34,5;27,7;19,3;42;23;9;2,2;
2015-10-03;0;934;10,6;34,7;27,1;18,9;40;16;8,4;2,3;
2015-10-04;0;933,9;13,1;34,9;26,7;19,8;45,5;22;7,5;2,1;
2015-10-05;0;934,1;15,6;35,3;27,4;20,8;52,2;23;8,1;2,8;
2015-10-06;0;936,2;16,4;31,9;25,4;19,1;59,6;36;8,6;2,8;
2015-10-07;0;936,2;14,6;33,5;25,5;17,3;54,5;26;10,9;2,2;
2015-10-08;0;935,8;11,5;33,2;25,5;16,8;46,7;20;10;2,5;
2015-10-09;0;934,8;7;34,7;26,6;16,1;32,8;13;8,4;2,4;
2015-10-10;0;935,5;8;34,8;27,2;18,3;31,6;16;9,6;2,5;
2015-10-11;0;935,1;7,8;35,6;27,4;17,6;33;12;11,4;2,7;
2015-10-12;0;935,2;9,2;35,1;27,8;18,5;33,3;15;8,3;2,6;
2015-10-13;0;935,8;9,2;35;27,2;17,8;34,7;19;8,3;2,2;
2015-10-14;0;935,8;8,4;35,8;28;18,9;31,2;16;7,4;2,3;
2015-10-15;0;935,3;7,7;37,7;28,8;18,7;30,8;12;7,4;2,3;
2015-10-16;0;935,7;10,4;37,8;29,7;20,7;33,5;14;16,1;2,3;
2015-10-17;0;935,5;7,9;37,8;29,5;20;28,8;13;9,5;2;
2015-10-18;0;936,2;11;35,7;28,4;19,9;35,5;20;9;2,7;
2015-10-19;0;936,5;14,7;34,9;27,2;19,6;49,7;26;11,7;2,5;
2015-10-20;0;935,2;14;36,2;28;19,1;46,6;22;8,1;2,3;
2015-10-21;0;934;14,9;35,5;28,3;21,8;46,3;26;6,7;2,2;
2015-10-22;0;931,8;13,5;39,3;29,8;21,5;41,6;17;11,1;2,1;
2015-10-23;20;935,5;17,9;32,4;24,3;19,2;71,3;34;12,4;3,1;
2015-10-24;0;935,3;17,3;33,6;26,7;20,2;59,6;31;7,8;2,7;
2015-10-25;0;936,2;15,2;33,5;26,8;19,7;52,7;24;8,7;2,8;
2015-10-26;0;936,5;15,4;32,6;26,1;19,3;54,3;31;8,9;2,6;
2015-10-27;0;935;18,4;32,9;25,2;22,4;67,8;36;11;2,4;
2015-10-28;50,4;935,1;19,2;25;22;19,4;85;67;7,7;2,1;
2015-10-29;0;934,4;19,6;29,2;24,4;20,7;76,4;53;10,5;2,1;
2015-10-30;0;935,5;15,4;30,6;24,6;18,1;59;34;9,8;2,7;
2015-10-31;0;934,2;14,9;31,9;25,3;17,7;54,1;32;8,5;2,4;
2015-11-01;0;933,3;16,3;31,8;25,1;20,5;60,3;35;10,2;3;
2015-11-02;0;933,7;17,3;33,2;25,6;19,5;65;31;9,8;2,1;
2015-11-03;0;933,9;15,8;34,5;27,5;21,2;52,8;25;7,3;2,1;
2015-11-04;0;933,8;14,4;35,1;27,9;20,3;50,5;21;9,3;2,5;
2015-11-05;0;932,8;14,5;35,9;28;19,6;47,1;23;6,4;1,8;
2015-11-06;0;933;15,6;36,8;28,8;21,2;49,1;21;6,1;2,1;
2015-11-07;0;933,7;16,1;36;27,8;21;52,5;24;16,1;3,2;
2015-11-08;0;935,3;17,3;32;25,7;19,3;62,4;39;13,2;2,8;
2015-11-09;0;936,6;16,6;31,3;26,6;20,2;55,5;38;12,3;2,6;
2015-11-10;0;936,7;15,7;35,3;27,4;19,4;53,8;26;7,1;2,3;
2015-11-11;0;934,7;14,9;36,2;28,3;20,6;46,3;24;10,1;2,2;
2015-11-12;3,6;932,5;16,9;35,7;27;20,6;59,1;26;11,1;2,4;
