Nome: SAO SEBASTIAO DO PARAISO
Codigo Estacao: A561
Latitude: -20.91
Longitude: -47.11416666
Altitude: 845
Situacao: Operante
Data Inicial: 2015-08-16
Data Final: 2024-07-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2015-08-16;null;null;null;null;null;null;null;null;null;null;
2015-08-17;null;null;null;null;null;null;null;null;null;null;
2015-08-18;null;null;null;null;null;null;null;27;9,8;null;
2015-08-19;0;920,6;10,8;30,4;21;12,9;56,1;27;11,3;2,6;
2015-08-20;0;920,7;7;28,5;18,5;9;56,2;13;7,3;1,7;
2015-08-21;0;921,1;7,1;28,7;17,8;9,4;56,7;17;7,8;2,1;
2015-08-22;0;920;7,1;30,3;18;7;56;16;6,3;1,8;
2015-08-23;0;919,6;5,7;31,6;18,9;8,9;50,7;13;9;2,1;
2015-08-24;0;919,7;9,2;31,8;20,6;12;52,8;22;12,3;2,1;
2015-08-25;0;920,9;13,2;25,1;19,8;14,9;67,3;45;13,1;2,4;
2015-08-26;3;920,6;13,5;30,9;21,1;15,2;66,2;28;8,8;2,2;
2015-08-27;0;922,1;13;26,2;18,6;16,2;70,2;49;12,9;2,7;
2015-08-28;0;923,6;9,6;25,8;18,3;12,3;61,3;27;6;1,4;
2015-08-29;0;923,9;9,3;30,3;19,3;10,8;57;23;6,7;1,8;
2015-08-30;0;923,9;11,1;31,2;21,6;13,7;55,5;24;6;2;
2015-08-31;0;923,4;8,9;32,8;21,9;12,4;50;14;5,4;1,9;
2015-09-01;0;922,6;8,3;33,6;21,4;11,2;50,2;18;8,9;1,9;
2015-09-02;0;921,6;10,9;32,1;22,2;12,8;53,6;23;7,7;1,7;
2015-09-03;0;919,8;9,7;33,9;22,7;12,9;51,3;16;12,6;2,3;
2015-09-04;0;919;9,4;35;23;11,9;51,4;13;13,4;2,8;
2015-09-05;0;920,1;13,5;29,6;20,8;13,7;66,8;31;8,8;2;
2015-09-06;0;918,8;13,9;31,3;21,6;15,8;66,7;26;18,8;2,2;
2015-09-07;2,4;917,7;14,9;27,5;20,5;15,6;71,2;44;12,9;2,5;
2015-09-08;17,2;916;16,4;29,4;20,7;16,4;79,5;42;15,5;2,8;
2015-09-09;37,6;919;15,7;22,4;18,5;15,7;84,1;62;9,7;1,5;
2015-09-10;3;919,5;16,3;18,9;17,8;16,4;91,3;85;5,6;1,5;
2015-09-11;21,2;919,2;16,1;19,1;17,5;17,4;91,8;87;12,4;2,2;
2015-09-12;26;921,1;16;20,6;17,6;15,5;90,7;79;5,7;1,3;
2015-09-13;10,2;922,6;15,7;23,6;18,2;15,2;86,1;61;7,8;1,5;
2015-09-14;,2;923;15,2;25,8;18,6;13,9;81,8;57;7,7;1,8;
2015-09-15;0;922,6;15,7;32,2;23;17,1;67,6;28;8,3;2,2;
2015-09-16;0;921,3;14,6;33,3;24,9;18,1;57;25;7,8;2;
2015-09-17;0;920,5;12,2;34,1;25,1;18,2;48,5;20;7,1;2;
2015-09-18;0;920,9;9,1;34,4;24,9;16,9;41,8;13;6;1,8;
2015-09-19;0;921,4;8,4;33,9;23,5;14,3;43,7;15;8,1;2,2;
2015-09-20;0;920,7;6,8;33,9;22,8;12,5;43,1;13;6,9;2;
2015-09-21;0;920;6,8;32,9;22,2;11,7;43,9;12;7,3;2,1;
2015-09-22;0;919,3;7,8;33,2;23;13,3;42,8;15;5,7;2,1;
2015-09-23;0;918,3;9,1;35,1;24,1;15;44,6;14;7,9;1,9;
2015-09-24;0;918,1;10,3;36,3;24,7;14,1;47,8;15;9,5;2,2;
2015-09-25;0;918,3;12,4;35,8;24,5;15,4;50,9;20;6,1;1,4;
2015-09-26;0;920,1;15,6;31,7;24,8;19,7;58,8;32;11,6;2,1;
2015-09-27;0;918,5;16,4;33,4;24;17,7;65;31;10,4;1,7;
