Nome: BAMBUI
Codigo Estacao: A565
Latitude: -20.0311111
Longitude: -46.00888888
Altitude: 697
Situacao: Pane
Data Inicial: 2016-11-22
Data Final: 2024-07-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2016-11-22;null;null;null;null;null;null;null;null;null;null;
2016-11-23;null;null;null;null;null;null;null;null;null;null;
2016-11-24;null;null;null;null;null;null;null;47;4;null;
2016-11-25;null;936,7;19,3;31,1;24,2;20;76,7;46;4,8;1,1;
2016-11-26;0;936,4;19,2;30,9;24,4;18,7;75,3;45;6,2;1,2;
2016-11-27;0;935,7;19,4;31,9;24,7;19,1;74,7;43;8,1;1,7;
2016-11-28;0;935,3;19,4;32,5;25,1;20,1;73,5;40;9,3;1,9;
2016-11-29;,6;934;20,5;33,3;24,6;21;80,4;43;11,4;1,3;
2016-11-30;12,6;935,1;20,2;26,9;23,2;21,4;84;64;8,4;1,8;
2016-12-01;3,6;938,7;17,5;22,3;20,3;18,6;84,4;76;6,9;1,8;
2016-12-02;0;938,5;18,3;28,2;22,4;19,3;78,7;57;5,6;1,2;
2016-12-03;0;934,7;19,1;30,1;23;18,3;80,8;51;7,9;1,8;
2016-12-04;9,2;930,4;19,7;30,3;22,7;19,3;84,9;51;9,6;2,1;
2016-12-05;20,8;931,1;20,1;27,7;22,5;19,9;86,8;61;9,1;1,5;
2016-12-06;3;933,1;18,7;33,8;25,3;17,7;72;30;9,6;1,9;
2016-12-07;0;932,8;17,5;33,9;24,8;17,2;68,7;35;9,1;1,3;
2016-12-08;3,2;933,3;19,4;31;22,6;19;83;51;10,5;1,5;
2016-12-09;6,2;932,9;20,4;30,8;23,1;20,4;85,6;53;8,6;1,1;
2016-12-10;,8;932,7;20,6;30,3;23,8;20,8;83,7;55;5,3;1,3;
2016-12-11;1,4;932,5;21,1;30,1;23,2;20,2;88,8;56;9,1;1,1;
2016-12-12;38;931,2;21,4;28,2;22,8;20,3;92,3;66;8,3;1,3;
2016-12-13;1,2;931,9;20,8;29,2;22,6;20,1;90;66;8,2;1,4;
2016-12-14;4;933,6;20,4;26,4;22,8;20,1;87;67;6,5;1,1;
2016-12-15;15,2;937,5;19;22,3;20,1;18,9;93,3;84;10,4;1,6;
2016-12-16;26,8;941,5;15,9;22;18,7;16,1;84,5;68;8,2;2;
2016-12-17;0;940;15,7;26,9;20,1;13,4;78,1;50;8,3;1,8;
2016-12-18;0;937,4;17,1;28,2;21,9;16;76,9;50;7,6;1,9;
2016-12-19;0;936,3;17,2;29,1;22,4;16;75,2;47;8,6;2;
2016-12-20;0;935,7;17,3;29,9;23,8;18,1;69,8;40;8,6;2,1;
2016-12-21;0;935,5;16,8;29,9;23,2;16,3;70,4;41;8,5;2,1;
2016-12-22;0;937,4;18,1;31;24;17,2;72,6;43;6,7;1,5;
2016-12-23;0;937;17,1;31,8;24,6;18,4;67;28;12,5;2,2;
2016-12-24;0;935,7;17,8;32;24,3;17,3;70,7;41;5,5;1;
2016-12-25;0;933,8;18,7;34,4;24,7;17,6;71,8;39;14,1;1,8;
2016-12-26;0;934,6;18,1;31,9;24,4;17,4;70,7;44;15,1;1,8;
2016-12-27;0;935,5;19;33,7;25,4;18,7;71,3;40;8;1,5;
2016-12-28;0;935,8;18,5;33,7;26;20,6;67,3;31;7,1;1,8;
2016-12-29;6,6;936,2;17,4;31,9;23,9;17,8;70,7;38;16,3;2,2;
2016-12-30;0;936,1;17,5;32,1;23;15,9;74,3;42;7,3;1,5;
2016-12-31;0;935,9;17,8;33,7;25;17,4;68,7;35;7;1,6;
2017-01-01;0;935,5;16,8;34,7;25,4;17,4;65;21;5,6;1,3;
2017-01-02;0;934;17,6;34,4;25,8;18,3;65,6;23;6,2;1,3;
2017-01-03;0;933,6;18,9;34,2;25,7;18,7;69;36;10,8;1,7;
2017-01-04;0;936;18,9;31,3;24,4;19,7;72,5;39;6,7;1,3;
2017-01-05;0;936,7;18,9;33,3;25,4;19,7;70,5;39;6;1,5;
2017-01-06;0;936;18,3;35,5;26,5;19;65,8;31;10,3;1,4;
2017-01-07;0;935,9;19,3;34,1;25,6;19,9;70;39;9,4;1,8;
2017-01-08;,2;934,9;19,5;33,7;25;19,3;74,7;41;13,1;2;
2017-01-09;8,2;934,3;20,1;29,8;24,4;20,8;78,9;51;11,5;1,9;
2017-01-10;,2;933,4;20,3;30,9;23,2;20,4;85,1;50;10,2;1,3;
2017-01-11;14,4;933,5;20,5;32,5;24,6;20,3;80,3;47;8;1,3;
2017-01-12;,2;934,2;19,6;30,9;23,3;19,1;81;55;10,9;1,6;
2017-01-13;18,2;934,8;19,6;28;22,3;19;85,8;55;8,1;1,2;
2017-01-14;6,2;933,2;19,1;29,4;22,7;19;82,2;48;7,3;1,3;
2017-01-15;16;933,2;20,2;28,4;22,4;19,9;88;63;11,5;1,6;
2017-01-16;22,6;934,4;19,5;27,9;22,8;19,8;83,1;59;8,2;2,6;
2017-01-17;7;933,7;19,7;29,6;23,1;19,4;82,7;55;11,9;1,7;
2017-01-18;,6;934;19,5;29,3;23,1;19,8;81,5;51;8,8;2,3;
2017-01-19;12,8;936;19,8;29,4;23;20,3;83,6;55;8,4;1,2;
2017-01-20;4,2;937,4;19,7;30,5;23,6;19,8;80,1;48;10,1;1,4;
2017-01-21;,2;936,9;18,1;30,5;23,6;17,3;74,5;41;6,5;1,4;
2017-01-22;0;935,3;18,4;29,8;23,8;18,7;73,8;42;7,6;1,4;
2017-01-23;0;935,8;19,1;28,9;23,5;18,9;78,1;55;5,3;1;
2017-01-24;,4;936,7;19,9;28,4;22,7;19,1;85,3;59;8,4;1,5;
