Nome: ARACUAI
Codigo Estacao: A566
Latitude: -16.84888888
Longitude: -42.03527777
Altitude: 308
Situacao: Operante
Data Inicial: 2017-05-18
Data Final: 2024-07-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2017-05-18;null;null;null;null;null;null;null;null;null;null;
2017-05-19;null;null;null;null;null;null;null;null;null;null;
2017-05-20;null;null;null;null;null;null;null;null;null;null;
2017-05-21;null;null;null;null;null;null;null;null;null;null;
2017-05-22;null;null;null;null;null;null;null;45;6,3;null;
2017-05-23;null;981,2;18,9;29,8;24,6;20,3;72,1;50;7,7;,9;
2017-05-24;,2;983;18,6;28,4;24,6;22,4;70,2;52;7,3;1,3;
2017-05-25;0;983,8;17,6;30;24,3;20,5;67,6;44;6,9;1,3;
2017-05-26;0;983,8;14,2;30,6;23,6;16,5;57,4;33;9,4;2;
2017-05-27;0;983,3;14,4;30,8;21,5;12,8;67,4;37;8,8;1,3;
2017-05-28;0;983,6;15,5;29,8;23,3;17,8;63,5;41;9;1,7;
2017-05-29;0;983,5;14;30,4;23,6;15,4;58,5;30;10,5;1,7;
2017-05-30;0;982,2;12,9;30,5;21,8;15,1;59,9;32;6;,6;
2017-05-31;0;980,8;12;31,1;20,8;12,2;60,8;32;7,3;,7;
2017-06-01;0;980,3;13,8;32,9;null;14,1;64,6;33;6,3;,5;
2017-06-02;null;979,8;15,4;35,8;25,4;16,2;57,8;26;6;,7;
2017-06-03;0;982,4;16,9;29,2;24,4;19,8;63,8;46;7,4;1,5;
2017-06-04;0;983,4;16,9;30,7;24,3;18,2;65,3;42;6,2;1;
2017-06-05;0;981,8;17,3;30;23,6;17,9;69,1;47;7;1;
2017-06-06;0;981,2;15,6;31,8;23,3;17;65,8;34;8,5;,6;
2017-06-07;0;980,3;14,7;32,2;22,7;14,4;63,7;35;5,9;1;
