Nome: MACHADO
Codigo Estacao: A567
Latitude: -21.680722
Longitude: -45.944389
Altitude: 969
Situacao: Operante
Data Inicial: 2017-07-20
Data Final: 2024-07-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2017-07-20;null;null;null;null;null;null;null;null;null;null;
2017-07-21;null;null;null;null;null;null;null;32;6,5;null;
2017-07-22;0;911,4;7,9;24,4;18,4;13,1;52,2;34;6,8;1,3;
2017-07-23;0;913,2;8,1;23,7;17,5;11,8;56,4;33;8,8;2,5;
2017-07-24;0;915;7,2;23,4;16,6;11,2;55,4;34;9,2;1,9;
2017-07-25;0;915,1;9,1;23,4;17,5;12,6;59,3;40;5,8;1,4;
2017-07-26;0;913,8;7,7;23,6;17,7;12,7;54,1;33;7,9;1,6;
2017-07-27;0;913,3;7,7;23,3;17;12,1;56,2;36;8,1;2,2;
2017-07-28;0;914,3;7;22,1;16,3;11,2;56,1;34;10,6;2,5;
2017-07-29;0;916,1;9,3;21,2;15,9;11;65,5;47;8,6;2,5;
2017-07-30;0;916;9,2;22,4;16;12,3;67;38;6,8;2,1;
2017-07-31;0;913;6,6;21,1;15,6;11,8;55,9;38;6,3;1,1;
2017-08-01;0;910,7;6;21,4;15,4;10,4;55,3;36;10,2;1,4;
2017-08-02;0;910,2;5,6;23,4;16,2;8,2;51;31;10,2;1,4;
2017-08-03;0;907,3;7,5;26,8;18;12;51,5;29;12,8;1,7;
2017-08-04;0;909,3;8,5;21,2;15,7;10,9;63,6;43;11,3;4,2;
2017-08-05;0;910,3;7,9;23;16,1;10,8;62,2;30;10,6;3;
2017-08-06;0;910,3;7,7;22,8;15,2;9,1;64,7;35;7,7;1,9;
2017-08-07;0;909,9;7,9;24,3;16,4;10,5;59,2;35;7,5;1,6;
2017-08-08;0;908,5;8,5;26,8;19,2;12,3;52,3;31;6,5;,8;
2017-08-09;0;907,1;8,1;29,2;22,1;14,7;42,6;24;10,6;1,7;
2017-08-10;0;907;8,4;30;23,1;15,2;40,2;25;9,4;2,2;
2017-08-11;0;908,2;10,1;26,9;19,7;12,6;56,6;35;7,4;1,8;
2017-08-12;0;908,9;11,2;26,1;18,9;13,1;62,8;41;7,3;1,8;
2017-08-13;0;908;11,3;27,5;20,2;14;60;32;7,2;1,2;
2017-08-14;0;907,2;11,3;27,9;21,8;15,3;52,2;34;4,8;,9;
2017-08-15;0;907,1;13,7;29;21;17,1;65,2;34;9,2;2;
2017-08-16;1,8;908,1;14,1;23,5;18,4;15,3;77,1;54;10,3;1,7;
2017-08-17;0;907,9;14,7;17,7;16,4;15;89,7;76;5;1;
2017-08-18;6,2;908;15,2;16,8;15,8;15,2;95,8;90;4,6;,6;
2017-08-19;4,2;906,6;15;23,4;17,7;14,4;85;61;7,7;1,6;
2017-08-20;,2;905,8;14;28,1;19,9;15,3;72,6;35;18,6;2,6;
2017-08-21;1,4;null;null;21,1;null;14,4;79,1;53;8,8;null;
2017-08-22;null;913,3;9,8;23,5;15,8;10,5;69,8;46;10,8;3,4;
2017-08-23;0;912,4;11,1;24,3;16,8;11,7;71,1;43;7,4;1,9;
2017-08-24;0;911,4;9,9;23,1;16,4;11,6;68,9;35;5,6;1,4;
2017-08-25;0;910,8;8,7;24,6;17,4;11,8;61,1;29;7,4;1,8;
2017-08-26;0;910;6,5;25,7;18,4;11,3;48,9;23;5,8;1,4;
2017-08-27;0;908;5,4;27,7;20,1;12,9;40,4;21;7;1,3;
2017-08-28;0;908;5,8;28;20,7;13,8;41;21;6,6;1,4;
2017-08-29;0;908,3;5,8;29,2;21,6;14,6;38,1;20;7,5;1,4;
2017-08-30;0;908,2;7,1;30,4;22,9;15,4;38,6;23;6,4;1,2;
2017-08-31;0;909,1;7,9;30,7;24;16,4;37;23;8,8;2,4;
2017-09-01;0;913;12,1;26,1;19,3;13,3;65,6;40;9;3,2;
2017-09-02;0;914,4;8,9;26;18,5;12,4;58,3;27;8,3;2,6;
2017-09-03;0;913,7;6,4;24,9;17,2;10,6;52,7;25;9;2,3;
2017-09-04;null;912,4;5,9;25,2;null;11,5;49,4;24;9,2;2,3;
2017-09-05;null;911,1;5,7;26,7;19,5;12,9;43,5;21;7,6;1,7;
2017-09-06;0;909,9;3,8;27,9;21,8;14;32,2;19;7,3;1,1;
2017-09-07;0;909,6;5,6;28,3;null;15,8;37;24;11,3;1,5;
2017-09-08;null;908,1;5,8;28,5;null;14,8;38,4;18;6,6;1,4;
2017-09-09;0;908,6;6,6;27,5;21;14,9;41,1;24;8,9;2,1;
2017-09-10;0;908,7;7,1;28,3;21,4;14,8;41,1;24;10,9;2,6;
2017-09-11;0;909,8;9,3;29,3;22,7;15,8;44,5;25;9,1;1,5;
2017-09-12;0;910,4;8,8;29,5;22,7;16,5;43,5;25;8;1,9;
2017-09-13;0;910,6;6,5;28,9;22,4;14,8;38;21;9,6;2,5;
2017-09-14;0;910,7;7,8;29,9;22,7;15,6;40,6;21;12,2;2,5;
2017-09-15;0;910,6;4,7;31,7;24,5;17,3;30,7;13;8,3;1,1;
2017-09-16;0;910,4;4,9;31,4;24,2;18,4;30,6;14;10,8;1,9;
2017-09-17;0;909,9;7,2;29,5;22,7;16,4;37,9;23;8,4;1,3;
2017-09-18;0;910,2;8,6;29,5;23,3;16,5;40,5;23;10;1,3;
2017-09-19;0;910,5;8,1;29,3;22,6;16,6;41,5;24;9,2;2,1;
2017-09-20;0;910,5;8,6;29;22,4;16,1;42,9;26;9,1;2,7;
2017-09-21;0;910,9;7,7;27,9;21,4;15,5;43,4;24;10,3;2;
2017-09-22;0;910,1;7,2;26,8;20,6;15,8;43,3;24;10,8;2,2;
2017-09-23;0;909,2;7;29,1;22,1;14,6;39,5;24;7,1;1,3;
2017-09-24;0;908,5;8;29,7;23;17,3;39,7;25;8,4;2,2;
2017-09-25;0;909,7;7,8;27,8;21,3;15,3;45,6;19;10,9;3,5;
2017-09-26;0;908,1;7,7;26,9;20,3;13,7;45,9;28;9,8;2,1;
2017-09-27;0;906,6;9,8;29,3;20,9;16,3;50,6;28;10,7;1,8;
2017-09-28;1,2;907,4;11,8;30,6;22;15,5;55,6;26;12;2,4;
2017-09-29;2,8;906,4;13;30,2;22,6;16,5;57,1;31;10;3;
2017-09-30;43;903,1;16,5;24;17,4;16,6;94,5;51;12,6;2,8;
2017-10-01;11;900,8;13,3;26,6;19,6;13,5;70,9;43;9,5;1,4;
2017-10-02;2,2;901,7;15;23,4;18,9;16,6;79,8;46;11,2;1,2;
2017-10-03;34,8;906,8;15;20,3;17,2;15,1;87,5;66;5;1;
2017-10-04;,4;908,8;14,5;22,6;18,1;14,8;80,3;65;6,8;2,1;
2017-10-05;0;908,3;14,2;28,6;20,8;15,1;68,8;42;9;2,2;
2017-10-06;0;909;14,4;31;23,6;17;59,7;35;8,8;1,5;
2017-10-07;0;907,6;14,2;29,1;23,2;18;58;39;11,9;3,3;
2017-10-08;0;906,7;14;30,1;22,9;17,3;60,2;32;10,3;2,7;
2017-10-09;0;905,5;13,6;31,8;24,1;18,4;54,5;29;16,7;1,7;
2017-10-10;2;905,6;13,9;32,3;24,5;18,2;53,7;31;11,4;1,9;
2017-10-11;0;905,5;14,2;32,4;25,1;18,8;52,5;31;10,4;2,3;
2017-10-12;0;905,6;12,9;33,5;26;18,9;46,6;25;17,5;2,7;
2017-10-13;0;905,2;11,2;32,9;26,4;20,3;41,3;20;9;2,3;
2017-10-14;0;904,4;8,9;33,4;26,6;19,6;34,2;15;7,7;1,3;
2017-10-15;0;906,2;15,3;32,1;23,7;19;62,5;28;26;2,9;
2017-10-16;,6;909,8;14,9;25,1;19,9;15,2;73,8;55;9,8;3;
2017-10-17;0;910,5;14;27,6;21;16,6;66,5;41;10,1;2,4;
2017-10-18;0;909,2;12,5;29,3;22,4;16,2;56,9;29;8,6;2,4;
2017-10-19;0;906,7;9,7;30,5;23,5;16,1;43,8;24;8,7;1,6;
2017-10-20;0;905,5;9,7;30,6;25,1;19,5;38,8;26;6,8;1;
2017-10-21;0;906,1;13,2;29,8;23,8;19,1;52,7;35;12,9;2,2;
2017-10-22;3,6;907,1;15,2;24,2;21;17,3;70,5;47;11,9;2,1;
2017-10-23;2,8;907,6;16,6;20,5;18,4;16,9;89,3;74;6,7;1,6;
2017-10-24;,4;907,5;16;26,5;20,5;16,5;76,4;52;7;2,1;
2017-10-25;0;906,7;15,3;30,1;23,2;17,6;64,3;38;8,4;2,4;
2017-10-26;0;904,8;15;25,9;21,8;18,2;65,8;44;12,2;1,9;
2017-10-27;3,4;902,4;16,3;30,5;22,1;19,3;71,3;36;19,3;2,7;
2017-10-28;28;902,8;16,2;29;21,7;16,5;73,7;42;11,6;2,1;
2017-10-29;15,2;904,2;16,6;25;20,5;17;79,3;58;15;2,1;
2017-10-30;7,4;901,9;16,6;27,5;20,5;17;80;49;15,3;2,3;
2017-10-31;20,2;901,3;16,2;26,6;20,6;16,6;78,1;46;9,8;2,8;
2017-11-01;0;905,8;13,3;24,6;19,3;14,9;68,9;55;14,7;3,8;
2017-11-02;0;908,6;12,7;23,9;18,6;13,7;69,3;56;9,1;2,6;
2017-11-03;0;906,8;13,7;27,7;20,8;15,1;65,3;43;9,4;2;
2017-11-04;0;904,3;15,6;26,1;21,8;18,3;68,2;52;9,2;2,7;
2017-11-05;5,2;904,5;16,8;24,7;20,5;16,7;80,5;59;17,1;2;
2017-11-06;0;905,1;16,3;27,6;20,9;17,3;75,8;50;9;2,4;
2017-11-07;0;905,2;13,8;24;19,2;14,5;72,1;54;7,6;2,5;
2017-11-08;0;904,9;14,8;23,5;19,3;16,1;75,5;61;8,3;2,1;
2017-11-09;0;904,9;16;23,4;19,7;17,1;79,6;65;5,6;1,6;
2017-11-10;0;902,8;17;25,3;20,5;17,4;81,1;60;10,7;2,7;
2017-11-11;6,2;899,1;18,3;26,3;20,5;18,1;87,4;68;13,8;2,3;
2017-11-12;8,6;899,9;12,4;28,1;20,9;15,2;63,9;23;9,8;2,2;
2017-11-13;0;902,3;8,1;29,7;22,5;16,2;41;24;7;1,8;
2017-11-14;0;904,4;12;30,1;22,4;15,1;53,6;31;8,9;2;
2017-11-15;0;905,6;14,2;29;22,7;17;59,6;43;9;2,5;
2017-11-16;0;905,4;14,9;29,9;23,7;17,7;59,3;37;8;1,6;
2017-11-17;0;903,2;14,7;30,7;23,9;18,1;58,4;29;8,8;2,1;
2017-11-18;,8;901,9;17,1;28,3;21,3;18;78,4;50;11,5;2;
2017-11-19;5;901,7;18,5;26;21,2;18,3;85,4;62;7;1,4;
2017-11-20;12;903;19;24,5;20,4;18,4;92,2;74;7,6;1,6;
2017-11-21;8,4;903,5;18,8;24,9;20,9;18,8;87,7;72;9,3;2,3;
2017-11-22;21,6;901,3;18,6;21,7;19,6;18,2;94,4;85;11,3;2,8;
2017-11-23;25,8;904,2;16,7;23,6;19,4;16,8;84,4;71;6,8;2,4;
2017-11-24;0;906,6;16;26,5;20;15,3;79,3;54;7,5;1,3;
2017-11-25;0;906,1;17,8;28,9;22,8;17,5;74,9;48;8,5;2,5;
2017-11-26;44,2;904,9;18;23,3;19,7;17;90;70;13,2;2,2;
2017-11-27;1,8;905,5;18,4;23,6;20,9;17,9;86,4;71;7,9;,9;
2017-11-28;,2;905,8;17,9;28,7;21,7;18,1;80,5;51;20,5;2,2;
2017-11-29;16,8;904,5;16,1;28;21;16,5;74,5;46;10;2,1;
2017-11-30;0;902,3;15,8;25,7;19,8;16,7;78,7;62;7,3;2,4;
2017-12-01;16;902,4;16,5;18,8;17,3;16,1;95,1;85;6,1;1,5;
2017-12-02;9;903;17,2;23,6;19,3;16,5;88,2;71;6,3;1,6;
2017-12-03;1;902,1;17,8;27,6;21,1;17,6;82,4;61;10,7;1,8;
2017-12-04;,4;901,8;19,1;28,3;23,1;18,6;79,9;56;8,4;1,5;
2017-12-05;,2;903,6;18,7;30,9;24,4;19,7;72,5;45;7,7;1,8;
2017-12-06;0;904,3;17,9;28;22,8;19,4;74,7;55;7,7;2;
2017-12-07;28,6;902,1;18,6;25,9;20,6;18,4;88,4;67;7,3;2,3;
2017-12-08;52,6;898,6;18,7;29,5;22,4;17,8;81,7;50;9,7;2,5;
2017-12-09;,2;899,5;17,5;29;22,2;17,9;75,7;49;14,7;2;
2017-12-10;4,2;898;16,2;28,7;23,2;17,7;66,4;46;6,8;1,6;
2017-12-11;0;898,8;15,7;29,6;23,2;19,5;63,8;34;9,2;1,5;
2017-12-12;,4;903,9;16;28,7;22,2;17,2;69,5;46;8,4;2,6;
2017-12-13;0;907,2;15,6;26,7;21;16,7;72,2;50;7,2;1,8;
2017-12-14;0;907,4;16,3;26,5;21,1;17,3;74,4;54;7,4;1,9;
2017-12-15;0;905,8;17,3;28,2;22,2;18,3;75;49;9,7;1,9;
2017-12-16;0;905,4;16,4;30,1;21,9;16,8;73,5;38;14;2;
2017-12-17;3;906,4;17,5;29,7;21,4;17;80,5;44;10,7;1,5;
2017-12-18;5,2;907,2;17;30,3;22,8;17,1;72,7;41;7,3;1,3;
2017-12-19;0;907,8;17;29,6;23,6;19,2;67,6;47;8,4;2,2;
2017-12-20;0;905,9;15;28,9;23,6;18,2;60,4;40;8,4;2;
2017-12-21;0;904,5;16,2;27,9;21,9;19,4;72,3;46;17,3;1,4;
2017-12-22;7,2;905,8;18,1;20,9;19,3;17,8;92,9;84;5,1;,9;
2017-12-23;4,4;905,5;18,2;26,8;21,3;17,1;83,5;58;12,9;1;
2017-12-24;2;903,7;19,1;28,6;22,5;18,2;82;54;12,1;1,2;
2017-12-25;,8;903,1;18,4;30,7;23,9;20;72,4;43;14,9;1,9;
2017-12-26;0;904,8;18,2;30,2;23,3;19,1;74,8;50;22,7;2,2;
2017-12-27;3,2;905,4;18,6;30,1;23;17,5;77,2;50;16,9;1,8;
2017-12-28;22,4;904,5;18,3;29,9;22,4;17,3;79,4;50;8,1;1,5;
2017-12-29;7,6;904;18,5;26,9;21,6;17,9;83,7;63;9,1;1,3;
2017-12-30;34,4;903,8;18,1;22,3;19,4;17,4;92,1;81;16,2;1,7;
2017-12-31;9,8;904,3;17,9;23,9;20;17,7;87,9;68;10,8;1,9;
2018-01-01;,2;903,7;18,2;28,7;22,5;18;78,5;53;11,2;1,5;
2018-01-02;,8;901,6;18,8;27,4;22,8;19,4;79,4;58;8,6;1,9;
2018-01-03;,6;900,8;18,8;26,6;21,6;19,1;84,8;64;10,4;1,5;
2018-01-04;13,6;903,7;18,5;25,1;20,7;18,5;87,3;69;9,3;2,7;
2018-01-05;2,4;905,4;18,3;25,4;20;17,2;89,9;69;10,4;1,8;
2018-01-06;9;905,6;18,8;24;20,1;18,2;92,4;70;8,1;2,2;
2018-01-07;20;905;18,6;23,9;19,9;18,1;92,4;75;9,8;1,8;
2018-01-08;18,2;907,4;17,9;23,6;19;18;93,8;72;9;1,6;
2018-01-09;25,6;909;16,5;27,6;21,6;16,9;75,3;45;7;2,4;
2018-01-10;,2;909,6;16,6;28,9;23;18,2;68,3;47;8,1;1,9;
2018-01-11;0;908,2;17,5;27,5;22,5;18,8;73,8;53;6,8;1,4;
2018-01-12;5,6;906,3;16,6;25,8;19,9;17,1;82,2;48;13,4;1,7;
2018-01-13;,4;904,6;16,7;28,8;20,7;16,5;79,3;50;8,9;2,1;
2018-01-14;,2;905,9;17,5;28,4;21,2;17,5;80,5;48;10,8;1,5;
2018-01-15;5,8;907,1;18,1;27,5;20,2;18;88;61;9;1,4;
2018-01-16;12;907,9;17,2;29,1;21,7;17;78,2;48;8,1;1,4;
2018-01-17;0;907;17,8;30,9;24,9;19,9;66,3;43;7,2;1,9;
2018-01-18;0;906,9;16,6;30,4;25,3;20,7;60,5;37;9,2;2;
2018-01-19;0;906,8;14,7;31,1;24,9;19,7;54;35;8;1,7;
2018-01-20;0;906,2;16,5;31,2;24,1;19,4;64,5;32;7,7;1,9;
2018-01-21;0;905,6;15,8;31,1;24,1;19,2;62,9;30;7,8;2;
2018-01-22;0;904,1;16,6;32,4;24,2;20,3;64,3;34;14,9;2,1;
2018-01-23;0;904,6;16,5;31,4;23,4;18,7;67,5;40;12,7;1,8;
2018-01-24;0;904,6;17,7;30,2;22,4;18,5;76,3;49;17,1;2,3;
2018-01-25;0;903,5;18;31,7;23,8;18,9;72,2;41;12,3;1,6;
