Nome: UBERABA
Codigo Estacao: A568
Latitude: -19.71
Longitude: -47.96194444
Altitude: 778
Situacao: Operante
Data Inicial: 2017-05-18
Data Final: 2024-07-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2017-05-18;null;null;null;26,5;null;null;72;60;10,2;null;
2017-05-19;9;923,9;18,8;26,4;21,5;19,2;85;67;11,8;3;
2017-05-20;66,8;926,4;17,3;24,2;19,7;16,8;86,7;69;10,2;2,7;
2017-05-21;0;927,6;18,3;27;21,7;18,1;81,8;61;10,5;2,5;
2017-05-22;0;928,1;19,2;29,2;22,6;18,7;82,2;55;6,6;1,3;
2017-05-23;0;929,2;18,8;29,2;22,8;18,6;80,4;51;5,4;1,7;
2017-05-24;0;929,9;18;28,4;22,6;18,8;76,7;53;9,6;3,1;
2017-05-25;0;930,4;16,8;29,3;22,2;18,2;73,1;45;9,8;3,1;
2017-05-26;0;930,3;null;28,8;21,9;17,3;74,6;44;8,4;2,6;
2017-05-27;0;930,6;null;27,4;21,4;17,4;72,2;47;8,2;2,5;
2017-05-28;0;930,6;null;27,1;20,6;15,7;null;41;8,4;2,5;
2017-05-29;0;930,6;13,1;28,2;20,3;14,9;66;32;6,6;2,4;
2017-05-30;0;929,7;13,2;27,6;20,1;15,4;67,3;37;6;2,1;
2017-05-31;0;928;13,3;27,7;19,9;14,5;68,1;38;8,5;2,6;
2017-06-01;0;928,6;15,5;23,8;null;15,3;84,7;67;7,7;1,9;
2017-06-02;null;930,6;15,1;24,4;18,8;15,4;80,4;58;6,2;1,5;
2017-06-03;0;930;14,5;29,7;20,1;13,1;74,1;37;6,5;1,7;
2017-06-04;0;929,7;16,4;29,8;21,9;16,1;73,1;43;10,9;2,9;
2017-06-05;0;928,6;15,9;30;22,1;15,9;70,6;34;9,2;2,5;
2017-06-06;0;928,5;14,7;29,8;21,8;16,2;66,8;36;6,6;2,3;
2017-06-07;0;927,8;13,9;29,6;21,2;15,7;65,9;32;7,2;2,5;
2017-06-08;0;927,1;13,8;28,9;20,9;14,8;65,9;42;8,4;2,7;
2017-06-09;0;928,6;15,2;26,6;20,1;16,2;74,2;54;11,1;2,8;
2017-06-10;0;930,3;9,4;21,9;15,5;11,7;71,1;32;7,4;1,8;
2017-06-11;0;928,9;9,3;28;16,9;7,3;65,5;32;9;1,5;
2017-06-12;0;929,7;13,7;27,2;17,8;14;78,3;46;14;2,1;
2017-06-13;6;929,6;15,9;28,6;20,8;16;75,5;46;10,3;2,9;
2017-06-14;0;931,8;17,3;27,6;20,7;17,2;82,2;53;10,9;1,7;
2017-06-15;16;932;14,2;27,1;19,2;13,8;75,7;38;9,6;1,9;
2017-06-16;0;931,4;12,6;26,3;18,8;13,7;69,5;38;8,9;3;
2017-06-17;0;929,7;12,4;26,4;18,9;13,1;68,1;38;8,2;2,8;
2017-06-18;0;929,5;11,4;26,5;18,8;13;65,5;34;7,2;2,4;
2017-06-19;0;929,1;10,9;27;19,8;14,4;59,5;29;7,5;2,2;
2017-06-20;0;930,3;10;27,3;18,9;13,2;59,5;27;7,3;1,9;
2017-06-21;0;932,3;10,7;26,5;18,7;12,7;63;30;10,4;2,6;
2017-06-22;0;932,2;11,8;24,1;18,5;11,8;66,8;44;13,6;3,7;
2017-06-23;0;932,7;11,9;24,8;18,8;12,9;65,8;45;11,2;3,2;
2017-06-24;0;933,3;10,2;25,3;18,2;11,4;62;28;12,4;3;
2017-06-25;0;933,6;10,6;24,9;17,3;11,9;67,5;38;10,3;2,9;
2017-06-26;0;932,5;11,2;25;18,2;12,6;66,1;37;10,7;3,5;
2017-06-27;0;932,1;11,2;25,1;18,4;13,7;65,3;40;10,3;3,4;
2017-06-28;0;933,1;11,7;26;18,7;13,5;66;38;8,8;3;
2017-06-29;0;932,3;11,8;25,5;18,6;13,3;66,9;41;9,8;2,9;
2017-06-30;0;932,3;9,1;26,2;19,3;13,5;54,5;28;7,5;2,4;
2017-07-01;0;933;10,1;25,9;19,5;14,4;57;28;5,9;1,4;
2017-07-02;0;934;10,2;25,5;18,2;11,2;63,7;31;7,9;1,3;
2017-07-03;0;935,6;8,3;23;17;11,7;59,6;33;11,6;3,2;
2017-07-04;0;936;5,8;20,6;14,9;10,4;55,7;39;13,8;4,2;
2017-07-05;0;935,7;6,8;21,9;15,5;10,1;57,4;38;13;3,8;
2017-07-06;0;934,4;9;23,9;16,5;10,8;63;38;11,8;3,1;
2017-07-07;0;934,6;10,6;22,5;18;14,6;62,9;45;11,7;3,1;
2017-07-08;0;934,3;10,2;23,4;17,6;11,8;63,7;43;13,5;3,5;
2017-07-09;0;934,1;9,3;24,4;18;13,3;58,5;37;15,5;4;
2017-07-10;0;933,8;10,7;26;17,4;11,5;67;40;9,5;2,8;
2017-07-11;0;933,6;11,2;27;19,3;14,2;62,3;34;9;2,6;
2017-07-12;0;933,7;10;26,8;19,2;12,5;59,3;26;8,6;2,7;
2017-07-13;0;933,6;10;26,5;19,2;13,8;57,9;32;12,8;3,5;
2017-07-14;0;933,4;9,5;25,9;18;12;60;31;9,9;3,4;
2017-07-15;0;932,1;10;25,4;17,4;11,3;64;39;12,3;3,6;
2017-07-16;0;932,4;8,6;25,8;17,2;11,2;59,9;32;10,7;3,2;
2017-07-17;0;932,7;8,3;26,4;17,9;12,1;56,9;26;6,7;2;
2017-07-18;0;933,4;9,2;16,7;11,3;8,8;87,3;60;7,2;2,1;
2017-07-19;0;932,1;10,6;26,3;15,9;9;74,6;31;5,9;1,3;
2017-07-20;0;931,6;9,6;27,1;18,3;11,5;61,5;28;10,9;2,5;
2017-07-21;0;931,9;9,1;28,2;19,6;14,2;53,4;26;9,7;3,1;
2017-07-22;0;932;9,2;28,1;19;11,5;56,9;27;6,6;1,4;
2017-07-23;0;932,7;7,3;27;19,5;13,4;48,1;25;11,4;3,8;
2017-07-24;0;935;7,1;26,2;17,2;9,2;53,8;28;11,2;3,5;
2017-07-25;0;935,1;9,9;26,8;18,3;11,6;60,2;34;9,3;2,7;
