Nome: SETE LAGOAS
Codigo Estacao: A569
Latitude: -19.45527777
Longitude: -44.17333332
Altitude: 719
Situacao: Operante
Data Inicial: 2016-06-09
Data Final: 2024-07-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2016-06-09;null;null;null;null;null;null;null;null;null;null;
2016-06-10;null;null;null;null;null;null;null;49;6,8;null;
2016-06-11;null;936,1;12,8;25,5;18,8;14,3;71,3;39;5,8;1,8;
2016-06-12;,2;938,1;10,1;26,3;17,4;9,9;67,2;35;7,1;1,6;
2016-06-13;0;940,3;12,5;24,6;17,3;12,9;75;51;9,1;3,4;
2016-06-14;0;942;11,1;23,5;16,7;12,4;70,7;45;8,4;3,3;
2016-06-15;0;941,1;9,5;25,1;15,6;7,9;71,2;36;5,3;1,5;
2016-06-16;0;939,5;9,3;26,3;15,9;7,1;70,7;33;6,7;1,2;
2016-06-17;0;937,7;9,4;26,6;16,5;8,6;68,5;30;5,4;1,2;
2016-06-18;0;937,3;8,2;28,7;16,5;6,7;66,8;21;4,8;1,1;
2016-06-19;0;937,7;9,8;28,1;17,2;8,3;68,3;27;5,9;1,3;
2016-06-20;0;937,1;12,1;27,3;17,6;9,2;73,8;40;6,4;1,6;
2016-06-21;0;938,1;13,1;26,2;18,4;12;74,6;44;7,3;2;
2016-06-22;0;938,7;13;24,1;18,2;14,2;73,8;47;8,1;2,3;
2016-06-23;0;937,5;12;28;17,9;10,6;72,8;35;6;1,2;
2016-06-24;0;937,5;12,4;28,5;19,2;10,9;69,8;33;6,9;1,8;
2016-06-25;0;939,9;12,4;26,3;18,9;14;69,5;29;9,6;2,4;
2016-06-26;0;941;10;24,2;17;12,2;66,5;37;10,3;2,6;
2016-06-27;0;941,7;10;23,8;15,4;8,8;73,6;44;10,5;2;
2016-06-28;0;941,1;12;24,2;16,4;8,6;77,8;51;8,7;2;
2016-06-29;0;940,4;12,8;26,2;19,1;12,1;69,4;39;10;2,3;
2016-06-30;0;940,1;14,8;23,2;19,5;16,1;74,9;62;7,1;2,5;
2016-07-01;0;940,2;12,7;25,9;18,9;12,3;71,5;36;9,8;2,2;
2016-07-02;0;940,9;13,1;26,1;18,1;10,1;74;50;8,7;2,2;
2016-07-03;0;940,3;11,7;26,1;18;10,2;71,2;38;10,3;1,9;
2016-07-04;0;940,2;11,4;26,3;17,1;8,5;73;42;8,3;1,8;
2016-07-05;0;939;12,9;27,5;19,5;13,1;68,1;41;6,8;2;
2016-07-06;0;937,3;10,5;27,5;17,5;8,3;70,3;30;7,9;1,5;
2016-07-07;0;935,6;10,7;29,3;18,3;9,6;68,3;31;9,4;1,5;
2016-07-08;0;937,2;10,7;29;19,3;10,3;64,7;26;6,9;1,5;
2016-07-09;0;937,4;12,4;28,6;20,1;12,6;65,1;32;6,8;2,1;
2016-07-10;0;936,3;12,6;29,4;19,4;11;68,6;34;6;1,6;
2016-07-11;0;934,8;11,2;29,9;18,8;10,2;70,4;29;5,8;1;
2016-07-12;0;934,3;null;29,9;18,8;9,4;78,9;33;6,7;,9;
2016-07-13;0;935,2;10,3;30,3;19;9,7;64,2;24;11,1;1,3;
2016-07-14;0;934,5;8;29,6;17,5;7,3;64;20;5,4;1;
2016-07-15;0;933,4;9;31,1;18,3;8,4;64,1;22;6,5;1;
2016-07-16;0;931,8;9,8;31,7;19,1;9,1;62,5;23;12,2;2,1;
2016-07-17;0;932,4;9,8;28,3;18,9;10,9;61,5;27;8,3;1,7;
2016-07-18;0;934,8;3,7;29,5;16,1;3,9;51,9;17;7,3;1,5;
2016-07-19;0;935,7;12,1;28,9;19,7;10,6;64,9;34;6,4;2,2;
2016-07-20;0;935,2;13,7;28,2;20,6;14,7;68,2;37;7,9;2,6;
2016-07-21;0;935,1;13,1;28,4;19,7;12,5;70,9;32;6,7;1,8;
