Nome: PARACATU
Codigo Estacao: A571
Latitude: -17.24444444
Longitude: -46.88166666
Altitude: 705
Situacao: Operante
Data Inicial: 2018-03-15
Data Final: 2024-07-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2018-03-15;null;null;null;31,2;null;null;null;48;8,5;null;
2018-03-16;,4;932,8;19,3;31,9;26;20,1;68,8;43;7,9;1,7;
2018-03-17;0;932,3;19,3;29,6;24,5;20,8;73,7;50;11,5;2,4;
2018-03-18;0;930,9;19,2;29,7;24,9;19,8;71,5;47;7,9;1,8;
2018-03-19;0;930,8;19,2;31,2;25,6;20,3;68,9;46;8,6;1,6;
2018-03-20;0;931,3;18,8;31,8;26,3;20,6;65,7;37;9;1,9;
2018-03-21;0;931,9;19,5;31,9;26,6;22,5;66;43;7;1,8;
2018-03-22;0;931,9;20;29,5;25,3;21,7;73,3;57;9;2;
2018-03-23;,2;931,9;19,8;30,5;25,2;20,4;73;48;11;2;
2018-03-24;11,4;933,2;20;26,7;23,5;21,2;81,3;62;9,2;2,4;
2018-03-25;7,4;933,9;18,8;27,9;23,5;19,8;75,8;58;7,4;2,3;
2018-03-26;0;934,1;null;29,4;24,1;20,2;null;null;9,1;2,7;
2018-03-27;0;934,6;null;29,5;23,7;18;null;null;9,6;2;
2018-03-28;0;934,4;null;29,6;24,1;19,3;null;null;9,2;2,3;
2018-03-29;0;933,6;null;29,4;24,4;19,4;null;null;10,6;2,4;
2018-03-30;0;933;null;29,2;24;19,5;null;null;11,4;2;
2018-03-31;0;932,5;null;30;24,6;20,2;null;null;9,2;2,2;
2018-04-01;0;931,5;null;30,8;25,4;20,4;null;null;9;2;
2018-04-02;,2;931,6;null;26,5;23,3;21,5;null;null;7,9;1,8;
2018-04-03;2,2;930;null;31,6;24,7;19,6;null;null;10,3;1,8;
2018-04-04;0;930,5;null;29,3;24;20,8;null;null;10;1,5;
2018-04-05;2,6;929,9;null;30,5;24,8;20,4;null;null;7,1;1,9;
2018-04-06;17,4;931,5;null;24,4;21,5;19,5;null;null;15,2;1,7;
2018-04-07;19;932,6;null;27,7;23,2;19,2;null;null;10;2,2;
2018-04-08;0;933,7;null;27,8;23,3;20,3;null;null;9,2;2;
2018-04-09;10,4;934,3;null;28,2;22,6;19,4;null;null;8,8;2;
2018-04-10;0;934,7;null;27,9;23,1;19,5;null;null;8,8;2,2;
2018-04-11;0;934,9;null;27,7;23,4;19,7;null;null;9,9;2,7;
2018-04-12;0;935,4;null;27,8;22,4;17,2;null;null;10,4;2,6;
2018-04-13;0;936,2;null;27,5;22,9;19,2;null;null;8;2,1;
2018-04-14;0;937,4;null;27;23,1;20,6;null;null;9,3;1,6;
2018-04-15;12;937,5;null;27,7;22,4;19,2;null;null;9,3;1,8;
2018-04-16;2;936,4;null;26,9;22,2;18,7;null;null;7;2,3;
2018-04-17;1,4;937,5;null;23,6;21,3;19,5;null;null;8,5;2,6;
2018-04-18;,2;939;null;26,2;22;18,6;null;null;8,5;2,3;
2018-04-19;0;938,6;null;26,6;21,9;18,6;null;null;7,4;2,3;
2018-04-20;0;936,8;null;27;22,2;17,8;null;null;5,8;1,2;
2018-04-21;0;934,2;null;29,9;23,6;18,5;null;null;5,9;1,4;
2018-04-22;0;934;null;26,5;22,9;19,7;null;null;9,4;2,5;
2018-04-23;0;935,4;null;27;22,4;18,2;null;null;7,8;2,2;
2018-04-24;0;936,3;null;28,5;22,7;17,8;null;null;7,2;1,8;
2018-04-25;0;936,6;null;28,6;22,8;18;null;null;9,3;2,4;
2018-04-26;0;935,9;null;28,2;22,8;17,8;null;null;9;1,8;
2018-04-27;0;935,6;null;28,9;23,3;18,5;null;null;7,6;1,7;
2018-04-28;0;936,2;null;28,7;23,5;18,3;null;null;7,8;1,9;
2018-04-29;0;936;null;28,1;23;18,5;null;null;7,3;1,9;
2018-04-30;0;936,3;null;28,6;22,7;17,5;null;null;6,6;1,6;
2018-05-01;0;936,8;null;28,6;22,7;16,9;null;null;9,3;1,3;
2018-05-02;0;936,7;null;28,7;22,7;16,2;null;null;7,3;1,6;
2018-05-03;0;936,3;null;28,5;22,9;17,1;null;null;9,4;1,5;
2018-05-04;0;936;null;29,4;23,6;17,7;null;null;7,4;1,6;
2018-05-05;0;936,7;null;28,5;22,9;18,2;null;null;7,6;1,8;
2018-05-06;0;937,1;null;28,7;22,9;16,8;null;null;8,6;1,8;
2018-05-07;0;936,9;null;28,3;23,1;17,7;null;null;7;1,4;
2018-05-08;0;936,4;null;27,6;22,7;18,1;null;null;7,8;1,7;
2018-05-09;0;936,6;null;27,6;21,9;16,8;null;null;8,6;2,1;
2018-05-10;0;936,4;null;27,4;21,8;16,5;null;null;10,8;1,8;
2018-05-11;0;936,4;null;27,6;22;16,2;null;null;6,2;1,4;
2018-05-12;0;934,6;null;28,7;22,1;15,1;null;null;6,5;1,3;
2018-05-13;0;934,1;null;29,6;23,5;17,7;null;null;5,1;1,3;
2018-05-14;0;934,7;null;29,2;22,8;17;null;null;8,6;1,9;
2018-05-15;0;935,3;null;27,1;22,7;18,8;null;null;8,9;2,2;
2018-05-16;0;934,8;null;28,8;22,6;17;null;null;7,3;1,5;
2018-05-17;0;934,1;null;29,4;23,4;17,2;null;null;8,3;1,4;
2018-05-18;0;934;null;28,9;23,4;18,8;null;null;7,5;1,8;
2018-05-19;0;933,1;null;28,9;21,8;18;null;null;9,3;2;
2018-05-20;6,2;933,9;null;23,7;18,5;16;null;null;9,7;2,4;
2018-05-21;,2;935,1;null;25,2;16,7;9,9;null;null;5,7;1,7;
2018-05-22;0;936;null;27;19,4;11,8;null;null;6,2;1,4;
2018-05-23;0;936,9;null;27,9;20,9;13;null;null;6,9;1,7;
2018-05-24;0;938,3;null;28,2;22,3;17,2;null;null;6,5;1,7;
2018-05-25;0;938,1;null;26,5;21,1;17,4;null;null;6,8;1,7;
2018-05-26;0;937,5;null;26;20,8;15,7;null;null;9,1;1,9;
2018-05-27;0;938,6;null;25,8;20,5;14,9;null;null;8,1;1,9;
2018-05-28;0;939,3;null;25,2;19,8;14,6;null;null;9,4;2,1;
2018-05-29;0;939,1;null;25,3;20,3;16,2;null;null;9;2,9;
2018-05-30;0;938,4;null;24,4;19,4;15,9;null;null;10,2;2,2;
2018-05-31;0;935,9;null;26;19,4;12,8;null;null;6,3;1,4;
2018-06-01;0;935,4;null;27,2;20,1;14,2;null;null;6,7;1,6;
2018-06-02;0;936,6;null;27;21;14,6;null;null;7,3;1,5;
2018-06-03;0;937,9;null;28;21,7;15,3;null;null;6,4;1,6;
2018-06-04;0;937,8;null;28,4;22,1;15,6;null;null;9,5;2,1;
2018-06-05;0;935,8;null;26,9;21,6;16,1;null;null;7,1;2;
2018-06-06;0;933,3;null;28,7;22,7;18;null;null;8;1,8;
2018-06-07;0;935,1;null;28,7;23,6;19,4;null;null;7,5;1,2;
2018-06-08;0;936,7;null;27,8;23,1;19,4;null;null;6,8;1,9;
2018-06-09;0;937;null;30,2;23,6;18;null;null;8;1,8;
2018-06-10;0;936,7;null;28,2;22,8;17,7;null;null;9;2,1;
2018-06-11;0;936,4;null;28,1;22,5;17,5;null;null;7,9;1,7;
2018-06-12;0;936,4;null;29,1;22,5;16,7;null;null;7,2;1,6;
2018-06-13;0;936,6;null;29,6;23,1;17;null;null;6,7;1,4;
2018-06-14;0;937;null;29,3;23,1;16,8;null;null;6,3;1,6;
2018-06-15;0;938,3;null;28,2;22,6;17;null;null;8,5;1,6;
2018-06-16;0;939,2;null;27,2;21,3;14,9;null;null;7,2;1,7;
2018-06-17;0;940,4;null;26,9;20,4;14,7;null;null;8,8;1,7;
2018-06-18;0;941;null;26,2;20,3;14,4;null;null;9;2;
2018-06-19;0;940,4;null;26;20,3;13,4;null;null;9,2;1,9;
2018-06-20;0;940,4;null;26,3;20,9;16,2;null;null;11,8;2,7;
2018-06-21;0;939,3;null;26,9;20,6;15,2;null;null;7,9;2,1;
2018-06-22;0;937,9;null;27,6;21;15,1;null;null;8,7;1,6;
2018-06-23;0;936,7;null;27,8;21,3;15,2;null;null;10;1,9;
2018-06-24;0;937,3;null;28,2;21,6;15,2;null;null;7,5;1,7;
2018-06-25;0;936,2;null;27,7;21,6;14;null;null;7,7;1,7;
2018-06-26;0;935,7;null;28,8;22,8;17,6;null;null;9,9;2,3;
2018-06-27;0;936,5;null;28,7;22,2;15,8;null;null;8,8;1,7;
2018-06-28;0;936,9;null;27,6;21;12,8;null;null;9,2;2;
2018-06-29;0;937;null;26,2;20,2;13,4;null;null;7,4;1,7;
2018-06-30;0;935,3;null;26,6;20,1;11,8;null;null;7,8;1,7;
2018-07-01;0;934,7;null;28;21,3;14;null;null;7;1,5;
2018-07-02;0;935,1;null;28,5;21,4;14,3;null;null;7,4;1,4;
2018-07-03;0;935,5;null;29,3;21,3;14,4;null;null;7,1;1,4;
2018-07-04;0;935,7;null;28,4;21,8;15,4;null;null;8,9;1,9;
2018-07-05;0;937,2;null;27,3;21;15,7;null;null;8,8;2;
2018-07-06;0;937,4;null;27,1;20,2;13,2;46,7;32;8,3;1,8;
2018-07-07;0;936,8;10,6;27,5;20,4;12,7;54,9;36;8,3;1,9;
2018-07-08;0;936,4;12,1;29,3;21,7;14,8;56,4;35;5,1;1,2;
2018-07-09;0;936,4;12,7;30,3;23,1;16,3;54,2;33;5,8;1,1;
2018-07-10;0;936,3;12,3;28,7;22,3;17,4;54,2;37;8,3;1,8;
2018-07-11;0;937;12;27,3;20,6;13,7;59,3;39;6,3;1,6;
2018-07-12;0;938;11,9;28,7;22,1;16,2;54,4;34;5,8;1,6;
2018-07-13;0;938;12;28,7;22,4;14,4;52,9;32;6,4;1,5;
2018-07-14;0;937,3;11,9;28,2;21,6;15,1;55,6;35;7;1,5;
2018-07-15;0;937,8;11,6;27,7;21,7;16,4;54,2;35;8;2;
2018-07-16;0;939;11,4;27,5;21,2;13,4;55;35;8;1,7;
2018-07-17;0;938,7;11,5;27,7;21,3;15,5;54,9;37;10,5;2,7;
2018-07-18;0;938,4;13,2;27,5;21,2;16,4;61,5;39;10,2;2,3;
2018-07-19;0;937,5;10,6;26,9;20,4;13,3;54,5;36;10,4;2,2;
2018-07-20;0;937,1;11,3;28;21,2;14,8;55;34;8,4;2;
2018-07-21;0;936,8;11,5;28,8;21,4;14,4;55,5;31;6;1,5;
2018-07-22;0;936,9;10,5;28,3;21,6;15,2;51,5;26;9,4;2,3;
2018-07-23;0;938,8;9,1;27,2;20,9;13,7;48,3;28;9,2;2,2;
2018-07-24;0;939,1;10,2;27,5;20,9;14,3;51,6;34;11,2;2,2;
2018-07-25;0;939,8;10,5;26,2;20,9;16;52,6;33;9,8;2,5;
2018-07-26;0;939,6;9,5;26,7;20,2;14;51,5;34;8,2;1,9;
2018-07-27;0;938,6;9,8;27,3;20,5;13,4;51,6;33;8,8;2,1;
2018-07-28;0;937,4;9,8;28,5;20,8;14;51,8;30;8,5;1,6;
2018-07-29;0;936,1;9,4;29,2;20,8;12,7;51,1;25;8,2;1,7;
2018-07-30;0;934,8;8,9;29,5;22,1;13,7;45;24;8,5;2;
2018-07-31;0;934,4;8,8;32,3;23,1;15,3;42,5;21;9;1,5;
2018-08-01;0;933,7;10;31,2;24,3;15,2;42,2;25;7,6;1,8;
2018-08-02;0;934,5;12;31,1;24,6;18,9;46,6;28;8;1,7;
2018-08-03;0;933,9;14,4;30,8;24,2;18,1;56,3;35;9,8;2,5;
2018-08-04;0;933,3;14,1;29,9;24,4;19,8;53,8;37;8;2;
2018-08-05;0;933,7;14,3;31,2;24,4;19,1;55,1;33;6,2;1,5;
2018-08-06;0;935,4;14,5;31,5;25,2;18,9;53;34;8,1;1,8;
2018-08-07;0;936,6;14,6;28,7;23,7;18,2;58,2;42;6,8;1,9;
2018-08-08;0;937,2;15,3;31,2;24,8;18,7;57;38;9,2;2,2;
2018-08-09;0;936,7;16,1;28,7;22,8;18,4;67,3;46;10,7;2,2;
2018-08-10;0;935;16,1;30,5;24;18,3;62,5;39;7,4;2;
2018-08-11;0;935,8;7,5;31,9;23,1;16,7;41,5;16;9;2,3;
2018-08-12;0;935,8;-,2;30,9;21,7;11,5;28,1;11;6,8;1,9;
