Nome: SEROPEDICA-ECOLOGIA AGRICOLA
Codigo Estacao: A601
Latitude: -22.75777777
Longitude: -43.68472221
Altitude: 35
Situacao: Operante
Data Inicial: 2000-05-23
Data Final: 2024-07-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2000-05-23;null;null;null;null;null;null;null;null;null;null;
2000-05-24;null;null;null;null;null;null;null;65;3,8;null;
2000-05-25;null;1015,5;13,2;28,2;20,2;13,3;68,2;34;9,8;2,2;
2000-05-26;null;null;null;null;null;null;null;54;2,6;null;
2000-05-27;null;null;null;null;null;null;null;null;null;null;
2000-05-28;null;null;null;null;null;null;null;null;null;null;
2000-05-29;null;null;null;null;null;null;null;47;6,4;null;
2000-05-30;null;1010,4;14;27,6;18,1;12,4;79,7;44;9;2,3;
2000-05-31;,2;1009;14,5;28,1;19;13,7;79;34;9,5;2;
2000-06-01;1;1012,9;16,2;21,1;19,1;16,7;83,8;67;7,8;,8;
2000-06-02;0;1016,7;16,2;23,5;19,5;17,1;82,4;63;25;1,2;
2000-06-03;0;1019,7;16,9;25,2;20,4;16,8;81,3;58;6,4;1,2;
2000-06-04;0;1021;15,3;26,1;20,3;16,4;74,7;43;7,8;1,2;
2000-06-05;0;1019,9;13;26,7;19;12,2;71,5;39;11;2,5;
2000-06-06;0;1018,9;13,7;28,4;21,8;15,3;62,6;36;10,6;2,8;
