Nome: RIO DE JANEIRO-MARAMBAIA
Codigo Estacao: A602
Latitude: -23.05027777
Longitude: -43.59555555
Altitude: 12
Situacao: Operante
Data Inicial: 2002-11-07
Data Final: 2024-07-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2002-11-07;11,6;1020,9;15,6;22,5;19,8;17,6;77,1;60;13,8;4,1;
2002-11-08;6;1018,9;14,9;24;19,5;15;76,1;53;7,7;2,8;
2002-11-09;0;1014;15,6;27,9;21,7;15,1;69,1;49;12,6;3,4;
2002-11-10;0;1008,1;16,9;37,1;27,3;19,7;56,6;29;16;4,3;
2002-11-11;0;1010,9;19,8;35,5;null;20,8;75,8;37;25;3,5;
2002-11-12;null;null;null;null;null;null;87,9;84;6,9;null;
2002-11-13;15,2;1018;19,6;22,7;21,8;21,2;87,4;79;9,4;3,8;
2002-11-14;14,4;1014,9;19,9;30,7;23,4;19,7;81,8;55;9;2,6;
2002-11-15;null;null;null;null;null;21,5;84,3;59;8,1;null;
2002-11-16;null;null;null;null;null;null;70,3;50;11,2;null;
2002-11-17;null;1008,4;20,5;31,9;null;23,1;75,3;44;9,4;2,7;
2002-11-18;null;null;null;null;null;22,3;66,3;48;10,4;null;
2002-11-19;null;null;null;29,2;null;null;78,5;60;13,2;null;
2002-11-20;null;1010,1;21,1;28,4;null;22;79,2;63;11,7;3,1;
2002-11-21;0;1010,1;21,9;37,7;26,5;22,6;77,7;38;13;3,5;
2002-11-22;0;1014;22,3;27,1;25,4;24,5;83;76;7,3;4,2;
2002-11-23;0;1013,3;21,6;30,4;26,1;23,5;76,7;60;11,5;3,7;
2002-11-24;4,8;1011,6;22,5;31,8;25,7;23,3;82,4;58;9,6;3,1;
2002-11-25;0;1009,8;21,1;36,7;28,2;23,3;67,4;33;10;3,1;
2002-11-26;0;1008,1;21,3;36,5;29,4;25,4;63,1;38;15,3;3,8;
2002-11-27;,2;1008,3;18,9;37,7;31,3;26,4;48,4;33;14,8;5,1;
2002-11-28;0;1008,9;17,3;39;null;25;48,2;22;11,7;4,2;
2002-11-29;null;1008,8;20,5;36,4;28,8;22,9;63,5;31;11,4;3,3;
2002-11-30;0;1010,2;22,5;30,9;27,4;24,3;75,5;50;7,7;2,7;
2002-12-01;3,4;1007,8;20,2;40,9;30,6;25,1;57,3;27;13,1;5;
2002-12-02;4,6;1009,5;22,3;34,6;26,8;24,3;77;42;10,8;4,7;
2002-12-03;2;1013,4;21,3;26,8;24,4;22,6;82,9;74;8,8;2,9;
2002-12-04;,8;null;null;28,3;null;23,1;82,4;67;15,3;null;
2002-12-05;null;1010,2;21,3;33,9;26,5;20,9;74,2;49;10,3;2,6;
2002-12-06;0;1006,5;21,7;32,3;26,8;22,5;74;49;5,8;2,3;
2002-12-07;0;1004,8;22,4;30,3;26,8;23,3;77,2;64;5,4;2,2;
2002-12-08;,4;1005,1;22,2;30,7;26,8;22,9;76,7;55;17,7;4,1;
2002-12-09;5;1009,9;21,6;26,8;null;23,6;86,2;80;14,8;7,5;
2002-12-10;null;1015,5;20,1;22,6;null;21,5;88,9;86;10,7;4,9;
2002-12-11;null;1014,7;20,1;26,1;22,7;20,1;85,8;72;9,1;2,5;
2002-12-12;16,8;1010,1;20,5;26,7;22,4;20,1;89,3;78;10,3;1,6;
2002-12-13;5,4;1008,8;21,3;26,5;23,7;19,2;86,3;77;4,3;1,6;
2002-12-14;0;1010,1;21,4;31,6;25,6;23,4;78,1;53;8,2;2,6;
2002-12-15;14,6;1008,5;20,1;33,7;27,1;22,6;67,2;44;15,2;5;
2002-12-16;,2;1008,1;21;28,9;25,9;23,6;74,8;58;12,7;4;
2002-12-17;,6;1008;20,4;34,1;26,8;23,5;69,6;37;10;4,5;
2002-12-18;0;1013,9;20,8;27,4;null;23,6;77,3;62;6,4;3,7;
2002-12-19;null;1013;19,1;28,9;24,8;21,5;71;58;14,3;4,4;
2002-12-20;0;1010,4;19,8;38;27,1;19,3;67;35;13,1;4,1;
2002-12-21;0;1013,3;21,3;27,7;24,6;21,5;82,4;66;9,3;2,7;
2002-12-22;0;1012,9;22,1;27,6;25,3;23,9;82,7;69;11,5;3,9;
2002-12-23;0;1009,4;20,7;31,1;26,3;22,6;72,3;55;12,1;4,4;
2002-12-24;0;1005,9;20,1;38,1;28,8;22;60,8;33;10,8;4;
2002-12-25;,4;1008,5;21,4;29;24,6;21,9;82,5;53;13,8;3,8;
2002-12-26;18,2;1014,6;19;25,4;null;21,9;76;59;8,2;4,1;
2002-12-27;null;1014,9;16,6;26;22,3;17,7;71,5;51;8,7;3;
2002-12-28;1,6;1012,6;19,4;25,2;null;21,1;81,4;66;8;1,8;
2002-12-29;null;1010,8;20,7;29,4;null;20,3;80,8;59;9,3;3,3;
2002-12-30;null;1009,5;21,1;35;25,8;21,4;76,9;40;11,4;2,7;
2002-12-31;0;1008,8;21,1;35,9;null;23,3;72,1;37;13,5;3,8;
2003-01-01;null;1008;22,1;28,9;26,6;23,3;76,5;67;8;3,4;
2003-01-02;0;1007,5;22,6;29,7;26,7;24,3;78;59;6,8;3,5;
2003-01-03;0;1008,6;22,6;29,5;null;23,9;81,2;64;7,3;2,4;
2003-01-04;null;null;null;null;null;24,4;84,3;61;7;null;
2003-01-05;null;1002,8;22,1;35,3;null;23,5;75,2;41;10,6;3,1;
2003-01-06;null;1006,4;22,8;26,6;25;23,3;87,8;76;5,9;2,2;
2003-01-07;3;null;null;null;null;23,2;82,3;67;3,8;null;
2003-01-08;null;1012,8;19,9;29,8;24,9;null;74,3;54;11,7;3,8;
2003-01-09;0;1012,3;19,1;32,3;25,2;19,5;69,9;47;7,8;2,6;
2003-01-10;0;1009,7;20,6;37,6;null;20,3;72,1;38;9,6;2,8;
2003-01-11;null;1008,7;20,3;31,9;25,7;21,5;73,4;44;23,3;4;
2003-01-12;0;1009,7;22,6;28,2;null;24,4;82,5;69;5,7;2,7;
2003-01-13;null;1010,9;21;24,7;23,1;22,8;88,3;82;13,1;3;
2003-01-14;16;1011,1;20,6;24,2;22,7;21,8;88,3;83;11,8;3,5;
2003-01-15;4;1012;21,2;27,3;23,7;20,2;85,9;75;12,6;2,6;
2003-01-16;0;1011,6;20,9;29,5;24,5;21,5;80,8;62;8;2,7;
2003-01-17;0;1009,4;21,2;28,8;24,6;22,1;81,7;65;8,4;3,1;
2003-01-18;28,6;1008,9;20,1;31,9;null;22,3;73,7;45;7,5;3,4;
2003-01-19;null;null;null;28,2;null;22,2;80,9;71;12,1;null;
2003-01-20;null;1007,4;21,2;32,3;null;22,7;73,7;53;8,8;2,6;
2003-01-21;null;1005,4;21;37,3;28,1;24,3;66,9;38;13,1;4,2;
2003-01-22;1,6;1008,7;22,2;34,8;null;23,5;77,8;44;9,2;2,1;
2003-01-23;null;1010,2;21,3;35,9;null;25;67,5;38;14,3;3,5;
2003-01-24;null;1012,6;21,6;34,1;28,2;25,5;68,3;41;10;3,7;
2003-01-25;23,2;1014,7;21,5;26;23,3;22,7;90;84;12,4;5,7;
2003-01-26;112;1011,8;20,5;27;23;20,4;85,6;67;10,1;2,8;
2003-01-27;9;1008,5;20,9;27,6;23,7;21,7;84,8;71;5,7;1,8;
2003-01-28;6;1007,3;21,6;28,2;24,3;23;85,2;71;8,7;null;
2003-01-29;19;1011,9;21,3;25,6;23,1;21,8;89,3;78;null;null;
2003-01-30;3;1012,6;21,3;25,7;null;22;88;79;null;null;
2003-01-31;null;1012,2;21,5;31,5;25,6;22,4;79,3;53;5,5;null;
2003-02-01;0;1013,6;20,7;33,3;26,5;22,3;72,5;43;7,2;null;
2003-02-02;0;1015,4;21;29,8;25,4;22,7;77,4;55;4,7;null;
2003-02-03;0;null;null;null;null;22,4;79,9;61;5,7;null;
2003-02-04;null;1011,8;20,3;34,8;26,9;null;68,8;39;10,6;3,2;
2003-02-05;0;1010,8;20,3;36,8;null;23,1;63,3;33;11,6;3,6;
2003-02-06;null;1010,2;20,4;36,7;29;23,8;62,7;32;10,2;3,5;
2003-02-07;0;1011;19,9;37,7;29,3;24,6;59;25;12,7;3,9;
2003-02-08;0;1011,9;19,8;36,2;null;23,4;63,5;34;9,4;3;
2003-02-09;null;1011,1;20,3;37,2;28,4;22,7;64,1;30;11,1;2,9;
2003-02-10;0;1008,6;18;38,6;28,8;22,6;55,9;24;11,1;3,8;
2003-02-11;0;1008,1;20,2;32,1;25,4;21,1;74,3;48;9,9;3;
2003-02-12;0;1008,8;19,5;38,5;28,9;21,5;60,7;26;7,8;null;
2003-02-13;0;1009;18,1;39,2;28,5;20,6;57,4;24;null;null;
2003-02-14;0;1009,6;21,7;30,8;25,1;21;81,5;62;null;null;
2003-02-15;0;1009,7;22,5;28,9;null;23,7;82,6;70;null;null;
2003-02-16;null;1008,5;18,8;37,5;29,3;23,6;56,4;29;null;null;
2003-02-17;0;1006,4;20,7;35,9;26,8;23,5;72;32;null;null;
2003-02-18;,8;1008;19,8;33,9;27,5;23,5;63,5;39;null;null;
2003-02-19;1,2;null;null;30,9;null;23,3;75,4;51;null;null;
2003-02-20;null;1010,6;20,2;36,4;null;23,6;64,2;34;null;null;
2003-02-21;null;null;null;null;null;25,1;65,6;41;null;null;
2003-02-22;null;1013,9;23;29,6;26,5;null;81,5;67;4,8;null;
2003-02-23;0;1016,8;22,3;30;26,4;22,9;78,4;61;2,1;null;
2003-02-24;0;1015,9;21,6;31,1;27;23,1;73,5;52;null;null;
2003-02-25;0;1012;21,2;33;26,8;22,5;72,6;50;null;null;
2003-02-26;0;1011,1;21,8;31,5;null;23,2;78,3;54;null;null;
2003-02-27;null;1012,6;21,9;29,7;25,8;22,2;79,5;61;1,5;null;
2003-02-28;0;1012,8;21,1;32,2;26,5;22,4;73,3;47;9,3;null;
2003-03-01;0;1010,8;21,1;30,9;26,6;23;73;55;null;null;
2003-03-02;0;1008,5;22,1;32,9;26,8;23,9;76,1;51;null;null;
2003-03-03;0;1010;21,7;33,6;null;24,9;72,6;39;null;null;
2003-03-04;null;1012,5;21,1;31,1;26,3;22,4;73,8;49;null;null;
2003-03-05;0;1013,2;22,3;30,1;null;22,9;78,1;63;null;null;
2003-03-06;null;1011,4;21,7;32,4;null;23,4;76,3;47;null;null;
2003-03-07;null;1010,1;22;32;27,5;24;73;51;null;null;
2003-03-08;0;1010,5;21;33,6;null;24,2;72,4;42;null;null;
2003-03-09;null;1011,3;20,2;29,4;24,6;20,9;77,2;58;null;null;
2003-03-10;0;null;null;28,1;null;23;79,7;66;null;null;
2003-03-11;null;1009,4;19,4;32,9;27,1;23,4;64,2;41;null;null;
2003-03-12;null;null;null;null;null;null;null;null;null;null;
2003-03-13;null;null;null;null;null;null;null;null;null;null;
2003-03-14;null;null;null;null;null;null;null;null;null;null;
2003-03-15;null;null;null;null;null;null;null;null;null;null;
2003-03-16;null;null;null;null;null;null;null;null;null;null;
2003-03-17;null;null;null;null;null;null;null;null;null;null;
2003-03-18;null;null;null;null;null;null;null;null;null;null;
2003-03-19;null;null;null;null;null;null;null;null;null;null;
2003-03-20;null;null;null;null;null;null;null;null;null;null;
2003-03-21;null;null;null;null;null;null;null;null;null;null;
2003-03-22;null;null;null;null;null;null;null;null;null;null;
2003-03-23;null;null;null;null;null;null;null;null;null;null;
2003-03-24;null;null;null;null;null;null;null;null;null;null;
2003-03-25;null;null;null;null;null;null;null;null;null;null;
2003-03-26;null;null;null;null;null;null;null;null;null;null;
2003-03-27;null;null;null;null;null;null;null;null;null;null;
2003-03-28;null;null;null;null;null;null;null;null;null;null;
2003-03-29;null;null;null;null;null;null;null;null;null;null;
2003-03-30;null;null;null;null;null;null;null;null;null;null;
2003-03-31;null;null;null;null;null;null;null;null;null;null;
2003-04-01;null;null;null;null;null;null;null;null;null;null;
2003-04-02;null;null;null;null;null;null;null;null;null;null;
2003-04-03;null;null;null;null;null;null;null;null;null;null;
2003-04-04;null;null;null;null;null;null;null;null;null;null;
2003-04-05;null;null;null;null;null;null;null;null;null;null;
2003-04-06;null;null;null;null;null;null;null;null;null;null;
2003-04-07;null;null;null;null;null;null;null;null;null;null;
2003-04-08;null;null;null;null;null;null;null;null;null;null;
2003-04-09;null;null;null;null;null;null;null;null;null;null;
2003-04-10;null;null;null;null;null;null;null;null;null;null;
2003-04-11;null;null;null;null;null;null;null;null;null;null;
2003-04-12;null;null;null;null;null;null;null;null;null;null;
2003-04-13;null;null;null;null;null;null;null;null;null;null;
2003-04-14;null;null;null;null;null;null;null;null;null;null;
2003-04-15;null;null;null;null;null;null;null;null;null;null;
2003-04-16;null;null;null;null;null;null;null;null;null;null;
2003-04-17;null;null;null;null;null;null;null;null;null;null;
2003-04-18;null;null;null;null;null;null;null;null;null;null;
2003-04-19;null;null;null;null;null;null;null;null;null;null;
2003-04-20;null;null;null;null;null;null;null;null;null;null;
2003-04-21;null;null;null;null;null;null;null;null;null;null;
2003-04-22;null;null;null;null;null;null;null;null;null;null;
2003-04-23;null;null;null;null;null;null;null;null;null;null;
2003-04-24;null;null;null;null;null;null;null;null;null;null;
2003-04-25;null;null;null;null;null;null;null;null;null;null;
