Nome: CAMBUCI
Codigo Estacao: A604
Latitude: -21.58749999
Longitude: -41.95833333
Altitude: 46
Situacao: Operante
Data Inicial: 2002-11-19
Data Final: 2024-07-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2002-11-19;null;null;null;null;null;null;null;null;null;null;
2002-11-20;null;null;null;null;null;null;null;null;null;null;
2002-11-21;null;null;null;null;null;null;null;null;null;null;
2002-11-22;null;null;null;null;null;null;null;null;null;null;
2002-11-23;null;null;null;null;null;null;null;null;null;null;
2002-11-24;null;null;null;null;null;null;null;null;null;null;
2002-11-25;null;null;null;null;null;null;null;null;null;null;
2002-11-26;null;null;null;null;null;null;null;null;null;null;
2002-11-27;null;null;null;null;null;null;null;null;null;null;
2002-11-28;null;null;null;null;null;null;null;null;null;null;
2002-11-29;null;null;null;null;null;null;null;null;null;null;
2002-11-30;null;null;null;null;null;null;null;null;null;null;
2002-12-01;null;null;null;null;null;null;null;null;null;null;
2002-12-02;null;null;null;null;null;null;null;null;null;null;
2002-12-03;null;null;null;null;null;null;null;null;null;null;
2002-12-04;null;null;null;null;null;null;null;null;null;null;
2002-12-05;null;null;null;null;null;null;null;null;null;null;
2002-12-06;null;null;null;null;null;null;null;null;null;null;
2002-12-07;null;null;null;null;null;null;null;null;null;null;
2002-12-08;null;null;null;null;null;null;null;null;null;null;
2002-12-09;null;null;null;null;null;null;null;null;null;null;
2002-12-10;null;1007,9;21,8;28,8;null;null;83,3;67;8,4;2,1;
2002-12-11;null;1008,3;21,3;28,2;25,4;23,4;78,7;64;7,2;1,5;
2002-12-12;17,8;1006,3;21,5;25,1;23,5;22,8;88,5;70;6,7;1;
2002-12-13;42,2;1005,5;21,4;24,8;23,6;22,6;87,5;78;5,3;,8;
2002-12-14;7,4;1006,7;21,6;27,7;24,8;22,9;82,5;66;5,4;1,1;
2002-12-15;1,4;1006,3;21,7;29,3;25,1;22,5;82,1;64;5,5;1;
2002-12-16;2,8;1005,2;21,8;28,2;24,9;23,3;83,9;50;7,7;1;
2002-12-17;2;1003,6;20,6;33,4;26,8;21,8;71,1;43;10,8;1,9;
2002-12-18;null;null;null;31,5;null;null;59;44;9,2;null;
2002-12-19;0;1009;19;29,6;null;19,9;72,6;53;6,1;1,5;
2002-12-20;null;1007,2;21;33,8;26,4;20,3;74;48;7,3;1,5;
2002-12-21;0;1006,8;21,4;34,3;27,8;23,1;69,4;45;11,3;1,6;
2002-12-22;0;1006,8;21,6;31,7;26,8;23,8;74,3;55;10,4;2,2;
2002-12-23;0;1005,9;20,8;31,7;26,2;20,9;72,7;55;7,8;2,1;
2002-12-24;0;1002,5;22,5;35,1;28;22,1;73,7;49;8,8;1,6;
2002-12-25;5;1002,2;22,9;34;28,2;23,7;73,9;46;8,6;1,4;
