Nome: CAMPOS DOS GOYTACAZES
Codigo Estacao: A607
Latitude: -21.71472222
Longitude: -41.34388888
Altitude: 17
Situacao: Operante
Data Inicial: 2006-09-24
Data Final: 2024-07-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2006-09-24;null;null;null;null;null;null;null;null;null;null;
2006-09-25;null;null;null;null;null;null;null;72;8,9;null;
2006-09-26;null;1021,5;16,2;21,9;18,9;17,2;84,4;67;10,1;2,9;
2006-09-27;,8;1023;14,4;23,9;19,5;15,8;74,5;46;8,7;2,9;
2006-09-28;0;1018,7;15,1;26;20,6;15,6;72,8;46;11,9;3,6;
2006-09-29;0;1014;16,3;31,8;23,1;16,7;69;32;10,2;4,1;
2006-09-30;0;1017,5;18,2;24,5;21,7;19;80,3;70;9,6;3,3;
2006-10-01;0;1018,3;18;25;21,4;19,6;81,5;62;6,8;2,4;
2006-10-02;,8;1014,7;19,2;24,1;21,7;19,8;85,8;73;9,8;2,9;
2006-10-03;1;1011,1;20,3;29,2;23,8;20,6;82,2;54;8,6;3;
2006-10-04;0;1011,2;20,6;31,6;24,9;21,9;78,5;47;12,6;3,7;
2006-10-05;0;1013,1;20,2;29,9;24,9;22,2;76,2;55;15,2;7,3;
2006-10-06;0;1012,8;19,2;29,7;24,6;21,7;72,9;53;15;7;
2006-10-07;0;1012,8;19,9;30;24,5;20,5;76,8;51;11,6;4,6;
2006-10-08;0;1013,1;21,3;25,3;22,9;22,4;90,6;80;8,8;3,3;
2006-10-09;9,6;1016,9;20;23,3;21,4;20,9;91,5;77;11,4;4,5;
2006-10-10;1,8;1018,1;19,7;27,5;22,6;19,7;85;60;10;3,7;
2006-10-11;0;1014,5;19,5;27,6;23,4;21,5;79,2;61;14,9;6,4;
2006-10-12;0;1008,3;19,6;34,2;25,1;19,8;74,8;37;10,8;4,2;
2006-10-13;13,6;1008,5;21,7;28,7;24;21,6;87,4;66;7,3;2,4;
2006-10-14;,6;1010,2;21,7;28,2;23,6;22,1;89;68;9,5;3;
2006-10-15;3;1011,7;21,3;27,8;24;22;85,5;66;12,1;4,2;
2006-10-16;0;1011;21,2;29;24,5;21,7;82,8;64;12,3;5,2;
2006-10-17;0;1010,4;21,2;32,2;25,6;22,7;78,5;46;9,4;2,5;
2006-10-18;0;1010,9;21;28,7;24;22,3;83,8;63;11,4;4;
2006-10-19;7;1009,6;20,6;22,6;21,5;20,7;94,9;86;12,1;2,9;
2006-10-20;35,8;1011,6;18,2;24,6;21;19,4;85;61;15,2;4,9;
2006-10-21;1,6;1016,4;16,1;25,1;20;17,7;79,5;43;10,5;3,6;
2006-10-22;,4;1017,5;15,7;23,5;19,3;16,8;80,5;59;8,6;2,4;
2006-10-23;21,4;1019,5;16,2;22,9;18,9;16;85;59;8,1;2,2;
2006-10-24;0;1019,7;16,8;25,4;20,8;16,7;79,2;57;12;2,9;
2006-10-25;25,8;1017,5;17,9;25,8;21,4;18,1;81,8;59;10,5;4,2;
2006-10-26;,2;1011;18,7;32,5;24,1;17,9;75;41;12,9;4,2;
2006-10-27;0;1006,1;19,1;27,6;23,7;21,1;76,3;58;14,5;4,6;
2006-10-28;0;1007,4;16,7;29,3;23,2;19,9;68,3;41;15,3;3,9;
2006-10-29;0;1009;17,2;28,2;22,7;18,7;72,1;52;13,1;3,7;
2006-10-30;0;1007,5;19,4;30,1;24;18,6;77;49;11,4;3;
2006-10-31;0;1006,8;21,6;32,7;25,7;21,1;79,6;49;14,2;4,7;
2006-11-01;0;1008,8;21,2;29,6;25,5;23,1;78;58;17,3;7;
2006-11-02;0;1008,5;21,6;32,7;26,1;23;77,6;48;12,7;4,5;
2006-11-03;3,6;1008,5;22,9;29,8;24,8;23,3;89;67;10,9;2,3;
2006-11-04;10,4;1009,9;21,2;27,8;23,9;22,6;85,6;63;10,7;4,3;
2006-11-05;0;1011,7;19,1;26,8;23,1;20,1;79,6;60;9,2;3,9;
2006-11-06;,8;1009,4;20;27,6;23,1;20;83;64;10,2;3,2;
2006-11-07;0;1004,8;21,2;31,4;25,4;22,4;78,4;51;17,3;5,6;
2006-11-08;,4;1009,5;17,5;26,2;22,6;20,6;73,8;55;16,7;6,8;
2006-11-09;0;1011,1;15,7;25,4;21,8;18,7;68,6;54;8,9;3,6;
2006-11-10;,6;1011,3;16,2;21,1;18,1;17,8;89,1;72;13,3;3,4;
2006-11-11;15,4;1013;16,3;22,1;17,9;15,7;90,5;68;8,4;2,1;
2006-11-12;4,8;1016,7;17,3;24,1;19,9;17,2;85,1;64;7,6;2,6;
