Nome: RESENDE
Codigo Estacao: A609
Latitude: -22.45138888
Longitude: -44.44499999
Altitude: 438.83
Situacao: Operante
Data Inicial: 2006-09-28
Data Final: 2024-07-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2006-09-28;null;null;null;null;null;null;null;null;null;null;
2006-09-29;null;null;null;null;null;null;null;31;12,9;null;
2006-09-30;null;969,4;16,8;22,9;19,4;17,5;85,8;67;8,3;2,4;
2006-10-01;0;968,6;17;24,1;19,8;17,4;84,6;64;6;2,3;
2006-10-02;,2;964,6;17,9;20,2;19,1;18,1;92,3;85;3,9;1,1;
2006-10-03;6,4;962,4;18,4;29;21,8;18,8;83;47;13,3;1,8;
2006-10-04;61,6;963,1;19,4;28,2;22;18,7;86,2;62;10,5;2;
2006-10-05;0;963,3;19,9;31,4;24,6;20,7;76,9;46;10,6;1,6;
2006-10-06;,2;963;20,1;31,3;23,8;19,9;81,8;47;7;1,6;
2006-10-07;29;964,8;20,2;24,5;21,7;20,4;91,5;76;6,4;1,6;
2006-10-08;9,2;965,7;19,1;22,5;20,3;19,1;92,9;83;7,9;2,1;
2006-10-09;4,2;968,7;17,4;25;20,9;18,1;81,5;61;7,7;2,7;
2006-10-10;0;968,9;17,7;25,6;21,2;18,2;81,3;62;6,8;2,6;
2006-10-11;0;964,6;16,8;29,3;22,3;15,6;74;45;6,4;1,3;
2006-10-12;,2;961;17,9;29,9;22,7;17;76,8;46;8,8;1,5;
2006-10-13;11,4;961,1;19,8;25,5;21,9;19,9;88;68;8;1,4;
2006-10-14;2;962,5;18,8;27,5;23;19,8;78,7;56;8;1,9;
2006-10-15;0;962,2;18,9;31,4;25,1;20;70,6;43;7,4;2;
2006-10-16;0;961,7;19,3;32,5;24,3;19,5;75,8;41;10;1,7;
2006-10-17;32,2;963,1;20,4;28,1;23,1;21;86;58;10,6;1,8;
2006-10-18;7,6;963,5;18,5;25,7;21,2;19,8;84,9;64;8,3;2,9;
2006-10-19;4,2;962;17,9;20,5;18,9;17,7;93,9;88;6,1;1,8;
2006-10-20;10,2;964,4;16,8;21,9;19;18,1;87,3;70;7,4;2,3;
2006-10-21;,4;968,4;14,5;19,5;16,7;15,3;86,8;69;8,3;2,1;
2006-10-22;,8;967,9;13,8;23,8;18;13,7;78,2;53;8,8;2,3;
2006-10-23;2,4;969,7;14;22,4;17,7;13,2;80;57;9,1;2,5;
2006-10-24;0;969,1;13,7;26,1;20,5;14,4;66,8;46;10,7;3,7;
2006-10-25;0;966,9;14,9;29,7;22,2;14,7;66;32;7,5;1,8;
2006-10-26;0;962,4;15,7;33,6;24,6;15,9;63;26;8,9;1,9;
2006-10-27;0;959,2;17,9;27,3;22,6;20,4;75,1;54;12,6;2,6;
2006-10-28;0;960,6;13,3;31,3;22,1;17,5;65,2;16;12,3;4,2;
2006-10-29;0;961,3;13,4;28,8;21,1;14,5;64,3;34;10,4;2,9;
2006-10-30;0;959;16,3;31,7;23;17,9;68,1;36;10,2;2,3;
2006-10-31;0;958,8;18,3;33,8;24,2;18,2;71,7;43;11,4;1,9;
2006-11-01;8,8;960,1;20;31,1;23,5;19,4;82,5;53;11,5;2;
2006-11-02;24,4;960,5;20,9;26,3;22,4;20,5;91,5;72;4,4;1,3;
2006-11-03;53;961,4;20,3;29,4;23;20;86,1;49;8,3;2;
2006-11-04;,2;962,3;18,7;28;23,7;21,1;74,9;53;9,2;3,1;
2006-11-05;0;963,6;15,8;27,5;22,1;17,8;69,5;41;10,1;2,8;
2006-11-06;0;959,9;18,3;30,6;23,3;17,4;74,6;50;6,9;1,9;
2006-11-07;0;958,5;18,4;29,2;24,5;20,2;70,6;46;17;4,7;
2006-11-08;0;963,1;14,7;23,2;19,3;18,4;75,5;58;8,3;2,8;
2006-11-09;,6;963,2;14,3;22,3;18,5;15,4;77,4;57;8,3;2,1;
2006-11-10;8,2;963,5;13,8;18,2;15,3;14,8;90,8;80;6,7;1,7;
2006-11-11;12,4;965,3;13,3;18,6;14,8;11,6;91,1;68;6,4;1,6;
2006-11-12;3,8;968,9;12,5;22,5;17,2;12,3;75,4;43;6,6;1,7;
2006-11-13;,8;970,5;14,9;25;19;16;78;48;9;2;
2006-11-14;11,4;967,4;17;24;19,5;16,7;86,3;63;7,7;1,7;
2006-11-15;3,4;964,6;18,4;29,2;22,4;17,9;80,3;47;7,9;1,6;
2006-11-16;6,2;965;19;30,7;23,7;19,4;76,8;47;9,3;1,5;
2006-11-17;0;963,5;18,2;33,5;25,3;18;68,5;28;4,2;1,1;
2006-11-18;0;962,2;19,8;32,5;25,1;19,6;74;45;9,4;1,9;
2006-11-19;,4;962,6;20,3;30,8;24,8;21,2;77,6;52;10,1;1,8;
2006-11-20;37,4;961,1;19,6;31,5;23;19,3;83,3;45;15;2;
2006-11-21;43,8;963,6;18,5;26,3;22,2;19,4;80,3;59;10,3;3,6;
2006-11-22;0;962,9;18;30;23;19,2;74,5;48;11,1;2,3;
2006-11-23;0;962,8;18,2;30,1;23,3;19,7;74,8;39;10,6;2;
2006-11-24;0;963,4;19,3;32,5;24,3;19,8;74,7;45;9,8;2,3;
2006-11-25;2,2;961,8;19,9;33,8;25,9;20;72,7;39;10;2;
2006-11-26;26,8;961,5;20,8;28,5;23,6;20,4;85,2;63;9,2;2,1;
2006-11-27;1,4;959,8;21;29,4;23,5;21,2;86,6;58;8,3;1,4;
2006-11-28;4,6;957,9;20,8;32,4;25,1;21;79,2;45;9,2;1,7;
2006-11-29;19,8;958,1;21,2;30,2;23,7;21,3;87,1;59;9,7;1,3;
2006-11-30;10,6;960,2;21,4;27,7;23,2;21,8;90;69;8,4;1,7;
2006-12-01;5;964,9;18,3;24,9;21,5;19,5;82,4;63;9,2;2,3;
2006-12-02;2,2;965,4;17,6;26,4;21,8;17,9;78;56;9,3;2,9;
2006-12-03;0;963,5;18,3;31;24,1;19,5;71,7;47;7,6;2,1;
2006-12-04;0;962,4;19,6;32,6;23,8;18,4;78,8;44;10,9;1,7;
2006-12-05;22,4;963,2;20,7;26,7;23,1;20,8;87,1;64;3,5;1,2;
2006-12-06;,2;960,2;20,6;31,8;25,2;21,3;77,9;47;10,5;1,5;
2006-12-07;,2;957,8;19,8;29,5;23,8;20,7;79,6;54;11,2;2,6;
2006-12-08;0;960,4;17,7;29,3;22,9;19,2;73,8;43;9;2,7;
2006-12-09;0;961;18,5;24,4;21,7;19,3;82,7;75;7,2;1,7;
2006-12-10;2,6;961,3;19,4;27,3;22,6;19,9;83;62;8,9;2,7;
2006-12-11;0;963,6;18,7;24,5;21,4;19,6;84,8;70;7,5;2,7;
2006-12-12;5,6;965,3;18;26,9;21,4;17,5;82,5;58;8,8;2,6;
2006-12-13;1;963,8;19,2;29,7;23,8;19,5;77,5;50;9,1;2,9;
2006-12-14;3,2;962,5;21,1;29,5;23,7;21,5;85,8;60;9,5;1,8;
2006-12-15;10;962,3;21,5;29,2;23,9;21,6;87;64;20,5;1,8;
2006-12-16;80,8;961,8;20,3;31,5;24,9;20,2;78,4;46;10;1,9;
2006-12-17;0;962,3;19,8;32,2;25,7;20;72,5;41;7,9;1,9;
2006-12-18;0;961,5;19,3;33,4;26,1;20,5;69,1;34;7,1;2;
2006-12-19;0;960,5;19,1;34,2;26;19,4;68,1;34;7,9;1,8;
2006-12-20;0;960,9;19,6;34,2;26,1;20,3;70,7;35;9,3;2,2;
2006-12-21;1,8;961,9;20,5;34,4;26;21,1;75,1;35;15;1,8;
2006-12-22;1,2;963,6;21,6;30,2;24,6;21,7;84,2;57;6,5;1,6;
2006-12-23;,2;null;null;27,2;null;22,4;87,7;77;4,4;null;
2006-12-24;null;960,8;21,1;32;24,5;20,7;83,3;51;8,9;1,4;
2006-12-25;null;null;null;null;null;null;null;86;11,7;null;
2006-12-26;null;null;null;null;null;null;80,5;47;11,9;null;
2006-12-27;5,8;963,4;20,4;30,3;23,4;20,6;84,8;49;11,3;1,7;
2006-12-28;13,6;966;20,6;28,3;22,6;20,5;89;59;13,6;1,7;
