Nome: PICO DO COUTO
Codigo Estacao: A610
Latitude: -22.46472222
Longitude: -43.29138888
Altitude: 1777
Situacao: Operante
Data Inicial: 2006-10-21
Data Final: 2024-07-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2006-10-21;null;null;null;null;null;null;null;null;null;null;
2006-10-22;null;null;null;null;null;null;null;null;null;null;
2006-10-23;null;null;null;null;null;null;null;null;null;null;
2006-10-24;null;null;null;null;null;null;null;null;null;null;
2006-10-25;null;null;null;null;null;null;null;null;null;null;
2006-10-26;null;null;null;null;null;null;null;null;null;null;
2006-10-27;null;null;null;null;null;null;null;null;null;null;
2006-10-28;null;822,4;7,4;15,4;10,7;null;81,3;39;18,8;7,7;
2006-10-29;2,6;822,8;10,6;15,9;10,9;8,4;97,9;88;16,5;5;
2006-10-30;,2;822,2;12,2;20,7;14,7;10,8;86,8;53;16;5,4;
2006-10-31;0;823,4;14,6;23,5;16,5;12,7;89,5;46;16,2;6,3;
2006-11-01;11,4;824,6;14,9;21,7;16,5;13,5;90,4;67;19,3;7,3;
2006-11-02;24,6;824,3;15,1;16,8;15,4;14;98,5;87;21,7;7,7;
2006-11-03;4,6;824,8;15,3;17,9;15,4;14,1;99;98;14,1;3,8;
2006-11-04;34;825,1;13,7;17,5;13,8;13,1;99;97;11,6;6,3;
2006-11-05;0;825,3;11,7;18,7;13,1;7,7;92;66;11,9;3,6;
2006-11-06;,6;823,2;14;18;14,3;11,4;98,3;90;20,1;7,2;
2006-11-07;,8;822,4;14,3;16,8;14,4;13,9;99,3;93;21,3;7,6;
2006-11-08;41,6;823,6;9,5;12,7;9,6;8,3;100;99;17,7;7,1;
2006-11-09;2,6;823,5;9,4;12,8;9,4;6,7;100;99;11,3;2,9;
2006-11-10;8,4;822,6;7,9;11;7,9;6,5;100;99;15,5;6,1;
2006-11-11;19,2;824,1;7,1;9,4;7,1;4;100;100;13,5;7,6;
2006-11-12;11;827,8;7,4;13,2;7,9;3,3;96,7;80;13,7;5,2;
2006-11-13;1,6;829,7;9,8;13,9;9,9;7,5;99,3;92;14,3;5,5;
2006-11-14;15,6;827,6;11,8;15,8;11,8;9,3;100;99;16,7;5,7;
2006-11-15;50,8;826,8;12;16,5;13,1;11,1;93,6;73;19,8;8,2;
2006-11-16;2;827,9;13,9;20;14,7;11,3;95;78;24,3;9,2;
2006-11-17;0;827,9;13,7;24;17,3;13,1;80,7;49;15,3;4,9;
2006-11-18;0;826,8;14,2;24,5;16,9;14,3;85,4;53;16,6;6,7;
2006-11-19;1;826,4;14,3;21,4;16,7;13;86,7;69;14,8;3,3;
2006-11-20;13;825,1;13,6;22,5;17,2;13,1;81;52;15,1;5;
2006-11-21;2,2;826,1;13,2;17;14,3;12,4;93,7;57;11,5;4,3;
2006-11-22;3,8;825,4;13,6;19,1;14,1;11,2;96,8;74;10,5;3,1;
2006-11-23;,2;825,7;14,5;18,8;14,7;13,5;98,1;79;11,3;4,5;
