Nome: SANTA TERESA
Codigo Estacao: A613
Latitude: -19.98833333
Longitude: -40.57944443
Altitude: 975.92
Situacao: Operante
Data Inicial: 2007-08-08
Data Final: 2024-07-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2007-08-08;null;null;null;23,3;null;null;null;49;7,8;null;
2007-08-09;null;null;null;null;null;null;82,4;61;6,9;null;
2007-08-10;0;912,4;13,8;21;15,4;12,3;90,9;52;8,3;1;
2007-08-11;9,8;912,3;14,8;20,9;15,9;14,1;93,7;66;6,8;1;
2007-08-12;0;913,1;14;19,9;15,1;11,8;93,5;74;6,6;1,6;
2007-08-13;22,4;913,4;14,1;17,1;14,6;13;97,4;81;7;2,3;
2007-08-14;5,6;913,4;14,1;19,5;14,9;12,9;95,5;68;8,1;1,9;
2007-08-15;15,4;913,6;13,7;19,1;14,8;12,9;93,7;61;10,6;1,3;
2007-08-16;,8;912,4;13,1;19,9;14,6;11,9;91;64;6,9;1,8;
2007-08-17;,2;911,1;13,4;16,4;14;12,4;96,5;76;5,8;1,6;
2007-08-18;5;910,1;14;17,2;14;12,6;99,5;95;6,5;1,1;
2007-08-19;3,2;910,5;12,7;19,4;13,9;11;93;66;6,1;,9;
2007-08-20;0;909,3;11,6;21,5;15,5;11,6;79,9;45;8,2;2;
2007-08-21;0;909,5;12,7;20,8;16,3;13,9;79,8;61;8,3;3;
2007-08-22;0;910,8;13,3;19,3;14,7;12,2;92;66;7,7;2,7;
2007-08-23;,4;909,6;12,2;20,1;14,1;11,7;89,5;57;5,9;1,6;
2007-08-24;,2;907,7;11,1;21,5;14,8;10,6;81,2;47;9,3;1,7;
2007-08-25;0;906;11,8;24,3;17;12,7;74,1;43;10,7;3,4;
2007-08-26;0;905,7;13;25,8;18,4;13,2;74,2;35;10,1;3,8;
2007-08-27;0;905,3;14,6;29,4;21,4;15,9;69,1;31;13,2;4,4;
2007-08-28;,4;908,2;16,4;24,1;18,1;16,3;90,3;47;7,1;2,3;
2007-08-29;,2;911,3;15,6;20;16,3;15;95,7;78;7,3;2,1;
2007-08-30;,4;913;14,2;18,2;15,7;12,8;91,5;70;6,1;1,6;
2007-08-31;8;913;14,9;16,5;15;14,2;99,8;98;9,7;2,4;
2007-09-01;7,8;911,9;15,8;20,9;16,1;14;98,2;84;5,8;,7;
2007-09-02;2;911,5;15,9;23,9;17,9;15;89,9;59;8,6;1,7;
2007-09-03;0;913;15,7;20,9;16,6;14,3;94,9;74;8,1;1,1;
2007-09-04;20,2;914,5;15;17,9;15;14,1;99,9;99;10,7;2,3;
2007-09-05;34;914,7;15,2;17,5;15,2;14,1;100;100;11,2;1,4;
2007-09-06;33,4;914,1;14,9;19,2;15;13,6;99;86;7,6;,7;
2007-09-07;11,8;912,3;14,3;21,4;15,6;13,7;93,2;63;6,4;,9;
2007-09-08;0;911,2;13,7;20,6;15,7;12,5;89,4;56;6,1;,9;
2007-09-09;0;910,7;13,7;21,4;15,5;11,8;89,8;60;7,4;1,2;
2007-09-10;15,6;911,1;14,3;16,8;14,5;13,6;99;93;7,3;1,6;
2007-09-11;3,4;911,7;13,2;18,8;14,5;12,8;92,3;64;6,7;1,3;
2007-09-12;0;911,8;13,4;18;14,3;11,9;94,3;73;8;1;
2007-09-13;18,8;911,1;13,6;19,5;15,3;13,3;90,8;62;8,1;1,8;
2007-09-14;,2;909,6;14,1;20,4;15,3;12,3;93,2;64;7,9;,7;
2007-09-15;,6;907,7;12,4;22,7;16,6;12,7;79,3;47;8;2,5;
