Nome: LINHARES
Codigo Estacao: A614
Latitude: -19.35694444
Longitude: -40.0686111
Altitude: 40
Situacao: Operante
Data Inicial: 2006-10-26
Data Final: 2024-07-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2006-10-26;null;null;null;24,7;null;null;null;75;7,1;null;
2006-10-27;null;1005,3;20,4;34,5;24,9;19,2;79,3;3;11;3,2;
2006-10-28;,6;1005,4;19,2;25,1;22,8;20,8;80,6;70;10,5;3,9;
2006-10-29;0;1007,1;18,3;26,7;22,9;19,2;75,7;56;7,6;2,8;
2006-10-30;0;1006,2;21;28,9;24,2;21,4;82,8;66;10,7;2,3;
2006-10-31;6,8;1007,6;21,7;28,8;25;22,8;82,4;62;12,4;4,5;
2006-11-01;6;1009,5;21,9;27,8;24,6;22,8;85,4;71;12,7;4,2;
2006-11-02;,2;1008,8;21,6;30;25,2;22,7;81,4;60;11,3;3,6;
2006-11-03;,2;1007,3;21,7;31,7;25,9;22,7;79,4;54;11,4;3,6;
2006-11-04;9,2;1006,6;22,2;26;24;23;90,3;81;9;2,9;
2006-11-05;3,4;1008,4;20,3;25;22,8;21,5;86,1;71;10,9;3,2;
2006-11-06;0;1007,1;20,3;29;24,1;21,1;79,8;59;7,2;2,5;
2006-11-07;0;1003,6;22,1;34,4;26,2;22,9;80,5;45;12,3;3,6;
2006-11-08;35;1006;19,4;26,9;23,6;22,8;77,7;64;13,9;5,7;
2006-11-09;0;1008,6;17,5;23,5;20,9;20,2;81;67;10,7;3,3;
2006-11-10;5,4;1007,7;18,5;20,9;19,3;18,9;95;88;16,7;3,4;
2006-11-11;41,4;1009,4;17,2;18,9;18;17,4;95;86;12,3;4,1;
2006-11-12;25,2;1012,7;17,9;21,6;19;17,5;93,4;82;10,4;4,3;
2006-11-13;13,8;1013,5;19,1;21,5;20;18,7;94,4;90;12,3;4,8;
2006-11-14;43,4;1011,6;20,9;24,6;21,8;20,1;94,9;83;5,9;2;
2006-11-15;29,6;1012,6;21,4;28,5;24,4;20,5;84;65;13,5;4;
2006-11-16;,2;1013,9;21,4;28,7;24,1;20,9;85,9;63;10,5;2,8;
2006-11-17;0;1012,3;20,2;28,7;24,1;20,2;80,5;56;9,9;2,3;
2006-11-18;0;1009,7;20,2;31,4;24,8;20,6;77;41;11,6;2,9;
2006-11-19;0;1008,6;21,4;30,9;25,5;22,5;79,5;53;9;3;
2006-11-20;0;1007,8;21,8;32,5;26,5;23,2;77,4;47;11,5;3,6;
2006-11-21;0;1008,3;22,1;32,4;26,3;23,4;79;50;9,6;3,4;
2006-11-22;113;1008,9;21,6;28,5;24,4;21,2;85,3;64;11,1;3,5;
2006-11-23;5,2;1008,6;22,2;30,3;25,6;22,4;82,7;59;10,1;2,6;
2006-11-24;1,6;1010,5;22,5;29;25,1;23,2;85,9;66;10,6;2,2;
2006-11-25;19;1011;21;29,6;25,1;21,9;79,4;57;11,8;2,8;
2006-11-26;0;1009,2;21,2;29,7;24,9;21,3;80,5;54;10,7;2,6;
2006-11-27;,2;1006,7;22,9;28,4;25,2;23,1;87,3;74;11,9;3;
2006-11-28;7,6;1005,9;22,9;31,3;25,3;23,9;87,4;61;15;3,4;
2006-11-29;18,8;1004,7;22,9;31,8;26,2;22,6;82,8;58;10,3;3,9;
2006-11-30;5,6;1004,9;23;30,7;25,4;23,3;86,6;66;11,2;2,6;
2006-12-01;50,6;1007,6;22,1;26,1;23,4;22,1;92,4;81;13,8;3,7;
2006-12-02;2,2;1010,7;19,6;27,9;24;21,7;77,2;53;13,3;5,3;
2006-12-03;0;1011,2;18,9;26,8;24;21,2;73,8;61;8,3;3,6;
2006-12-04;1,2;1010,2;21,5;28,8;25;22,2;81,7;63;8,5;2,4;
2006-12-05;2,6;1009,8;21,9;32;26,2;22,6;79,3;48;11,1;3,2;
2006-12-06;0;1007,7;22,3;32,4;26,7;23,4;78,1;47;9;3,4;
2006-12-07;0;1003,8;22,6;33;26,2;23,8;81,8;52;19,5;3,7;
2006-12-08;43,8;1005,6;20,9;27,8;24,4;21,4;81,2;64;11,1;3,1;
2006-12-09;24,8;1006,9;21,4;25,9;23,1;20,8;90,5;76;6,5;2,4;
2006-12-10;8,6;1006,1;23;27,2;24,5;22,9;91,7;79;9;2,9;
2006-12-11;14,2;1006,8;22,6;25;23,7;22,9;93,5;88;10;3,6;
2006-12-12;18,2;1009;21,7;27,6;24,1;22;86,8;71;8,1;2,3;
2006-12-13;1;1009,6;21,9;27,6;24,5;22,8;85,7;67;10,7;2,4;
2006-12-14;8,2;1011,1;22;26,4;23,9;21,5;89,3;71;11,1;2,3;
2006-12-15;,6;1010,9;22,2;28,1;24,8;22,1;86;67;8,6;2;
2006-12-16;4,2;1010,5;22,1;24,7;23,5;22,7;91,5;82;7,9;1,6;
