Nome: SAO MATEUS
Codigo Estacao: A616
Latitude: -18.6761111
Longitude: -39.86416666
Altitude: 28.66
Situacao: Operante
Data Inicial: 2006-10-24
Data Final: 2024-07-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2006-10-24;null;null;null;null;null;null;null;null;null;null;
2006-10-25;null;null;null;null;null;null;null;70;5,6;null;
2006-10-26;,4;1011,5;19,2;28,6;23;17,5;81,2;51;8,5;2,1;
2006-10-27;0;1005,3;20,9;33,1;25,2;20,2;79,1;45;10;3,4;
2006-10-28;,4;1005,2;20,3;25,3;23,1;21,3;84,5;75;8,4;3,3;
2006-10-29;0;1007,2;18,8;26,6;22,9;19,7;78,4;63;8,8;2,7;
2006-10-30;,6;1006,3;20,9;27,9;24,1;21,3;82,8;70;8,7;2,5;
2006-10-31;5,6;1007,9;21,6;27,5;24,4;22,1;84,8;65;11,9;4;
2006-11-01;3;1009,6;22,2;27,1;24,7;22,5;86,2;75;10,3;3,6;
2006-11-02;2,6;1009,1;21,6;28,8;24,9;21,3;82,6;66;9,5;3,1;
2006-11-03;0;1007,5;21,7;30,4;25,4;21,7;81;57;10,3;3,3;
2006-11-04;,4;1006,4;22,2;28,8;24,5;22,7;87,3;69;7,9;2;
2006-11-05;46,8;1008,5;21;24,6;22,6;21,2;90,7;79;8,8;2,9;
2006-11-06;,6;1007,2;21,2;28;24;21,6;84,8;68;6,5;2,1;
2006-11-07;,2;1003,5;21,9;34,1;26,1;21,6;80,2;44;9,5;2,9;
2006-11-08;30;1006,2;19,8;27;23,6;22,4;80,3;63;12,4;4,4;
2006-11-09;0;1008,6;18,3;23,4;20,6;19,4;86,6;74;9,4;3;
2006-11-10;7;1007,4;19,2;21,4;20;19,1;95,3;90;11,6;2,6;
2006-11-11;58;1009;17,8;19,6;18,5;17,3;95,4;85;12,5;3,3;
2006-11-12;39,8;1012,1;18,5;20,8;19,1;17,7;96;92;8,1;3,1;
2006-11-13;29,4;1012,9;19,6;22,1;20,4;18,9;95,3;91;10,8;3,7;
2006-11-14;38,2;1011,3;21,1;26,8;22,6;20,3;91,5;72;8;2,4;
2006-11-15;17,6;1012,6;21,6;27,7;24,2;21,3;85,8;72;12,2;3,6;
2006-11-16;10,6;1013,9;21,5;27,9;23,7;21;87,8;67;10,6;2,4;
2006-11-17;0;1012,4;20,1;28;23,8;19,5;80,9;60;8,8;2,4;
2006-11-18;0;1010;20,5;29,1;24,2;19,9;80,9;53;9,8;2,7;
2006-11-19;0;1008,8;21,5;30,3;24,8;20;83;60;8,8;2,5;
2006-11-20;0;1008,1;22,1;31;25,9;22,3;80,8;54;10,7;3,4;
2006-11-21;0;1008,1;22,1;31,6;26;21,2;80,5;53;11,2;3,5;
2006-11-22;0;1008,6;22,3;28,6;25,5;23,1;82,6;65;10;2,6;
2006-11-23;,6;1008,5;22;29,9;25,3;21,4;82,8;60;9,3;2,6;
2006-11-24;,4;1010,6;22,2;29,4;25,5;23;82,6;64;9,2;2,4;
2006-11-25;,8;1011,1;20,9;29,3;25,1;21,8;78,3;60;9,2;2,6;
2006-11-26;,4;1009,4;21;29,4;24,6;19,9;81,5;61;10;2,5;
2006-11-27;8;1006,8;22,9;28,1;24,9;22,9;89,3;76;10,5;3;
2006-11-28;6,4;1006,2;22,8;30,1;25,1;24;87,7;65;12;3,2;
2006-11-29;28,8;1005;22,6;30,8;25,9;22;82,6;61;12,8;3,7;
2006-11-30;0;1005,2;22,7;31,6;25;23,1;87,3;62;11,4;2,4;
2006-12-01;9,8;1007,3;22,2;29,9;24,7;23,1;86,5;65;11,5;2,7;
2006-12-02;10;1010,2;20,4;26;23;21,4;85,4;68;12,3;4,6;
2006-12-03;2,4;1010,9;20,1;26;22,8;20,5;85;66;9,5;3,4;
2006-12-04;18,6;1010,2;22,1;28,4;24,8;21,8;85,3;68;8,4;2,7;
2006-12-05;0;1010,1;22;30,5;25,6;22,1;81,5;49;9,1;2,7;
2006-12-06;0;1008;22,3;31,9;26,2;21,6;80,8;51;9,6;3,1;
2006-12-07;0;1004,2;22,2;32,9;26,1;23,5;80,4;51;13,9;3,3;
2006-12-08;9,8;1005,5;22;29,4;25,1;22,6;83,6;63;8,9;2,8;
2006-12-09;7;1006,8;21,8;27,9;23,9;21,5;88,5;73;6,9;2,2;
2006-12-10;15,6;1005,7;23,2;27,9;25,1;23,5;89,7;75;8,6;2,1;
2006-12-11;18,8;1007;22,9;26,6;24;23;93,4;81;7,3;2,3;
2006-12-12;61,8;1009,3;22,1;27,3;23,7;22;91,2;76;6,2;2,5;
2006-12-13;22,4;1009,8;21,9;26,9;23,7;21,7;89,7;72;6;1,8;
2006-12-14;76;1011,1;22,1;27,3;24,1;21,8;89;74;7,8;2,6;
2006-12-15;2,8;1010,8;22,1;27,9;25,3;22,5;83,3;69;7,1;2,1;
2006-12-16;15,8;1010,5;22,2;24,9;23,5;22,3;92,6;85;6,5;1,7;
2006-12-17;21,2;1010,8;21,7;28;24,5;22;85,2;67;10,5;2,5;
