Nome: PARATY
Codigo Estacao: A619
Latitude: -23.2236111
Longitude: -44.72694443
Altitude: 3
Situacao: Operante
Data Inicial: 2006-11-18
Data Final: 2024-07-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2006-11-18;null;null;null;null;null;null;null;null;null;null;
2006-11-19;null;null;null;null;null;null;null;null;null;null;
2006-11-20;null;null;null;null;null;null;null;null;null;null;
2006-11-21;null;null;null;null;null;null;null;null;null;null;
2006-11-22;null;null;null;null;null;null;null;null;null;null;
2006-11-23;null;null;null;null;null;null;null;null;null;null;
2006-11-24;null;null;null;null;null;null;null;null;null;null;
2006-11-25;null;null;null;null;null;null;null;null;null;null;
2006-11-26;null;null;null;null;null;null;null;null;null;null;
2006-11-27;null;null;null;null;null;null;null;null;null;null;
2006-11-28;null;null;null;null;null;null;null;null;null;null;
2006-11-29;null;null;null;null;null;null;null;null;null;null;
2006-11-30;null;null;null;null;null;null;null;null;null;null;
2006-12-01;null;null;null;null;null;null;null;null;null;null;
2006-12-02;null;null;null;null;null;null;null;null;null;null;
2006-12-03;null;null;null;null;null;null;null;null;null;null;
2006-12-04;null;null;null;null;null;null;null;null;null;null;
2006-12-05;null;null;null;null;null;null;null;null;null;null;
2006-12-06;null;null;null;null;null;null;79,9;66;5,6;null;
2006-12-07;10;1007,8;21,1;28,4;24,2;21,3;83,2;63;13,1;2,1;
2006-12-08;8;1011,2;19,9;26,4;22;19,7;88,5;67;6;1,6;
2006-12-09;,8;1011,3;20;26,8;22,3;20,1;87,5;62;6;1,8;
2006-12-10;4,2;1012,2;20,7;24,5;21,9;20,8;93;79;6,9;1,6;
2006-12-11;3,6;1014,5;20,4;25;21,6;19,9;93;75;6,6;1,8;
2006-12-12;15,4;1016;19,9;27,2;22,4;19,5;86,9;63;5,9;1,6;
2006-12-13;9,2;1014,3;21,6;28,6;24,2;21,4;86,6;68;7;2,2;
2006-12-14;3,2;1011,8;22,9;29,7;25;22,8;88,3;69;6,4;1,4;
2006-12-15;,8;1011,2;23,2;29,1;25,4;22,2;87,7;72;5,7;1,6;
2006-12-16;1,8;1010,9;22,5;30,5;25,8;21,4;83,3;60;7;1,8;
2006-12-17;0;1011,6;22,5;30,6;26;21,3;82;65;7,3;1,9;
2006-12-18;1;1010;22,1;32;26,5;21,6;78,6;55;5,7;2,1;
2006-12-19;0;1008,9;22,5;32,4;26,8;21,7;78,7;54;6,8;1,8;
2006-12-20;0;1008,8;22,6;34,5;27,8;23;75,2;45;8,9;1,7;
2006-12-21;0;1009,7;22,6;36,7;27,5;23,6;77,6;39;15,3;2;
2006-12-22;42,2;1013;23,1;29,4;24,7;22,4;91,4;74;6,5;1,6;
2006-12-23;19,4;null;null;27,2;null;22,9;92,7;79;3,8;null;
2006-12-24;null;1009,6;23,3;30,6;25,6;22,8;87,3;65;5,7;1,3;
2006-12-25;null;null;null;null;null;23,8;null;66;3,5;null;
2006-12-26;null;null;null;null;null;null;80,8;49;6,8;null;
2006-12-27;17,2;1013,1;22,2;30;24,7;21,6;86,5;63;4,9;1,7;
2006-12-28;6,6;1016;22,8;29,1;24,6;23,2;90;70;8,2;1,2;
2006-12-29;31,2;1016,8;21,8;29,5;24,2;21,2;87,3;67;8;1,4;
2006-12-30;8,2;1015,8;21,3;28,5;24,8;21,3;82,2;57;5,4;1,4;
2006-12-31;4,2;1015,2;22,2;24,9;23,4;22,7;93,3;83;4,8;1,1;
2007-01-01;13,2;1014,1;21,1;28,8;23,6;21,2;86,4;65;6,9;1,6;
2007-01-02;,4;1014,4;21,7;28,7;24,2;22,1;86,4;69;5,3;1,8;
2007-01-03;27,2;1012,6;22,1;25,7;23,2;22,4;94,1;81;4,5;,7;
2007-01-04;31,6;1008,8;22,6;26,8;23,8;22;93;78;4,8;,9;
2007-01-05;17,8;1006,6;23,5;28,1;25,1;23,3;91,1;77;4,8;,7;
2007-01-06;3,4;1007,7;23,2;28,2;25,2;22,8;89,3;68;5;1,3;
2007-01-07;4,2;1011,2;23,4;31,5;26,6;23,1;83,3;57;6,4;1,5;
2007-01-08;2,6;1012,3;23,3;28,4;24,7;23,8;92,4;76;7;,9;
2007-01-09;20,6;1012,2;22,4;26,9;23,8;22,4;92,1;78;4,7;1,4;
