Nome: RIO DE JANEIRO - VILA MILITAR
Codigo Estacao: A621
Latitude: -22.86138888
Longitude: -43.41138888
Altitude: 30.43
Situacao: Operante
Data Inicial: 2007-04-12
Data Final: 2024-07-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2007-04-12;null;null;null;null;null;null;null;null;null;null;
2007-04-13;null;null;null;null;null;null;null;52;8,4;null;
2007-04-14;null;1014,7;null;30,5;null;21,4;81,7;53;6,9;1,1;
2007-04-15;3;1014,8;null;31,6;null;19,9;75,2;46;7;1,2;
2007-04-16;0;1013,5;null;30,6;null;21,4;78,1;55;6,9;1;
2007-04-17;8,2;1012,7;null;28,7;null;21,9;80,3;58;7,5;1,3;
2007-04-18;0;1013,3;20,5;30,3;25,1;20,6;77,1;49;7,1;1,3;
2007-04-19;0;1014,9;21,1;30,1;25,5;21,2;78,3;52;7,4;1,5;
2007-04-20;0;1015;20,7;30,6;26,4;21,4;72;47;6,4;1,5;
2007-04-21;0;1013;21,2;30,2;25,8;21,4;77;53;4,7;,8;
2007-04-22;0;1012,4;22,3;29,7;25,9;23,7;81,3;59;6,9;1,3;
2007-04-23;0;1012;21,7;30,9;26,4;22,7;77;56;5,1;,8;
2007-04-24;0;1010,1;20,8;33,5;27;21,3;72,6;38;7,7;1,1;
2007-04-25;0;1007,9;20,6;35,1;28,4;22,4;66,9;36;11,3;1,3;
2007-04-26;0;1005,7;20,6;35,9;28,8;22,2;65,1;34;14,2;1,5;
2007-04-27;0;1010,4;21,4;30,5;24,8;23,3;81,9;59;12,3;2,2;
