Nome: NOVA VENECIA
Codigo Estacao: A623
Latitude: -18.69527777
Longitude: -40.39055555
Altitude: 156.02
Situacao: Fechada
Data Inicial: 2008-06-21
Data Final: 2023-05-15
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2008-06-21;null;null;null;null;null;null;null;null;null;null;
2008-06-22;null;null;null;null;null;null;null;null;null;null;
2008-06-23;null;null;null;null;null;null;67,2;56;8,8;null;
2008-06-24;0;1003,1;16,3;25,4;21,2;17,9;74,2;58;9,1;3,3;
2008-06-25;0;1001,8;17,3;26,7;21,4;18,3;78;55;7,6;2,3;
2008-06-26;,4;1003,3;16,7;24,5;20,2;17,9;81,2;56;10,5;3,1;
2008-06-27;,6;1005,1;15,9;24,5;19,9;17,1;78,8;56;9,9;2,8;
2008-06-28;0;1005,6;15,1;26;20,8;17,2;71,9;42;7,6;2,4;
2008-06-29;0;1004,3;15,5;26,9;21,1;16,1;72,9;45;7;1,9;
2008-06-30;0;1003,3;17,9;24,2;20,4;18,4;86,3;66;5,4;1,4;
2008-07-01;1,8;1003,6;18,4;25;20,3;17,9;89,8;63;7,8;1,7;
2008-07-02;,6;1003,8;18,7;27,7;20,9;17,7;87,8;54;7,9;1,1;
2008-07-03;18,6;1002,1;18,3;27,6;22;18,9;81,4;45;7;1,3;
2008-07-04;0;1000,1;17,3;28,4;21,2;17,2;81,2;44;12,5;1,6;
2008-07-05;1,6;1002,4;15,2;26,4;19,8;14;77,4;44;8;2;
2008-07-06;0;1004,1;15;27,5;20,2;15,2;75,6;37;7,3;1,9;
2008-07-07;0;1004,5;14,7;26,5;19,6;16;75,7;38;7,2;2,1;
2008-07-08;0;1003,3;13;26,5;19,6;14,1;68,1;38;7,8;1,5;
2008-07-09;4,4;1002,9;17;25,2;19,7;17,5;85,3;58;10,1;1,9;
2008-07-10;,6;1004,7;17,1;25,4;20,5;16,8;82,2;58;8,5;2,4;
2008-07-11;2,2;1006,2;16,4;26,7;21,2;17,8;75,4;50;10,1;3,2;
2008-07-12;0;1004,9;15,1;26,5;20,6;16,5;73;43;11;3,3;
2008-07-13;0;1003,6;14,4;25,2;19,9;15,6;72,1;49;11,1;3,1;
2008-07-14;0;1003,7;15,1;25,8;20,1;16,6;73,9;51;9,8;3,4;
2008-07-15;0;1005,5;14,7;26,2;20;16,1;73,3;45;10,4;3;
2008-07-16;0;1005,7;14,2;26,6;19,6;14,4;73,1;43;8,1;2,4;
2008-07-17;0;1002,8;12,9;27,1;18,8;12,3;72,2;37;6,4;1,6;
2008-07-18;0;1000,4;14,2;29,2;21,1;15,5;70,8;29;7,3;1,6;
2008-07-19;0;1000,8;14;29,8;20,7;13;70,5;31;8,2;1,7;
2008-07-20;0;1002,2;14,1;28,2;20,4;14,1;69,8;40;7,3;1,9;
2008-07-21;0;1003,1;14,1;28,1;20,3;13,7;70,8;38;8,4;1,8;
2008-07-22;0;1002,6;14,9;27,7;20,6;13,9;73,9;36;8;1,8;
2008-07-23;0;1000,4;15,9;29,3;21,6;15,6;74,3;34;7,1;1,6;
2008-07-24;0;999,3;16,1;30,7;21,9;15,5;74,2;32;6,4;1,4;
2008-07-25;0;999,8;15,4;30,1;21,6;15,3;73;31;7,1;1,6;
2008-07-26;0;1002,4;15,7;25,2;20,4;16,7;75,8;53;12,7;2,9;
2008-07-27;0;1005,1;14,3;25,7;20,5;17,3;68,3;49;7,5;2,6;
2008-07-28;0;1005;12,7;27,5;19,9;13,2;66,3;35;7,8;1,6;
2008-07-29;0;1003;13,3;27,8;19,6;13,5;70,2;36;7,2;1,8;
2008-07-30;0;1000,8;15,7;28,9;20,6;15,1;76,2;40;6,8;1,6;
2008-07-31;0;1000,3;17;29,7;22,3;17,7;75,8;34;9,1;2,1;
2008-08-01;0;1000,2;16,3;29,4;22,1;17,9;73,3;33;9,1;1,9;
2008-08-02;0;998,1;15,5;29,5;21,9;15,7;71;35;9,2;2;
2008-08-03;0;994,8;16;33,9;24;16,8;68,1;22;8,8;1,9;
2008-08-04;0;996,4;18,8;28,8;22,7;18;80,4;53;10,7;3,3;
2008-08-05;1,6;1000,4;20,2;27,1;22,6;20,7;86,3;69;9,3;2,1;
2008-08-06;1,6;1000,6;18,6;28,6;22,7;19;79,5;50;7,3;1,9;
2008-08-07;0;1000,3;16,7;29,1;22;17;75,2;38;7,2;1,6;
2008-08-08;0;999,3;16,9;30,8;22,8;18,1;72,6;35;8,2;1,8;
2008-08-09;0;1000,9;16,9;30;22,2;17,5;75,5;37;8;1,4;
2008-08-10;0;1000,3;17,3;30,1;23,1;18,8;73,5;35;9,9;2,1;
2008-08-11;0;1001,4;17,6;27,4;22,5;19,6;74,7;50;7;2,5;
2008-08-12;0;1001,6;16,6;28,9;22,1;16,7;73,9;41;9,1;2;
2008-08-13;0;1002,1;16,5;29,8;22,1;16,9;73,9;36;9,3;1,9;
2008-08-14;0;1003,6;17,7;26,8;21,8;18;78,8;54;8,8;1,9;
2008-08-15;0;1003,7;18,6;26,1;20,3;17;90,3;58;9;1,4;
2008-08-16;12;1002,5;17,7;28,3;21,9;17,6;79,8;45;10,2;2,1;
2008-08-17;0;1002,1;17,1;26,2;21;17;79,8;52;9;1,7;
2008-08-18;1,2;1002,5;16,2;28,8;21,4;17,1;75,5;37;8,9;1,9;
2008-08-19;0;1002,4;16,7;26,9;20,7;16,1;79,7;48;10,7;1,8;
2008-08-20;1,8;1001,9;16,9;25,9;20,1;15,9;83,9;47;9,3;2;
2008-08-21;1,2;1001,1;16,7;29,1;21,4;16,6;78,1;34;7,9;1,6;
2008-08-22;0;1000;16,3;29,9;22,2;17,6;74,1;28;8,6;1,7;
2008-08-23;0;1001,9;17,1;29,2;22,2;16,9;75,8;34;9;2,3;
2008-08-24;1;1003;17;26;21,8;19,8;75,5;51;10,1;4;
2008-08-25;0;1002,4;13,1;28,8;21,2;14,7;63,3;30;9,1;2;
2008-08-26;0;999,4;15,2;29,4;21,2;15,1;71,8;36;6,7;1,7;
2008-08-27;0;997,9;17,3;28,9;22,2;18,8;75,9;40;10,5;2,1;
2008-08-28;0;998;16,6;30;22,3;18,2;72;34;10,2;2;
2008-08-29;0;997,3;16,8;30,4;23,6;19;69,5;35;8;1,8;
2008-08-30;0;997,4;17,5;29,7;22;17,4;77,6;41;10,9;2,6;
2008-08-31;0;999,9;15,8;26,6;22,1;18,1;68,5;48;10,5;3,2;
2008-09-01;0;1001,6;13,3;25,8;20,6;17,7;64,3;44;9,2;3,1;
2008-09-02;0;1000,6;12,3;29,7;20,7;14,1;64,2;25;7,4;1,6;
2008-09-03;0;999,5;14,7;30,4;22;15,8;68,1;30;9;1,8;
2008-09-04;0;998,1;16,3;32,1;23,9;18;67,6;28;8;1,8;
2008-09-05;0;997,7;16,4;31,9;23,1;16,3;69,6;30;10,5;2,2;
2008-09-06;0;998,9;15,4;32,9;23,4;15,7;67,3;22;9,2;2,2;
2008-09-07;0;999,8;17,6;32,9;23,2;15,6;74,8;33;10,3;2;
2008-09-08;0;1001,5;18,4;31,4;24,6;20,8;71,1;37;10,1;2,8;
2008-09-09;0;1002,9;16,7;29,9;23,4;18,9;70,1;34;8,3;2,1;
2008-09-10;0;1003,4;15,1;30,8;22,9;16,4;66,4;30;9,6;1,8;
2008-09-11;0;1002,4;16,2;30,5;23,1;18,2;68,5;35;9,2;2;
2008-09-12;0;1000,3;16,8;31,3;23,6;18,2;69,3;34;9,1;2,2;
2008-09-13;0;998,1;17,7;32,5;24,4;19,2;70,6;32;9,2;2,4;
2008-09-14;0;997,7;18,6;32,2;25,1;21,3;70,8;36;8,1;2,5;
2008-09-15;0;999,7;18,8;31,7;25,5;21,8;69,5;36;8,7;2,5;
2008-09-16;0;1000,1;17,2;31,9;24;18,7;69,7;34;9,1;2,1;
2008-09-17;0;1000,5;17,3;24,1;21,2;20,1;78,9;64;8,9;3,6;
2008-09-18;3,2;1000,7;16,1;23,7;19,4;17,7;81,8;62;11,6;3,7;
2008-09-19;0;1003,5;13,1;22,7;19,8;18,1;66,1;50;10,5;4;
2008-09-20;0;1003;14,2;26,2;20,9;18,4;66;46;8,8;2,8;
2008-09-21;0;1000;15,8;27,5;21,8;17,9;70,5;46;8,2;2,2;
2008-09-22;0;995,9;17,2;31,4;23,7;19,3;68,9;40;11;2,1;
2008-09-23;0;994,9;18,4;26,6;22,6;21,8;78,2;58;18,6;3,3;
2008-09-24;12,8;999,2;15,6;25,6;21,4;16,3;70,3;50;18,6;3,6;
2008-09-25;0;1002;15,5;27,3;21,7;18,5;69,2;46;9;3,5;
2008-09-26;0;1001,2;15,1;24,5;20,8;18,5;70,2;53;7,4;2,4;
2008-09-27;6;998;17,2;22,7;19,6;17,5;86,3;73;7,3;1,8;
2008-09-28;,8;996,7;17,2;29,8;22,4;16,6;74,5;46;9,4;2,5;
2008-09-29;0;999,6;15,7;28,8;22,7;19,7;66,4;42;9,5;3,7;
2008-09-30;0;1000,5;16,6;28,2;22,5;18,8;70,9;47;9,5;2,2;
2008-10-01;0;996,9;18,8;30,6;23,8;19,5;75,6;45;8,5;2;
2008-10-02;0;995,2;18,9;33,3;25,9;20,4;69,4;34;10,1;3,1;
2008-10-03;0;996,1;19,5;33,7;25,8;20,5;71,4;35;9,6;2,7;
2008-10-04;0;997,3;19,3;32,9;26;22,5;69,7;37;11;3,1;
2008-10-05;0;995,8;18,3;34,7;26,6;22,1;64,7;29;10,1;3,1;
2008-10-06;0;998,5;19;32,6;24,8;19,3;72,5;42;10,2;3,2;
2008-10-07;0;1002,1;18,6;32,4;25,2;21,4;70,5;35;9,6;2,9;
2008-10-08;0;1001,8;17,9;31,6;24,6;20,4;69,8;34;11,1;2,9;
2008-10-09;,2;1003,2;16;22,9;20,8;18,9;75,3;50;15,3;5,6;
2008-10-10;0;1003,3;14,9;22,8;20,2;18,4;71,5;60;12,5;4,6;
2008-10-11;0;1002,2;14,5;28,7;22,1;17;63,6;39;9,5;3,5;
2008-10-12;16,8;1001,3;19,7;27,3;22;18,8;87,4;62;10;2,8;
2008-10-13;29;1001,2;19,6;29,8;23,8;20,1;79,3;49;9,8;2,8;
2008-10-14;0;999,2;18,6;31,4;23,9;18,9;75,6;33;10,2;2;
2008-10-15;0;998,4;18,8;31,9;24,5;19,8;73,5;38;8,8;2,3;
2008-10-16;0;997,2;19,1;34,4;25,2;18,8;73,1;33;8,7;1,8;
2008-10-17;0;997,3;20,4;31,2;25,4;22;75,8;48;9;3,2;
2008-10-18;0;996,4;18,7;32,7;25,8;21,6;68,7;33;9,8;2,7;
2008-10-19;0;997,3;19,4;34,3;25,9;20,6;70,8;32;10,3;2,8;
2008-10-20;,6;1001,6;19,8;30,9;24,2;21,7;77,4;46;9,3;3,5;
2008-10-21;13,2;1001,7;19,9;29,5;24,1;20,8;78,7;53;9,5;3,7;
