Nome: TRES RIOS
Codigo Estacao: A625
Latitude: -22.09833333
Longitude: -43.20833333
Altitude: 295
Situacao: Operante
Data Inicial: 2016-06-07
Data Final: 2024-07-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2016-06-07;null;null;null;null;null;null;null;null;null;null;
2016-06-08;null;null;null;null;null;null;null;null;null;null;
2016-06-09;null;null;null;null;null;null;null;null;null;null;
2016-06-10;null;null;null;null;null;null;null;75;3,1;null;
2016-06-11;null;985,5;null;20,8;16,3;12;null;null;7,2;1,5;
2016-06-12;0;989;null;20,5;12,8;7,2;null;null;5,8;,9;
2016-06-13;0;992,5;null;21,5;12,8;6,6;null;null;5,6;1;
2016-06-14;0;993;null;22;12,2;6,7;null;68;4;,6;
2016-06-15;0;990,6;null;23,2;13,1;6,9;74,8;49;4,5;,7;
2016-06-16;0;988,3;null;24,2;14,1;8,3;null;null;3,9;,7;
2016-06-17;0;985,8;null;26;15,6;9,6;null;null;3,8;,7;
2016-06-18;0;985,2;null;27,6;16,8;10;null;null;5,9;,7;
2016-06-19;0;986,6;null;23,6;17,3;13,7;null;82;4,9;,8;
2016-06-20;0;986,6;null;20,8;15,8;11,6;null;null;4,2;,8;
2016-06-21;0;988,2;null;23,6;18,4;14,7;null;null;6,5;1,2;
2016-06-22;0;987,8;null;22,9;17,7;14,5;null;null;5,8;,8;
2016-06-23;0;984,9;null;27,3;19,8;15,9;null;null;4;,7;
2016-06-24;0;987,3;null;24,9;18,7;16;null;null;7,5;1;
2016-06-25;0;990,1;null;24,9;18,4;15;null;47;5,4;,8;
2016-06-26;0;991,1;null;24;16;10,2;90,1;61;4,5;,7;
2016-06-27;0;990,9;null;25,2;18,7;13,4;null;null;5,1;,7;
2016-06-28;0;990,2;null;23,8;18,2;14,1;null;null;6,8;,7;
2016-06-29;0;988,8;null;25,6;18,3;13,6;null;60;5,5;,7;
2016-06-30;0;988,8;null;24,6;18,6;13,9;89,1;68;3,7;,6;
2016-07-01;,8;988,5;null;25,5;20,2;17,4;null;87;4,1;,6;
2016-07-02;0;989,2;null;26,7;18,8;14,2;90,6;63;4,4;,6;
2016-07-03;0;989,2;null;25,2;17,8;13,9;null;null;3,5;,6;
2016-07-04;0;988,8;null;25,9;18,3;13,2;null;null;5;,7;
2016-07-05;0;987,3;null;25,8;17,7;12,9;86,1;59;4,7;,7;
2016-07-06;0;984;14,7;27,5;18,4;12,7;80,5;47;5,3;,8;
2016-07-07;0;981,9;14,8;28,3;19,6;14,3;76,5;45;7,5;1,1;
2016-07-08;0;987,3;null;24,8;15,6;9,3;85,2;35;5,9;,8;
2016-07-09;0;987,3;null;22,1;15,3;11,4;73,2;57;5,6;,8;
2016-07-10;0;983,8;13,6;27;17,1;10,9;82,5;50;4,2;,7;
2016-07-11;0;981,4;15,2;30,6;19,3;12,3;80,3;43;3,8;,7;
2016-07-12;0;980,4;15;31,6;19,8;12,9;77,8;38;3,6;,7;
2016-07-13;0;982,2;15,1;31,1;19,9;13,9;77,6;38;5;,7;
2016-07-14;0;981,5;14;29,9;18,8;12;77,7;35;3,8;,8;
2016-07-15;0;979,5;14,1;30,4;19,1;12;76,5;38;3,9;,8;
2016-07-16;0;976,3;14,1;33,7;21,1;13,1;71;22;6,7;,9;
2016-07-17;0;980;13,2;24;19,8;16,1;66,8;45;8,6;2,1;
2016-07-18;0;984,9;9,6;22,2;15,5;10;71,7;37;6,8;1,2;
2016-07-19;0;986,8;10,5;19,5;13,9;9;80,5;60;4,6;,7;
2016-07-20;0;984,4;13,5;24,4;17,8;13,6;79,2;53;7,6;1;
2016-07-21;0;985;13,2;21,3;17,8;15,9;74,5;62;6,7;1,2;
2016-07-22;0;986,2;13,5;23,4;18,6;15,5;73,5;53;5,5;1;
2016-07-23;0;987,3;14,3;22,1;18,2;16,2;78,6;64;5,9;,8;
2016-07-24;0;986,7;14,9;26,8;19;14,2;79;47;4,9;,8;
2016-07-25;0;985,2;13,5;30;18,7;11,2;76,4;34;3,7;,7;
2016-07-26;0;984,1;14,5;28,9;19,1;12,8;78,6;38;6,4;,9;
2016-07-27;0;982,1;13,6;32,3;20,2;12,6;70,3;31;7,9;1,1;
2016-07-28;0;986,3;12,5;23,2;18,8;15,1;67,1;51;6,7;1;
2016-07-29;0;987,7;14,3;21,9;18,3;16,4;78,1;60;4,5;,8;
2016-07-30;0;988,4;14,4;26,5;18,7;14,2;78,3;43;3,9;,5;
2016-07-31;0;988;14,8;27,2;19,7;14,9;75,8;41;5,9;,8;
2016-08-01;0;985,7;13,6;27,8;20,6;17,4;66,4;37;5,7;,9;
2016-08-02;0;985,7;12,9;29,4;19,2;12;71,6;33;7,9;1,2;
2016-08-03;0;987,5;15,2;27,6;20,9;16,6;72;42;6,2;,8;
2016-08-04;0;987,6;14,8;26,8;20,5;17,4;71,3;44;5,1;,8;
2016-08-05;0;986,7;14,4;26,4;19,9;15,3;72,1;48;5,4;,8;
2016-08-06;0;984,7;13,8;29,9;19,2;12,4;74,8;35;3,9;,8;
2016-08-07;0;982,6;13,1;32,1;20,2;13;72,8;28;9,6;1,1;
2016-08-08;0;983;16,3;27,8;20,7;15,5;74,3;50;6,3;,9;
2016-08-09;0;982;16,8;30,9;22,9;17;70,9;41;5,9;1,1;
2016-08-10;0;982,2;15,9;23,4;19,7;18,2;79,6;61;9,7;2;
2016-08-11;1;984,1;9,9;22,9;17,6;11,9;62,9;36;10,8;2,1;
2016-08-12;,2;985,5;10,3;25;16,3;9,2;71,9;37;6,9;1,2;
2016-08-13;0;983,9;12;26,6;17,3;10,9;74;40;6,2;,8;
2016-08-14;0;980,9;12,8;30,8;18,6;11,3;73,4;33;4,8;,9;
2016-08-15;0;977,7;14;33,8;21,3;13,1;68;29;11,8;1,3;
2016-08-16;5,2;978,6;16,9;29,4;20,9;16,8;80,6;43;19,1;1,1;
2016-08-17;6,6;979,8;17,1;30,7;21,3;15,7;80,4;45;5,2;,9;
2016-08-18;0;981,5;17;32,3;23;17,4;72,4;36;9,5;1,3;
2016-08-19;0;983,5;16,9;30,3;22,8;18,2;71,5;44;6,9;1;
2016-08-20;0;979,9;17,3;31,1;23,6;18,5;70,8;42;7,2;1;
2016-08-21;0;978,2;17,4;26,4;22,5;20,3;73,5;52;10,8;1,3;
2016-08-22;,8;986,4;11,2;22,2;17,5;14,8;67,1;50;11,5;2,9;
2016-08-23;0;988,4;11,5;22,3;17,3;13,7;70;51;4;,8;
2016-08-24;0;988,2;12,2;26,5;19,3;14,7;65,3;39;5,3;,9;
2016-08-25;0;987,4;11,9;25,2;17,7;12,7;71,3;43;5,8;,8;
2016-08-26;0;985;11,7;27,3;17,6;10,3;71,9;37;6,9;1;
2016-08-27;0;984,3;12;28,8;18,7;10,9;69,4;33;7,8;1;
2016-08-28;0;983;13,1;31,2;20,3;12,5;68,4;33;7,2;1;
2016-08-29;0;982,2;13;32,7;21,2;12,5;65,3;28;6,5;1;
2016-08-30;0;981,6;14;32,8;22,2;13,3;63,8;31;6,3;1;
2016-08-31;0;980,9;17,1;32;22;16,7;76,2;42;7,7;1,1;
2016-09-01;48,8;984,2;18,3;26,4;21,3;18,3;84,1;63;6,2;,9;
2016-09-02;0;986;17,5;28,9;22,3;18,6;75,9;47;6,1;,8;
2016-09-03;0;985,9;16,5;27,5;20,6;16;79,1;49;6,5;,9;
2016-09-04;0;985,1;16,2;29,5;21,5;16,2;74,8;41;5,7;,9;
2016-09-05;0;984,4;15,7;30,3;22,1;15,8;70,9;37;6,3;,9;
2016-09-06;0;983,3;16,3;30,1;22,3;15,7;72,3;40;5,1;,9;
2016-09-07;0;981,3;16,9;33,3;23,3;17,4;71,3;35;9,8;1;
2016-09-08;3,4;982,3;17;28,3;21,3;18,5;77,8;52;8,7;1,5;
2016-09-09;0;985,4;16,5;26,5;21,3;18,4;74,8;56;7,3;1,6;
2016-09-10;0;987,2;16,8;30;22,7;19,1;71,3;43;4,8;1;
2016-09-11;0;985;16,5;30,1;21,8;15,1;74;43;8;,9;
2016-09-12;0;981,2;16,2;32;22,9;16,3;69,8;33;6,6;1;
2016-09-13;0;979,9;16,1;33,2;23,9;16,3;65,4;33;7,7;1,1;
2016-09-14;0;977,5;15,8;34,4;24,8;16,6;61,4;31;7,5;1,2;
2016-09-15;0;978,8;15,5;31,7;23;18,4;65,2;33;10,6;1,7;
2016-09-16;1,4;984;14,5;26,1;20,7;17,6;70,3;39;5,7;,7;
2016-09-17;5;982,6;17,4;28,9;21,8;17,3;77,4;53;8,7;1;
2016-09-18;,2;980,2;18,6;34,7;24,9;17,8;71,7;38;12,3;1;
2016-09-19;0;979,9;17,6;34,3;24,4;18,2;68,1;33;12,3;1,8;
2016-09-20;,4;980,6;17;24,6;21,2;20;77;64;8,1;2,1;
2016-09-21;0;983,6;11,7;25,6;19,9;16,1;60,6;39;10,9;3,2;
2016-09-22;0;985,4;11,2;28,3;19,7;14;62,8;29;5,4;,8;
2016-09-23;0;984,5;13,8;28,1;20,1;13,8;69,4;42;6;1;
2016-09-24;0;981,4;15,5;31,5;21,4;14,5;71,8;40;11,7;1,5;
2016-09-25;0;981,1;16,5;22,9;20,5;19,3;78,3;69;7,6;1,9;
2016-09-26;3,8;981,8;14,8;23,5;19,3;16,4;76,3;57;7,9;1,2;
2016-09-27;0;983,1;15;26,6;20,4;16,6;72;48;6,3;1,1;
2016-09-28;,2;983,3;15,6;26,6;20,6;17,2;74,7;52;5,5;,9;
2016-09-29;,2;978,8;15,2;32,6;22;14,8;69,5;35;10,3;1,5;
2016-09-30;0;980,9;14,9;25,3;21,7;19,3;65,9;51;6,1;1,2;
2016-10-01;1,4;985;16;21,3;19;16,8;83,1;71;5;1;
2016-10-02;,2;986,2;15,4;24;19,3;16,7;78,8;57;6,5;,9;
2016-10-03;,2;983,4;15;22,7;19,6;17,5;75,2;62;6,3;1,3;
2016-10-04;17,8;977,8;17,2;20,1;18,5;17,1;92,5;86;5,8;,9;
2016-10-05;20,8;977,3;16;26,5;20,5;15,6;77,3;49;7,1;1,4;
2016-10-06;6,8;973,2;16,3;21,8;19;17,3;84,7;71;5,6;,9;
2016-10-07;,2;974,5;15,6;27,4;21,3;17,8;73,2;38;10,1;1,7;
2016-10-08;,2;979,4;14,4;29,9;20,6;12,5;71,2;38;5,8;,9;
2016-10-09;0;981,7;16,6;30,2;21,5;15,6;75,8;45;8,7;1,3;
2016-10-10;0;985,8;16,9;24,9;21,2;19,1;76,7;58;4,9;,9;
2016-10-11;,8;984,2;16,7;25,3;20,8;18,1;78,1;60;5,8;1;
2016-10-12;1,8;982,2;17,6;29,6;22,9;17,9;73,5;51;6,4;1,1;
2016-10-13;,2;982;17,1;31,4;24,6;19;65,1;40;8;1,3;
2016-10-14;,6;982,8;18,7;28,8;23,7;20,2;75,2;52;4,4;,8;
2016-10-15;0;981,3;19,6;33,7;25,8;21;70,6;42;7,5;,8;
2016-10-16;18,4;979,5;21;32,5;25,5;21,2;78,6;50;5,9;,9;
2016-10-17;,2;978,1;20,2;34,5;25,9;19,6;74,1;39;6,9;,8;
2016-10-18;0;977,5;20;36;26,9;20,4;69,5;34;5,8;,9;
2016-10-19;0;975,9;20,5;36,8;27,7;20,6;72,8;37;5;,8;
2016-10-20;0;974,6;21;35,8;27,5;21;69,9;39;8,2;1,3;
2016-10-21;0;976,5;21;33,3;26,9;23,9;71;49;11,3;2;
2016-10-22;0;981,4;18,7;28,1;24,2;21,8;71,5;56;6,7;2,2;
2016-10-23;,8;983,1;18,6;28,9;23,5;19,6;75;54;4,9;,8;
2016-10-24;0;980,6;19,1;30,5;24,2;21,1;74,4;48;4,1;,8;
2016-10-25;0;979,4;19,8;29,1;25,2;21,9;72,7;56;5,9;,9;
2016-10-26;0;977,6;19,8;29,7;24,9;22,6;73,5;57;7,3;1,5;
2016-10-27;1,8;972,6;20,6;35,7;26,9;21,6;70,7;38;5,9;1;
2016-10-28;1,8;975,7;18,5;29,3;23,9;22,2;73,5;51;11,4;2,2;
2016-10-29;,2;985,3;13,4;26;20,9;17,8;63,1;44;6,4;1,9;
2016-10-30;0;986,1;15,3;25,4;21,3;18,6;69,1;54;4,8;,9;
2016-10-31;0;983,2;15,5;27,8;21,8;18,9;68,1;47;5,9;1,1;
2016-11-01;0;980,8;16;32,4;24,3;17,7;62,7;35;6,8;1,1;
2016-11-02;0;980,1;17;33,4;25,9;19,1;61;34;7,4;1,1;
2016-11-03;0;981,2;19;34,9;25,2;20,7;71,4;35;13,5;1,3;
2016-11-04;40,2;985,8;19,5;23,4;21,2;19,8;90,1;80;5;1,2;
2016-11-05;7,4;986,6;18,9;23,7;20,8;19,6;89,3;74;5,9;1,1;
2016-11-06;16,2;984,5;17,5;28,1;21,6;18;80,3;46;7,5;,9;
2016-11-07;,2;982;18,1;27,5;22;17,7;79,4;56;7,1;,9;
2016-11-08;1,4;980,2;18,5;30,3;22,4;17,9;79,6;47;6,8;1;
2016-11-09;1;979,1;19,3;31,1;24,3;18,9;75,8;48;6,9;1,1;
2016-11-10;64,6;977,7;20,6;31,2;24,7;19,6;79,5;56;8,1;1,1;
2016-11-11;0;976,1;20,9;33,4;25,2;20,4;78,7;49;6,4;,8;
2016-11-12;35,8;977;19,9;31;23,9;19,6;79,8;51;7,8;1,2;
2016-11-13;19,8;978,3;20,4;23,3;21,6;20,2;93,1;81;2,4;,5;
2016-11-14;42,2;974,1;19,7;21,9;20,4;19,9;95,3;91;3,4;,5;
2016-11-15;37,2;969;20,9;30,8;23,9;20;84,5;59;5;1;
2016-11-16;,2;970,4;21,7;33,4;25,9;22,1;78,8;50;8,6;1,2;
2016-11-17;,8;973,6;21;32,9;24,8;21,5;80,8;48;7,8;1;
2016-11-18;3,6;974,1;19,5;27,7;22,5;21,7;83,6;67;10,9;1,6;
2016-11-19;2,2;979,1;11,6;24,2;19,3;15,9;62,9;35;10,4;2,9;
2016-11-20;,2;980,3;12,1;28,4;19,4;11,4;67,3;33;5;1,1;
2016-11-21;0;979,8;15,7;29,9;22;15,6;69,4;45;5,5;,9;
2016-11-22;0;977,6;19,1;30,6;23,2;19,2;78,9;51;5,1;,8;
2016-11-23;3,6;977,5;19,6;24,6;21,6;19;88,5;75;4,5;,8;
2016-11-24;,2;978,8;19,9;31,3;24,8;19,9;76;49;8,9;1,4;
2016-11-25;0;981,4;18,4;31,3;24,7;19,5;70,7;44;5,6;,9;
2016-11-26;0;981;18,9;30,7;24,6;21,3;71,7;48;5,8;1;
2016-11-27;0;979,8;19,5;31,4;25,2;19,9;72,3;49;6,4;,9;
2016-11-28;0;978,4;20,4;33,2;25,5;19,5;74,9;50;6,9;1,2;
2016-11-29;39,4;976,9;21,9;33,8;25,8;21,6;81,3;47;10,5;1,4;
