Nome: RIO CLARO
Codigo Estacao: A626
Latitude: -22.653579
Longitude: -44.040916
Altitude: 516
Situacao: Operante
Data Inicial: 2016-06-02
Data Final: 2024-07-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2016-06-02;null;null;null;null;null;null;null;null;null;null;
2016-06-03;null;null;null;null;null;null;null;null;null;null;
2016-06-04;null;null;null;null;null;null;null;null;null;null;
2016-06-05;null;null;null;null;null;null;null;null;null;null;
2016-06-06;null;null;null;null;null;null;null;91;5,6;null;
2016-06-07;null;956;16,3;21,3;17,6;16,2;92,3;80;9,8;2;
2016-06-08;4,4;960,1;14,1;18;15,4;14,8;92;82;7;1,7;
2016-06-09;,8;962,2;12,2;20,1;14,9;12,3;84,7;49;7,5;1,5;
2016-06-10;0;961,4;null;18;14,2;11,1;null;89;5,7;1,2;
2016-06-11;0;962,6;8;18,8;14;9,9;67,3;36;8,2;2,1;
2016-06-12;0;965,6;8,6;19,2;11,7;7,2;83,2;47;8,6;1,3;
2016-06-13;0;969,2;7,8;18,6;12;6;78,1;43;5,7;1,5;
2016-06-14;0;969,1;9,1;19,8;12,3;6,5;82,7;50;7,5;1,2;
2016-06-15;0;966,6;9,8;22,6;13,5;6,6;81,3;46;5,3;1,1;
2016-06-16;0;964,4;11;23,5;14,8;7,8;81;46;5,9;1,2;
2016-06-17;0;961,9;12,6;25,5;16,1;9,1;82,4;48;5,2;1;
2016-06-18;0;962,2;13,3;24,1;16;9,8;85,3;56;9,6;1,4;
2016-06-19;0;963,3;14,6;22,4;17,2;15;85,8;61;5,2;1,3;
2016-06-20;0;963,3;14,9;18,5;16,6;15,7;89,5;80;5,8;1,3;
2016-06-21;0;965,5;14,1;19,8;16,3;14,5;87,4;70;8;1,3;
2016-06-22;,2;963,9;14;22,6;16,9;14,2;84,5;59;8,7;1,9;
2016-06-23;0;961,8;14,9;25,2;17;13,6;88,1;55;8,1;1,7;
2016-06-24;3,4;964,6;14,5;17,4;15,7;14,6;94;84;6,8;1,5;
2016-06-25;0;967,1;null;20,8;16,4;13,8;null;64;6,6;1,4;
2016-06-26;,2;967,5;null;21,9;16,5;12,3;null;null;7,9;1,4;
2016-06-27;0;967,5;null;22,6;17,1;13,9;null;null;9;1,6;
2016-06-28;0;966,5;null;23,5;17;11,9;null;null;7,6;1,8;
2016-06-29;0;965,1;null;25,8;17,7;11,6;null;null;6,3;1,4;
2016-06-30;0;965,4;null;24,2;17,5;11,4;null;null;5,8;1,1;
2016-07-01;0;965,5;null;22,8;18,9;17;null;null;5,6;1,3;
2016-07-02;3;965,6;null;26,1;20;16;null;null;5,7;1,3;
2016-07-03;0;965,4;null;24,2;17,6;12,7;null;null;5,5;1,3;
