Nome: SANTA MARIA MADALENA
Codigo Estacao: A630
Latitude: -21.95055555
Longitude: -42.01027777
Altitude: 586
Situacao: Operante
Data Inicial: 2018-10-15
Data Final: 2024-07-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2018-10-15;null;null;null;null;null;null;null;null;null;null;
2018-10-16;null;null;null;null;null;null;null;83;4,7;null;
2018-10-17;null;951,3;18,5;25,1;20,8;18,4;87,1;68;5,4;,4;
2018-10-18;2,2;948,8;20,2;25,5;21,7;19,8;91,5;73;4,9;,2;
2018-10-19;,2;945,7;20,2;28,4;22,6;20,3;87,2;61;6;,5;
2018-10-20;15,4;950,1;14,4;22,6;18,7;16,9;76,8;51;9,6;2,5;
2018-10-21;0;952,6;11,3;22,2;17,1;13,8;69;49;8,9;1,8;
2018-10-22;0;953,1;13,2;22,7;17,3;11,9;78,4;57;5,5;,6;
2018-10-23;0;951,1;14,9;29,9;20,2;12,5;75;40;7,1;,7;
2018-10-24;0;951,6;17,7;27,1;21,2;17,4;81,4;59;9,5;1,8;
2018-10-25;1,6;951,1;17,9;21,6;19,3;18,5;91,8;78;5,8;,4;
2018-10-26;9,6;948,2;18,1;22,8;19,6;17,4;91,5;79;5,3;,6;
2018-10-27;1;943,1;19,7;28,6;22,3;19;85,8;64;8,3;,6;
2018-10-28;1,8;946,2;16,5;25;20,8;18,1;77,2;53;7;1;
2018-10-29;,2;951,9;13,6;19,1;16,9;15,3;81,3;70;6,4;1,2;
2018-10-30;0;953,3;15,5;23,6;19;15,7;80,9;61;5;,5;
2018-10-31;0;952,1;17,7;28,3;21,1;16,2;82,6;54;6,2;,4;
2018-11-01;0;949,1;19,6;31,4;23;18,1;82,7;51;7,5;,4;
2018-11-02;3,4;950;17,8;24,4;20,6;17,6;85;65;6,9;1,2;
2018-11-03;,2;948,3;18,1;29,5;22;17,1;80;52;8,8;,6;
2018-11-04;0;946,8;19,4;29,3;22,5;19,5;84,1;53;9,2;1,2;
2018-11-05;15,8;951,7;16,3;19,6;17,7;16,9;91,6;85;8,9;2,2;
2018-11-06;1,6;952,5;16,3;22,9;18,7;16,2;86,5;72;7,2;1,3;
2018-11-07;,6;951,8;18,3;27,2;21,4;17,8;83,4;55;8;,6;
2018-11-08;10,4;953,9;17,4;21;18,9;17,9;91,3;75;10,8;,8;
2018-11-09;14,6;954;17;20,1;18;16,1;94,3;87;3,6;,1;
2018-11-10;7,4;950,5;17,8;25,7;20,3;17,1;86,7;62;5,4;,5;
2018-11-11;,2;949,2;17,9;27,8;21,7;17,8;80,3;52;5,7;,6;
2018-11-12;0;950,5;18,5;28;21,9;18,1;81,6;59;7,5;,9;
2018-11-13;0;951,3;18,6;29;22,3;17,4;81,2;53;6,5;,8;
2018-11-14;0;948,8;19,6;30;23,4;20,5;81;51;8,6;,6;
2018-11-15;0;946,8;19,6;30,6;23,5;18,7;80,7;55;10;,9;
2018-11-16;,6;950,5;20,6;25,2;22,6;21,1;88,6;76;7,4;1,1;
2018-11-17;26,6;953,1;18,3;25,2;21,2;19,5;83,7;68;8,1;1,9;
2018-11-18;0;951,2;19;28,6;22,2;17,7;83;56;8;,5;
2018-11-19;0;949,3;19,2;25,7;22;18,6;84,7;62;6,3;,4;
2018-11-20;23,8;952,9;16,1;20,3;17,4;16,5;92,3;87;8,6;1,9;
2018-11-21;25,2;954,1;17,1;21;18,5;16,4;92,2;83;5,3;,5;
2018-11-22;3,2;953,2;17,8;26,5;20,4;15,8;85,9;60;6,2;,4;
2018-11-23;0;950,9;17,9;28,3;22,2;18;78,3;49;7,6;,5;
2018-11-24;0;949,8;18;26,7;21,6;17,4;81,2;59;6,8;,3;
2018-11-25;0;950;19;27,2;21,5;19,6;86,4;56;6;,3;
2018-11-26;5,2;952;18;27,1;20,8;16,2;85,3;61;7,9;,8;
2018-11-27;0;953,1;18,1;26,6;21,2;17,4;83,5;62;7,8;,9;
2018-11-28;2,4;952,5;17,1;27,6;20,8;16;80,9;45;7,9;1;
2018-11-29;0;950,1;16,7;28,6;21,4;15;77,1;47;6,1;,4;
2018-11-30;0;946;18,4;30,3;22,4;16,9;80,5;52;7,1;,5;
2018-12-01;6,6;944,1;19,6;23,5;20,8;18,8;92,6;82;8,3;,4;
2018-12-02;1,2;943,8;20,3;27,2;22,5;21,2;87,3;67;6,9;,7;
2018-12-03;,4;946;17,6;24,1;20,5;19,5;83,8;68;7,9;1,4;
2018-12-04;,4;945,7;18;24,9;20,7;17;84,7;67;5,2;,4;
2018-12-05;,2;945,9;19;30,3;23,3;18;78,3;54;9,6;,7;
2018-12-06;0;949,3;18,3;26,9;22,3;18,1;78,8;59;10,1;1,2;
2018-12-07;0;950,3;17,4;24,5;20,3;18,2;83,8;67;6,9;,9;
2018-12-08;27,4;952,5;14,8;19,9;17,5;16,5;84,5;65;11,3;2,6;
2018-12-09;0;956,9;12,4;23,6;17,8;11,6;72,6;46;7,1;,8;
2018-12-10;0;957,9;15;26,7;19,1;12,7;79,1;51;5,6;,3;
2018-12-11;0;955,8;17,4;29,6;21,4;15,3;80,3;48;7,3;,4;
