Nome: ECOPORANGA
Codigo Estacao: A631
Latitude: -18.29138888
Longitude: -40.73638888
Altitude: 224
Situacao: Operante
Data Inicial: 2017-03-16
Data Final: 2024-07-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2017-03-16;null;null;null;null;null;null;null;null;null;null;
2017-03-17;null;null;null;null;null;null;null;63;5,2;null;
2017-03-18;4,6;987,4;19,2;33,8;27,1;21,8;62,8;45;7,8;1,5;
2017-03-19;0;988,6;21,2;31,9;26;22,9;76,3;47;8;1,8;
2017-03-20;0;988,8;21,2;32,3;25,9;22,8;76,4;49;10,1;2,1;
2017-03-21;32;990,6;19,5;30,4;24,5;20,6;76,1;45;8,9;1,4;
2017-03-22;0;991,2;18,3;31,1;24,7;19,1;69,8;44;9,3;1,9;
2017-03-23;0;989,9;18,3;30,1;24,9;20,7;69,3;41;7,8;1,9;
2017-03-24;0;988,1;18,1;30,3;24,2;18,5;70,7;47;7,9;1,8;
2017-03-25;0;986,4;19,6;32,9;26;20,6;70,2;41;6,9;1,6;
2017-03-26;0;985,9;21,1;34,1;27,1;21,6;72,8;40;7,1;1,6;
2017-03-27;0;987;22,4;32,6;26,7;23,7;78,9;46;8,6;2;
2017-03-28;5,2;987,2;21,2;25,4;22,9;22,4;90,3;82;9,9;2;
2017-03-29;6,8;987,5;19,5;29,1;23,4;19,8;80,1;52;7,9;1;
2017-03-30;,2;987,5;19,5;30,3;23,9;19,3;78,3;49;7,8;1,4;
2017-03-31;,2;988,8;19,2;30,5;24,1;19,1;76,1;45;9,9;1,5;
2017-04-01;3,4;990,1;18,4;29,6;23,6;19,8;74,8;46;9,4;1,6;
2017-04-02;5,2;989;19,3;29,9;23,9;19;77,4;47;7;1;
2017-04-03;0;988,8;19,6;30,3;24,5;19,7;76,7;44;5,2;1,2;
2017-04-04;0;989,4;19,7;31,9;25,3;20,2;74,3;39;10,6;1,6;
2017-04-05;0;990,1;21,4;31,1;24,9;20,7;81,7;52;6,8;1,2;
2017-04-06;,4;989,7;21,3;32,7;26,5;21,6;75,5;47;6,4;1,5;
2017-04-07;0;988,5;20,7;32;25,9;21;75,1;46;6,3;1,1;
2017-04-08;0;988,9;20,7;32,8;26,3;22,2;73,6;42;8;1,5;
2017-04-09;0;988,6;20,3;33;25,7;20,8;74,8;40;8,9;1,6;
2017-04-10;0;988,2;20,1;32,9;25,9;20,4;73,5;43;8,7;1,3;
2017-04-11;22,6;987,9;22;28,9;24,8;21,7;84,9;60;8,1;1,4;
2017-04-12;1,8;987,1;21,5;32,3;25,7;21,4;79,5;49;8,2;1,3;
2017-04-13;5,8;989;21;29,5;24,9;21,1;79,7;53;10;1,6;
2017-04-14;,2;990,8;20,6;29,3;24,1;21,5;81,5;58;8,9;2,2;
2017-04-15;0;991,3;20,3;29,2;23,8;21,3;81,6;55;8,7;1,7;
2017-04-16;0;989,4;19,9;30;24,3;20,1;77,7;53;5,4;1,3;
2017-04-17;0;986,6;19,7;33,7;25,8;19,4;73,1;38;7,2;1,3;
2017-04-18;0;989;19,6;29,7;24,9;22,8;74;48;9,5;2,8;
2017-04-19;0;990,8;17,8;27,1;23,4;19,5;71,5;55;10,4;2,6;
2017-04-20;0;990,7;16,6;28,7;23,2;19,1;67,8;43;10,4;2;
2017-04-21;0;989,4;15,9;30,3;23,5;16;65,4;39;5,5;1,1;
2017-04-22;0;987,6;18,6;33;24,9;18,1;70,8;40;7;1,1;
2017-04-23;0;989;21,1;29,4;25,2;22,8;79,3;57;8,5;2,3;
2017-04-24;0;990,7;19,3;29,5;24,6;20,3;73,4;52;10,3;2,3;
2017-04-25;1,4;989,6;19,7;27,2;23,7;20,7;79,3;62;10,3;2,2;
2017-04-26;0;988,2;19,1;31,8;24,9;19,3;73,5;40;5,7;1,1;
2017-04-27;0;987,6;21,6;33,1;26,4;21,7;76,8;48;6;1,3;
2017-04-28;0;990,1;21,3;31,2;25,8;22,9;77,8;51;11,4;2,6;
2017-04-29;0;992,7;18,4;26,3;23,3;21,7;74,1;62;8,8;3,1;
2017-04-30;0;993,7;17,9;24,4;22,1;19,8;77,5;65;9,4;2,9;
2017-05-01;,6;994;16,6;27,6;22,9;19,5;69,7;43;10;3,2;
2017-05-02;0;993,2;16;27,4;23,5;20,8;63,8;46;10,4;3,4;
