Nome: MARILANDIA
Codigo Estacao: A632
Latitude: -19.40722222
Longitude: -40.53972221
Altitude: 95
Situacao: Operante
Data Inicial: 2017-03-21
Data Final: 2024-07-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2017-03-21;null;null;null;null;null;null;null;null;null;null;
2017-03-22;null;null;null;null;null;null;null;null;null;null;
2017-03-23;null;null;null;null;null;null;54,7;40;8,4;null;
2017-03-24;0;1002,5;18,7;30,6;23,7;17,7;75,5;49;7;1;
2017-03-25;0;1000,3;20,5;35,3;26,9;21;71,5;40;8,4;1;
2017-03-26;0;1000,3;20;35,7;27,1;20,2;69,2;33;7,5;1,3;
2017-03-27;0;1001,6;20,1;30,2;26,1;22,8;70,7;52;6,9;1;
2017-03-28;1;1002,1;20,5;25,8;22,1;22,2;90,9;66;7,2;1;
2017-03-29;13,8;1001,8;19,4;31;22,7;18,1;84,3;47;6,6;,9;
2017-03-30;4,8;1001,8;17,8;31,3;23,7;18,1;73,8;38;6,9;1,1;
2017-03-31;,2;1003,2;18,3;31,7;23,8;18,2;74;45;8,8;1,5;
2017-04-01;0;1004,4;16,8;31,5;23,8;17,1;68;39;8,9;1,3;
2017-04-02;0;1003,3;18,3;31,5;23,9;17,9;73,5;42;7;1,2;
2017-04-03;0;1003,1;19,2;32,5;24,8;19,3;73,9;44;7;1,4;
2017-04-04;0;1003,8;20;32,1;25;19,5;76;44;8,2;1,2;
2017-04-05;0;1004,2;20,3;33,2;25,6;19,4;75;45;6;1;
2017-04-06;0;1003,6;20,7;34;27;21,2;70,8;43;6;1,3;
2017-04-07;0;1002,4;20,3;34,6;27,5;21,9;67,7;39;6,7;1,4;
2017-04-08;0;1003;20,5;34,2;26,7;21,1;71,7;41;6,8;1;
2017-04-09;0;1003;20,5;33,2;25;19,5;78;45;8;1;
2017-04-10;1,4;1002,5;20,9;32;25,4;20,5;77,8;50;9,9;1,1;
2017-04-11;2,8;1002,1;21,4;30,2;25,1;21,9;80,9;59;9,6;1,3;
2017-04-12;0;1001,3;20,4;34,1;26;19,8;74,4;41;10,2;1,6;
2017-04-13;0;1003,5;21,9;28,3;24,2;21,4;87,2;66;7,9;1,1;
2017-04-14;2;1005,5;20,7;28,5;23,1;20,3;87,4;63;9,9;1,2;
2017-04-15;0;1005,9;20,4;30;24,3;21,3;80,5;57;7,5;1,4;
2017-04-16;0;1003,3;19;32,3;24,9;19,1;73,1;41;4,8;,9;
2017-04-17;0;1000,8;19,8;34,8;25,9;19;73,1;34;8,4;1,5;
2017-04-18;0;1003,5;18,5;28,9;25;22,3;68,8;49;8,1;2;
2017-04-19;0;1005,6;17,3;29,3;22,8;17,7;72,5;49;13,3;2,5;
2017-04-20;0;1005,2;16,9;29,4;23,2;18,5;69,9;43;9,3;1,7;
2017-04-21;0;1003,6;16,2;31,8;23,2;16;69,6;34;6,4;1;
2017-04-22;0;1001,6;17,9;34,9;25,2;17,4;67,8;36;6,9;1,2;
2017-04-23;0;1003,8;20;28,8;25,5;23,6;72,8;53;7,4;1,8;
2017-04-24;0;1005,6;20,3;27,6;23,8;21,1;80,9;63;8,3;1,6;
2017-04-25;0;1004,2;19,4;28,1;24,1;21,2;75,6;60;7,5;1,7;
2017-04-26;0;1002,2;19,3;33,7;25;18,4;74,6;35;6,6;1;
2017-04-27;0;1001,5;21,3;35,2;27,2;21,5;73,4;40;7;1,1;
2017-04-28;0;1004,9;20;29,9;25,8;22,9;71;55;9,1;2,2;
2017-04-29;0;1007,5;17,9;27,3;23,8;22,5;69,9;58;11,5;3,8;
2017-04-30;,4;1008,7;17,1;26,3;23,2;20,1;69,7;50;11,1;2,9;
2017-05-01;0;1009;16,8;29,4;23,8;20,2;67,1;40;10,9;2,6;
2017-05-02;0;1008,3;16,5;26,2;23;21,4;67,5;54;8,1;2,1;
2017-05-03;0;1008,3;16,7;27,8;22;17,1;73,8;48;5,8;1,4;
2017-05-04;0;1006,5;19,2;27,9;23,4;20,6;78;55;8;1,1;
2017-05-05;0;1005;18,3;32,2;23,5;17,7;76,1;38;5;,9;
2017-05-06;0;1003,5;18,8;32,8;24,5;17,9;73,8;41;5,5;1,1;
2017-05-07;16,8;1002,8;20,1;28,2;23,5;20,6;82,3;61;7,3;1,3;
2017-05-08;0;1002,5;18,9;30,3;23,7;18,5;76,6;47;6;1;
2017-05-09;0;1002,7;18,8;31,5;23,5;18,8;78,2;41;5,2;,8;
2017-05-10;0;1002,9;19,7;32,7;24,7;20;76,8;39;8;1,3;
2017-05-11;0;1004;17,2;31,6;23,8;19,3;69,3;38;10,2;1,7;
2017-05-12;0;1006,5;15,3;27,6;21,6;15,7;69,2;46;8,5;1,8;
2017-05-13;0;1006,1;14,9;29,2;20,6;14,2;74;37;5,3;,9;
2017-05-14;0;1001,1;16,4;32,3;22,5;15,3;73;39;7,6;1,3;
2017-05-15;0;999;18,1;33,1;24;18,1;72,3;38;8;1,2;
2017-05-16;0;1003;17,5;26;23;20,5;72;53;6,8;1,2;
2017-05-17;0;1005,7;16,5;25,5;22;19,8;71,6;54;5,9;1,2;
2017-05-18;0;1005,9;17,1;24,6;21,4;19,6;77;60;7,4;1,2;
2017-05-19;0;1004;17,6;24,6;20,9;18,2;81,8;65;6,2;1;
2017-05-20;3,6;1004,3;19,5;22,7;21;19,4;91,2;73;6,3;1,2;
2017-05-21;,8;1006,4;21;24,3;21,8;20,6;94,8;84;6,4;1,2;
2017-05-22;13,6;1005,6;20,9;27;22,9;20,7;89;68;5,1;1,1;
2017-05-23;9;1006,7;19,5;25,5;22,4;20,9;83,9;65;7,9;1,7;
2017-05-24;0;1009;19,4;25,3;21,7;20,1;87;69;5,6;,8;
2017-05-25;9,2;1009,5;19,8;25,3;21,6;20,4;89,9;67;5,9;,8;
2017-05-26;,6;1009;17,9;28,2;21;17;84,5;47;5,5;,8;
2017-05-27;0;1008,4;18,5;27,2;21,2;17,3;85,9;61;6,4;,8;
2017-05-28;0;1008,4;18,5;28,8;22,6;19,2;79,8;46;7;1;
2017-05-29;0;1008,4;17,4;27,2;21,2;16;80,8;53;4,9;,8;
2017-05-30;0;1006,6;17;28,9;21,6;16,5;78,1;41;6,3;,9;
2017-05-31;0;1004,7;17,2;30;23,1;19,1;73,4;38;5,2;,9;
2017-06-01;0;1004,6;18,2;29,8;null;17;83,9;53;6,7;1;
2017-06-02;null;1004;19,9;33,4;24,4;18,4;78,8;45;11;1,4;
2017-06-03;0;1008,4;17,5;24,4;22,6;21,1;73;62;6,4;1,3;
2017-06-04;0;1007,9;19,4;29,2;23,6;20,8;78,8;54;4,8;,8;
2017-06-05;0;1005,9;19,3;30,8;23,9;20,1;77,6;44;6,4;1,2;
2017-06-06;0;1004,9;18,4;31,2;22,9;17,2;78,5;44;5,9;,9;
2017-06-07;0;1004;18,3;31,5;23,1;16,9;77,5;44;6,1;1;
2017-06-08;0;1004,1;19,1;30,8;23,9;18,6;76,9;48;6,7;1,3;
2017-06-09;0;1002,9;19,5;32;25;18,8;74,1;46;6,5;1,2;
2017-06-10;0;1003,7;18,6;26,6;21,9;18,6;82,1;61;10,4;1,8;
2017-06-11;0;1007;17,7;24,6;21,3;19,6;80,2;68;4,4;,9;
2017-06-12;0;1007,2;19,9;28,7;22,6;19,2;85,7;59;4,5;,9;
2017-06-13;,4;1007,5;19,1;29,6;23;18;80,3;52;5;,9;
2017-06-14;0;1007,9;18,7;29,9;23,4;17,8;77,3;49;6;1,3;
2017-06-15;1,4;1009,2;17,7;27,8;22,5;18;76,5;45;11,2;2,1;
2017-06-16;0;1009,2;17;29,1;21,1;15,5;79,9;46;5,7;1;
2017-06-17;0;1007,7;18,3;29,3;22,1;18,4;80,8;50;5,7;,9;
2017-06-18;0;1006,4;17,9;29,2;22,7;17,8;76,7;45;4,6;,8;
2017-06-19;0;1006,1;16,4;30;21,4;15,5;76,5;40;4,9;1;
2017-06-20;0;1007,5;15,9;29,6;21;13,7;75,1;46;9,8;1;
2017-06-21;0;1009,9;17,8;27,3;21,1;17,7;83,3;49;11;1,6;
2017-06-22;8,8;1010,5;18,8;23,9;20,6;18,5;90;70;8,4;1,6;
2017-06-23;23,4;1010,8;19;24,5;20,4;19,1;92,3;66;8,6;1;
2017-06-24;5,8;1011,3;17,6;25;19,6;17,6;89,3;62;13,7;1,8;
2017-06-25;1,2;1011,3;17,9;25,3;20,3;17;86,7;63;9;1,5;
