Nome: VENDA NOVA DO IMIGRANTE
Codigo Estacao: A633
Latitude: -20.38555555
Longitude: -41.18999999
Altitude: 722
Situacao: Operante
Data Inicial: 2017-02-09
Data Final: 2024-07-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2017-02-09;null;null;null;null;null;null;null;null;null;null;
2017-02-10;null;null;null;null;null;null;null;49;6,1;null;
2017-02-11;null;933,3;18,1;28,7;21,2;16,5;84;54;6,2;,9;
2017-02-12;3,4;933,4;17,2;28,5;21,2;15,8;80,1;51;7,5;1,1;
2017-02-13;null;934,5;16,4;29,2;null;16,8;70,1;40;8,2;1,9;
2017-02-14;0;937,5;18,7;25,8;21,4;18,7;85,1;67;7,5;,8;
2017-02-15;,8;939,3;18,3;28,1;21,5;16,5;83,4;48;5,8;,9;
2017-02-16;7,6;937,5;18,4;28,2;21,4;15,7;85;45;4;,6;
2017-02-17;6,6;935,1;18,1;30,6;22,4;16,3;79,9;39;5;,8;
2017-02-18;0;934,9;17,6;30,7;22,7;16,6;76,9;37;5,6;,9;
2017-02-19;0;936,1;18,6;30,3;22,9;17,1;79,5;48;6,4;,9;
2017-02-20;,4;937,1;17,9;28,8;22,1;16,8;78,8;46;6,7;1,2;
2017-02-21;,2;937,2;18;26,6;20,8;17;84,9;61;6,3;,9;
2017-02-22;1;936,6;18;26,5;20,4;16,4;87,2;60;5,1;,7;
2017-02-23;3,6;935,4;17,2;29,6;22,2;16,4;76,5;44;6,6;1,2;
2017-02-24;0;933,5;17,4;30,6;22,6;16,8;75,4;42;7,5;1,4;
2017-02-25;0;932,3;17,9;30,7;23,2;17,6;75,5;40;6;1;
2017-02-26;0;933,1;17,9;28,1;22,2;18,1;78,5;50;6,7;1,1;
2017-02-27;0;932,7;18,3;29,6;22,6;18,3;79;49;6,1;,9;
2017-02-28;0;931,4;19,4;29,8;22,4;19,2;84,3;50;6,1;1;
2017-03-01;5;931,5;19,5;26,6;22,3;18,5;85,1;64;8,7;1,4;
2017-03-02;,2;933,1;19,4;31,3;24,1;18,5;77,4;45;6,4;1,3;
2017-03-03;0;934,7;17,7;30,1;23,2;17,4;74,1;44;6,5;1,1;
2017-03-04;0;932,5;17,6;30,1;22,3;17,1;77,3;41;6,5;1,1;
2017-03-05;0;929,8;18,2;31,9;23,1;16,8;76,7;43;8,4;1,3;
2017-03-06;0;930,7;20,2;32,4;24,5;18,9;79,2;48;5,3;1;
2017-03-07;1,4;933,1;20,5;30,3;23,6;19,6;84,3;56;7,2;1;
2017-03-08;3,8;934,1;20,1;28,5;21,8;19,6;90,6;61;7,1;,7;
2017-03-09;9,6;934,2;19,6;27,6;21,6;18,7;89,1;58;7;,7;
2017-03-10;1;934,7;17,9;27,9;21,4;16,6;82,5;56;7,1;1;
2017-03-11;0;934,5;17,4;30;21,8;15,3;78,9;44;6,4;1;
2017-03-12;0;934,2;16,8;29,3;21,9;15,5;76,3;42;7,4;1,3;
2017-03-13;0;932,6;16,8;32,2;22,7;16,1;73,6;37;5,9;,9;
2017-03-14;0;934,3;18,1;30,1;22,1;17,1;80;46;5,3;,6;
2017-03-15;0;935,6;17,7;27;20,1;15,7;87,4;59;5;,7;
2017-03-16;1,4;935,2;17,1;29,3;20,7;15,6;81,8;46;6,1;,9;
2017-03-17;0;933,5;17,8;29,2;22,3;17,1;78;49;7,9;1,2;
2017-03-18;0;933,9;18,9;30,6;22;17,2;84,7;51;6,5;,8;
2017-03-19;24,8;935,2;19,6;25;20,8;19,5;93;74;5,6;,9;
2017-03-20;7,8;935,7;18,1;22,9;19,2;18,4;93,6;79;4,3;,7;
2017-03-21;3,8;937,4;15,8;25,5;18,8;14,2;84,4;56;7,8;1,1;
2017-03-22;,2;937,9;16,8;25,4;20,1;17,1;82,7;59;6,2;1;
2017-03-23;0;936,3;15,4;25,7;19,1;14,5;81,7;48;6,7;1;
2017-03-24;0;934,5;16,1;26,3;19,7;14,8;81,5;46;5;,8;
2017-03-25;0;932,5;17;30,1;21,9;15,2;77,5;38;6;,8;
2017-03-26;,2;932,7;18,6;29,9;21,6;17,4;85,5;46;7,2;,9;
2017-03-27;6,8;933,6;18,8;25,2;20,7;18,5;89,7;69;5,9;1,1;
2017-03-28;8,6;934;17,6;20,6;18,5;17,8;94,5;86;4,4;,7;
2017-03-29;12,2;933,8;16,4;24,3;19,2;17;85,2;57;6,9;1,1;
2017-03-30;,2;933,7;14;26,3;18,3;11,8;79,1;45;4,9;,9;
2017-03-31;0;935;16,7;25,2;19,2;15,4;86,7;58;10,1;,8;
2017-04-01;22,2;935,7;15,2;26;18,9;14,2;81,6;42;6,1;,9;
2017-04-02;,2;934,5;15,5;26,8;19,4;13,6;80,7;46;6,4;,9;
2017-04-03;0;934,6;17;27,6;20,9;17;80,2;47;4,7;,8;
2017-04-04;0;935,2;17,6;27,9;20,6;16;84,6;49;4,7;,8;
2017-04-05;,8;935,6;17,2;28,2;21,3;16;80,1;48;7,3;1,1;
2017-04-06;,6;935,2;17,6;29,2;21,7;16,6;80,2;46;8,3;1,4;
2017-04-07;0;934,2;17,4;30;21,8;15,9;79,2;44;6,9;1;
2017-04-08;0;934,8;17,6;29,5;21,5;15,9;80,7;48;6,3;1;
2017-04-09;0;934,7;17,6;27,5;21,2;16,5;81,7;51;5,8;,7;
2017-04-10;0;934,5;19,2;26,2;21,6;18,5;86,9;64;3,6;,5;
2017-04-11;1,6;933,9;19,2;27,7;22,2;19,5;84,7;55;5,1;1;
2017-04-12;0;933,1;18,9;28,6;21,8;16,9;85,1;51;6,6;,8;
2017-04-13;2,4;935,8;18,1;21,8;19,3;18,1;92,9;78;4,5;,8;
2017-04-14;4;937,1;18,4;26;20,1;17,6;90,3;68;6,2;,9;
2017-04-15;0;937,1;18,3;26,2;21,3;18,3;84,5;61;5;1;
2017-04-16;,2;934,9;17,1;28;21,2;15,8;79,4;51;6,6;,9;
2017-04-17;0;932,8;16,9;30,2;21,6;15,2;78,2;41;5,2;,9;
2017-04-18;,8;935,7;16,7;23,5;19,1;16,9;86,2;64;6,1;1,1;
2017-04-19;0;937,2;15,5;20,1;17,4;14,9;88,8;74;4,6;,9;
2017-04-20;,2;936,2;15,4;25,1;18,8;14,4;81,8;56;5,4;1;
2017-04-21;0;934,7;14;25;18,3;14,5;78,8;47;8,5;1;
2017-04-22;0;933,3;15,5;29,5;20;13,1;78,1;45;7,5;1,1;
2017-04-23;10,2;936,3;17,4;20,2;18,2;16,4;95,3;84;4,4;,7;
2017-04-24;19,4;937,5;17,5;19,4;18,2;16,9;95,4;90;5,4;,9;
2017-04-25;2,6;935,6;17,8;23,4;19,1;15,7;92,3;72;4,1;,7;
2017-04-26;,2;933,6;17,2;26,6;20,4;15,3;84;56;8,5;1,1;
2017-04-27;0;933,6;18,2;30,8;21,7;16,2;82,5;48;6,2;1;
2017-04-28;4,8;937,6;17,5;21;18,8;18,2;92,2;82;4,9;,9;
2017-04-29;3,4;939,5;15,8;17,3;16,5;15,9;95,8;92;5,1;1;
2017-04-30;5,4;940,4;15,7;19,2;16,7;15,6;93,7;79;3,7;,7;
2017-05-01;,8;940,5;15,4;21,2;17,3;13,1;88,8;69;5,1;,8;
2017-05-02;,2;939,4;15,7;19;16,9;15,1;93,1;80;4;,6;
2017-05-03;0;939;15,2;25;18,3;12,6;84;48;4,8;,7;
2017-05-04;0;937,3;17,2;24,4;19,6;15,6;86,8;58;3,7;,5;
2017-05-05;0;936,2;14,5;27,1;19;13,1;79,9;28;5,3;,8;
2017-05-06;0;935,2;15,8;26,9;18,8;13;84,5;54;8,5;1;
2017-05-07;16,4;934,4;16,8;25,2;19;15,3;87,7;59;4,9;,8;
2017-05-08;0;933,6;16,4;26,3;19,8;14,8;83,1;51;5;1,1;
2017-05-09;0;933,9;16;26,3;19,6;14,5;82,1;47;6,5;,9;
2017-05-10;0;934,7;15,5;27;19,5;13,7;80,6;43;5,4;,7;
2017-05-11;0;936,2;15,2;23,1;18,4;15,9;82,1;60;6,2;1;
2017-05-12;0;937,6;13,9;21,8;17;13,7;82,7;63;6,1;1,1;
2017-05-13;0;936,7;12;23,3;15,8;9,7;81;48;6,9;1;
2017-05-14;0;932,2;13,2;27,2;17,6;10,4;78,7;46;7,9;1,2;
2017-05-15;0;931,4;15,8;26,6;19,5;14,1;81,7;50;5,2;,8;
2017-05-16;0;934,5;15,2;19,8;17,3;15,8;88,3;73;5,1;,7;
2017-05-17;7;936,8;15,1;18,5;16,3;15,1;92,8;79;4,3;,5;
2017-05-18;1,8;936,5;15,2;17,7;16;15,4;95,3;87;3,8;,7;
2017-05-19;,8;934,1;15,1;19,3;16,4;14,4;92,2;75;4,9;,7;
2017-05-20;10;934,5;16,8;23,2;18,5;16,1;90,1;69;9,6;1;
2017-05-21;0;937,1;18;21,4;19;17,3;94,3;82;6,4;,7;
2017-05-22;6,6;936;17,9;23,7;19,6;17,4;90,4;73;9;1,1;
2017-05-23;9,6;937,8;16,9;23,1;18,9;16,2;88,7;66;4,2;,8;
2017-05-24;,2;939,4;17,5;23;19;17,3;91,1;72;4,9;,7;
2017-05-25;,2;939,6;16,6;24,4;18,9;16;87,5;66;6,6;1;
2017-05-26;0;939,3;14;24;17;11,6;84,1;55;5,8;1,1;
2017-05-27;0;938,6;13,8;26;17,4;11,2;82,6;51;5,3;,8;
2017-05-28;0;939;14,2;25,7;17,6;12,2;83,3;45;6;,7;
2017-05-29;0;938,8;13,3;25;17,2;11,7;81,4;44;7,1;,9;
2017-05-30;,2;937,4;13;24,4;16,1;10,3;84,3;46;4,6;,6;
2017-05-31;0;935,8;14,1;25,2;17,7;12,5;81,8;49;5,9;,8;
2017-06-01;0;935,2;14,3;25,8;null;11,7;86,7;57;8;,9;
2017-06-02;null;935,4;17,5;28,6;20,6;15,4;84,5;49;5,8;1,1;
2017-06-03;,6;939,4;15,7;18,4;16,7;15,5;94,3;85;3,8;,7;
2017-06-04;0;938,5;15,8;25,4;18,8;13,3;84,7;57;6,9;1,1;
2017-06-05;,2;936,7;15,2;26;18,4;12,9;83,5;54;6,6;1,2;
2017-06-06;0;935,9;14,8;28,7;18,8;12,3;81,1;40;3,8;,7;
2017-06-07;0;935,3;15,3;29,2;19,6;12,9;80,3;44;4,1;,5;
2017-06-08;0;934,9;15,3;26,2;18,8;13,9;82,5;51;8;1,1;
2017-06-09;0;934,1;16,1;27,6;19,5;14,6;82,9;51;7;1,3;
2017-06-10;0;935,2;16;19,8;16,7;14,8;95,9;86;4,5;1;
2017-06-11;2;937,4;15;22,2;16,9;13,5;89,5;70;7;1;
2017-06-12;0;937,9;15,2;24,3;17,2;12,9;89,2;61;5,6;,8;
2017-06-13;0;938,3;15,8;24,8;18,7;14,7;85,2;56;7,5;1;
2017-06-14;0;938,9;15,8;27,3;18,7;13,8;85,3;51;6,5;,8;
2017-06-15;1;940,8;15,6;20,5;17,2;16,1;90,6;72;5,3;,8;
2017-06-16;1,2;940,1;15,1;23,5;17;13,9;89,2;61;5,3;,7;
2017-06-17;0;938,3;13,2;25;16,6;11,1;83,3;48;7;,9;
2017-06-18;,2;937,2;13,6;25,4;16,9;11,4;83,7;48;6,3;,9;
2017-06-19;0;936,9;12,8;25,5;16,3;10,5;82,7;39;6,4;,7;
2017-06-20;0;938,3;13,7;24,2;16,2;11,1;86,9;53;5,1;,4;
2017-06-21;3,4;941;15,2;21;16,5;13,6;92,4;70;7;,7;
2017-06-22;2,2;941,5;15;21,8;16,4;14,5;92;67;5,4;,8;
2017-06-23;,8;941,6;14,1;21,7;15,5;11,6;92;70;4,2;,7;
2017-06-24;3,4;942,2;14,5;22;16,1;13,3;90,9;66;6,2;,8;
2017-06-25;1,4;942,6;13,5;18,7;14,9;11,7;91,8;75;4,9;,8;
2017-06-26;3;941,5;14;22,3;16,3;14,3;87,8;53;7,8;,7;
2017-06-27;,6;941,2;14,3;17,6;14,9;11,4;96,1;91;3,6;,5;
2017-06-28;11,4;941,7;14,6;24,1;17,3;12,6;85,9;47;3,8;,6;
2017-06-29;,2;940,9;12;24,7;15,2;9;83,8;48;5,5;,7;
2017-06-30;0;940,1;11,8;24,4;15,6;9,8;81,5;42;6,3;,7;
2017-07-01;,2;939,7;9,7;24,5;14,9;8,4;76,7;33;1,3;null;
2017-07-02;,2;942,5;12,3;16,4;14,5;10,7;87,2;74;null;null;
2017-07-03;7,2;946;10,6;16,7;12,9;11,4;86,2;60;null;null;
2017-07-04;2,8;946,7;11;17,6;12,3;10;92,2;61;null;null;
