Nome: ITATIAIA - AGULHAS NEGRAS
Codigo Estacao: A635
Latitude: -22.37388888
Longitude: -44.70305555
Altitude: 2450
Situacao: Desativada
Data Inicial: 2017-08-31
Data Final: 2022-11-07
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2017-08-31;null;null;null;null;null;null;null;null;null;null;
2017-09-01;null;null;null;null;null;null;null;32;9,4;null;
2017-09-02;null;null;null;null;null;null;53,7;5;8;null;
2017-09-03;0;766,4;-6,3;17;7,1;-3,7;41,4;12;8;2,6;
2017-09-04;null;767,1;-10,6;17,4;9,6;,8;28,7;6;9,9;2,8;
2017-09-05;0;766,1;-6,1;17,6;7,8;-5,4;42,3;7;9,5;2,6;
2017-09-06;0;763,7;1,1;15,9;5,7;-5;75;47;7;2;
2017-09-07;0;764,3;1;16,4;null;-3,8;76,9;41;6,2;1,7;
2017-09-08;null;762,5;-,3;17,1;5;-5,8;73,4;36;7;1,7;
2017-09-09;null;761,8;-,8;18,4;null;-5;66,5;11;10,4;1,9;
2017-09-10;0;766,2;-2,9;18,2;10;-4,5;45,4;11;10,9;2,9;
2017-09-11;0;765,5;6,9;18;10,4;6,8;80,5;44;9,5;3,1;
2017-09-12;0;766,6;4,4;19,1;8,7;-1,8;77,7;38;10,4;1,8;
2017-09-13;0;768,1;-3,6;19,7;12;,9;39,9;8;11,1;2,8;
2017-09-14;0;766;-3,2;19,5;12;2,4;38,6;9;13,2;2,2;
2017-09-15;0;766,3;-1,3;20,5;10,7;-3,3;46,8;11;8,4;2,6;
2017-09-16;0;765,4;-1,3;20,4;9,4;-1,8;54,3;8;12;2,4;
2017-09-17;0;765,9;3;18;10,2;-,6;63,5;38;6,6;2;
2017-09-18;null;763,6;4,7;17,1;8,9;0;76,4;34;6,4;1,9;
2017-09-19;0;765,5;3;17,6;10,5;5,4;61,8;28;10,8;2,7;
2017-09-20;null;765,3;4,7;16,9;8,6;-1;77,9;39;8,8;2;
2017-09-21;0;766,1;,8;17,7;7,8;-3,9;67,8;17;11;2,2;
2017-09-22;0;767,2;-2,8;17,1;10,4;4;45,6;16;10,8;3,1;
2017-09-23;0;766,9;-2,1;18,1;11,1;-,8;43,1;9;9,5;2,8;
2017-09-24;0;763,1;3,3;16,7;8,7;1;71;40;7,3;2,1;
2017-09-25;0;764,2;-4,3;15,9;8,4;4,8;47,1;13;9,8;2,9;
2017-09-26;0;765,4;3,8;16,2;7,6;-1,9;78,3;45;8,5;2,5;
2017-09-27;0;765,2;5,2;17,5;10,2;6,3;72,9;43;10,4;2,7;
2017-09-28;2,4;765;6,4;17,6;11,3;5,2;72,9;48;7,6;2;
2017-09-29;6;763,3;7,8;17,9;11;5,6;81,6;53;12,7;2,5;
2017-09-30;83,8;757;8,7;10,9;9;8,2;97,8;80;20,7;6,1;
2017-10-01;24,4;759,9;6,6;15,6;10;5,5;80,8;49;22,5;7;
2017-10-02;0;758,2;9,3;12,4;10,8;10,1;90,5;70;21,6;5,7;
2017-10-03;40;758,9;7,9;11,5;8,9;8,2;93,8;66;20;5,3;
2017-10-04;4,2;764,6;5,3;10,5;8;3,5;84,6;29;8,4;3,1;
2017-10-05;0;769,2;8,6;18,5;12;8,5;82;48;11;3,4;
2017-10-06;,2;767,4;4,1;21,1;11;,5;66,4;32;7,7;1,7;
