Nome: RIO DE JANEIRO - JACAREPAGUA
Codigo Estacao: A636
Latitude: -22.93999999
Longitude: -43.40277777
Altitude: 20
Situacao: Operante
Data Inicial: 2017-08-09
Data Final: 2024-07-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2017-08-09;null;null;null;null;null;null;null;null;null;null;
2017-08-10;null;null;null;null;null;null;null;null;null;null;
2017-08-11;null;null;null;null;null;null;null;65;4,4;null;
2017-08-12;null;null;13,2;24,4;19,3;16;69,2;44;5,6;,7;
2017-08-13;0;null;12,9;27,6;19,6;14,3;67,6;37;5,9;,8;
2017-08-14;0;null;14,4;29,1;22,4;16,7;62,2;41;8,7;1,2;
2017-08-15;0;null;15,9;22,6;20,7;19,5;74,3;62;6,5;,7;
2017-08-16;,6;null;15,8;21,4;19,2;16,9;81;68;5,1;,6;
2017-08-17;6,4;null;16,8;20,9;19,1;18;86,7;79;2,6;,1;
2017-08-18;5,8;null;17;21,6;19,5;18,7;85,3;76;3,2;,3;
2017-08-19;4,2;null;17,4;25;20,5;17,8;82,5;60;5,2;,5;
2017-08-20;0;null;15,4;29,3;22,5;18,9;66;34;14,9;1,9;
2017-08-21;42,8;null;14,5;19,2;17,5;16,4;83;68;14,2;,9;
2017-08-22;14,4;null;13,4;21,3;17,4;15,5;78,3;54;5,1;,7;
2017-08-23;0;null;13;23;18,6;16,1;71;47;4,7;,7;
2017-08-24;0;null;13,3;24,8;18,7;14,9;72,8;42;7,1;,8;
2017-08-25;0;null;11,6;25,9;18,5;13;67,8;31;5,4;,9;
2017-08-26;0;null;12,4;25,8;19,1;12,9;68;33;5,9;1;
2017-08-27;0;null;12,6;25,2;18,3;12,3;72,2;39;6,8;,7;
2017-08-28;0;null;13,8;23;17,9;13,3;78,1;58;7,2;,8;
2017-08-29;0;null;14,2;25,9;18,7;13,6;76,7;53;6,8;,5;
2017-08-30;0;null;14,2;32,9;21,5;14,3;68,1;22;7,6;,6;
2017-08-31;0;null;15,4;24,1;19,4;15,1;78,3;59;9,7;,8;
2017-09-01;5,2;null;14;23;19,2;17,7;73,3;46;7,7;,6;
2017-09-02;0;null;12,4;25,3;19,1;14,7;67,8;35;7,6;1,2;
2017-09-03;0;null;11,4;27,5;19,2;13,1;64,4;30;5,5;1;
2017-09-04;0;null;12;29,3;20,5;14,4;62;27;7,5;1,2;
2017-09-05;0;null;11,1;31,4;21,2;14,1;59,3;19;9,5;,9;
2017-09-06;0;null;13,4;26,5;19,3;13,4;70,7;45;7,6;,7;
2017-09-07;0;null;13,9;24,3;18,2;13,3;77,2;57;7,1;,7;
2017-09-08;,2;null;13,7;28,1;19,8;13,9;70,7;36;6,5;,7;
2017-09-09;0;null;13,9;30;22;15,4;63,9;31;6,1;1,1;
2017-09-10;0;null;14,4;31,7;24,2;16,6;57,2;26;7,5;1,5;
2017-09-11;0;null;14;32,2;25,3;20,9;51,8;26;6,8;1,3;
2017-09-12;0;null;13,1;30,6;24,2;16,4;53;29;7,6;1,3;
2017-09-13;0;null;15;29,4;21,1;15,4;70,8;39;6,6;,7;
2017-09-14;0;null;12,6;35,6;25;17;52,9;14;8,3;1,5;
2017-09-15;0;null;13;34,9;23,7;15,2;58;21;6,6;1;
2017-09-16;0;null;15,1;26,4;20;15,1;75,2;50;7,5;,6;
2017-09-17;0;null;14,9;30,9;22,3;15,8;66,9;33;5,4;,7;
2017-09-18;0;null;15,9;25,9;20,6;16,5;75,6;57;8,5;,8;
2017-09-19;,2;null;15,3;26,7;20,2;15,2;75;53;9,9;1;
2017-09-20;0;null;15,1;28,5;21,6;15,9;69,1;43;8,8;1;
2017-09-21;0;null;14,3;29,2;22,4;16,2;63,1;34;7,2;1;
2017-09-22;0;null;13,2;33;24,6;16,6;52,5;20;7,5;1,5;
2017-09-23;0;null;12,2;32,6;24,6;18,3;49,1;22;7,7;1,4;
2017-09-24;0;null;16,2;25,3;20,9;16,3;75,3;60;6,7;,7;
2017-09-25;0;null;14,5;28;21,5;15,8;67;36;6,7;,9;
2017-09-26;0;null;13,7;29,2;22,3;16;61,3;34;8,3;1,1;
2017-09-27;0;null;14,3;31,8;23,4;16,5;60;28;7,5;,9;
2017-09-28;0;null;15,7;27,2;21,7;17,1;70,1;52;10,3;1,3;
2017-09-29;0;null;16,3;26,3;21,7;17,2;71,8;54;6,9;,8;
2017-09-30;1,6;null;17,4;24,4;21,4;19,9;78,4;59;8,7;,7;
2017-10-01;12,8;null;15;30,6;25,3;19,2;55;33;10,7;1,6;
2017-10-02;0;null;15,4;36,5;25,3;18,3;58,5;25;12,1;1,5;
2017-10-03;12;null;17,9;24,8;22;20,6;77,5;59;9,5;,8;
2017-10-04;1,2;null;15,1;23,2;20,2;18,1;73,3;55;6,3;,5;
2017-10-05;0;null;15;29,4;21,9;15,5;67,3;43;6,6;,8;
2017-10-06;,2;null;16,2;34,7;24,8;17,7;63,8;28;7,8;1;
2017-10-07;0;null;17,1;30;23,9;19,2;66,9;46;13,8;1,4;
2017-10-08;0;null;17,5;29;23;19,4;72,3;47;5,4;,6;
2017-10-09;0;null;15,9;33,2;24,6;18,6;60,9;31;10;1,3;
2017-10-10;0;null;16;34,5;25,5;18,7;60,5;29;8,9;1,4;
2017-10-11;0;null;17;33,4;25;18,5;64,6;32;7,1;,9;
2017-10-12;0;null;17,7;30,1;23,6;19;70,7;48;11,1;1,1;
2017-10-13;0;null;17,7;28;22,4;18,2;75,3;55;8,8;,8;
2017-10-14;0;null;17,7;29,9;23,6;18,1;70,8;47;9,8;1,4;
2017-10-15;22,4;null;17,6;23,9;22;20,6;76,3;66;10,1;1;
2017-10-16;3,2;null;16;22,9;20,2;18,4;77,1;61;4,2;,4;
2017-10-17;0;null;16,2;28,1;22,9;19,5;67,4;45;6,2;,9;
2017-10-18;0;null;14,6;33,1;25;17,2;57;25;6,9;1;
2017-10-19;0;null;11,4;36,5;27,7;17,5;41,1;14;9,5;1,6;
2017-10-20;0;null;16,2;29,9;23,7;17,4;64,3;43;11;1,6;
2017-10-21;0;null;18;29,4;23,9;20,1;70,7;50;6,2;,6;
2017-10-22;0;null;16,3;32,9;26,1;21,3;57,7;33;13,1;1,4;
2017-10-23;9,4;null;17,7;22,6;20,3;20,8;85;73;7,9;,8;
2017-10-24;32;null;15,7;22,5;19,9;17,6;77,3;62;5,1;,6;
2017-10-25;,6;null;17,7;29,2;22,9;19,6;73,8;46;7,5;,7;
2017-10-26;0;null;17,5;29,8;24,1;20,8;67,8;43;11,5;1,2;
2017-10-27;3,2;null;18,3;30,2;23,8;20,1;72,1;34;9,7;,9;
2017-10-28;5;null;16,4;34,6;27;21;55,8;29;16,5;1,5;
2017-10-29;0;null;17;28,1;23,4;19,9;68,7;47;7,8;,8;
2017-10-30;0;null;17,6;30;24,1;19,8;68,3;43;6,8;,7;
2017-10-31;1,8;null;18,6;28,1;23,2;21,2;75,8;56;11,5;1,6;
