Nome: Paty do Alferes - Avelar
Codigo Estacao: A637
Latitude: -22.34722221
Longitude: -43.41777777
Altitude: 508
Situacao: Operante
Data Inicial: 2022-11-09
Data Final: 2024-07-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2022-11-09;null;null;null;null;null;null;null;null;null;null;
2022-11-10;null;null;null;null;null;null;70,1;47;8,3;null;
2022-11-11;1,6;941;18,3;30,3;22,6;18,3;78,4;48;15,5;1,3;
2022-11-12;39;945,6;17,6;29;20,8;17,3;83;52;8,8;1,4;
2022-11-13;9,8;955,1;17,6;30,9;22,3;15,6;76,9;45;7,1;,9;
2022-11-14;0;950,3;19,4;29,2;22,5;18,9;83,5;58;11,9;1,4;
2022-11-15;38;948,1;19;28,8;21,9;18,7;84,3;54;6,6;1,3;
2022-11-16;11,4;946;16,8;24,4;20,6;17,9;79,9;57;8,3;1,2;
2022-11-17;,4;947,7;12,7;26,7;19,9;12,6;65,7;41;8,3;1,4;
2022-11-18;0;946,7;12;26,6;18,7;11;68,6;37;8,6;1,3;
2022-11-19;0;949,5;13,2;25,8;18,4;11,8;74;41;5,4;1;
2022-11-20;0;956,7;14,8;29,7;20,3;13;73,9;35;7,3;1,1;
2022-11-21;0;958,2;15,9;29,9;22,2;15,2;70,8;35;7,9;1,5;
2022-11-22;0;955,6;16,8;28,9;23,1;18,5;69,3;46;8,5;2;
2022-11-23;0;952,3;17,6;28,2;22,9;18,2;73,6;52;6,9;1,4;
2022-11-24;30,4;940,3;17,5;22,8;20,1;17,4;85,4;67;8,3;1;
2022-11-25;1,6;947,6;15,9;26,7;20,4;15,5;76,8;51;9,3;1,6;
2022-11-26;0;952,3;16,3;27,3;21,5;16,3;73,4;50;6,5;1,2;
2022-11-27;,6;952,1;17;29,7;21,7;16,9;76,9;42;7;1,1;
2022-11-28;0;950,7;18,6;30,7;23;20;78;42;6,6;1,3;
2022-11-29;16,2;944,3;18,1;28,7;22,1;17,9;79,7;49;8,5;1,4;
2022-11-30;0;945,1;18,2;29,4;22,7;19,9;77,7;46;10,7;1,8;
2022-12-01;19;945,6;19,1;28,7;22,8;18,6;80,7;54;8,1;1,6;
2022-12-02;,2;951,7;19,2;29,9;24,2;20,5;75,2;49;9,1;2,3;
2022-12-03;0;948,9;18,4;27;23,4;21,3;74,1;59;7,8;2,5;
2022-12-04;0;953,1;17,8;28,5;23,8;21,1;69,7;50;9;2,6;
2022-12-05;0;946,3;18,2;27;22,4;20,9;78;58;7,8;1,9;
2022-12-06;3,8;942,4;18,8;22,3;20,7;19,2;88,8;78;5,4;1,3;
2022-12-07;21,2;949,7;19,4;25,3;21,5;20;88,1;71;4,6;,9;
2022-12-08;19,8;953,9;17,9;29,1;22,3;18;78;48;6,4;1,1;
2022-12-09;0;952,3;16,7;31,8;23,3;17,1;73;29;6,6;1,3;
2022-12-10;0;949,1;17;33,7;22,7;14,7;80,1;54;7,6;1,3;
2022-12-11;0;952,9;18,8;33,7;24,7;18,2;79,8;47;6,8;1,1;
2022-12-12;0;944;19,7;32,1;23,6;19,7;85;52;10,6;1;
2022-12-13;4,4;937,9;19,5;29,8;22,6;20,3;83,6;50;9,5;1,1;
2022-12-14;9;936,8;13,8;25,4;19,9;17,3;69,5;40;7,6;1,4;
2022-12-15;,2;944,5;13,6;27;19,9;13,3;70,4;41;6,6;1,2;
2022-12-16;0;953,4;16,1;28,8;22,3;16,9;69,6;44;8,4;1,7;
2022-12-17;1,8;943,9;17,7;24,8;21;18,8;81,8;66;7,9;1,1;
2022-12-18;,2;950,1;16,7;27,4;21,3;16;76,3;57;8,2;1,1;
2022-12-19;0;946,2;17,5;23,8;20,7;17,7;82,4;67;4,7;,8;
2022-12-20;13,6;944;17,7;21,9;19,4;18,2;89,5;78;4,3;,8;
2022-12-21;10;949,4;17,8;25,7;20,7;18,6;84,1;64;8,3;1,3;
2022-12-22;1,6;949,7;16,3;25,4;20,8;18,7;76,5;57;7,6;1,4;
2022-12-23;,4;949,7;14,7;27,4;19,9;12,9;74;44;7,5;1,1;
2022-12-24;,2;956;16,7;27,2;21,7;18,8;74,4;49;6,5;1,4;
2022-12-25;0;953,9;17,6;28,5;21,8;16;78,5;56;8,8;1,7;
2022-12-26;0;953,1;18,6;25,4;22,6;19,7;78,4;65;8,2;1,8;
2022-12-27;6,2;955,4;19;29,3;23;19,3;79,8;56;10,9;1,6;
2022-12-28;15;952,4;19,6;27,7;22,9;19,6;82,5;61;7,1;1,4;
2022-12-29;,4;950,2;19,9;28,4;22,9;20,8;84,1;58;7,4;1,1;
2022-12-30;13,4;947;19,5;24,2;21,2;20,3;90;73;5,1;1;
2022-12-31;29,4;954;18,3;30,4;22;17,4;81,1;47;6,6;1,3;
2023-01-01;4,6;951;18,6;30,9;22,1;18,5;82,6;45;7,2;1,1;
2023-01-02;53,2;948,7;17,3;28,8;21,2;16,2;80,5;52;12,1;1,6;
2023-01-03;5,6;951;18,7;29,8;22,4;18;80,8;51;11,4;1,7;
2023-01-04;,6;952,1;20;28,5;23,6;20,1;81,4;59;6,8;1,5;
2023-01-05;31,6;945,2;20;26,5;22;20,7;88,3;69;5,5;,9;
2023-01-06;24;942,7;17,8;22;19,7;19,3;88,5;82;5,8;1,2;
2023-01-07;20,4;944,1;16,3;21;18,3;16,5;88,5;79;6;1,2;
2023-01-08;4,6;953,7;17,6;24,1;19,5;17,4;88,5;73;5,2;,7;
2023-01-09;18,8;957,6;19,3;26,7;21,1;18,9;89,4;66;6;1,1;
2023-01-10;19;958,8;19,8;28,1;22,6;20,1;85;56;8;1,3;
2023-01-11;37,6;955,3;20,4;28,7;22,8;20,1;86,9;60;6;1;
2023-01-12;7,8;959,2;19,7;30,8;24;19,5;78,8;47;7;1,2;
2023-01-13;0;952,5;20,3;31,4;24;20,1;81,3;49;6,9;1,3;
2023-01-14;,6;957;20,7;32,8;25,5;20,4;77,4;44;7,1;1,3;
2023-01-15;,2;955,4;21,1;33,2;26,5;21,8;75;44;6,8;1,3;
2023-01-16;,4;952,9;21;32,4;26;21,4;77,4;45;5,7;1,3;
2023-01-17;,2;945,5;20,1;31,1;24,6;20,9;78,3;45;6,7;1,3;
2023-01-18;0;946,9;18,8;31,6;23,7;18,1;77,8;44;7,7;1,2;
2023-01-19;0;949;18,8;31;23,8;18,9;75,7;42;6,7;1,1;
2023-01-20;10,6;942,9;19,3;24,7;21,9;20,1;85,6;72;7,8;1,1;
2023-01-21;39,2;944,7;19,3;24,8;21,7;19,8;86,3;67;5,8;1,1;
2023-01-22;7,8;954;19,1;31,7;23,8;18,1;78,6;40;5,2;1;
2023-01-23;0;948,4;19,7;31,2;23,3;20;82,1;46;12,7;1,1;
2023-01-24;47,8;946,7;20,7;26,8;22,8;20,3;88,3;66;5,4;,9;
2023-01-25;6,6;950,6;18,4;29,5;23,2;18;76,8;47;8,4;1,3;
2023-01-26;0;944,7;16,5;29,3;21,5;14,9;75,7;46;6,9;1,1;
2023-01-27;0;952,6;19,3;30,2;23,8;19,3;77,5;49;7;1,3;
2023-01-28;25,6;948,9;20,1;28,9;23,3;19,7;83,3;54;9,6;1,1;
2023-01-29;1,8;948;19,9;30,6;22,7;19,7;85,1;51;12,4;1,1;
2023-01-30;6,4;948,4;19,5;30,7;22,8;19,5;82,8;51;10,2;1,6;
