Nome: ESCOLA NAVAL
Codigo Estacao: A651
Latitude: -22.91472222
Longitude: -43.15944444
Altitude: 14
Situacao: Desativada
Data Inicial: 2007-04-17
Data Final: 2007-09-26
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2007-04-17;null;null;null;null;null;null;null;null;null;null;
2007-04-18;null;null;null;null;null;null;null;null;null;null;
2007-04-19;null;null;null;null;null;null;null;null;null;null;
2007-04-20;null;null;null;null;null;null;null;null;null;null;
2007-04-21;null;null;null;null;null;null;null;null;null;null;
2007-04-22;null;null;null;null;null;null;null;null;null;null;
2007-04-23;null;null;null;null;null;null;null;null;null;null;
2007-04-24;null;null;null;null;null;null;null;null;null;null;
2007-04-25;null;null;null;null;null;null;null;null;null;null;
2007-04-26;null;null;null;null;null;null;null;null;null;null;
2007-04-27;null;null;null;29,3;null;null;83,8;64;19,6;null;
2007-04-28;9,4;1021,9;18,4;25;22,7;20,8;76,8;65;10,7;2,1;
2007-04-29;0;1019,9;19,2;24,6;22,5;20,9;82,1;66;6,2;1,8;
2007-04-30;,2;1016,7;19,3;25,4;22,8;21,4;81;64;11,5;2,1;
2007-05-01;0;1016,6;19,1;24,6;22,8;20,9;80;68;6,2;2,1;
2007-05-02;null;null;null;null;null;20,9;null;84;3;null;
2007-05-03;null;null;null;null;null;null;71,7;57;8,8;null;
2007-05-04;,8;1019,2;19,2;25,1;23,4;22;78;63;8,8;3,6;
2007-05-05;null;null;null;null;null;21,1;74,7;67;6;null;
2007-05-06;null;null;null;29,2;null;20,7;74,9;41;4,4;null;
2007-05-07;null;null;null;30,7;null;22,1;68,5;33;4,9;null;
2007-05-08;null;null;null;27;null;23,2;72,8;51;10,2;null;
2007-05-09;null;null;null;null;null;23,2;null;74;1,8;null;
2007-05-10;null;null;null;null;null;null;null;57;9,4;null;
2007-05-11;null;1021,7;15,5;24,4;22,5;null;64,7;52;11,5;5;
2007-05-12;0;1019,7;16,5;26,8;22,8;19,9;68,1;44;7;2,6;
2007-05-13;0;1019;19,1;25;23,2;19,6;77,6;69;7;2,6;
2007-05-14;0;1014,5;18,5;28,2;24,1;21,7;71,9;45;11,2;2,9;
2007-05-15;0;1016,8;19,8;24;23,1;21,3;81,4;75;8,8;3;
2007-05-16;0;1014,8;19,4;26;23,4;21,1;78,5;66;5,2;1,4;
2007-05-17;0;1013,4;19,6;31,4;24,7;21;74,4;32;7,1;2,1;
2007-05-18;0;1014,7;20,8;26,5;23,4;21,7;85,5;70;11,1;3;
2007-05-19;0;1016,2;20;25,7;23,6;21,7;80,3;64;11,8;3;
2007-05-20;48,2;1018,8;19,4;24,2;21,9;20,3;85,8;75;12,8;3,1;
2007-05-21;0;1015,7;19,9;26;23;20,1;82,8;73;10,4;2,4;
2007-05-22;0;1011,2;20,2;29,6;23,6;20,9;82;44;16;1,9;
2007-05-23;0;1009,1;20;24,2;22,6;22;85,1;77;7,9;1,4;
2007-05-24;5,4;1014,3;15;21,6;19,8;18,2;74;57;14,3;2,3;
