Nome: RIO DE JANEIRO - FORTE DE COPACABANA
Codigo Estacao: A652
Latitude: -22.98833333
Longitude: -43.19055555
Altitude: 25.59
Situacao: Pane
Data Inicial: 2007-05-17
Data Final: 2024-07-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2007-05-17;null;null;null;null;null;null;null;null;null;null;
2007-05-18;null;null;null;null;null;null;null;84;7,9;null;
2007-05-19;null;null;null;null;null;null;null;70;6,7;null;
2007-05-20;null;1015,3;19,3;25,5;22,6;null;81,8;69;8,7;2,3;
2007-05-21;0;1011,9;20,2;26,5;23;21,1;84,2;72;14,1;4,2;
2007-05-22;0;1007,5;19,4;30,2;24,2;21,2;75,9;40;19,1;2,6;
2007-05-23;,6;1005,5;19,4;24,3;22,6;21,9;82,4;63;10,2;1,6;
2007-05-24;13,2;1010,4;15,5;23;19,8;18,2;76,5;62;18,8;8,3;
2007-05-25;3,4;1016,2;13,6;21,9;19,6;18;68,4;57;18,4;5,8;
2007-05-26;0;1014,9;15,1;25,2;20,3;17,5;72,7;55;8,6;2,4;
2007-05-27;0;1010,9;15,6;24,7;21,1;17,3;70,9;60;9,5;2;
2007-05-28;0;1011,3;17,3;24;21,6;18,4;76,8;62;11,4;2,6;
2007-05-29;0;1010,9;17,7;23,9;20,9;19,6;82,4;71;15,7;3,8;
2007-05-30;5,2;1017;13,1;20,3;18,6;17,3;70,9;55;18,2;10;
2007-05-31;8,2;1019,3;14,6;22,1;18,4;15,7;79;66;10,3;2,8;
2007-06-01;0;1012,9;14,4;25,9;21,7;15,5;63,8;48;9,9;2,2;
2007-06-02;0;1008,4;16,9;28,3;24;18,2;68,9;40;16,8;4,4;
2007-06-03;19,4;1010,7;17,7;20,5;19,3;18,4;90,7;77;12,6;3,2;
2007-06-04;3;1015,2;12,8;21,4;20;18,2;63,6;56;14,4;6,6;
2007-06-05;0;1016;14,2;23,5;19,3;16,8;72,6;60;5,6;1,8;
2007-06-06;0;1014,5;16,5;23,7;19,9;16,6;80,9;69;4,9;1,5;
2007-06-07;0;1013;17,6;23,1;20,5;17,5;83,9;72;5,8;1,6;
2007-06-08;0;1012,1;18,3;25,6;22,3;18,2;78;62;7,4;1,5;
2007-06-09;0;1014,3;19,4;24,8;22;19,5;85,6;74;10;2,5;
2007-06-10;,4;1012,8;19,3;27,6;22,6;20,2;82,3;57;7,2;1,6;
2007-06-11;0;1012,6;19,2;27,1;23,5;20,2;77,1;64;4,8;1,4;
2007-06-12;0;1012,5;18,6;27,4;23,2;20,5;76;49;9,1;1,2;
2007-06-13;0;1010,9;17,1;26,7;23,9;20,5;66;44;8;1,5;
2007-06-14;0;1010,1;17,7;28,1;23,7;21,7;69,5;49;7;1,2;
2007-06-15;0;1009,4;17,8;29,2;24,2;21,3;68,2;39;6,4;1,3;
2007-06-16;0;1012,3;17,8;31,9;24,3;22,1;69,5;27;18,9;3,7;
2007-06-17;1,8;1016,1;19,7;24,1;21,5;19,7;89,6;80;9,4;3,6;
2007-06-18;0;1014,6;19,5;26;22,8;19,6;81,9;64;7,4;1,4;
2007-06-19;0;1018;19,8;24,7;22,3;20,3;86,3;76;8,5;2,3;
2007-06-20;0;1017,8;18,2;25,7;22,5;20,6;77,2;59;6,8;1,9;
2007-06-21;0;1017,4;16,9;25,7;23,2;20,6;68,3;53;6,2;1,6;
2007-06-22;0;1014,9;16,9;25,7;23,4;21,2;67,5;52;6,2;1,7;
2007-06-23;0;1011,1;18,1;25,9;22,6;20,7;75,9;65;7;1,1;
2007-06-24;0;1013,4;17,6;26,5;23,4;20,5;70,6;52;15,4;3;
2007-06-25;,4;1020;18,7;22,3;21,5;20,5;84,1;78;11,2;4,8;
2007-06-26;4,8;1019,1;18,5;25,4;21,9;19,7;81,3;69;10,4;4,1;
2007-06-27;0;1015,1;17,6;26,7;22,7;19,7;74,1;50;8,1;1,8;
2007-06-28;0;1013,3;17,4;27,5;23,8;19,9;69,7;37;12;3,6;
2007-06-29;7,8;1017,1;18,8;22,4;20,8;19,4;88,1;80;7,9;3,2;
2007-06-30;4,8;1017,4;18,5;23,7;21,3;19,4;84;77;4,6;1,5;
2007-07-01;0;1019,6;17,2;22,9;20,7;19,8;80,6;72;8,5;3,7;
2007-07-02;0;1020,2;15,5;22,8;20,4;19,4;73,6;65;6,3;2,2;
2007-07-03;0;1017,9;16,6;24;21,3;19,4;74,9;63;10;3,2;
2007-07-04;0;1016,3;16,9;25,8;22,2;19,3;72,4;52;7,5;1,6;
2007-07-05;0;1016,5;16,3;27,8;23,3;19,2;65;46;6,6;1,9;
2007-07-06;0;1014,4;15,3;28,6;25;21;56;36;10,1;2;
2007-07-07;0;1012,2;13,2;29,8;26;22,1;46,9;30;7,8;1,5;
2007-07-08;0;1011,5;13,5;28,8;25;22,4;49,2;33;7,5;2,2;
2007-07-09;0;1013,9;17,4;26;22,4;21,2;74,5;43;9,1;2,1;
2007-07-10;,2;1011,2;17,9;30,5;23,1;19,9;75,1;37;9,7;2,1;
2007-07-11;0;1012,5;16,6;28,6;23,5;19,6;67,5;41;23,5;5;
2007-07-12;17,2;1018,5;17,7;21,9;19,2;17,7;91,1;79;9,3;2,9;
2007-07-13;,2;1015,4;18,6;23,9;21,3;17,6;84,7;72;8,1;2;
2007-07-14;0;1011,4;17,6;27,4;23,4;19,3;71,4;45;6,8;1,4;
2007-07-15;0;1010,2;16,6;27,8;23,4;20,1;66,4;48;19,4;4,3;
2007-07-16;0;1013,5;17,9;23,5;20,7;20,3;84,4;72;13;2,5;
2007-07-17;13;1012,2;18,3;25,3;21;17,9;84,6;71;11,9;2,2;
2007-07-18;0;1007,5;17,2;27,6;22,2;18,4;75,8;37;20,8;4,6;
2007-07-19;1,4;1012,6;14,3;20,4;19;18,4;74,7;65;17,5;7;
2007-07-20;0;1014,1;14,4;22,2;19,1;16,3;74,2;57;7,2;2,2;
2007-07-21;0;1012,5;17,1;25,1;21,2;16,3;77,9;68;5,9;1,2;
2007-07-22;0;1006,8;15,1;31,4;24,9;18,7;56,7;29;9,6;2,6;
2007-07-23;0;1005,3;15,6;31,2;26,2;20,2;56,1;28;18,5;4;
2007-07-24;3,8;1011,7;19,1;23,6;20,6;19,2;91,4;73;13,1;3,1;
2007-07-25;7,8;1007,9;19,4;25,4;21,5;19,2;88,5;64;23,6;3,9;
2007-07-26;1;1017,7;13,6;21,5;18,9;18,1;71,8;62;18,1;7,5;
2007-07-27;0;1019,1;12,7;18,9;17,9;17,4;71,6;61;8,1;1,5;
2007-07-28;1,6;1020,5;15,7;18,2;16,8;16,6;93,3;78;17,4;8,9;
2007-07-29;44,4;1023,8;13;18,1;16,1;14,7;82,1;61;22,4;8,4;
2007-07-30;1;1023,1;11,8;19,6;16,5;13,6;74,1;64;8,4;1,7;
2007-07-31;0;1018,2;13,6;21,4;17,7;14,8;76,8;65;8,3;2,6;
2007-08-01;0;1016;14,8;23,4;19,8;14,9;72,9;59;5,4;1,2;
2007-08-02;0;1015,8;15,4;25,4;21;16,7;70,8;46;7,5;1,8;
2007-08-03;0;1017,6;16,5;21,3;19,4;18;83,3;72;12,6;2,8;
2007-08-04;0;1015,6;16,8;26,6;20,9;17,9;78,7;47;9,6;2,2;
2007-08-05;0;1016,5;16,4;23,1;20;18,2;80;58;18,2;6;
2007-08-06;4;1017,9;18,2;21,1;19,3;18,1;93,6;92;9,2;2;
2007-08-07;1;1013;16,4;29,2;23,4;18,2;67,6;39;7;1,9;
2007-08-08;,2;1015,8;16,7;26,3;20,7;19;78,6;50;17,1;6,6;
2007-08-09;0;1018;18,4;24,3;20,5;18,2;87,9;76;6;1,9;
2007-08-10;0;1016,1;17,5;26,5;22;18,1;75,9;50;8;2,1;
2007-08-11;0;1016,6;16,2;30,1;22,7;20,1;68,9;31;17,9;4,5;
2007-08-12;0;1021,2;17,5;21,4;19,5;18,6;88,3;81;13,3;6,6;
2007-08-13;0;1020,1;18,7;23,6;20,4;18,6;89,9;77;5;1,7;
2007-08-14;0;1018,3;17,9;26,7;22;18,8;77,6;63;13,7;3,5;
2007-08-15;0;1017,9;17,5;25;21,7;19,5;77;67;14,4;3,2;
2007-08-16;0;1017,4;16,5;26,5;22,2;19,9;70,5;47;8,1;2,5;
2007-08-17;0;1017,6;17,1;22,7;20,5;19,3;81,3;70;12,4;4,6;
2007-08-18;0;1016,6;17,9;24,7;20,8;18,9;83,8;69;5,9;2,4;
2007-08-19;0;1016,8;18,3;23,1;20,7;18,9;86,1;78;4,3;1,6;
2007-08-20;0;1013;16,2;29,8;22,5;19,1;69,5;31;17,5;3,4;
2007-08-21;,4;1017,9;16;20,5;19,7;19,2;79,5;72;16,3;6,3;
2007-08-22;0;1019;14,9;19,9;18,8;18,4;78,4;71;7,3;2,6;
2007-08-23;0;1015,4;15,5;24,7;20,8;17,7;72,2;61;12,8;4,2;
2007-08-24;0;1010,5;15,3;26,4;21,9;18,4;66,9;31;8,8;2,2;
2007-08-25;0;1008,2;16,6;31,6;23,9;18,3;65,7;33;8,9;2,4;
2007-08-26;,2;1006,8;16,6;32,4;23,6;18,9;70,2;26;9,4;2,3;
2007-08-27;0;1007,8;16,2;30,2;23,9;18,8;66,3;26;17,4;6,8;
2007-08-28;,4;1015,8;18,7;20,9;19,9;19,9;92,9;90;10;4,5;
2007-08-29;16,8;1019,3;17,4;23,6;19,8;17,7;86,2;71;6,7;1,7;
2007-08-30;5;1020,7;18,7;21,7;20,3;17,6;90,7;85;13,7;5,4;
2007-08-31;,4;1019,1;18,9;24,8;21,5;19,3;85,1;74;12,6;5,3;
2007-09-01;0;1015,3;18,3;27,3;22,7;19,6;76,8;57;7,8;1,8;
2007-09-02;0;1016,8;18,7;22,9;20,5;19,7;89,5;78;10,8;4,6;
2007-09-03;0;1018,5;19,5;26,2;21,8;19,7;87;72;7,9;2,7;
2007-09-04;0;1019,9;18,9;26,4;23,2;19,7;76,9;65;17,9;5,6;
2007-09-05;0;1020;18,6;27,2;23,4;20,7;74,8;64;13,5;4,7;
2007-09-06;0;1018,4;18,7;27;23;20,7;77;64;9,9;3,4;
2007-09-07;0;1016,7;19,1;26;22,4;20,1;81,5;70;6,2;1,9;
2007-09-08;0;1016,1;18,2;26,2;22,2;20;78,4;62;12,1;2,8;
2007-09-09;0;1015,8;17,8;26,2;22,3;19,9;76;62;13,6;4;
2007-09-10;0;1016;17,8;26,4;22,2;20,1;76,6;62;16,3;4,5;
2007-09-11;0;1016,3;16,7;25,3;21,6;19,9;74,2;65;16,9;4,1;
2007-09-12;0;1016,3;16,1;25,5;21,5;19,7;71,7;54;10,4;2,7;
2007-09-13;0;1015,4;16,8;25,5;21,2;18,2;76,2;63;13,7;3,6;
2007-09-14;0;1012,8;16,7;24,3;21;17,9;76,3;65;10,7;2,2;
2007-09-15;0;1010,3;16,6;26,5;22,1;17,9;72,1;48;11,3;2,1;
2007-09-16;0;1010,9;17,8;22,9;20,2;17,2;86,5;77;10,4;4,2;
2007-09-17;0;1015,3;17,8;23,2;20,2;17,2;86,6;77;11,5;4,9;
2007-09-18;,2;1017;15;21,7;19,5;18,5;75,1;65;15,6;6,5;
2007-09-19;0;1012,8;14,7;24,2;20,3;17,6;70,4;56;5,7;1,5;
2007-09-20;0;1010,2;17,4;24,4;21,3;17,8;78,7;65;5,9;1,5;
2007-09-21;,2;1011,3;18;24,7;20,5;18,3;85,4;72;20,1;3,9;
2007-09-22;0;1011,5;17,2;25;20,8;17,7;80,4;62;9,4;2,3;
2007-09-23;0;1007,3;17,6;24,4;22;17,7;76,5;63;8,8;2,2;
2007-09-24;0;1007,5;15;36,4;25,4;18,5;60,9;16;21,5;6;
2007-09-25;4;1019,8;13,9;19,6;18,2;16,9;76,3;63;13,5;5,9;
2007-09-26;0;1021,8;14,7;21,6;18;16,9;81,4;67;11,7;1,5;
2007-09-27;,6;1018,3;16,3;24,5;19,8;16,7;80,3;65;15,4;4,4;
2007-09-28;0;1013,8;16,9;26,5;21,2;18,5;77,6;51;17,8;3;
2007-09-29;9;1017,8;18;21,4;19,9;18,8;88,9;85;9,6;3,9;
2007-09-30;0;1020,6;15,6;23,7;20,3;18,5;75,1;58;8,5;2;
2007-10-01;0;1020,7;15,2;23,6;19,6;17,7;76;62;12;4,5;
2007-10-02;0;1019,3;15,4;24,1;19,7;17,5;76,8;54;10,6;2,8;
2007-10-03;0;1017;15,5;23;19,2;17,3;79,5;67;10,6;2,8;
2007-10-04;0;1014,6;15;23,9;19;16,9;78;60;12,5;2,7;
2007-10-05;0;1012,5;15;24,7;19,3;16,9;76,7;58;14,9;3,6;
2007-10-06;0;1010,5;15,8;23,4;19,7;16,7;78,4;66;12,9;3,1;
2007-10-07;0;1010;15,9;23,1;19,9;17,5;78,1;65;9,7;2,2;
2007-10-08;,6;1014,3;16,9;23,6;19,4;16,6;86;74;13,6;2,7;
2007-10-09;0;1014,8;16,7;24,2;19,5;16,8;84;65;14,1;3,3;
2007-10-10;0;1011,1;15,8;30;21,9;16,9;70;33;10,5;2,4;
2007-10-11;0;1008,6;16,5;25;20,2;16,9;79,4;61;11,2;3,6;
2007-10-12;0;1007;16,9;25,2;19,8;16,1;83,8;64;9,9;2,7;
2007-10-13;0;1004,9;17,1;25,1;22;18,5;74,3;56;15,6;3,2;
2007-10-14;0;1010;18,4;23,1;20,6;18,3;87;77;15;6,4;
2007-10-15;0;1012,7;18,9;25,1;21,3;19,3;86,6;71;8,5;2,3;
2007-10-16;0;1009,5;18,4;26,4;21,8;19,3;81,8;64;9,6;2,1;
2007-10-17;0;1007,1;19;25,7;22,5;20,5;81;65;19,1;6,8;
2007-10-18;3,6;1011;18,9;22,4;20,5;20;90,5;84;11,1;3,8;
2007-10-19;,8;1011,1;18,5;23,7;20,4;18,8;89,3;74;5,9;1,5;
2007-10-20;12,6;1009,7;19,7;25,8;21,6;19,5;89,4;76;5,8;1,8;
2007-10-21;0;1006,8;20,2;28,8;23,8;20,7;81,2;61;17,7;2,5;
2007-10-22;0;1011,5;19,8;27,2;23,1;21,3;82,1;59;19,5;5,8;
2007-10-23;1,8;1015,5;20,8;23,6;22,1;21,4;92,1;87;8;2,4;
2007-10-24;34;1015,6;19,9;21,7;20,7;20,4;95,1;92;12,3;5,7;
2007-10-25;74,2;1012,7;19,6;21,4;20,4;19,4;95,3;93;9,3;1,2;
2007-10-26;7,8;1008,2;20,1;26,4;22,6;19,3;85,8;72;4,9;1;
2007-10-27;10;1006,8;20,8;28,1;23,9;20,5;82,9;64;6,7;1,1;
2007-10-28;0;1006,7;20,5;28;23,8;20,8;82,4;60;7,3;1,5;
2007-10-29;0;1006,1;20;26,8;23,3;19,8;81,8;70;12,3;2,4;
2007-10-30;0;1006,2;20,8;27,7;23,5;20,6;85;72;19,1;4,1;
2007-10-31;0;1004,5;21,2;28,5;24,5;22,2;82;63;9,1;3,1;
2007-11-01;0;999,3;19;37,7;29,8;23,1;55,9;27;14,4;3;
2007-11-02;2;1003;21,6;34;25,8;23,2;78,9;38;21,9;2,9;
2007-11-03;,4;1002,9;21,7;31,4;26,3;24;76,7;58;18,6;3,5;
2007-11-04;18,2;1005,5;21,7;27;23,9;22,8;87,5;75;18;3,6;
2007-11-05;29;1011,7;19,9;23,5;21;19,8;93,3;85;12,2;5,2;
2007-11-06;10;1012,3;20;23,4;21,6;20,1;90,9;80;13;2,7;
2007-11-07;1,6;1010,4;21,5;27,5;23,6;21,2;88;76;9,2;2,1;
2007-11-08;,2;1008,3;21,6;27,7;24;22,2;86,7;73;4,7;1,5;
2007-11-09;0;1003,9;21,7;30,4;25,8;22,8;79,4;50;6,3;2,3;
2007-11-10;,2;1000,3;18,7;31,7;27,8;24,2;58,8;43;18,8;3,5;
2007-11-11;1;1002,8;19,7;32,1;26,6;22,7;68,4;36;18,4;4,5;
2007-11-12;12,6;1011,3;20,2;23,9;21,3;21,7;93;85;14,3;5,4;
2007-11-13;34,4;1014,1;18,4;24,6;20;17,7;90,7;78;14,3;5,5;
2007-11-14;0;1008,2;20,2;27,5;23,3;19,7;82,8;69;8,4;2,2;
2007-11-15;,2;1009,7;20,1;26,3;22,1;21,6;88,9;71;18,7;6;
2007-11-16;null;null;null;null;null;null;null;null;null;null;
2007-11-17;null;null;null;null;null;null;null;null;null;null;
2007-11-18;null;null;null;null;null;null;null;null;null;null;
2007-11-19;null;null;null;null;null;null;null;67;7,9;null;
2007-11-20;null;1007,3;18,6;27,6;22,9;20,5;77,2;54;14;5,3;
2007-11-21;0;1013,7;19;24,7;21,7;19,6;84,6;72;7,8;4,1;
2007-11-22;0;1014,9;16,2;25,6;21,5;19,7;72,5;55;6,2;2,1;
2007-11-23;0;1011,8;16,6;25,7;22;18,6;72;54;4,6;1,6;
2007-11-24;0;1007,1;19,4;26,6;22,4;19,5;83,3;69;12,1;3;
2007-11-25;0;1004,2;19,6;31,3;23,6;20,6;78,5;49;12,9;3,5;
2007-11-26;0;1005,7;20,5;25,1;22,9;21;86,3;78;8;2,8;
2007-11-27;,2;1005,9;20,7;24,3;22,2;21,4;91,6;83;8,7;4,3;
2007-11-28;1,8;1008,3;17,5;25,4;22,2;20,7;75,3;56;7;3,2;
2007-11-29;0;1009,3;16,4;26,4;22,2;19,9;69,9;57;6,9;2,6;
2007-11-30;0;1010,4;17,2;25,4;22,6;20,9;71,3;65;4;1,3;
2007-12-01;0;1010,5;18,9;28,5;23,9;20,6;74;58;6,4;2,3;
2007-12-02;1,2;1010,5;20,5;27,3;23,3;20,7;84,8;69;7,7;2,6;
2007-12-03;,2;1009,1;21,8;29,5;24,5;22,5;85,1;67;8,1;2,9;
2007-12-04;,4;1007,6;21,8;28,8;24,5;22,8;85,5;70;12,3;6,2;
2007-12-05;0;1006,1;22;29,2;25,3;21,6;82,4;71;7,9;1,6;
2007-12-06;0;1003;22,5;32;26,9;24,3;77,7;52;8,4;2,3;
2007-12-07;16,8;1004,5;22,2;27;23,5;22,8;92,6;82;24,4;2,8;
2007-12-08;13,6;1006;22,4;29;24,6;22,4;87,5;73;12,7;3,6;
2007-12-09;0;1005,8;23;28,4;25,2;22,7;87,8;75;8,6;1,7;
2007-12-10;,2;1007,2;23,2;30;26,2;23,6;84,1;71;8,8;2,9;
2007-12-11;0;1005,9;20;36,4;28,4;23,8;64,3;31;14,2;2,4;
2007-12-12;0;1006,1;23,1;29,8;26,3;24,7;83,3;69;19,8;4,3;
2007-12-13;61,4;1009,8;21,4;23,7;22,4;20,7;93,9;90;14,3;5,7;
2007-12-14;50,4;1008,3;21,8;25,4;22,8;21,8;93,9;85;10,8;4,7;
2007-12-15;5,6;1006,3;22;28,6;24,8;22,4;84,5;70;7,2;2,7;
2007-12-16;0;1006,1;21,3;30,5;25,6;22,4;77,7;63;7,4;2,9;
2007-12-17;0;1008,7;20,3;28,7;25,2;23,1;74,6;61;7,5;2,9;
2007-12-18;2,2;1009,3;19,8;29,4;25,2;22,5;72;59;8,1;3,1;
2007-12-19;0;1004,8;20,7;30,4;25,2;22,9;76,5;56;9;2,1;
2007-12-20;29;1003,7;21,3;25,9;23,8;22,5;86,4;78;12,9;4,9;
2007-12-21;1,2;1006,1;21,4;27,6;24,2;22,7;84,5;76;5,8;1,4;
2007-12-22;,2;1007,9;21,4;27,1;24,1;23,5;85,3;73;7;2,5;
2007-12-23;3,2;1009,3;21,6;31,3;24,2;22,9;85,6;67;5,7;1,6;
2007-12-24;6,8;1010,2;21,9;29,7;24,9;22,1;84;70;8,9;1,6;
2007-12-25;0;1009;21,9;31,5;26,3;23,2;77,3;64;6,5;1,9;
2007-12-26;0;1009,2;21,6;30,6;26,3;23,8;75,3;66;12,7;4,5;
2007-12-27;0;1007,8;21,4;29,9;26,2;24,1;74,7;61;11,1;2,7;
2007-12-28;0;1007,5;21,3;29,2;25,7;23;77,3;63;7;2,4;
2007-12-29;0;1006,9;21;29,6;25,7;22,3;75,4;63;8,4;2,5;
2007-12-30;0;1005,4;20,3;34,7;26,2;22,3;71,2;35;11,3;2,1;
2007-12-31;0;1005,3;21,7;29,7;26,5;22,9;75,2;61;6,1;1,6;
2008-01-01;0;1007,7;23,5;31,1;26,8;24,3;82,3;66;8,6;2,9;
2008-01-02;0;1008,9;22,7;33,7;27,3;24,1;77,2;52;6,9;2,8;
2008-01-03;0;1009,3;22;33,4;27,7;24,7;71,6;58;10,3;4,6;
2008-01-04;0;1008,6;20,7;33,9;27,8;25,4;66,4;35;9,5;2,7;
2008-01-05;0;1006,7;21,9;29,6;25,5;24,1;80,9;65;20,1;2,4;
2008-01-06;19;1006,6;21,9;27,4;24,3;21,5;86,5;77;10,2;2,4;
2008-01-07;11;1008,1;21,1;30;24,6;22,5;81;65;6,8;2,3;
2008-01-08;2;1007,3;21;29,2;25,2;22,6;77,6;65;10,8;4,1;
2008-01-09;0;1005,7;21,7;30,5;25,7;22,3;79,5;62;8,2;1,9;
2008-01-10;0;1005;22;29,6;25,4;22,6;81,6;68;6,4;1,6;
2008-01-11;0;1004,4;20,8;32,4;27;23;69,5;46;10,7;2,6;
2008-01-12;0;1005,9;21,4;30,1;26,6;23,1;73,5;52;7,7;2,2;
2008-01-13;0;1008,7;21,3;26,9;24,5;22,2;82,8;70;5,7;1,8;
2008-01-14;0;1010,1;20,4;29,9;24,5;22,3;78,3;61;12,1;3,1;
2008-01-15;0;1009,6;19,6;27,7;23,6;21,4;78,6;68;19,6;2,4;
2008-01-16;11,6;1006,5;19,9;28,1;24;20,7;78,2;67;8,1;2;
2008-01-17;0;1004,6;19,2;35,8;26,9;22,2;64,3;32;13,4;2,4;
2008-01-18;2,8;1005,8;20,2;29,8;24,5;21,1;77,6;59;9,5;2,5;
2008-01-19;,4;1003,2;20,7;36,2;26,6;21,1;71,7;37;23,3;3,6;
2008-01-20;17,4;1004,1;22,1;28,4;25,7;23,2;81,1;69;13,9;3,6;
2008-01-21;50;1009,6;19,6;24,1;21,2;20;91,1;81;10,4;2,8;
2008-01-22;16,6;1012,9;17,8;23,5;21,1;19,3;81,9;60;8,8;1,9;
2008-01-23;5,8;1013,7;18,5;23,8;21,2;19,6;84,6;71;11,2;2;
2008-01-24;2,4;1013,6;20;26,6;23,4;20,3;81,7;69;11,6;2,4;
2008-01-25;0;1011,9;19,5;29,1;23,9;21,3;76,9;59;9,5;1,2;
