Nome: LAGOA R.DE FREITAS
Codigo Estacao: A653
Latitude: -22.97416667
Longitude: -43.21777778
Altitude: 4
Situacao: Desativada
Data Inicial: 2007-04-18
Data Final: 2007-09-26
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2007-04-18;null;null;null;null;null;null;null;null;null;null;
2007-04-19;null;null;null;null;null;null;null;null;null;null;
2007-04-20;null;null;null;null;null;null;null;null;null;null;
2007-04-21;null;null;null;null;null;null;null;null;null;null;
2007-04-22;null;null;null;null;null;null;null;null;null;null;
2007-04-23;null;null;null;null;null;null;null;null;null;null;
2007-04-24;null;null;null;null;null;null;null;null;null;null;
2007-04-25;null;null;null;null;null;null;null;null;null;null;
2007-04-26;null;null;null;null;null;null;null;null;null;null;
2007-04-27;null;null;null;null;null;null;null;null;null;null;
2007-04-28;null;null;null;null;null;null;null;null;null;null;
2007-04-29;null;null;null;null;null;null;null;null;null;null;
2007-04-30;null;null;null;null;null;null;null;null;null;null;
2007-05-01;null;null;null;null;null;null;null;null;null;null;
2007-05-02;null;null;null;null;null;null;null;null;null;null;
2007-05-03;null;null;null;null;null;null;null;null;null;null;
2007-05-04;null;null;null;null;null;null;null;null;null;null;
2007-05-05;null;null;null;null;null;null;null;null;null;null;
2007-05-06;null;null;null;null;null;null;null;null;null;null;
2007-05-07;null;null;null;null;null;null;null;null;null;null;
2007-05-08;null;null;null;null;null;null;null;null;null;null;
2007-05-09;null;null;null;null;null;null;null;null;null;null;
2007-05-10;null;null;null;null;null;null;null;null;null;null;
2007-05-11;null;1021,4;15,6;23,6;null;null;68,5;59;8,8;1,8;
2007-05-12;0;1020,5;14,4;27,6;21,3;17,5;66,8;42;5,6;1,1;
2007-05-13;null;1020,7;18,4;26,5;24,8;17,4;67,9;55;5,9;1,5;
2007-05-14;0;1013,3;16,5;28,7;26,9;22;53,3;40;9,6;1,9;
2007-05-15;0;1017,5;20,2;24,4;null;23,8;81,5;76;3,3;,5;
2007-05-16;,4;1014,9;null;null;null;21,3;80;78;8,2;1,3;
2007-05-17;0;1013,4;18,6;32,1;24,3;19,2;73,1;39;4;,8;
2007-05-18;0;1015;20;26,8;22,9;19,1;84;71;7,3;1,2;
2007-05-19;0;1016,5;19,4;27,2;23,7;19,6;77,6;59;10,1;1,3;
2007-05-20;63;1019;19,3;24,6;21,7;19,6;87;66;6,7;1;
2007-05-21;0;1015,9;19,8;27,1;23;19,6;82,7;66;9,1;1,8;
2007-05-22;0;1011;18,6;30,1;24,4;20,5;72,6;41;13,4;2,2;
2007-05-23;,6;1009;19,2;26,9;22,3;20,7;82,9;58;7,4;,8;
2007-05-24;18,2;1014,4;14,9;22,8;19,6;18,1;74,8;57;12,7;2,9;
2007-05-25;4,4;1020;12,8;23,3;19,4;17,3;66,2;51;13;2,1;
2007-05-26;0;1018,6;14,5;25;19,2;14,9;75,7;45;6,1;1,2;
2007-05-27;0;1014,5;15,1;26,3;20,1;14,9;73,8;49;9,1;,9;
2007-05-28;,2;1014,9;16,6;25,3;20,7;15,9;78,1;59;6;1,1;
2007-05-29;0;1014,6;17,4;25,7;20,7;16,5;81,7;51;11,7;1,5;
2007-05-30;26,6;1021,1;12,1;21,2;18,5;16,9;67,7;47;11,7;3,1;
2007-05-31;7,6;1023;14,5;21,6;18,1;15;80,1;60;6,3;1,2;
2007-06-01;,2;1016,5;14,4;27,9;21,3;14,8;67,1;43;10,4;1,3;
2007-06-02;0;1012;16,9;28,4;24,5;15,1;66,1;41;18,5;3,5;
2007-06-03;19,2;1014,4;17,8;20,7;19,5;18,5;90;73;9,1;1,2;
2007-06-04;3,4;1019,1;12,1;22,7;19,9;18,5;61,7;48;10,2;2,1;
2007-06-05;0;1019,7;13,7;23,1;17,7;13,7;78,4;51;5;1,2;
2007-06-06;0;1018,2;15,7;23;18,8;13,8;82,8;66;3,4;,9;
2007-06-07;0;1016,6;16,3;25,2;19,4;14,7;83;57;5,1;,9;
2007-06-08;0;1015,7;17,2;27,7;21,1;15,6;78,9;48;6,5;,9;
2007-06-09;0;1018;18,7;24,7;21,4;16,7;85;71;4,2;,7;
2007-06-10;,2;1016,4;18,4;29,2;22,1;17,7;81,3;48;5,4;,7;
2007-06-11;0;1016,2;18,2;27,1;22;17,7;79,8;61;3,7;,7;
2007-06-12;0;1016,2;17,7;28,6;21,8;17,4;78,6;50;5,4;,7;
