Nome: ENGENHO DE DENTRO
Codigo Estacao: A655
Latitude: -22.89472222
Longitude: -43.29138889
Altitude: 37
Situacao: Desativada
Data Inicial: 2007-07-02
Data Final: 2007-09-23
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2007-07-02;null;null;null;null;null;null;null;null;null;null;
2007-07-03;null;null;null;null;null;null;null;null;null;null;
2007-07-04;null;null;null;null;null;null;null;null;null;null;
2007-07-05;null;1016,9;13;29,3;27,1;null;42,5;31;4,8;1,1;
2007-07-06;0;1015,6;15,1;30,5;24,5;19,2;58,6;34;5,9;,7;
2007-07-07;0;1013,6;12,6;30,8;24,8;19,1;49,7;26;5,4;,5;
2007-07-08;0;1012,5;12,4;31,6;25,1;19,3;47,5;25;4,3;,4;
2007-07-09;0;1014,8;16,5;28,9;23,3;18,8;66,5;43;4,3;,5;
2007-07-10;0;1012,3;16,1;31,7;24,2;18,8;65,7;28;5,1;,5;
2007-07-11;0;1013,7;17,1;26,5;22,2;19,5;73,7;47;14,8;1,4;
2007-07-12;3;1019,4;17;21,2;19,6;18,1;85,4;73;4,4;,8;
2007-07-13;2,2;1016,4;16,8;27,5;22,5;18,1;72,4;43;3,9;,7;
2007-07-14;0;1012,5;15,6;30,9;23,9;18,4;64;28;4,5;,3;
2007-07-15;0;1011,4;15,9;32,2;23,2;18,4;65,8;30;16,2;1,3;
2007-07-16;0;1014,4;17,1;23,9;20,9;18,9;79,2;65;6,3;,6;
2007-07-17;16,8;1013,3;17,8;25,8;21,6;18,5;80;63;4,2;,8;
2007-07-18;0;1008,7;17,6;25,2;21,7;18,5;78,2;50;15,5;,9;
2007-07-19;,4;1013,7;13,4;20,7;19;18,1;70,6;57;15,4;2,1;
2007-07-20;0;1015,1;12,8;24,7;18,8;13,8;70,1;43;5,3;,6;
2007-07-21;0;1013,4;15,3;28,5;21,4;13,8;70,5;38;3,9;,4;
2007-07-22;0;1008,2;14,4;33,2;24,9;16;57,1;24;4,6;,5;
2007-07-23;0;1006,7;16,1;28,1;25,6;17,6;56,2;41;10,6;1,2;
2007-07-24;2;1012,6;18,7;24,1;21,5;19,8;84,4;68;8,9;,8;
2007-07-25;6,2;1009;19,2;27,9;22,5;19,7;82,4;56;11,7;,8;
2007-07-26;0;1018,6;12,5;22,5;19,1;18,5;65,9;58;15,7;2,4;
2007-07-27;0;1020,2;12,4;18,8;17,8;16,8;71;61;6,3;,5;
2007-07-28;,6;1021,9;15;18,1;16,5;16,4;90,7;74;7,6;1,1;
2007-07-29;35;1025,1;12,5;17,5;15,5;14,3;82,6;64;10,7;1,6;
2007-07-30;3,2;1024,3;11;19,7;15,7;12,7;75,5;49;4,1;,4;
2007-07-31;0;1019,2;11,3;23,6;17,3;11,9;70,7;37;4,7;,7;
2007-08-01;0;1016,9;13,2;26,9;20,4;11,9;66,7;32;4;,5;
2007-08-02;0;1016,9;13,8;28,9;21,9;14,6;63,8;28;3,9;,4;
2007-08-03;0;1018,4;16,1;24,6;20,9;16;74,8;61;4,5;,7;
2007-08-04;0;1016,6;15,4;28,9;22,8;17,3;66,4;35;6;,9;
2007-08-05;0;1017,7;16;22,5;20,4;18,3;76,2;64;11;1,4;
2007-08-06;1,8;1018,8;18;23,6;20,5;18,7;85,7;70;4,6;,9;
2007-08-07;,2;1014,3;15,8;30,6;24,1;17,6;64,1;32;4,9;,9;
2007-08-08;0;1016,9;15,6;25,7;22,5;17,6;65,8;46;8,5;1,4;
2007-08-09;0;1018,8;17,1;28,2;23,3;19,8;69,3;44;5,4;1,1;
2007-08-10;0;1017,2;15,9;29,9;24,1;19,1;62,8;33;5,5;1,1;
2007-08-11;0;1017,8;15,9;32,2;23,2;19;67;26;19;1,6;
2007-08-12;1,4;1022,2;17,3;23,6;20,5;19,1;82;68;6,7;1,2;
2007-08-13;0;1020,8;17,5;26,3;22;18,8;76,9;53;6,3;1;
2007-08-14;0;1019,3;15,5;29,4;24,2;18,5;60,8;35;8,5;1,7;
2007-08-15;0;1018,9;15,7;29,3;23,7;18,9;63;35;6,1;1,2;
2007-08-16;0;1018,5;14,2;29,7;23,9;18,7;57,5;29;5,3;1,1;
2007-08-17;0;1018,6;16,3;24,3;21,6;18,6;72,5;60;8,1;1,4;
2007-08-18;0;1017,3;15,8;27,3;22,4;18,6;67,5;43;5,5;,9;
2007-08-19;0;1017,6;17;26,3;22,4;19,9;72,4;49;4,3;,6;
2007-08-20;0;1014,1;13,7;32,1;24,3;18,9;57,3;21;14;1,3;
2007-08-21;,6;1018,8;15,2;20,9;19,9;18,9;74,6;66;11,9;1,9;
2007-08-22;0;1020;14,5;20,5;19,1;18,1;74,8;61;4,7;,7;
2007-08-23;0;1016,3;14,2;26,6;21,8;18,1;62,5;47;6,8;1,6;
2007-08-24;0;1011,6;12,7;32,2;23,5;16,4;56,5;24;4,7;,6;
2007-08-25;0;1009,3;14,5;34;25;16,3;56,1;21;5,3;,6;
2007-08-26;0;1007,9;14,5;35,4;26;18,3;57,6;18;4,3;,6;
2007-08-27;0;1008,8;15,2;30,3;25;18,8;56,3;35;14,1;1,3;
2007-08-28;0;1016,6;18,1;22,3;21;21,2;83,5;74;6,4;,8;
2007-08-29;1,6;1020,1;16,9;22,9;20,4;18,7;80,5;66;4,6;,6;
2007-08-30;,4;1021,7;18;23,3;21,2;18,7;82,2;71;9;1,6;
2007-08-31;0;1020;17,5;28,2;23,3;19,7;71;50;7,4;1,9;
2007-09-01;0;1016,3;16,8;32,9;25,1;19,5;63,5;29;4,4;,6;
2007-09-02;0;1017,6;18,3;25,7;22,3;19,5;78,5;62;6,6;1,2;
2007-09-03;0;1019,4;18,6;28,9;24,1;20,6;72,4;54;6,3;1,4;
2007-09-04;0;1020,9;17,6;30,4;25,3;20,9;63,8;38;8,8;2,3;
2007-09-05;0;1020,9;16,9;30,5;25,3;20,9;61,2;39;8,6;2,2;
2007-09-06;0;1019,2;16,7;31,5;25,8;20,9;59,5;33;6;1,4;
2007-09-07;0;1017,6;17,9;31,2;24,8;20,9;67;38;6,3;1,2;
2007-09-08;0;1016,8;16,2;30,6;24,8;20,9;61,2;34;5,3;1,2;
2007-09-09;0;1016,6;16;29,6;24,3;20,6;61,4;32;6,8;1,5;
2007-09-10;0;1016,9;15,6;30,6;24,6;20,4;59,6;31;7,3;1,7;
2007-09-11;0;1017,1;14,6;30,2;24,4;20,3;56,3;29;7,2;1,8;
2007-09-12;0;1017,1;13,9;31,5;24,9;20,3;53,1;24;7,5;1,9;
2007-09-13;0;1016,1;15,6;31,9;25,3;20,6;57,1;28;7,7;1,8;
2007-09-14;0;1013,8;14,4;32,3;25,5;19,5;53,8;25;5,9;1,4;
2007-09-15;0;1011,1;14,4;34,9;26,8;19,5;50,7;19;10,6;1,1;
2007-09-16;0;1011,6;17,1;29,2;23,7;20,8;67,3;47;8,8;1,1;
2007-09-17;0;1016,2;17,4;24,9;22;20,8;75,4;63;8,3;1,5;
2007-09-18;1,6;1017,7;13,3;26;22;19,6;58,5;44;8,9;2,2;
2007-09-19;0;1013,7;13,3;29,8;23,7;18,7;53,7;35;6,4;1,3;
2007-09-20;0;1011;17;33,2;26;18,7;59,1;32;4,7;,6;
2007-09-21;0;1011,7;18,2;25,3;23,1;21;74,1;65;17,4;1,6;
2007-09-22;null;null;null;null;null;21,5;null;null;null;null;
2007-09-23;null;null;null;null;null;null;null;null;null;null;

