Nome: AFONSO CLAUDIO
Codigo Estacao: A657
Latitude: -20.10416666
Longitude: -41.10694444
Altitude: 507.48
Situacao: Operante
Data Inicial: 2011-09-23
Data Final: 2024-07-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2011-09-23;null;null;null;null;null;null;null;null;null;null;
2011-09-24;null;null;null;null;null;null;null;null;null;null;
2011-09-25;null;null;null;null;null;null;null;null;null;null;
2011-09-26;null;null;null;null;null;null;null;null;null;null;
2011-09-27;null;null;null;null;null;null;null;null;null;null;
2011-09-28;null;null;null;null;null;null;null;27;7,6;null;
2011-09-29;null;959,8;16,1;28;21,6;18,2;72,1;46;9,3;1,7;
2011-09-30;0;957,9;15,2;30,6;23,5;19,3;62,7;33;8,6;2,3;
2011-10-01;0;956,1;14,4;30,7;23,2;18,4;61,5;29;9,3;2,6;
2011-10-02;0;954,6;12,6;30,4;22,7;14,5;56,8;29;9;2,7;
2011-10-03;0;955,2;15,9;27,5;22,4;19,4;67,7;42;7,5;1,9;
2011-10-04;,4;959,4;15,7;25,1;21,2;19,3;71,8;51;10,7;3,3;
2011-10-05;0;961,1;14;23;19,2;17,9;72,7;56;8,8;2,4;
2011-10-06;2;960,1;17,7;21,9;18,7;17,3;94,2;79;5,7;,8;
2011-10-07;5,6;959,4;17,2;27,8;21,1;17,7;80,3;50;6,5;1,3;
2011-10-08;,2;958,5;15,3;28,2;21,8;16,1;69,4;38;7,7;2;
2011-10-09;0;956;14,3;29,5;22,3;16,9;62,6;34;9,5;2,5;
2011-10-10;0;954,1;16,3;25,6;22,3;19,6;70,2;53;7,3;2;
2011-10-11;0;954,6;17,8;25,4;22,5;20,3;75,1;63;6,6;1,9;
2011-10-12;0;954,8;18,3;29,1;23;19,6;76,2;49;9,5;2,4;
2011-10-13;0;955;18,2;26,4;22,1;19,8;79,1;60;8,7;2,3;
2011-10-14;0;953,1;17,3;25,8;22,7;19,3;72,5;56;8,7;2,2;
2011-10-15;0;951,1;18,2;28,2;23,9;20,8;71,3;54;5,9;2;
2011-10-16;14,2;949,6;19,6;27,3;23,4;19,9;79,7;61;9,3;2;
2011-10-17;22;949,7;19,8;26,4;21,9;19,6;88,7;66;7,9;1,8;
2011-10-18;26;953,9;14,4;23,5;20,5;18,6;69,6;43;11,3;3,9;
2011-10-19;0;959,4;11,9;23,1;18,7;16,8;65;52;10,2;3,7;
2011-10-20;0;959,8;11;21,2;17,5;13,2;66,5;51;10;2,9;
2011-10-21;0;960,4;10,5;22,7;18,1;14,5;62,4;40;10;3;
2011-10-22;0;961,5;15,1;21,7;17,8;15,8;84,5;68;7,8;1,5;
2011-10-23;9,8;962,7;16,2;20,4;17,8;16,7;91,6;67;3,3;1,1;
2011-10-24;18,2;960,5;15,5;22,7;18;14,5;86,2;67;5,3;1,5;
2011-10-25;0;957,6;16,3;24,5;20,3;17,1;79;57;7;1,7;
2011-10-26;,2;955,3;18,2;28,7;22,2;18,5;79,6;52;9;2,8;
2011-10-27;,2;955;19,6;28,6;23,7;20,6;78,7;57;8,7;2,1;
2011-10-28;0;954,2;18,4;31,5;24,2;20,9;72,8;42;22,7;2,8;
2011-10-29;8;952,9;17,4;30,9;23,6;17,3;70,5;43;9,1;2,3;
2011-10-30;0;952,2;18,8;29,5;22,6;19,7;80,8;51;16,8;2,3;
2011-10-31;9;954,2;15,9;20,9;18,5;18,7;84,7;66;8,6;2,7;
2011-11-01;7,4;958,2;12,7;19,9;16,2;13,5;80,7;56;8,2;2,1;
2011-11-02;1;960,3;11,6;24,5;18,1;15,2;66,9;43;10,4;3,1;
2011-11-03;0;960,8;10,2;26,4;18,6;13,1;59,6;35;8,3;2,5;
2011-11-04;0;960,4;11,5;27,7;20;15,5;60,2;32;7,8;2,4;
2011-11-05;0;959,2;12,1;27,6;20,4;16,1;62;34;7,5;2,2;
2011-11-06;0;957,5;11,9;27,9;20,9;16,1;60,3;27;7,9;2,3;
2011-11-07;0;956,1;12,9;26,8;20;13,5;66,5;41;7,3;1,8;
2011-11-08;0;955,8;14,8;26,4;21;17,8;68,6;49;7,9;2,3;
2011-11-09;0;956,9;14,7;27,1;21,1;16;67,8;45;7,8;2,4;
2011-11-10;0;956,8;16,2;28,9;21,8;17,1;72;45;5,7;1,6;
2011-11-11;0;956,4;16,7;29,3;23,4;18,7;68,6;42;7,9;1,7;
2011-11-12;0;956;16,5;32;24,5;18,9;65;29;9;2;
2011-11-13;1,2;955,5;17,9;30,1;22,8;19,4;77,4;38;9,5;2,3;
2011-11-14;42,4;954,3;17,3;29,1;23,4;18,5;71,2;44;10,4;2,5;
2011-11-15;39,8;951,7;18,8;27,1;22,5;18,7;80,7;62;10,3;2,9;
2011-11-16;14,2;950,5;19,5;23,5;21,2;19,9;90,2;77;10,3;1,7;
2011-11-17;1,4;953,5;16,3;25,3;20,3;17,6;78,2;58;8,2;2,4;
2011-11-18;,4;956;15,8;23,3;19,3;17,2;80,9;62;6,7;1,6;
2011-11-19;9,6;957;16,8;21,4;18,4;17,1;90,6;72;8,9;1,4;
2011-11-20;14,6;957,3;16;21,6;18,3;15,9;87;66;5;1,2;
2011-11-21;,8;957,1;17,1;26,6;21,2;17,1;79,3;54;7,3;1,6;
2011-11-22;0;954,8;18,1;26,8;22,5;19,4;76,7;58;8,8;2,6;
2011-11-23;21,8;953,2;19,9;23,3;21,4;20,4;90,9;74;10;1,6;
2011-11-24;48,8;953,7;19,8;29,1;22,7;20,4;84,6;53;12,5;2,3;
2011-11-25;7,6;954,6;19,5;27,3;22,7;20,2;82,6;64;8,3;2,1;
2011-11-26;10,2;955,6;19,3;28,2;22,1;19,6;85,2;55;8;1,8;
2011-11-27;9,8;955,7;19,3;24,3;20,9;19,1;91;68;6,2;1,2;
2011-11-28;26,2;956,5;18,5;24,2;19,4;18;95;70;9,9;1,3;
2011-11-29;22,2;955,7;18,6;21,6;19,3;17,5;96;87;2,9;,8;
2011-11-30;20,4;953,5;19,1;26,9;21,9;18,9;85,5;60;9,7;2,3;
2011-12-01;7,8;953,2;19,7;26,7;null;20;85;66;9,4;2,2;
2011-12-02;6,6;952,6;20,3;26,3;null;20,1;89,5;68;8,3;1,8;
2011-12-03;16,8;955,1;15,9;23,7;null;17,8;75,4;61;9,7;2;
2011-12-04;2;955,8;18,2;23,8;null;18;88,2;76;4,3;1,3;
2011-12-05;3,2;955,9;19,9;28,9;null;19,1;88;55;8;1,5;
2011-12-06;2,6;955,7;20,6;26,1;null;20,2;91,4;71;8,6;1,6;
2011-12-07;4;955;20,4;29,8;null;20;88,6;58;10,5;1,7;
2011-12-08;3,4;954,4;19,6;31;null;19,7;79,7;49;6,9;1,7;
2011-12-09;0;952,6;19,5;30,8;null;21,3;74,7;52;10,3;2,1;
2011-12-10;21,8;949,4;20,4;27,4;null;21;90,3;67;16,8;1,9;
2011-12-11;4,4;951,3;18,9;29,9;null;18,1;86,1;58;10,1;2,3;
2011-12-12;8,2;953,5;20,4;28,8;null;18;91,8;75;4,8;1,3;
2011-12-13;3,4;953,3;21,1;null;null;null;80,3;50;7,8;2;
2011-12-14;,2;953,4;19,8;null;null;null;78,6;62;11,4;2,5;
