Nome: PONTA PORA
Codigo Estacao: A703
Latitude: -22.5525
Longitude: -55.71638888
Altitude: 668
Situacao: Operante
Data Inicial: 2001-09-06
Data Final: 2024-07-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2001-09-06;null;null;null;29,5;null;null;null;40;10,4;null;
2001-09-07;3,6;938;14,9;30,1;22,6;16,5;64,4;35;16;5;
2001-09-08;0;935,7;13,8;33,2;24,4;17,8;55,5;23;10,3;3,1;
2001-09-09;0;937,1;14,9;33,6;26;19,8;54;27;9,8;2,8;
2001-09-10;0;938,5;17,6;28;19,3;17,6;89,9;51;9,3;4;
2001-09-11;0;940,1;10,1;25,3;17,9;13,9;68,4;24;10,1;3,6;
2001-09-12;0;936,4;8,2;29,1;20,3;12,7;47;30;8,2;3,2;
2001-09-13;0;934,4;13,2;32,5;24;17,9;52,8;33;12,2;5,2;
2001-09-14;3,2;935,7;16,9;27,9;18,7;17,8;89,7;50;9,9;2,5;
2001-09-15;0;938,2;9,2;23,1;17,4;12,2;61;36;9,2;3,1;
2001-09-16;0;944,9;1;17,1;12;7,4;50;23;13,7;3,7;
2001-09-17;0;944,6;-,2;21,5;12,4;4,8;47,6;17;11,1;4,2;
2001-09-18;0;941,6;4,3;24,7;16,3;8,8;47,8;26;15;6,2;
2001-09-19;0;null;null;null;null;10,6;59;23;11,1;null;
2001-09-20;null;null;null;null;null;null;null;27;7,7;null;
2001-09-21;null;937,9;14,9;19,9;null;null;90,2;66;12,9;5,5;
2001-09-22;26,6;936,4;16,5;25;19,5;15,3;84,1;56;8,5;3,4;
2001-09-23;0;935,3;17,2;31;22;15,5;77,6;42;9,3;2,3;
2001-09-24;0;933,7;18,3;32;23,7;18,3;74,8;41;15;4,6;
2001-09-25;96,6;936,4;16,7;19,4;17,3;16,5;96,1;87;12,5;2,5;
2001-09-26;31,6;936,9;16,8;19;17,5;16,2;95,2;88;8,5;1,9;
2001-09-27;1,2;936,9;17,2;26,7;20,1;15,9;84,8;58;12,1;3,2;
2001-09-28;0;937;18,8;28,5;21,9;17,2;83,8;59;12,2;4,1;
2001-09-29;32,4;937,2;18,9;30,8;22,5;18,3;81,9;52;12,1;4,7;
2001-09-30;0;934;18,8;31;24,5;18,8;72,9;49;15,5;4,9;
2001-10-01;0;933,3;18,2;26,4;23,2;21,9;73,5;63;14,1;4,5;
2001-10-02;,2;937,2;9,8;24,1;19,3;14,7;55,4;33;11,8;3,9;
2001-10-03;0;939,5;9,9;26;19,4;13,1;58,2;27;7,7;1,9;
2001-10-04;0;939,4;12,1;27,8;20,7;16;60,4;34;7,1;1,7;
2001-10-05;10,4;939,9;15,3;23,3;19,5;16;76,8;63;13,4;2,6;
2001-10-06;1;937,9;18,2;28,2;22,3;16,2;79,5;57;8,3;2,8;
2001-10-07;0;933,6;19,1;31,1;25,1;19,5;71,7;45;13,2;4,7;
2001-10-08;1,2;934,7;17,2;25,8;22,1;17,2;74,3;53;13,1;3,7;
2001-10-09;,8;937,9;13,8;25,5;20,2;16;70,6;38;9,1;2,4;
2001-10-10;null;null;null;null;null;17,5;null;44;4;null;
2001-10-11;null;939;15,2;29,8;23,4;null;61,7;39;7;2;
2001-10-12;8,4;939,7;16,5;30,1;24,1;19,2;64,1;37;8,3;1,9;
2001-10-13;,8;939,2;16,8;31,4;25,3;19,5;61,5;35;10,3;3,2;
2001-10-14;0;938,5;17,2;28,9;22,2;19,2;74,6;49;14,9;2,8;
2001-10-15;21,2;937,2;15,9;29,2;22,5;17,7;68,7;40;12,2;2,8;
2001-10-16;0;937;15,8;29,3;24,4;19;60,2;35;7,3;1,8;
2001-10-17;0;935,8;17,5;28,6;23,8;19,4;68,5;49;8,1;2,1;
2001-10-18;,2;934,3;17,3;30,6;23,3;18,1;70,5;40;10,6;2,1;
2001-10-19;14;933,5;16,6;28,7;21,7;16,3;74,7;46;13,2;2,8;
2001-10-20;0;932,9;18,1;27,1;21,3;17,1;82,6;59;9,9;3,1;
2001-10-21;5;934,1;16;25;19,6;16,2;81;55;15,6;3,7;
2001-10-22;0;937;12,6;25,5;19,8;15,1;68,1;29;10,2;3,1;
2001-10-23;0;937,9;6,8;29,2;21,8;15,3;39;24;6,8;2,1;
2001-10-24;null;939,4;9,1;31,6;null;16,4;37,1;23;9,8;2,9;
2001-10-25;null;null;null;32,5;null;17,4;41,9;25;11,3;null;
2001-10-26;0;937,3;13,5;33,8;25,4;16,8;51,3;26;12,9;4,1;
2001-10-27;0;null;null;32,4;null;20;65,6;33;8,8;null;
2001-10-28;null;null;null;33,2;null;null;54,4;30;7,9;null;
2001-10-29;0;936,4;18,7;31,7;23,7;20,7;74,7;46;12,1;2,5;
2001-10-30;21,4;938,4;17,6;24,8;20,5;17,5;84,1;62;13,4;2,6;
2001-10-31;0;938,6;18,3;28,4;22,8;18,6;77,6;49;8,5;2;
2001-11-01;0;936,6;12,6;30,4;23,7;18,2;53,4;27;6,2;2,1;
2001-11-02;0;935,3;11,4;30,2;23,3;19,2;48,7;24;10,5;2,5;
2001-11-03;,6;935,8;15,7;23,4;20;18,3;76,8;44;6;2;
