Nome: TRES LAGOAS
Codigo Estacao: A704
Latitude: -20.79499999
Longitude: -51.71333333
Altitude: 328.94
Situacao: Operante
Data Inicial: 2001-09-02
Data Final: 2024-07-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2001-09-02;null;null;null;null;null;null;null;null;null;null;
2001-09-03;null;null;null;null;null;null;null;21;3,6;null;
2001-09-04;null;976,5;25,7;null;null;null;49,5;13;5,2;,8;
2001-09-05;null;978,6;13,8;35;27,1;20,5;46,4;24;6,8;1,3;
2001-09-06;0;978,9;14,3;33,4;25,8;19,2;51,8;27;7,8;2,1;
2001-09-07;0;977,1;14,4;33,2;25,5;18,8;52,9;25;6,6;1,7;
2001-09-08;0;974,6;13,3;36,4;26,6;18,7;48,6;17;6,3;1,2;
2001-09-09;0;975,3;13,3;36,6;28,2;21,7;42,9;18;6,6;1,3;
2001-09-10;0;974,2;13,4;38,8;28,8;20,6;43;17;6,3;,9;
2001-09-11;0;975,2;18,3;31,3;26,6;20,9;62;37;8,6;2,7;
2001-09-12;0;975;11,7;31,5;24,8;19,5;46,1;26;7,4;2;
2001-09-13;0;974,4;12,7;36,7;25,3;18,4;48;25;11,9;2,2;
2001-09-14;5;974;19,8;26,5;23,1;20,9;82;57;15,6;1,7;
2001-09-15;10,2;974,8;16,6;24,9;21;17,7;76,4;48;7;1,5;
2001-09-16;0;981;6,4;24,3;18,9;13,7;48;23;12,2;2,9;
2001-09-17;0;983,6;2,2;24,7;15,8;7,6;43,3;21;10,1;2,2;
2001-09-18;0;981,6;6,3;28,2;19,9;11,4;45,4;20;10,8;2,5;
2001-09-19;0;978,4;10,1;31,6;23,1;15,9;46;27;8,7;2,1;
2001-09-20;0;976,4;11,3;35,2;26,6;19,4;39,2;28;8;2,2;
2001-09-21;0;977,4;13,7;29,8;24,6;21,1;51,5;32;9;2,2;
2001-09-22;23;976,6;17,5;31,1;23,1;17,9;73,5;37;9,4;2,5;
2001-09-23;0;974,3;18,5;33,6;25,1;20,2;69;37;8,2;1,4;
2001-09-24;6,4;973,5;18,4;34,5;26,5;20,2;65,4;32;15,6;1,6;
2001-09-25;4;974,5;19,1;25,4;22,1;20,6;83,9;54;10,1;1,6;
2001-09-26;31,8;976,3;19,2;23,1;21,5;20;86,9;76;7,8;1,2;
2001-09-27;0;976,2;18,7;30;24,5;19,3;72,5;45;5,9;1,1;
2001-09-28;0;976,6;19,4;33,2;26,5;21;67;40;6,9;1,4;
2001-09-29;0;976,6;18,7;34,2;27,4;22,1;60,7;37;10,4;1,9;
2001-09-30;0;974,7;18,2;34,6;28,9;23,6;54,7;30;8;2,2;
2001-10-01;0;972,5;18,8;34,9;27,9;23,1;59,6;33;13,3;3,1;
2001-10-02;26,2;975,9;17,2;28,3;19,4;17;87,2;62;19,3;2;
2001-10-03;12,4;978,1;14,6;28,8;21,1;14,9;71,1;32;5,8;1;
2001-10-04;0;977,2;16,4;32,7;25;18,3;63,2;29;4,8;,7;
2001-10-05;2,8;978,1;18,1;26,7;22,3;20;77,1;55;5,1;1;
2001-10-06;1;976,9;18,2;31,7;24,2;18,2;72,2;39;4,7;,6;
2001-10-07;0;973,7;18,5;34,3;26,7;21,2;63,5;35;15;1,6;
2001-10-08;7,8;973,8;20,2;26;23;20,7;84,5;70;14,1;1,4;
