Nome: BAURU
Codigo Estacao: A705
Latitude: -22.358052
Longitude: -49.028877
Altitude: 636.17
Situacao: Operante
Data Inicial: 2001-08-29
Data Final: 2024-07-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2001-08-29;null;null;null;null;null;null;null;null;null;null;
2001-08-30;null;null;null;null;null;null;null;32;1,4;null;
2001-08-31;null;946;15,4;30,9;23,2;16,4;63,6;36;5,8;1,8;
2001-09-01;0;945,1;14,8;32,2;24,3;18,4;57,9;27;5,2;1,4;
2001-09-02;0;944;14,2;32,3;24,2;18,9;55,8;29;5,6;1,6;
2001-09-03;0;942,9;13,4;32;24,3;19;53,1;26;6,5;1,4;
2001-09-04;0;943,7;12;33,2;25,3;18,3;45,4;23;5,2;1,2;
2001-09-05;0;946,2;14,1;29,6;22,7;17,6;62;29;9,5;2,6;
2001-09-06;0;946,5;14,8;28,1;21,4;17;67,9;42;10,3;2,6;
2001-09-07;0;944,7;13,1;27,6;20,6;15,8;64,1;39;9,3;2,4;
2001-09-08;0;941,9;13,2;32,2;21,4;13,7;63,5;28;7,5;1,9;
2001-09-09;0;942,6;13,7;32;23,7;17,3;57,2;27;7;1,9;
2001-09-10;0;941,1;13,4;34,9;25,7;18,2;51,5;22;7,1;1,5;
2001-09-11;0;940,9;15;28,1;22,6;18,3;63,3;39;7,2;1,9;
2001-09-12;0;942,5;8,1;26,5;18,7;12,5;54;28;10,5;2,7;
2001-09-13;0;941,7;12,6;32,4;21,3;13,2;60,3;33;9,6;2,2;
2001-09-14;6;940,9;18,3;26,1;19,4;18,6;93,8;54;13,1;2,4;
2001-09-15;13,2;938,9;16,1;25;20,3;17,7;79;52;7,8;2,2;
2001-09-16;0;943,5;6,6;22,4;16,1;10,1;58,3;26;11,6;2,9;
2001-09-17;0;948,6;4,6;20,9;13,2;5,6;58,4;34;10,3;2,3;
2001-09-18;0;948,7;8,2;24;16,1;10;63;31;12,1;2,8;
2001-09-19;0;946,5;8,1;27,2;18,2;11,1;57,4;24;9,1;2,7;
2001-09-20;0;945,2;10,4;28,3;19,5;12,7;58,4;30;7,4;2,3;
2001-09-21;0;945;12,8;25,1;19,8;15,8;64,9;44;8,2;2,1;
2001-09-22;3,2;944;14,8;25,9;19,7;15,7;75,7;45;9,8;2,8;
2001-09-23;6,6;942,1;15,4;28;20,3;15,1;76;43;8,3;2,6;
2001-09-24;,4;941,1;15,2;32;23;16,5;66,4;29;6,5;1,6;
2001-09-25;0;940,9;17,8;26,6;21,4;18,4;80,8;55;10,9;2,2;
2001-09-26;4,6;941,6;17,7;27,4;21,8;18,6;79,8;53;9,9;2;
2001-09-27;1,4;943,4;17;25,6;20,6;18;80,9;58;7;1,9;
2001-09-28;0;944,3;15,9;30,6;22,1;16,6;69,9;41;9,7;2,6;
2001-09-29;0;945,1;16;28,9;22,1;17;69,7;48;8,8;2,6;
2001-09-30;0;942,8;16,3;31,6;23,2;17;67,9;40;9;2,7;
2001-10-01;0;938,7;17,9;30,9;24,2;21;69,2;44;14;3,3;
2001-10-02;40,2;939,6;17,3;23,3;18,8;19,6;91,3;69;9,6;2,2;
2001-10-03;,4;943,1;13,3;26,3;19;13,3;72,8;41;9,2;2,4;
2001-10-04;0;942,9;11,7;30,4;21,4;13,6;57,9;26;8,1;2;
2001-10-05;0;943,1;13,4;30,6;23,7;18,9;54,6;32;7,1;1,8;
