Nome: CAMPOS DO JORDAO
Codigo Estacao: A706
Latitude: -22.75027777
Longitude: -45.60388888
Altitude: 1662.95
Situacao: Operante
Data Inicial: 2002-03-12
Data Final: 2024-07-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2002-03-12;null;null;null;null;null;null;null;null;null;null;
2002-03-13;null;null;null;null;null;null;null;null;null;null;
2002-03-14;null;null;null;null;null;null;null;null;null;null;
2002-03-15;null;null;null;null;null;null;null;null;null;null;
2002-03-16;null;null;null;null;null;null;null;null;null;null;
2002-03-17;null;null;null;null;null;null;null;null;null;null;
2002-03-18;null;null;null;null;null;null;null;null;null;null;
2002-03-19;null;null;null;null;null;null;null;null;null;null;
2002-03-20;null;null;null;null;null;null;null;null;null;null;
2002-03-21;null;null;null;null;null;null;null;null;null;null;
2002-03-22;null;null;null;null;null;null;null;null;null;null;
2002-03-23;null;null;null;null;null;null;null;null;null;null;
2002-03-24;null;null;null;null;null;null;null;null;null;null;
2002-03-25;null;null;null;null;null;null;null;null;null;null;
2002-03-26;null;null;null;null;null;null;null;null;null;null;
2002-03-27;null;null;null;null;null;null;null;null;null;null;
2002-03-28;null;null;null;null;null;null;null;null;null;null;
2002-03-29;null;null;null;null;null;null;null;null;null;null;
2002-03-30;null;837,6;11,9;24,2;17,3;null;73,7;36;9,8;2,8;
2002-03-31;null;null;null;null;null;null;null;null;null;null;
2002-04-01;null;836,6;12,3;25,5;17,6;null;74,3;38;6,8;1,3;
2002-04-02;0;837,2;12,7;25;17,5;11,7;75,3;42;5,5;1,7;
2002-04-03;0;838,9;13;22,5;16,7;13,4;79;55;10;2;
2002-04-04;,2;838,5;13,1;21,8;15,8;11,9;84,4;60;7,3;1,9;
2002-04-05;26,6;837,1;12,2;21,3;15,5;10,7;82,3;52;5,9;1,7;
2002-04-06;0;835,4;12,3;19,7;14,6;10,1;86,6;64;5,5;1,6;
2002-04-07;2,2;835,5;12,5;20,4;14,4;12,9;88,8;65;9;1,7;
2002-04-08;17,2;835;11;19,8;13,9;8,8;84,2;55;5,5;1,6;
2002-04-09;0;834,7;12,2;20,2;14,8;10,2;85,2;65;6,7;2;
2002-04-10;0;834,5;11,9;22,4;15,6;9,7;80,3;48;6,8;1,7;
2002-04-11;0;834,9;12,1;22,5;15,8;10,9;80,6;49;8,3;2,1;
2002-04-12;0;835,4;12,2;24,1;16,8;10,6;76,7;45;6,7;1,3;
2002-04-13;0;837,5;13,3;22,2;17,4;13,7;78,4;52;8,4;2,2;
2002-04-14;1,6;838,6;13,7;22,8;17,3;14;79,9;53;8;2,7;
2002-04-15;0;838,2;13,2;22,9;17,1;11,8;79,4;50;7;1,6;
2002-04-16;0;837,7;13,6;22,4;16,2;10,6;85,6;52;5,3;1,4;
2002-04-17;null;838,2;13,4;24,1;null;12;75,4;43;6,4;1,8;
2002-04-18;0;838,4;13;23,5;17,3;11,7;77,9;45;7;1,5;
2002-04-19;0;838,1;12,8;23,1;17,1;12,7;76,9;41;6,2;1,9;
2002-04-20;0;837,1;12,1;21,5;15,6;9,7;80,9;62;12;2,7;
2002-04-21;0;838,2;13,3;22,1;16;11,1;84,8;53;6,9;1,5;
2002-04-22;0;838,9;12,6;20,8;16,5;14,5;78,4;57;9,2;3,7;
2002-04-23;0;837,9;10,4;23,3;15,2;9,3;76;40;8,6;2,2;
2002-04-24;0;836,6;11;23,6;15,5;9,4;77,3;31;5,2;1,8;
2002-04-25;,2;836,8;10,1;22,9;15,3;9,4;74,2;35;6;1,3;
2002-04-26;0;837,1;9,8;23,7;15,4;9,1;73;29;6,6;1,2;
2002-04-27;0;836,9;10,9;22,8;15,4;9,6;77;40;6,9;1,4;
2002-04-28;0;836,3;13,3;22,5;16,8;13,4;81,3;53;7,2;1,6;
2002-04-29;0;836,5;12;22,5;16,1;11,7;78,3;45;8,5;2,5;
2002-04-30;0;836,1;11,6;22,6;17,5;13,2;69,1;49;14,4;3,5;
2002-05-01;2,2;836,9;14,1;22,2;16,2;14,3;87,5;64;8,1;1,3;
2002-05-02;0;835,8;12,6;22,9;16,9;12,6;77,7;44;7,3;1,9;
2002-05-03;1,2;834;12,5;21,2;15,6;12,2;82,4;56;11,8;2,3;
2002-05-04;,4;835,1;13,4;21,2;15,6;12,5;87;60;8,3;1,6;
2002-05-05;,2;837,9;12,9;22,4;16;10,8;82,9;55;7,4;2,2;
2002-05-06;0;838,7;13,2;20,7;14,7;12,3;91;67;10,3;2,2;
2002-05-07;17;838;12,7;20,8;15;10,6;86,6;60;5,6;1,4;
2002-05-08;0;836,9;12,8;21,8;15,6;10,9;84,3;54;9,1;2;
2002-05-09;4;837,5;12,9;17,3;14,2;11,3;92,3;79;5,3;1,3;
2002-05-10;,2;839,1;11,6;20,9;14,3;8,9;85,2;58;5,4;1,3;
2002-05-11;,2;840,9;10,3;20,2;14;9,5;80,2;47;4,5;1,3;
2002-05-12;0;840,2;8,7;21,5;13,9;7,5;73,5;35;4,9;1,3;
2002-05-13;,2;839,7;10,2;20,9;13,6;8,3;81,6;52;6,8;1,4;
2002-05-14;null;null;null;null;null;null;null;50;8,7;null;
2002-05-15;,2;838,3;10,7;22;15,2;10,6;76,9;40;7,8;2,6;
2002-05-16;null;null;null;null;null;null;null;80;4,7;null;
2002-05-17;null;null;null;null;null;null;null;null;null;null;
2002-05-18;null;null;null;null;null;null;64,8;45;6,9;null;
2002-05-19;0;835,1;11,2;17,2;13,3;11,5;87;74;14,9;3,6;
2002-05-20;11,8;835,5;10,6;20,8;13,9;8,5;81,6;57;8,7;2,3;
2002-05-21;16,4;834,2;12,3;17,3;14,7;12;85,8;68;17,7;3;
2002-05-22;2,4;836,5;10,1;13,6;11,3;9,3;92,5;81;7,1;1,5;
2002-05-23;2,8;838,5;8,2;12,6;9,7;8,8;90,3;65;11,3;2,7;
2002-05-24;,6;838,6;6,5;12,4;8,6;7;86,7;67;10,4;2,9;
