Nome: PARANAIBA
Codigo Estacao: A710
Latitude: -19.69555555
Longitude: -51.18166666
Altitude: 408.06
Situacao: Operante
Data Inicial: 2006-11-09
Data Final: 2024-07-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2006-11-09;null;null;null;null;null;null;null;null;null;null;
2006-11-10;null;null;null;null;null;null;null;null;null;null;
2006-11-11;null;null;null;null;null;null;null;null;null;null;
2006-11-12;null;null;null;null;null;null;null;null;null;null;
2006-11-13;null;null;null;null;null;null;null;null;null;null;
2006-11-14;null;null;null;null;null;null;67,5;50;null;null;
2006-11-15;0;965,4;21,4;33,9;25,8;16,9;73,9;45;null;null;
2006-11-16;0;965,5;23,5;35;28,5;22,4;76,3;53;null;null;
2006-11-17;0;966,1;23,7;35,8;28,8;21,9;74,2;51;null;null;
2006-11-18;0;964,9;23,8;37,3;30,3;23,1;71,3;46;null;null;
2006-11-19;0;964,6;24,4;37,5;28,9;22,3;78,1;48;null;null;
2006-11-20;2,6;965,2;null;34,4;27;21,9;80,9;58;null;null;
2006-11-21;1,2;966,2;null;33,2;25,6;22;85,7;62;null;null;
2006-11-22;31,4;964,9;null;32,5;27,2;20,2;79,3;65;null;null;
2006-11-23;0;963,6;null;34,4;27;23,2;84,9;56;null;null;
2006-11-24;0;964,2;null;34;27,8;22,1;74,7;54;null;null;
2006-11-25;0;964,8;24,4;32,4;26,2;23,5;90,7;68;null;null;
2006-11-26;0;963,8;null;34,2;27,1;22,8;83,1;59;null;null;
2006-11-27;7,4;962,1;null;33,5;27,6;23,9;81,7;62;null;null;
2006-11-28;0;961,5;null;32,2;26,4;23;88,6;65;null;null;
2006-11-29;0;962,3;null;32,1;26,7;22,6;81,4;69;null;null;
2006-11-30;0;962,5;null;34,2;26,3;23,4;null;65;null;null;
2006-12-01;41,4;963,5;null;31,5;26,5;21,7;86,1;73;null;null;
2006-12-02;0;963,4;25;31,6;27,3;22,7;88,3;73;null;null;
2006-12-03;51,8;964;null;28,9;24,9;22,1;null;85;null;null;
2006-12-04;1,6;964,8;null;29,7;24,8;23,1;null;81;null;null;
2006-12-05;9,6;966,7;null;30,3;24,5;20,8;null;74;null;null;
2006-12-06;0;965,6;null;32,1;26,3;21,3;82,1;63;null;null;
2006-12-07;,8;963,1;null;31,2;25,8;21,6;87,3;70;null;null;
2006-12-08;18;962,9;null;29,2;24,2;22,5;null;83;null;null;
2006-12-09;13,4;963,5;null;27,7;24,1;22,4;null;84;null;null;
2006-12-10;5,4;962,5;null;30;25,2;22,3;null;79;null;null;
2006-12-11;1,6;962,9;null;31,7;26,6;22,7;88,7;73;null;null;
2006-12-12;0;963,6;25,2;31,4;26,5;22,1;89,9;72;null;null;
2006-12-13;0;962,7;null;27,4;25;23,3;null;93;null;null;
2006-12-14;77,2;963,2;null;28,9;24,5;22,2;null;90;null;null;
2006-12-15;,2;964,8;null;31,4;26,1;22,3;null;71;null;null;
2006-12-16;1,6;964,7;null;31,9;26,7;23,5;88,9;75;null;null;
2006-12-17;0;964,8;null;32,9;27,5;22,8;85,1;73;null;null;
2006-12-18;,2;964,2;null;31,1;26,5;23,6;93,3;82;null;null;
2006-12-19;21,8;964,4;null;31,9;26,5;22,4;78,1;23;8,7;null;
2006-12-20;4,2;965,3;null;29,5;25,8;22,5;95,6;86;8,3;2,2;
2006-12-21;22,6;967,1;null;31,2;24,8;22,2;null;78;15,6;2,4;
2006-12-22;6,6;968,1;null;32,1;25,6;22,4;null;67;9,2;1,5;
2006-12-23;22;966,9;null;32,9;25,6;21,6;null;68;12,7;1,4;
2006-12-24;,4;965,8;null;33,2;26,8;22,2;80,2;66;7,1;2,1;
2006-12-25;26,6;965,5;null;34,4;27,5;21,2;81,9;58;8,6;2,5;
2006-12-26;,8;966;null;32,6;26;22,5;90,6;66;11,5;2,2;
2006-12-27;,8;966,8;null;33,7;25,9;21,6;null;64;17,4;1,9;
2006-12-28;36,2;968,1;null;32,8;26,4;19,4;82,9;65;11;1,8;
2006-12-29;0;967,4;null;32,8;26,3;22,2;84,8;68;9,7;2,3;
2006-12-30;34,8;966,9;null;28;24;20,5;null;86;8,8;1,9;
2006-12-31;,2;966;null;32,1;25,2;22,3;null;72;11,1;1,4;
2007-01-01;27,8;965,2;null;29,2;24,1;21,5;null;81;13,8;2,6;
2007-01-02;97,6;966,6;null;30;24,6;21,1;88,5;71;11,9;3,1;
2007-01-03;,8;966,7;null;32,6;25,4;21,9;null;61;14,9;2,4;
2007-01-04;7,2;964,6;null;32,4;25,4;22,2;null;68;16,7;3,5;
2007-01-05;8,4;962,5;null;30,5;24,5;21,9;null;78;18;3,3;
2007-01-06;14,4;962,3;null;29;24,4;22;null;81;13,1;3,1;
2007-01-07;51,2;964,9;null;27,5;23,9;21,6;null;86;10,2;3,1;
2007-01-08;4,8;965,6;null;32,6;25,5;22;null;69;13,1;1,8;
2007-01-09;10,6;965,9;null;31,6;26,5;23,2;90;75;4,7;1,4;
2007-01-10;0;965;null;33;26,8;23,4;null;70;7,7;1,3;
2007-01-11;,6;964,7;null;32,4;26,5;22,6;89,4;71;8,5;1,9;
2007-01-12;,6;962,9;null;33,5;26,4;22,1;86,7;68;12,4;2;
2007-01-13;,6;960,4;null;31,9;25,4;22,6;null;77;15,8;2,2;
2007-01-14;11,8;961,1;null;31,3;24,6;22,3;null;80;13,2;2,5;
2007-01-15;58,2;963,3;null;29,3;24,1;22,3;null;87;13;2,3;
2007-01-16;19,6;965,4;null;29,7;24,3;22,4;null;83;8,8;1,8;
2007-01-17;11,8;964,9;null;31,8;25,4;22,5;null;72;11,9;2,3;
2007-01-18;,6;965;null;32;26,7;23;88;72;9,7;1,8;
2007-01-19;0;965,3;null;33,8;27,5;21,9;79,2;61;7,7;2,4;
2007-01-20;10,6;966,3;null;30,3;26,4;22,1;93,4;82;10,2;2,2;
2007-01-21;0;967,3;null;30,9;25,3;23,5;null;77;11,7;2;
2007-01-22;71,8;966,7;null;28,8;24,1;21,7;null;86;10,6;1,7;
2007-01-23;28,6;965;null;29,4;24,3;20,5;null;77;5,6;1,7;
2007-01-24;10;964,9;null;32,6;25,5;21,1;null;72;8,4;2,2;
2007-01-25;3,2;964,3;null;32,3;26,4;22,8;87,2;73;9;2,6;
2007-01-26;,6;965,4;null;31,3;24,9;23;null;78;11,7;2,6;
2007-01-27;16,6;965,7;null;32,1;24,7;22,8;null;72;11,9;2,4;
2007-01-28;26,6;965,3;null;26,5;23,5;22,2;null;null;6,3;1,9;
2007-01-29;27,8;964,5;null;28,8;24,2;21,9;null;89;9,9;2,2;
2007-01-30;21,8;964,9;null;30,7;25,8;21,7;null;82;9,7;2,1;
2007-01-31;16,6;965;null;31,8;25,8;21,7;85,2;71;8,9;1,7;
2007-02-01;0;964,9;null;33,9;27,5;22,3;83,7;63;8;1,4;
2007-02-02;0;964,7;null;33,1;27,7;23,6;85;69;8,4;2,2;
2007-02-03;0;964,1;null;32,5;26,9;22,5;85,9;72;8,4;2;
2007-02-04;0;963,1;null;32,5;26,4;21,9;86,6;73;7,5;2,1;
2007-02-05;0;963,1;null;32;26,2;23,9;93;74;14,8;2,5;
2007-02-06;,8;963,3;null;32,9;26,8;22,6;86,3;71;7,4;1,7;
2007-02-07;3;964,3;null;29,2;25,4;24,4;null;82;9,3;1,7;
2007-02-08;10,4;965,3;null;32;26,6;21,6;86,6;73;6,5;1,7;
2007-02-09;0;967,8;null;32,1;26,1;23,7;91;72;14,7;2,1;
2007-02-10;17,2;968,7;null;33,8;27;22,6;85,8;66;7,1;1,7;
2007-02-11;2,2;967;null;32,4;25,7;23,4;null;65;10,2;1,7;
2007-02-12;23;964,6;null;25,7;23,5;20,8;null;98;8,8;2,2;
2007-02-13;4,4;963,7;null;29,8;24,3;19,3;80,2;59;9,1;2,4;
2007-02-14;0;962,2;null;31,8;24,7;19,4;79,7;58;5,7;1,8;
2007-02-15;0;961,7;null;32,9;26,3;20,2;80,4;58;6,6;1,8;
2007-02-16;0;962;null;33,1;26,7;21,6;86;65;10,6;1,6;
2007-02-17;0;963;null;31,8;25,9;21,7;85,3;69;8,8;2,1;
2007-02-18;,6;964,1;null;29,6;25,2;22,1;88,7;76;8,1;2;
2007-02-19;0;963;null;32,2;25,3;21,7;null;67;9,6;1,5;
2007-02-20;20,4;963,4;null;30,6;24,9;21;null;75;7,4;2,2;
2007-02-21;1,2;964,8;null;31,8;25,8;20,6;82,9;66;12,1;3,2;
2007-02-22;0;967,8;null;32,9;27,5;22;81,6;65;9,3;2,7;
2007-02-23;0;969,2;null;33,3;27,9;23,1;78,3;60;8,5;1,7;
2007-02-24;0;968,9;24;33,7;27,7;21,2;75,1;53;8;1,6;
2007-02-25;0;967,1;23,7;34,4;26,5;19,6;77,1;52;5,9;1,4;
2007-02-26;0;966,4;null;27,7;23,8;21,3;97,6;86;11;2,9;
2007-02-27;6,8;966,1;null;32,7;25,2;19,8;80;64;8,4;2,6;
2007-02-28;8,2;966,2;null;31,2;25,6;21,5;86,6;71;9,3;2,7;
2007-03-01;0;965,8;null;33,2;26,4;22,3;87,1;65;9,6;2,6;
2007-03-02;1,6;966,9;null;33,1;27,2;22,4;79,8;58;9,1;2,1;
2007-03-03;0;967,7;null;32,9;26,5;20,2;74,8;62;8,7;2,5;
2007-03-04;0;967,5;23,5;33,8;27,4;20,3;75,2;47;8,6;2,1;
2007-03-05;,8;967,9;null;33,5;26,2;20,8;76,6;52;7,6;1,4;
2007-03-06;0;968,6;null;30;24,9;19,2;81,6;67;10,8;1,8;
2007-03-07;0;969,1;null;34;26,4;20,1;78,8;58;10;1,4;
2007-03-08;0;967,4;null;34,9;26,5;19,1;75,4;54;12,5;1,9;
2007-03-09;0;966,1;23,6;34,8;26,9;20;78,5;51;8,1;1,8;
2007-03-10;0;966,1;null;34,9;26,3;19,9;75,6;53;7;2,1;
2007-03-11;0;966,2;null;34,1;26,2;21;79,1;55;9,2;1,9;
2007-03-12;0;966,4;23;34,1;27,2;21,8;77;52;9,4;2,4;
2007-03-13;0;967;24,1;33,3;26,7;20,6;81,5;62;10,5;2,2;
2007-03-14;0;965,9;24,3;34,1;26,7;21,5;83,8;58;10;1,8;
2007-03-15;0;965,8;null;30,6;24,9;22;92,5;75;8,3;1,5;
2007-03-16;1,2;966,1;null;31,8;25,8;22,2;89,1;73;6;1,4;
2007-03-17;25,4;965,8;null;30,4;25,2;21,5;null;72;6,3;2;
2007-03-18;30,2;965,7;null;28,8;23,9;21,3;null;81;10,6;1,8;
2007-03-19;61;967;null;24,8;22;19,8;null;87;6,5;1,7;
2007-03-20;,2;967,1;null;29,5;23,1;17;83,2;68;4,8;1;
2007-03-21;0;966;null;30,3;24;20,2;null;77;10,8;1,6;
2007-03-22;16;966,2;null;30;25,1;21,3;89,6;80;5,8;1,8;
2007-03-23;0;967,7;null;32,9;25,1;22,1;null;67;11,7;2;
2007-03-24;0;968,3;null;33,9;26,7;20,4;74,5;59;5,5;1,8;
2007-03-25;0;967,2;null;34,9;27,3;21,3;77,2;50;8,8;1,6;
2007-03-26;0;966;null;34,3;27,1;21,1;70,4;55;7,9;1,6;
2007-03-27;0;966,4;23,7;34,5;27,5;21;73,9;51;7,8;1,9;
2007-03-28;0;967,3;23,3;35;27,4;19,9;74,5;52;7,2;1,3;
2007-03-29;0;966;24,7;34,8;27,9;21,2;77,7;55;7;1,4;
2007-03-30;0;965;23,9;34,8;27,8;21,9;74,3;51;8,1;1,7;
2007-03-31;0;965,5;null;34,6;27,2;20,5;72;51;5,6;1,2;
2007-04-01;0;966,1;24,4;34,2;26,9;20,7;78,7;57;9,9;1,1;
2007-04-02;0;966,1;24,7;33,6;26,9;20,7;81,1;57;8,8;1,8;
2007-04-03;0;965,7;null;35,3;27;20,6;68,7;47;7,2;1,4;
2007-04-04;0;965,1;22,6;35,1;26,7;18,3;73,4;47;6,4;1,5;
2007-04-05;0;966,1;24,1;34,7;27,5;21,2;81;55;6,4;1,8;
2007-04-06;0;966,6;25;34,4;27;22,6;84,6;60;6,9;2,5;
2007-04-07;,2;967,5;null;29,9;null;22,1;92,7;75;9,6;2,6;
2007-04-08;11,4;966,7;null;29;23,2;19,8;null;76;12,4;1,8;
2007-04-09;17,2;965,9;null;29;23,7;20,1;85,1;71;7,6;2,5;
2007-04-10;,2;965,9;null;31,5;23,6;16,8;76,2;59;5,3;1,1;
2007-04-11;0;967,5;22,6;33,9;25,4;18,5;76,9;48;7;1,8;
2007-04-12;0;968,7;23,5;33,5;25,7;18,7;79,4;55;9,3;1,7;
2007-04-13;0;968,9;23,5;31,8;25,7;20,6;82,2;55;4,4;1,2;
2007-04-14;0;968,3;23,2;33,2;26,5;20,6;77,1;53;7,5;2,2;
2007-04-15;0;969,1;23,5;33,6;26,3;19,2;77,7;54;7,3;1,2;
2007-04-16;0;968,7;23,5;33,5;26,7;20,3;77,6;55;5,6;1,5;
2007-04-17;0;966,6;23;33,4;26,2;19,6;79,3;52;5,9;1,6;
2007-04-18;0;966,8;21,6;31,5;25;17,8;77,7;55;8,8;2,3;
2007-04-19;0;967,6;22,3;32,5;25,7;20,6;81;55;8,7;2,4;
2007-04-20;0;969,2;22,7;30;24,5;19,5;87;69;10,6;2,6;
2007-04-21;0;968,8;null;31,1;24,8;19,6;76,5;65;6;1,3;
2007-04-22;0;967,7;23,6;32,7;26;19,3;81,1;61;7,5;1,8;
2007-04-23;0;967,3;null;33,7;26,8;20,6;77,9;58;9,3;1,4;
2007-04-24;0;966,4;24,3;35,1;27,1;21,5;78,8;54;8;1,8;
2007-04-25;37;965,5;25;32;25,9;21,5;90,5;65;5,8;1,5;
2007-04-26;0;964,5;null;33,9;26,2;22;80,8;58;18,7;2,3;
2007-04-27;20;967,9;null;24,6;22,6;20,9;null;89;8,9;2,9;
2007-04-28;,2;971;null;28,1;22,5;18,4;89,1;75;9,1;3,2;
2007-04-29;0;970,3;22,9;30,8;24,4;18,8;85,8;66;8,7;2,7;
2007-04-30;0;968,8;null;31,7;25,3;20,1;83,5;62;6,1;1,7;
2007-05-01;0;967,8;null;32,5;25,7;20,3;77;57;6,1;1,5;
2007-05-02;0;968,5;20,8;32,9;25,7;18,6;74,5;47;6,4;2,2;
2007-05-03;0;969,1;18,6;32,4;24,1;15,4;71;45;6,6;1,5;
2007-05-04;0;968,8;19,6;31,8;25;19,2;74,8;44;9;2,8;
2007-05-05;0;968,1;18,3;30,9;23,3;15,1;73,2;46;10,6;2,3;
2007-05-06;0;966,9;19,4;31,2;22,9;13,8;73,2;50;8;1,7;
2007-05-07;0;966,1;18,6;33,1;24,3;16,2;72;41;7,3;1,3;
2007-05-08;0;966,6;19,8;33,3;24,1;16,4;78,4;47;11,5;2,6;
2007-05-09;0;972,7;null;24,1;17,3;14,3;94,1;82;13,1;4,5;
2007-05-10;0;972,4;16,7;24,7;18,6;11,6;85,8;67;8,7;3,2;
2007-05-11;0;971,2;20,3;30,2;21,9;14,6;81,4;62;8,9;2,1;
2007-05-12;0;972,1;22,2;31,7;25;19,4;79,5;58;8,4;2;
2007-05-13;0;970,8;null;31,5;null;17;74,8;54;8,9;1,9;
2007-05-14;null;969,1;21,7;33;25,2;17,9;79,7;56;5,9;1,4;
2007-05-15;0;968,7;22,5;32,4;25,7;19,4;79,3;56;7,6;1,6;
2007-05-16;0;966,9;20,6;34,1;26,2;20,4;74;45;8,1;2,4;
2007-05-17;0;967,6;19,9;32,7;24,6;16,6;76,2;49;7;1,4;
2007-05-18;0;968,4;20,5;32,2;23,6;17,2;79,5;50;5;1;
2007-05-19;0;968,5;null;31,6;23,4;16,9;78,8;52;9,5;2,2;
2007-05-20;0;968,4;20,6;31,9;23,8;16,9;75,8;50;8,4;2;
2007-05-21;0;966;null;32,1;23,8;16,9;75,2;53;7,6;1,6;
2007-05-22;29,6;966,1;null;25,2;21,5;19,8;null;81;7,1;2,1;
2007-05-23;56,4;966,5;null;20,9;19,1;19,1;null;null;10,4;3;
2007-05-24;15,8;972,4;null;19,1;14,6;10,1;85,8;64;8;3,4;
2007-05-25;0;972,4;null;22,1;14,2;7,5;74,5;54;7,7;2,3;
2007-05-26;0;969;null;27,1;16,2;7,2;77,5;54;4,9;1;
2007-05-27;,6;968,5;null;24,3;19,3;15,1;88,7;71;10,3;1,6;
2007-05-28;0;969,4;null;27,8;19,9;14,1;82,5;66;5,4;1,3;
2007-05-29;0;971,4;16,6;22,8;19,5;16;84,3;62;9,7;4;
2007-05-30;0;974;10,8;21,8;15;8,6;74,1;50;7,1;2,7;
2007-05-31;0;971,9;14,6;25,8;17;10,9;83,5;58;4,8;1,7;
2007-06-01;0;968,8;null;32,1;21,4;12,7;73,5;54;8,4;1,5;
2007-06-02;4;969,3;null;25;21;18,3;95;81;6,5;1,6;
2007-06-03;,4;971,9;null;20,9;17,8;16,3;null;77;6,6;2,5;
2007-06-04;0;973,6;11,6;22,9;14,9;7,4;77,9;47;6,5;2,1;
2007-06-05;0;971,7;null;26,2;15,4;6,5;73,3;50;4,3;,9;
2007-06-06;0;970,3;17,8;29,8;19,9;11,8;78,3;55;5,6;1,1;
2007-06-07;0;969,5;null;31,4;21,3;13,7;80,6;47;6,3;,9;
2007-06-08;0;969,6;null;31,4;21,8;13,9;72,7;49;6,3;1,2;
2007-06-09;0;969,6;null;30,5;21,8;13,7;69,6;52;8,2;1,5;
2007-06-10;0;969,9;null;29,8;21,1;13,4;72,1;49;9,8;1,7;
2007-06-11;0;969,6;null;29,9;20,2;11,7;73,4;45;8,3;1,1;
2007-06-12;0;969,5;17,1;31,2;20,1;10,8;74,6;46;7,6;1,4;
2007-06-13;0;968,3;null;31,1;20,5;11,6;72,1;47;7,4;1,6;
2007-06-14;0;968,2;null;31,6;21,6;12,8;65,4;44;6,5;,9;
2007-06-15;0;968,4;19;32,6;22,4;13,7;74,3;46;7;1,1;
2007-06-16;0;969,9;20,7;31,9;22,9;15,4;79,4;54;5,9;1,4;
2007-06-17;0;970,1;null;31,7;22,2;14,3;67;45;7,5;1,5;
2007-06-18;0;971,1;18,8;31,6;22,6;15,9;81,1;45;6,4;1,3;
2007-06-19;0;971,1;18,8;30,4;22;14,3;76,8;48;7,9;1,4;
2007-06-20;0;971,7;18,1;29,9;20,9;13,1;75,5;51;6,7;1,2;
2007-06-21;0;972,2;17,5;29,7;21,9;14,2;76,7;49;7,8;1,8;
2007-06-22;0;970,5;18,1;30,3;21;12,4;78,7;51;9,2;1,8;
2007-06-23;0;968,6;18;30;21,6;12,7;77,5;50;8,2;1,6;
2007-06-24;0;970,9;18,1;30,4;21,6;12,8;74,5;50;5;1,1;
2007-06-25;0;972,5;null;29,7;20,9;11,8;72,7;49;8;1,5;
2007-06-26;0;972,2;18,3;29,7;21;12,6;75,7;51;8,5;1,8;
2007-06-27;0;971,8;19,2;29,6;21,8;15,4;80,2;55;7,2;1;
2007-06-28;0;971,6;null;28;21,1;16,1;84,1;61;7;1,8;
2007-06-29;0;973,3;null;28,6;20,5;13,6;78,3;54;5,3;1,9;
2007-06-30;0;974;17,9;29,2;21,9;15,8;78,1;52;6,5;2;
2007-07-01;0;975;17,5;29;20,9;13,4;72,8;51;6,5;1,9;
2007-07-02;0;974,8;16,5;29,2;20,8;11,9;72;49;6,1;1,9;
2007-07-03;0;973,1;15,4;29,6;20;11,2;71,7;42;5,2;1;
