Nome: IPERO
Codigo Estacao: A713
Latitude: -23.4261111
Longitude: -47.58555555
Altitude: 609.33
Situacao: Operante
Data Inicial: 2006-08-21
Data Final: 2024-07-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2006-08-21;null;null;null;20,6;null;null;null;31;10,1;null;
2006-08-22;0;951,1;3,9;22,4;12,6;5,5;61,6;22;8,1;2,7;
2006-08-23;0;949,8;4,6;25,2;14,8;4;59,8;18;6,8;1,8;
2006-08-24;0;950,1;3,9;29,7;18,1;7;47;13;6,3;2,3;
2006-08-25;0;948,7;9,8;29,7;20,3;12,4;57,5;19;9,2;2,5;
2006-08-26;0;944,3;9;30,9;22,5;13,4;44,7;21;11,3;2,7;
2006-08-27;6;942,7;14,3;25,2;19,3;15,8;75,5;37;22,1;3,4;
2006-08-28;0;945,8;12,7;25;18;13,2;73,5;41;7,3;2,4;
2006-08-29;0;950,8;9,7;17,4;14;11,8;76,2;56;11,4;5,1;
2006-08-30;0;952;7;22,6;14,1;7,1;66,5;33;12;4,8;
2006-08-31;0;948;10,3;25,4;17,1;10,7;67;38;9;2,6;
2006-09-01;1,6;945;14,5;28;18,2;14,5;80,8;49;16,3;3,7;
2006-09-02;36,2;940,8;14,8;25,1;18,6;14,5;80,3;54;18,5;2,5;
2006-09-03;0;942,7;9,8;24,3;18,8;13,8;62,3;22;8,3;2;
2006-09-04;0;947,8;9;18,7;13,2;11,5;76,8;34;10,7;3,7;
2006-09-05;0;953,6;3,3;17,5;9,8;4,9;67;32;10,3;4,1;
2006-09-06;0;954,5;5,1;19,6;10,7;4,3;71;38;12,6;5;
2006-09-07;0;952,3;9;24,9;15,8;9,5;67,3;33;9,6;3,8;
2006-09-08;0;950,3;11,7;27,3;18,5;12,7;68,5;30;6,8;2,2;
2006-09-09;0;947,9;12,4;28,3;21;15,1;61,4;32;12,5;2,6;
2006-09-10;0;949,4;12,8;27,6;21;14,9;61,6;36;7;1,8;
2006-09-11;0;949,6;12,5;31,1;21,8;12,6;61,2;26;7,3;1,6;
2006-09-12;0;948,2;12,1;32,4;23,6;14,3;54,2;23;6,4;1,6;
2006-09-13;0;946,4;12,2;32,4;24,3;15,2;50,6;22;7,6;2;
2006-09-14;0;945,1;10,2;32,8;25;16;45,5;16;8,9;2;
2006-09-15;0;944,3;8,9;34,3;24,9;13,1;40,5;18;11,8;2,2;
2006-09-16;,2;947,8;15;30,3;18,6;17,7;80,1;24;12,8;4,7;
2006-09-17;6,4;948,1;14,4;23,7;17,2;13,9;84,3;63;12,3;3,5;
2006-09-18;6,4;947,9;14,4;25,1;18,2;14,6;79,9;50;14,5;3,9;
2006-09-19;0;947,1;12,2;26,4;18,3;12,7;71,8;34;7,7;3,1;
2006-09-20;0;942,5;15,8;24,7;18,2;15,5;86,9;62;14,7;2,6;
2006-09-21;16,2;943;14,8;26,5;20;16,1;74,6;30;8,4;2,1;
2006-09-22;0;946,9;12,7;25,3;18,8;13,2;70;40;5,9;2;
2006-09-23;0;945,4;14,5;29,1;19,8;12,7;75,3;41;24,5;2,2;
2006-09-24;3,8;947,4;13,4;19,4;16,3;14,5;83,6;65;10,7;3,9;
2006-09-25;0;950,6;12;23,3;16,1;11,8;78,4;52;10,2;4;
2006-09-26;0;952,3;11,4;24,1;17,1;11,3;71;46;13,9;5,4;
2006-09-27;0;951,7;13,5;27,8;19,8;13,6;69,4;39;12,5;3,7;
2006-09-28;0;948,7;13,2;28,3;20,5;13,6;67,3;34;8,5;2,2;
2006-09-29;0;947,5;14,9;23,2;18,5;15,6;79,8;55;12,4;4,2;
2006-09-30;,8;949,9;14,4;22,7;18;15,6;79,4;65;8,8;4,4;
2006-10-01;,4;948,6;16,2;23,1;19,4;16;82,4;67;7;2,5;
2006-10-02;9,8;944,5;18,4;28,1;21,6;18,4;84,4;50;10,6;2,5;
2006-10-03;0;943,9;16,6;29,4;21,4;16,6;76,9;40;9,5;3,2;
2006-10-04;0;943,8;16,7;31;22,2;15,5;74,3;40;8,1;2,2;
2006-10-05;7,2;944,6;18,9;28,8;21,5;18,4;86,4;56;12,5;2,3;
2006-10-06;23,6;945,1;18,2;27,7;21,2;18;83,7;55;13,5;2,4;
2006-10-07;0;946,1;17,9;26,9;21,4;17,8;81,1;62;7,2;2,4;
2006-10-08;0;947,2;16,1;27,8;20,9;16,6;75,7;50;11;3,3;
2006-10-09;0;948,8;15,7;28,6;20,4;15,6;76,7;47;9,8;3,2;
2006-10-10;0;949;16,5;29,8;21,5;15,9;75,6;40;9,5;2,7;
2006-10-11;6,2;946;17,1;29,2;22,8;17,8;73,2;43;8,6;1,4;
2006-10-12;0;943;18,3;23,5;20,7;18,9;86;65;9,7;1,2;
2006-10-13;6,6;942,9;18,9;26,7;21,6;19,2;85,6;64;8,7;2,8;
2006-10-14;0;943,9;17,3;29,4;21,9;17;77;47;10,5;2,9;
2006-10-15;0;943,5;18;31,3;22,8;16,7;76,6;45;9,5;2,5;
2006-10-16;4,6;943,9;19,3;29,3;22,6;19,7;82,7;53;12;3,3;
2006-10-17;0;945,6;16,1;25,3;20,4;18,2;76,7;62;10,6;5,1;
2006-10-18;0;944,9;15,4;24;19,6;17,7;77;62;10,5;4,5;
2006-10-19;12;943,5;15,7;21,8;18;15,8;87;74;8,6;3,8;
2006-10-20;6,6;946,2;14,6;24,4;18,7;15,2;78,5;54;11,2;4,4;
2006-10-21;0;948,9;12,4;24,4;18,5;14,5;69,8;42;10,5;4,4;
2006-10-22;0;948,5;9,6;26,9;18;10,9;63,4;24;10,6;3,5;
2006-10-23;0;949,7;10,8;25,3;17,7;11,7;67;32;12,9;4,2;
