Nome: OURINHOS
Codigo Estacao: A716
Latitude: -23.00055555
Longitude: -49.84333333
Altitude: 500
Situacao: Operante
Data Inicial: 2006-08-28
Data Final: 2024-07-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2006-08-28;null;null;null;null;null;null;null;null;null;null;
2006-08-29;null;null;null;null;null;null;null;41;8,2;null;
2006-08-30;null;null;null;null;null;null;null;28;14,1;null;
2006-08-31;null;964,5;11,6;29,7;19,5;12,9;62,7;37;16,1;4,9;
2006-09-01;1;961,7;15,7;29,7;18,9;14,6;83,2;47;14,4;4,7;
2006-09-02;23,8;958,9;16,7;24,5;19,7;16,2;84,2;60;22,2;4,6;
2006-09-03;0;961,7;9,9;23,3;16,8;10,2;68,1;30;8,8;2,8;
2006-09-04;0;966,5;3,8;20,4;16;12,7;48,1;19;10,3;3,7;
2006-09-05;0;972,1;-1,7;18,7;12,5;5,4;39,9;20;11;4;
2006-09-06;0;971,5;4,2;22,6;13,9;6,6;55,5;28;14,6;6,3;
2006-09-07;0;969;9,2;27,4;17,7;11,1;60,1;33;16,7;6,6;
2006-09-08;0;966,8;12,1;30,8;21;14;61;30;12,5;4,6;
2006-09-09;0;965,3;13,2;28,7;21,7;15,5;60,4;36;13,6;4;
2006-09-10;0;966,9;13,4;30,5;21,9;15,3;62,8;32;8,3;1,7;
2006-09-11;0;966,5;12;34,6;24,2;14,8;53,5;21;9,1;2,4;
2006-09-12;0;964,9;11;35,7;25,5;15,9;46,9;17;7,3;2,4;
2006-09-13;0;963,1;10,1;35,9;25,6;15,3;44,5;15;11,2;2,8;
2006-09-14;0;961,7;8,3;36,6;25,8;15,2;41,2;12;11;2,3;
2006-09-15;0;960,9;10,4;37,7;26,1;16,8;43,1;14;14,6;4;
2006-09-16;20,6;964,1;17,6;26,4;20,7;18,5;83,5;57;15,4;5,6;
2006-09-17;25,2;965;15,9;24,7;18,8;14,9;84,2;65;16,5;4,8;
2006-09-18;1,6;965,2;15,6;26,8;20,3;16,3;75,8;45;10,5;4,1;
2006-09-19;0;964;13,7;26,8;20,5;14,9;67,1;41;12;5,2;
2006-09-20;0;959,6;15,8;22,1;18,6;16,5;84;62;21,1;4,5;
2006-09-21;4;961,3;14,6;26,8;19,4;13,5;78,3;38;8;1,9;
2006-09-22;0;964,1;13,8;27,1;20,1;13,9;70,7;35;8,5;2,4;
2006-09-23;0;963,3;15,9;30,4;19,6;15;81,2;43;24,6;3,2;
2006-09-24;25;964,6;14,9;22,6;18,5;15,7;80,9;57;11,5;3,7;
2006-09-25;0;967,9;12,5;25,3;18,2;13,5;71,6;39;11,1;4,3;
2006-09-26;0;968,9;11,1;27,2;18,9;13,2;62,9;35;15,5;7,2;
2006-09-27;0;968,3;13,7;30,6;21,5;15,2;63,4;39;16,5;5,8;
2006-09-28;0;965,2;15;30,9;23,5;15,8;63;33;12;3,5;
2006-09-29;0;963,9;16;25,2;21,5;20;71;58;14,1;4,8;
2006-09-30;0;966,4;14,2;25,6;20,3;17,8;68,5;53;14,6;7,9;
2006-10-01;1;964,9;16,3;28,7;21,4;16,8;74,1;52;13;5,1;
2006-10-02;34,8;961,9;18,8;26,4;21,7;17,7;84,7;63;17,5;2,7;
2006-10-03;,2;961,1;18,7;29,7;23,2;18,3;78,2;45;6,9;2,3;
2006-10-04;0;960,4;18,3;30,7;22,7;17,5;77,9;49;11,2;3,9;
2006-10-05;11,2;961,6;19,8;29,2;22,6;19,7;85;59;23,9;3,5;
2006-10-06;41,8;962,2;19,3;27,4;22;18,7;85,2;63;9,7;2;
2006-10-07;0;963,3;18,7;29,7;23,3;18,9;77;45;8;2,6;
2006-10-08;0;963,8;18,5;28,4;22,8;18,5;77,7;55;9,6;4;
2006-10-09;0;965,4;15,7;31,2;23,5;17,5;64,4;37;11,3;5,1;
2006-10-10;0;965,6;17,2;32,3;24,5;18,5;66,7;36;10,7;4;
2006-10-11;0;962,5;18,2;31,4;25,5;20;66,1;42;6,9;2,5;
2006-10-12;14,4;959,8;20,4;27,7;22,6;19,7;87,9;64;22,1;2,2;
2006-10-13;15,2;959,8;20,2;28,5;23,6;20,2;82,2;57;12;3;
2006-10-14;0;960,6;18,7;30,9;24,5;18,6;72;46;12,3;3,5;
2006-10-15;0;960,5;18,3;31,2;24,9;19,9;69;43;12,3;4,3;
2006-10-16;39;960,5;20,7;28,5;23,4;21,2;85,6;54;19,7;3,8;
2006-10-17;,6;962,1;17,1;26,9;22,2;18,8;73,7;61;14,8;6,9;
2006-10-18;0;961,2;15,8;27,2;21,5;17,6;70,5;56;13,3;6,8;
2006-10-19;0;960,5;16,2;24,8;21,1;18,4;73,8;66;12,5;5,2;
2006-10-20;0;963,4;14,9;27,6;21,7;17,6;66,6;47;14,4;5,8;
2006-10-21;0;965,9;12,9;28;21,5;16,9;60;37;12,9;5,4;
2006-10-22;0;965,7;10,3;28,7;21,4;14;54,2;26;10,2;4,2;
2006-10-23;0;966,2;10,3;30;22,1;15,7;51,3;24;12,7;6,6;
2006-10-24;0;965,7;14,1;29,7;22,2;16,3;61,2;44;14,1;4,9;
2006-10-25;0;964,6;16;32;24,7;17,6;61,2;36;9,4;3,2;
2006-10-26;0;962,1;17,6;34,4;26,4;19,1;62,1;31;10,4;2,4;
2006-10-27;0;958,5;18,3;35,4;26,3;20;64,5;34;22,5;2,9;
2006-10-28;15,6;959,7;18,5;32,3;25;19,3;70,3;30;21,2;3,9;
2006-10-29;0;960,1;14;30,4;23,5;16,5;58;25;11,2;4,5;
2006-10-30;0;957,8;15,7;30,3;24;18,4;62;34;8,9;3,6;
2006-10-31;0;956,6;16,6;36,2;27,5;21,4;56,3;25;8,1;2,4;
2006-11-01;2,6;958,2;19,8;28,9;24,4;22;75,9;52;9,9;2,4;
2006-11-02;,4;959,2;21,2;28,8;24,6;22;81,9;61;7,7;2;
2006-11-03;1;960;20,4;31,4;25,6;21,7;74,7;51;8,2;3,1;
2006-11-04;0;960;18,6;32,5;26,2;20,8;64,9;41;11,5;5;
2006-11-05;0;959,8;17,5;32,7;26;20,8;60,9;41;14,9;6,2;
2006-11-06;0;957,8;17,6;33,2;23,9;18,6;69,2;46;24;4,8;
2006-11-07;0;959,8;17,1;29,2;23,8;19,7;68,3;48;13,9;4,2;
2006-11-08;0;961,6;12,7;27,9;21,9;17,3;58,1;34;14,6;6,6;
2006-11-09;0;961,1;8,8;30,4;21,8;14,4;49,3;15;12,5;5,6;
2006-11-10;,8;961,7;12,5;26,2;20,6;15,5;62,1;40;11,7;5,1;
2006-11-11;0;964;8,1;27,4;19,9;12,8;50,7;23;14,8;5,5;
2006-11-12;0;966,8;10,7;27,8;20,4;13,2;57,3;31;16,2;7,3;
2006-11-13;0;968;12,1;29,2;22;16,7;55,7;33;16,1;8,1;
2006-11-14;0;965,1;13,1;30,5;23,2;17,3;56,5;29;16,1;6,3;
2006-11-15;0;962,4;14,1;33,7;24,8;17,7;56,3;25;11,8;3,5;
2006-11-16;0;961,8;16,2;34,1;26,1;18,3;57,5;29;10,7;3,5;
2006-11-17;0;961,5;17,7;37;28;20,6;57,8;26;12,9;3,2;
2006-11-18;0;960,4;20,1;34,8;26,8;22,3;68;36;18,5;2,2;
2006-11-19;8,2;961,1;20,3;33,1;24,6;21,7;78,7;41;17,3;3,9;
2006-11-20;3,8;960,8;18,8;32,2;24,2;19,4;75,1;38;13,8;3,2;
2006-11-21;0;963,1;17,3;29,1;23,4;19,5;69,5;50;14,4;4,1;
2006-11-22;0;961,3;16,8;33,3;25,4;17,9;63;35;9,9;3,1;
2006-11-23;0;960,2;15,4;34,7;28;21,1;50,6;27;11;4,4;
2006-11-24;0;960,7;14,9;36,5;28,1;20,1;48,1;24;11,7;4,6;
2006-11-25;7,4;960,1;20;32,5;26;21,3;71,4;39;11,2;3,3;
2006-11-26;,6;959,7;20,9;29,6;24,8;21,7;79,6;57;12,7;2,3;
2006-11-27;6,4;958,4;20;31,6;25,8;21,4;72,5;43;7,4;3;
2006-11-28;0;956,9;20,6;31;24,7;22,7;78,9;53;11,9;3,4;
2006-11-29;18,8;957;22,2;29,7;25;21,3;85,1;63;14,9;2,2;
2006-11-30;3,6;959,4;19,7;32;26,1;21,9;69,9;43;16,2;5,7;
2006-12-01;0;962,1;15,7;31,4;24,9;20,7;58,8;35;16,2;8;
2006-12-02;0;961,7;15,9;33,7;25,3;18,9;58,3;36;16,9;6,5;
2006-12-03;0;961;19,1;31,3;24,4;20,5;73,7;48;14,7;4,4;
2006-12-04;10,2;961;21,5;23,8;22,8;22;92,3;86;5,2;1,9;
2006-12-05;45,8;961,7;21,6;28,3;24,2;21,4;86,3;64;7,7;2,4;
2006-12-06;52,4;960,3;21,2;29,1;23,5;19,3;87,5;66;18,7;3,3;
2006-12-07;20,4;958,4;19,5;27,6;23;19,6;81,9;60;13,4;1,2;
2006-12-08;0;958,9;18,6;27,7;22,9;18,6;77,7;57;11,8;3,7;
2006-12-09;12,8;959;19,9;28,5;23;20,1;83,8;61;10,9;3,4;
2006-12-10;2;959,2;19,1;31;25;19,4;71,2;47;11,8;4,2;
2006-12-11;0;961;17;31,4;25;20,2;62,5;42;13;6,5;
2006-12-12;0;962;17,3;31,3;24,9;20,2;63,8;46;14,4;7,3;
2006-12-13;0;960,8;18,2;32,7;25,8;20,7;64,1;44;16,4;6,1;
2006-12-14;0;959,9;20,1;32,2;26,2;22,5;69,8;51;14,6;4,7;
2006-12-15;58,4;960,6;22,3;32,2;26,6;21,8;79,1;50;8;2;
2006-12-16;,2;960,2;21,2;33,6;28,1;22,7;69;39;7,1;2,3;
2006-12-17;0;960,4;20,6;34,9;28,3;22,7;66,7;33;12,9;2,9;
2006-12-18;0;959,5;19,4;35,8;29;22,6;60,8;30;8,2;2,5;
2006-12-19;0;959,2;21,2;34,1;26,9;23,8;72,3;40;19,4;2,9;
2006-12-20;30,4;960,6;20,9;27,6;24;21,1;83,5;64;10,7;3,4;
2006-12-21;6;962,1;21,5;25,1;23,5;20,9;88,8;77;7,7;2,8;
