Nome: NHUMIRIM
Codigo Estacao: A717
Latitude: -18.9886111
Longitude: -56.62277777
Altitude: 102.26
Situacao: Operante
Data Inicial: 2006-08-01
Data Final: 2024-07-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2006-08-01;null;null;null;null;null;null;null;null;null;null;
2006-08-02;null;null;null;null;null;null;null;null;null;null;
2006-08-03;null;null;null;null;null;null;null;25;2,9;null;
2006-08-04;null;null;null;null;null;null;40;22;8,3;null;
2006-08-05;2,8;1000,9;15,7;34,5;24,2;16,1;64;32;9,2;1,9;
2006-08-06;0;1000,8;15,6;35,8;25,1;16,5;63,3;25;11,1;2,1;
2006-08-07;0;999,4;13,7;35,1;25,1;15,5;56,2;22;13,8;3,4;
2006-08-08;0;999,3;14,1;34;23,8;15,4;60,5;27;12,2;2,8;
2006-08-09;0;998;13,7;34,4;25;16,1;54,3;25;13,7;3,8;
2006-08-10;0;999,9;14,9;35,2;27,1;20,1;50,1;27;10,1;3,1;
2006-08-11;0;998,5;14,9;36,7;25,8;15,9;59,3;20;12,7;3,1;
2006-08-12;0;997,7;16,6;36,4;26;16,8;62,6;29;12,1;2,6;
2006-08-13;0;998,5;15,3;36,6;26,1;17,4;57,8;24;15,3;2,9;
2006-08-14;0;997,4;17,7;36;27;18,6;61;33;12;3,1;
2006-08-15;0;997,6;18,2;36,4;null;19,6;61,5;34;11,4;2,7;
2006-08-16;null;1000,2;18,6;29,6;23,9;20,3;72,9;54;10,8;3,6;
2006-08-17;0;1004,5;14,1;26,5;19,6;15,7;71,7;50;10,2;4,6;
2006-08-18;0;1006,1;14,2;26;null;15,7;78,7;50;11,1;4,8;
2006-08-19;null;null;null;null;null;null;null;null;null;null;
2006-08-20;null;null;null;null;null;null;null;null;null;null;
2006-08-21;null;null;null;null;null;null;null;null;null;null;
2006-08-22;null;null;null;null;null;null;null;null;null;null;
2006-08-23;null;null;null;null;null;null;20;11;5,4;null;
2006-08-24;0;1001,2;7;36,7;22,8;11;44,5;13;7,6;1,4;
2006-08-25;0;998;13,7;36,6;25,2;15,5;53,7;24;12,4;3;
2006-08-26;0;996,1;16,9;34,5;27,7;21,3;53,7;32;13,4;3,4;
2006-08-27;0;998,4;19,2;31,4;23,9;18,2;76,8;51;17,4;2,5;
2006-08-28;12,6;1002,4;19,4;24,5;21,1;19,2;90,4;71;8;2,3;
2006-08-29;3,4;1006,3;11,2;26,8;20;15,1;60,9;27;9;3,1;
2006-08-30;0;1001,1;11,8;31,8;21,4;12,3;59,7;29;7,9;2,1;
2006-08-31;0;998,3;17,6;35;25,8;18,3;65;34;9,9;2,3;
2006-09-01;0;995,9;19,6;35,4;29;24,1;59,2;33;14,9;4,4;
2006-09-02;5,6;999,2;18;31,6;23;19,3;74,8;45;17,3;3,5;
2006-09-03;0;1003,2;10,9;21,8;18,5;15,9;61,9;49;9,8;3,7;
2006-09-04;0;1009,1;4,3;24;18,8;15,6;41;21;13,1;5,1;
2006-09-05;0;1012,2;0;22,7;15,6;8,9;37,5;16;11,5;4,1;
2006-09-06;0;1007,3;2,2;27,7;16,9;8,1;43,1;16;7,2;1,8;
2006-09-07;0;1002;9,3;34,4;21,5;11;54,3;20;8,9;1,4;
2006-09-08;0;999,1;15,5;35,7;26,3;17,8;54,4;32;13,7;3,3;
2006-09-09;0;1002,6;19,7;27,4;22,9;22,4;82,9;59;8,3;2,9;
2006-09-10;8,8;1003,7;19,4;29,2;23,3;18,6;81,1;48;7,4;1,7;
2006-09-11;0;1002,1;18,7;34,5;25,4;18,2;71,3;33;6,4;1,3;
2006-09-12;0;1000,4;17,2;37,7;27,1;18,3;64;21;8,7;1,4;
2006-09-13;0;998,5;17,2;37,6;27,5;18,5;61;23;9,4;1,4;
2006-09-14;0;996,8;18;37,1;27,1;18,1;63,6;27;10,3;2,4;
2006-09-15;0;998,2;19,8;36,7;28,8;23;61,2;32;9,8;2,7;
2006-09-16;,2;1001,3;17,8;28;23,9;19,8;69,4;54;9,3;3,9;
2006-09-17;0;1001,1;17,2;33,4;24,5;17,6;67,7;37;7,9;1,9;
