Nome: MIRANDA
Codigo Estacao: A722
Latitude: -20.39555555
Longitude: -56.43166666
Altitude: 132.49
Situacao: Operante
Data Inicial: 2006-11-01
Data Final: 2024-07-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2006-11-01;null;null;null;null;null;null;null;null;null;null;
2006-11-02;null;null;null;null;null;null;null;56;5,7;null;
2006-11-03;0;993,1;23,1;33,9;28,2;24;75,7;48;8,4;1,4;
2006-11-04;0;992,2;23,7;32,3;28,4;24,4;76,5;56;7;1,2;
2006-11-05;0;991,1;23,6;33,1;28,3;24;77;56;8,1;2;
2006-11-06;0;990,4;22,9;35,4;29,5;23,9;69,9;43;7,8;1,5;
2006-11-07;7,4;993,9;22,6;29,4;25,6;22,1;84,3;66;11,2;1,7;
2006-11-08;0;993,7;19,9;32,4;26,9;22,4;67,4;43;7,9;1,8;
2006-11-09;,6;993,9;22,3;28,5;23,8;23,6;91,3;65;8,6;1,7;
2006-11-10;20,8;997,7;16,2;29,8;23,3;19,1;68;32;12,3;2,6;
2006-11-11;0;998;12,1;30,9;23,6;15,2;52,5;26;6;1,6;
2006-11-12;null;997,8;12;31,4;null;18,2;49,4;20;8,5;1,6;
2006-11-13;null;998,4;12,1;32,2;24,6;17,4;49,3;24;8,6;1,8;
2006-11-14;0;995,6;14,2;34,2;26,2;19;50,7;25;7,7;1,7;
2006-11-15;0;993;15;36,5;28;18,8;48,8;21;9,8;1,7;
2006-11-16;0;992,8;18,9;36,6;28,6;19,8;59,1;34;11,6;2;
2006-11-17;0;994,3;19,6;37,2;30;22,8;58,2;29;12,6;2,1;
2006-11-18;0;993,6;18,9;38,8;30,1;21,2;56,5;25;14,3;1,7;
2006-11-19;0;995,3;20,8;35,2;27,6;22,1;67,8;39;10;2,3;
2006-11-20;0;997,5;18,8;31,6;25,8;22;66,7;45;6,5;1,7;
2006-11-21;0;995,7;18,5;36,9;27,8;20,2;61,3;28;12,2;1,3;
2006-11-22;0;994,3;20,9;36,5;28,7;23,3;64,8;35;8,8;1,3;
2006-11-23;4,6;992,6;21,9;36,7;28,4;22,9;70,9;37;8,9;1,5;
2006-11-24;0;993;20,8;37;26,9;22;71,6;35;15,7;1,5;
2006-11-25;15,2;994,5;20,9;27,5;23,6;20,5;85,3;65;8,3;1,1;
2006-11-26;6,4;992,8;22,1;35,9;27,8;20,6;74,3;40;6,9;1,2;
2006-11-27;0;990,8;23,2;32,8;26,1;24,7;85;59;12,3;1,1;
2006-11-28;21,6;991,5;22;26,5;23,5;22;91,7;81;10,8;1,2;
2006-11-29;2,8;992,9;23,1;32,1;26,5;22,4;83,3;55;6,6;,8;
2006-11-30;0;993,3;21,5;34,9;28,8;23,3;68,3;37;6,5;1,2;
2006-12-01;0;991,9;22,3;35,5;29;22,6;69,3;44;7,9;1,5;
2006-12-02;0;992,1;22,4;36;29,7;24,1;67,3;37;10,3;1,3;
2006-12-03;0;992;23,4;33,2;27,8;24,9;78,4;53;10;1,4;
2006-12-04;37,6;993,6;23,1;29,1;25;23,3;89,8;67;4,8;,7;
2006-12-05;49,2;994,8;23,2;31,3;26,2;23,6;84,4;60;10,1;2,7;
2006-12-06;17,8;995,2;22,6;29,3;25,1;22,7;86,6;68;8,4;1,8;
2006-12-07;,4;992,5;22,9;30,7;26,1;23;83,5;67;7;1,5;
2006-12-08;3,4;991,2;23,1;27,2;24,7;23,1;91;78;9,8;1,2;
2006-12-09;5,2;992,9;22,7;31,3;26,2;23;82,6;59;6,8;,8;
2006-12-10;1,2;993,4;23,2;33,1;27,2;23;80,1;54;6,6;1,1;
2006-12-11;0;993,6;22,2;34,5;27,3;22,8;74,9;48;15;1,3;
2006-12-12;10;993,5;22,3;35,5;27,1;21,6;77,5;39;6,9;,7;
2006-12-13;0;992,9;23,3;33,9;28;24;77,4;43;8,8;1;
2006-12-14;0;992,1;23,7;34,6;28,7;24,2;76,1;50;8,3;1,1;
2006-12-15;24,4;994,2;24,6;32,8;28,3;23,5;81,3;59;7,6;,9;
2006-12-16;5;994,1;23,9;34,1;29;22,8;75,7;51;11,5;1,2;
2006-12-17;0;993,5;24,3;33,5;28,3;25,1;79,7;56;7,1;1,2;
2006-12-18;0;993;24,3;34,1;28,3;24,5;80;53;9,2;1,4;
