Nome: PORTO MURTINHO
Codigo Estacao: A723
Latitude: -21.70583333
Longitude: -57.88666666
Altitude: 78.56
Situacao: Operante
Data Inicial: 2006-10-23
Data Final: 2024-07-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2006-10-23;null;null;null;null;null;null;null;null;null;null;
2006-10-24;null;null;null;null;null;null;null;42;10;null;
2006-10-25;null;1000,5;21;35,6;28,5;23,8;64,3;44;8,4;2,1;
2006-10-26;0;1001;23;36,3;28,4;24,7;74,5;43;18,6;1,8;
2006-10-27;5,2;997,3;22,4;36,2;28,8;20,8;72,2;36;10,3;1,8;
2006-10-28;0;997,7;22,6;37,2;31,1;25,3;62,5;38;8,3;2,1;
2006-10-29;0;996;22,9;38,3;32;26,6;60,7;37;9,1;2,3;
2006-10-30;0;995,2;22,9;33;28,7;27,5;71,1;52;11,4;2;
2006-10-31;0;996;22,9;31,8;25,8;24,4;84,4;62;12;1,7;
2006-11-01;22,4;997,3;22,8;27,4;24,2;22,9;92,5;79;6,8;1,8;
2006-11-02;9,4;997,9;23,5;31,3;26,5;23,5;84,5;62;8;1,3;
2006-11-03;0;997,9;24,4;32,9;27,7;24,7;83,3;59;16,8;1,7;
2006-11-04;16;997,2;24,6;32;27;23,3;87,5;64;8,7;1,7;
2006-11-05;0;995;24,3;33,4;28,9;24,5;77,3;55;8,2;2,3;
2006-11-06;0;995,2;23,3;34,1;29,3;26,3;71,5;49;11,7;2,8;
2006-11-07;12,2;1001,2;20,2;25,8;23,1;20,3;84,3;71;10,4;4,3;
2006-11-08;1;1001,2;16,5;29,6;24,1;19,9;62,9;48;8,8;3,3;
2006-11-09;,2;1001,5;17,8;25,9;21,4;20,2;80,9;60;9,9;3,3;
2006-11-10;13,4;1005,4;15,4;28,3;22,6;18,4;68,6;30;9;3,3;
2006-11-11;0;1005,1;13,2;30;22,8;16,4;59,8;27;10,3;2,4;
2006-11-12;0;1004,2;13,3;32,3;24;15,6;56,8;24;6,1;1,4;
2006-11-13;0;1004,1;13,3;32,4;24,8;15,6;54,2;24;9,6;1,8;
2006-11-14;0;1000,8;14;34,2;26,3;16,5;50,8;25;9,2;1,8;
2006-11-15;0;997,1;15,2;36,7;28,6;20,3;47,7;22;11,6;2,8;
2006-11-16;0;996,5;18,9;36,4;30,4;24;51,7;35;13,7;3,5;
2006-11-17;0;998,1;20,5;37,3;31,4;27;54,2;30;12,6;3,3;
2006-11-18;0;998,1;20,6;36,9;31,6;26,5;53,5;34;8,9;2,5;
2006-11-19;0;1003,1;20,9;32,3;24,4;22,7;81,2;52;11,5;3,3;
2006-11-20;,4;1004,5;17,3;29,6;23,4;19,1;71,1;44;7,5;2,1;
2006-11-21;0;1001,2;18,7;35,5;26,7;18,9;65;37;7,1;1,3;
2006-11-22;0;1000,2;21;35,4;29,9;24,4;60;40;9,2;1,7;
2006-11-23;0;998;21,4;36,8;28,7;24;67,1;37;11,6;2;
2006-11-24;7,2;997,3;22,1;35,9;28,7;23,1;71;41;8,3;1,7;
2006-11-25;47,2;999,3;21;32,2;23,9;20,7;85,1;53;12,4;2,8;
2006-11-26;4,2;997,7;23,3;35,2;28,1;21;77,4;51;7,5;1,1;
2006-11-27;16;995,4;23,8;31,1;26,2;23,6;86,9;71;14,7;1,9;
2006-11-28;9,6;996,5;22,6;29,4;25,2;22,6;86,2;66;8,9;1,3;
2006-11-29;0;999,1;22,8;32;27,1;23;79,2;56;7,8;2;
2006-11-30;0;999,9;21,3;33,8;27,9;22,9;69,3;45;5,8;2;
2006-12-01;0;997,6;21,9;36,1;29,3;22,9;66,8;43;9,8;1,7;
2006-12-02;0;997,4;23,5;35,2;30,1;25;69,4;48;8,1;1,4;
2006-12-03;0;998;23,8;31,7;26,8;26;84,7;62;10,6;1,3;
2006-12-04;46,4;999,3;23,1;32;25,4;22,6;87,8;60;8,3;1,3;
2006-12-05;21,6;999,3;24,1;32,3;27,6;24,3;82,3;57;7,8;1,5;
2006-12-06;0;999,3;24,5;30,2;26,9;24,8;86,6;75;9,4;2,5;
2006-12-07;8,8;996,5;23,8;32,3;27,6;24,5;80,5;59;12,6;2,6;
2006-12-08;2;996,3;22,1;29,2;25,2;23,3;83;72;16,4;1,9;
2006-12-09;0;998,7;22,6;32,7;27,1;22,7;77,9;51;4,9;,8;
2006-12-10;0;999,1;23,7;34,3;28,7;24,3;76;46;7,1;1,3;
2006-12-11;0;999,5;23,1;35,3;28;24;76,2;46;14,1;1,6;
2006-12-12;0;999;22,4;35,1;28,5;23,4;71,8;45;13,1;1,2;
2006-12-13;,2;999;23,1;30,4;26,1;22,9;84,1;60;14,4;1,4;
2006-12-14;6;997,5;24,4;34,7;29;22,2;78;51;6,5;1,1;
2006-12-15;0;999,2;25,1;34,1;29,7;26;77,5;54;7,6;1,2;
2006-12-16;0;999;24,8;35,5;30,6;26,1;73;50;7,7;1,6;
2006-12-17;0;997,7;24;35,1;30,1;26,1;71,2;48;11,4;2,3;
2006-12-18;0;997,2;24,2;35,7;30,7;26,3;69,7;48;9,9;2,6;
2006-12-19;0;996,6;24,2;36,2;31;26,6;69;47;11;3;
2006-12-20;0;996,1;23,4;35;30,5;26,4;66,8;51;12,1;3,6;
2006-12-21;0;998,9;22,9;32,4;29,2;27,7;69,3;55;14,6;3,2;
2006-12-22;0;1001,2;23,2;34,4;27,7;24,1;77,8;45;12,4;1,8;
2006-12-23;4;999,6;23;35,4;29,4;24,9;70,1;44;11;3,3;
2006-12-24;0;997,4;22;35,5;30,3;25,7;63;42;13,8;3,8;
2006-12-25;,2;997,7;21,9;36,4;30,7;26,7;61,7;37;13,5;3,5;
2006-12-26;8,4;1000,5;23,6;32,3;27,2;23,8;81,7;56;11,5;1,6;
2006-12-27;,2;1000,7;23,5;34,5;29,2;24,5;73,3;51;8,5;1,5;
2006-12-28;,2;1002,7;23,1;31,7;26,4;25,4;82,4;63;9,4;1,9;
2006-12-29;,8;1003,1;22,3;33,7;26,6;23,1;78,9;46;7,8;1,7;
2006-12-30;,4;1002,7;22,8;31,3;26,4;23,3;81,4;58;10,8;1;
2006-12-31;2;1002,1;22,8;32,3;25,9;23,1;83,5;55;16,3;1;
2007-01-01;7,8;998,9;22,8;34,3;27,2;22;78,9;49;14,9;1,4;
2007-01-02;6;998;23,8;33,2;27,4;24;81,4;57;12,8;2,7;
2007-01-03;1,4;998,7;23,6;32,2;27,5;24,1;80,1;56;11,2;3,1;
2007-01-04;8,6;996,7;24,3;33,2;27,8;24,6;82,4;56;8,6;2,2;
2007-01-05;,2;996,2;23,5;35,7;29,4;24,6;73,8;42;9,1;2;
2007-01-06;0;996,7;23,4;36,3;30;24,8;70;38;7,8;1,2;
2007-01-07;0;998,4;23,7;34,7;29,1;23,5;73,6;49;6;1,4;
2007-01-08;0;999,1;24,9;35,3;29,1;26,2;79,5;48;9,1;1,6;
2007-01-09;,6;999,1;24;34,6;28,8;24,7;76,7;51;8,1;2,4;
2007-01-10;,2;998,3;23;37,3;30,8;26,2;66;39;10,6;3;
2007-01-11;0;998;22,8;37,5;31,6;27,4;62,1;35;11,3;3;
2007-01-12;0;997;24;35,1;29,7;27,6;72,2;50;11,5;2;
2007-01-13;1,2;994,4;24;35;28,6;24,7;78,3;47;8,4;1,3;
2007-01-14;9,2;996;22,4;36,6;29,9;24,9;69;30;8,6;2;
2007-01-15;0;997,5;20,5;36,5;29,6;22,5;60,6;35;11,6;2;
2007-01-16;0;998,9;22,9;34,5;27,5;23,2;77,5;49;11,8;1,6;
2007-01-17;8,6;997,1;24,2;33,1;28;24,1;81,5;57;8,7;2;
2007-01-18;0;998,1;23,7;36,5;29,6;25,4;72,1;45;10,8;2,6;
2007-01-19;0;996,9;23,2;38;31,8;26,7;63;38;11,6;3,3;
2007-01-20;1,6;1001,6;22,4;32,9;25,1;24,1;85,9;54;11,4;2,5;
2007-01-21;33,8;1003,9;21,4;31,6;25,2;21,2;81,3;55;8,2;1,6;
2007-01-22;0;1000,6;23,4;34,3;28,9;22,9;74,1;47;6,7;1,1;
2007-01-23;0;997,3;24;35,6;30,5;25,9;69,8;48;8,1;2,3;
2007-01-24;0;998;23,8;34;29,6;25,5;72;53;9,9;2,5;
2007-01-25;14,6;998,4;23,1;30,9;25,9;21,5;85,3;66;12,6;2,3;
2007-01-26;6;998,7;23,5;32,8;27,4;22,3;80,8;58;7,4;1,9;
2007-01-27;0;998,9;24,7;33,9;28,8;26,2;79,1;54;10,7;2;
2007-01-28;15,6;998,2;23,8;30,9;26,1;24,3;87,2;69;11;2,3;
2007-01-29;26,2;998,8;22;33;27;21,6;76,4;51;7;1,2;
2007-01-30;34,6;999,9;24,1;29,6;26,1;23,4;89,5;69;9;,8;
2007-01-31;34,6;1000,1;23,6;28,9;25,6;22,7;89,3;76;10,2;1,6;
2007-02-01;40,4;1001,4;23,9;34,1;27,6;22,9;81,9;50;10,1;1,1;
2007-02-02;0;1000,5;23,7;35;28,1;23,8;78,9;51;9,8;1,7;
2007-02-03;1,4;998,3;23,9;34;28,7;24,2;76,6;52;7,5;1,4;
2007-02-04;0;996,6;25,3;32,6;28,9;26,1;81,5;63;7,9;1,6;
2007-02-05;1,6;997,1;23,8;33,3;28,1;23,8;79,3;56;6,5;1,5;
2007-02-06;0;995,9;25;35;30,3;26,1;74,7;54;8,8;2,6;
2007-02-07;89;998,9;24,5;32;27,4;22,9;85,1;65;11,2;1,8;
2007-02-08;0;1001,2;23,4;33;28,3;23,8;76,5;51;5,9;1,2;
2007-02-09;0;1001,2;24,1;35,1;29,4;24,7;75,1;46;5,9;1,2;
2007-02-10;19,8;1003,4;24,8;31,2;27,5;24,1;85,4;64;13,1;1,6;
2007-02-11;4,4;1003,2;24,1;32,8;27,7;24,2;81,7;58;8,4;1,5;
2007-02-12;0;999,9;23,2;33,9;28,7;24;74,2;47;5,2;1,4;
2007-02-13;0;998,5;22,9;33,9;29,1;24,7;71,1;45;6,9;1,2;
2007-02-14;0;997,6;20,8;33,9;28,8;23,5;64,8;38;6,6;1,2;
2007-02-15;0;996,4;21,4;33,5;28,4;23,1;67,5;46;7,9;1,1;
2007-02-16;3,4;995,5;23,9;31,3;27,1;24,9;83,3;61;18,8;2,8;
2007-02-17;18;995,6;23,7;32;26,9;23,6;84;58;12,8;2,6;
2007-02-18;26,4;1000,3;20,7;25,2;21,7;20,8;94,1;89;11,7;3,8;
2007-02-19;23,6;1001,2;18,4;26;22,2;19,6;80,1;61;6,6;2;
2007-02-20;0;1000,1;20,6;26,3;23,1;20,6;86;75;5,6;1,1;
2007-02-21;0;999,3;22,4;31,9;25,5;21,8;84,5;53;5,7;,8;
2007-02-22;1;1001,5;23,6;30,6;26,2;23,4;86,3;63;8,7;1,1;
2007-02-23;7,8;1003,3;23,2;33,2;28;23,8;77;52;7,7;1,6;
2007-02-24;0;1003,7;23,8;34,1;29,2;23,6;74;51;6,9;1,4;
2007-02-25;0;1001,9;23,1;35,6;29,8;23,8;70;42;7,3;1,3;
2007-02-26;0;999,9;22,6;35,3;29,8;24,7;67,5;38;7;1,7;
2007-02-27;0;998,1;23,1;35,2;29,7;25;68,9;46;10,4;2,3;
2007-02-28;0;997,9;23;35,2;29,5;25,1;69,3;46;9,6;2,7;
2007-03-01;,4;997,2;22,9;35,6;29,6;25,2;69,3;45;10,8;3,2;
2007-03-02;0;999,7;23,3;34,8;28,8;25;73,8;47;16,7;2,4;
