Nome: LINS
Codigo Estacao: A727
Latitude: -21.66611111
Longitude: -49.73472221
Altitude: 460.65
Situacao: Operante
Data Inicial: 2006-09-19
Data Final: 2024-07-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2006-09-19;null;null;null;null;null;null;null;null;null;null;
2006-09-20;null;null;null;null;null;null;null;null;null;null;
2006-09-21;null;null;null;null;null;null;null;null;null;null;
2006-09-22;null;null;null;null;null;null;null;null;null;null;
2006-09-23;null;null;null;null;null;null;null;null;null;null;
2006-09-24;null;null;null;null;null;null;null;null;null;null;
2006-09-25;null;null;null;null;null;null;null;null;null;null;
2006-09-26;null;null;null;null;null;null;null;null;null;null;
2006-09-27;null;null;null;null;null;null;null;null;null;null;
2006-09-28;null;null;null;null;null;null;null;26;6,8;null;
2006-09-29;null;951,1;13,5;27,4;20,4;15,1;66,5;42;14,3;3;
2006-09-30;0;953,4;15;24,2;20,3;17,2;72,3;59;10,3;4;
2006-10-01;,6;952,7;17,1;24;19,9;16,6;84,8;67;8,8;1,7;
2006-10-02;13,4;948,8;18,2;28,8;22,6;18,1;78,9;48;9,7;2,3;
2006-10-03;0;948;18;29,7;22,9;17,4;76,6;44;9,5;2,1;
2006-10-04;0;947,9;17,2;32;22,6;16;75,5;37;15,8;2,4;
2006-10-05;11,2;948,9;19,3;30,6;22,8;18,9;82;54;9,2;2,2;
2006-10-06;16,2;949,3;19,1;28;22,1;18,3;84,5;57;14,4;2,4;
2006-10-07;1,4;950,2;19,7;27,6;22,6;19,7;84,4;58;6,9;1,7;
2006-10-08;0;951;17,2;29;22,6;17,2;74,2;44;9,9;2,8;
2006-10-09;0;952,5;16,6;30,2;22,8;16,9;69,8;43;10,5;2,7;
2006-10-10;0;953;17;30,8;23;16,3;71,5;43;9,8;2,4;
2006-10-11;0;950,3;16,5;29,8;23,8;16,9;66,2;42;7,5;2,2;
2006-10-12;20,6;947,3;19,7;25,6;21,7;18,8;88,8;59;7,6;1,6;
2006-10-13;14,4;946,8;19,6;27,8;22,7;19,7;84;60;9,5;2;
2006-10-14;0;947,7;18,2;30;23,6;18,3;73,3;48;10,6;2,4;
2006-10-15;0;947,5;18,7;32,2;23,8;18,2;75,1;44;12,4;2,4;
2006-10-16;,6;947,6;19,8;30,2;23,6;20,2;81,1;48;14,3;2,8;
2006-10-17;4,2;949,2;18,4;25,3;21,6;19,5;82,3;70;10,8;4;
2006-10-18;0;948,5;17;24,9;20,7;18;79,5;68;10,1;3,7;
