Nome: TAUBATE
Codigo Estacao: A728
Latitude: -23.04166666
Longitude: -45.52083332
Altitude: 582.26
Situacao: Operante
Data Inicial: 2006-12-19
Data Final: 2024-07-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2006-12-19;null;null;null;null;null;null;null;null;null;null;
2006-12-20;null;null;null;null;null;null;null;47;9,8;null;
2006-12-21;null;947,1;19,5;32,7;25,1;21,4;73,5;null;14,4;2,5;
2006-12-22;9,4;948,8;20,6;30;23,5;21;84,7;null;6,9;1,6;
2006-12-23;63,8;948,4;20,9;30;22,7;20,5;89,9;null;10,7;1,4;
2006-12-24;33,2;946,2;20,9;30;23,2;20,3;87,6;null;8,1;1;
2006-12-25;13,6;945,8;20,7;32,7;25,5;20,6;77,6;null;10,1;1,9;
2006-12-26;0;946,4;19,6;31,7;23,5;20,8;79,8;null;11,2;2,5;
2006-12-27;11,4;948,4;19,3;30,6;23,1;19,2;80,9;null;11;1,7;
2006-12-28;8,2;950,8;19,6;28,4;23,2;20,3;80,9;null;8,8;2,1;
2006-12-29;0;951,4;18,1;28,9;22,9;18,3;75,3;null;10,2;1,8;
2006-12-30;0;950,6;18,9;27,5;22,4;19,4;81,5;null;10,8;3,3;
2006-12-31;6,8;950;20,1;24,2;21,5;20,3;91,5;null;7,3;3;
2007-01-01;14;949;18,6;24,8;20,6;18,1;88,6;73;9,5;4;
2007-01-02;,6;949,4;19,5;27;22,4;19,5;84;64;8,8;4;
2007-01-03;2,4;947,5;20,5;27,2;22,5;20,7;89;66;6,6;2,7;
2007-01-04;11,4;945;20,1;24,7;21,7;19,5;90,8;78;7;1,7;
2007-01-05;24,2;943,9;21;26,1;23;21,2;89,1;72;7,3;2,1;
2007-01-06;3,4;944,6;20,5;26,5;23,4;20,8;84,5;66;7,7;1,7;
2007-01-07;2,2;947,5;19,9;31,3;24,8;21;76,8;46;8,4;1,8;
2007-01-08;2;947,7;20,8;30,3;24,1;21,7;83,3;53;9;1,7;
