Nome: VOTUPORANGA
Codigo Estacao: A729
Latitude: -20.40333333
Longitude: -49.96611111
Altitude: 510.37
Situacao: Desativada
Data Inicial: 2006-12-03
Data Final: 2022-09-29
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2006-12-03;null;null;null;null;null;null;null;null;null;null;
2006-12-04;null;null;null;null;null;null;null;null;null;null;
2006-12-05;null;null;null;null;null;null;null;null;null;null;
2006-12-06;null;null;null;null;null;null;null;null;null;null;
2006-12-07;null;null;null;null;null;null;null;null;null;null;
2006-12-08;null;null;null;null;null;null;null;null;12;null;
2006-12-09;null;954,8;21,1;27,5;23,5;21,5;86,4;null;10,3;1,9;
2006-12-10;17,4;953,9;21,9;30,8;25,3;21,6;82,1;null;9,1;1,6;
2006-12-11;0;954,4;21,6;32,5;26,2;21,7;77;null;8,6;2,5;
2006-12-12;0;955,4;20;30,9;26;20,8;69,8;null;11,8;3,6;
2006-12-13;,2;954,8;21;28,6;24,4;22,5;81,5;null;10,9;3,2;
2006-12-14;7,8;955,3;21,1;27,5;24;22;84;null;12,2;2,6;
2006-12-15;11,8;956,7;21,3;28,3;24,7;22,4;81,4;null;7,8;1,4;
2006-12-16;1,6;956,3;20,7;31,7;26,1;22,2;74;null;7,6;1;
2006-12-17;0;956,3;21;33,7;27,8;22,6;68,9;null;7,3;1,3;
2006-12-18;0;955,7;21,1;34,2;27,4;23,1;70,1;null;10,6;1,4;
2006-12-19;3;955,9;21,4;31,2;26,1;21,7;76,3;null;9,8;1,9;
2006-12-20;11,6;957,3;20,9;26,2;23,9;20,7;83,3;null;9,9;1,4;
2006-12-21;12;958,6;21;31;25,3;20,8;78,2;null;12,6;2,5;
2006-12-22;33,6;959,5;20,9;30,3;24,8;20,9;80,1;null;5;,8;
2006-12-23;1,2;958,4;20,9;30,4;25,2;22,4;78;null;8,8;1,7;
2006-12-24;,2;957,2;19,7;33;26,4;20,8;68,6;null;8,3;1,7;
2006-12-25;0;956,9;20,2;34,7;28,3;23,3;64,1;null;9,3;2,2;
2006-12-26;,6;957,4;20,3;32,7;26;22,3;73,2;null;13,5;2;
2006-12-27;0;958;19,8;33,5;26,6;21,5;69,9;null;7,7;1,4;
2006-12-28;0;959,6;null;32;26,3;22,1;null;null;7,7;1,9;
2006-12-29;0;958,7;null;32,9;27,2;22,7;null;null;9,8;2,1;
2006-12-30;2,4;958,2;null;28,2;24,1;21,4;null;null;10,7;1,7;
2006-12-31;3;957,5;null;31,6;24,6;21,5;null;null;9,6;1,9;
2007-01-01;6;956,7;null;28,9;23,8;21,5;null;null;12,9;2,6;
2007-01-02;127,4;958,2;null;26,9;22,9;20,4;null;null;11,1;2,7;
2007-01-03;17;958,4;null;29,1;23,1;20,5;null;null;9,2;1,3;
2007-01-04;28,2;956,2;null;29,7;24,7;21,2;null;null;9,7;2,2;
2007-01-05;11;954,3;null;28;22,8;20,7;null;null;14,1;2,4;
2007-01-06;20,4;953,9;null;26,1;23,4;21,7;null;null;13,2;3;
2007-01-07;63,8;956,7;null;26,4;23,3;21;null;null;10,4;2,9;
2007-01-08;,4;957,3;null;31,1;25,3;22,2;null;null;10,9;1,7;
2007-01-09;35,2;957,4;13,7;31,6;25,8;22,5;52;null;8,1;1,4;
2007-01-10;0;956,4;16,1;32,8;26,7;22;58,7;null;11,4;1,3;
2007-01-11;32,8;956,1;19,3;30,9;25,5;21,5;73,6;null;10,4;1,6;
2007-01-12;2,4;954,1;null;32,4;26,2;21,4;74,2;null;7,1;1,9;
2007-01-13;10;951,8;null;29,8;24,1;21,8;null;null;9,1;1,8;
2007-01-14;20,4;952,7;null;26,9;23,6;22,3;51,3;null;9,5;2;
2007-01-15;24,8;955,1;null;28,8;23,5;22,1;73,9;null;10,5;1,8;
2007-01-16;112,6;957,4;null;23,7;22,9;22,1;74,9;null;4,2;,7;
2007-01-17;22,8;956,4;19,6;31;25,5;22,2;71,6;null;8,3;1,3;
2007-01-18;13;956,5;7,4;32,1;25,4;21,1;32,4;null;19,2;2,2;
2007-01-19;21,2;956,9;13,6;32,5;25,9;19,9;48,1;null;10,9;1,9;
2007-01-20;0;957,8;10,5;29,2;25,4;23,9;40,2;null;10,4;1,5;
2007-01-21;1,6;958,9;15,6;30,1;23,9;22;65,2;null;9,1;1,1;
2007-01-22;15,4;958,3;13,9;27,3;23,6;21;62,8;null;6,2;,9;
2007-01-23;18,6;956,8;9,6;27,9;24,1;21,2;49;null;8,4;1,2;
2007-01-24;2,6;956,6;8,8;30,3;25;21,7;48,2;null;7,8;1,7;
2007-01-25;,2;956,2;null;31,1;25,7;22;null;null;8,4;1,6;
2007-01-26;0;956,7;null;31,6;26,3;22,7;null;null;10,5;2,4;
2007-01-27;0;957;null;31;25,2;23;null;null;15,4;2,3;
2007-01-28;63,8;956,5;null;29,1;24,1;21,4;null;null;10,6;2,5;
2007-01-29;10;956;2,5;30,1;24,6;22;27,5;null;11,9;2,5;
2007-01-30;4,8;956,4;3,6;31,6;25,1;22,7;28,2;null;7,7;1,6;
2007-01-31;9,6;956,3;2,6;32,1;26;22,2;22,3;null;8,1;1,2;
2007-02-01;0;956,5;null;33,2;26,3;22,8;null;82;11,3;,9;
2007-02-02;4;956,4;null;30,3;26,1;22,3;null;null;7,9;1,2;
2007-02-03;40;956,1;null;30,7;25;20,4;null;null;7,6;1,6;
2007-02-04;0;955;null;31,9;25,9;21,2;null;null;6,5;1,1;
2007-02-05;0;954,7;null;31,6;26,7;22,9;null;13;9,9;1,6;
2007-02-06;3;955;null;31,8;25,3;21,6;null;null;7,5;1,4;
2007-02-07;6,6;956;null;26,8;24,1;22,2;null;null;8;1,2;
2007-02-08;,8;957,1;null;30,7;25,4;22,4;null;null;7,7;1,1;
2007-02-09;4,4;960;null;29,1;24,6;22,5;null;null;8,8;1,7;
2007-02-10;8,6;960,2;null;33,1;26,3;22,3;null;null;8,9;1,3;
2007-02-11;7,2;958,2;null;30,2;24,6;23;null;null;9,1;1,3;
2007-02-12;24,6;956,3;null;26,2;22,4;19,9;null;null;11,1;2,4;
2007-02-13;,2;955,2;null;29,4;23,1;17,4;null;null;8;2,4;
2007-02-14;0;953,7;null;31;24,8;18,9;null;null;7,5;1,8;
2007-02-15;0;953,5;null;31,7;25,1;19,8;null;null;8,5;1,9;
2007-02-16;0;953,7;null;32,9;26;20,8;null;null;6,1;,9;
2007-02-17;1;954,1;null;32;26,6;21,6;null;null;8,1;1,8;
2007-02-18;0;955;null;31,9;26,8;22,9;null;null;9,2;2;
2007-02-19;23,2;954,4;null;31,1;25,1;20,6;null;null;10,1;1,6;
2007-02-20;,2;955,3;null;30,2;24,6;20,9;null;null;11,9;1,9;
2007-02-21;5,4;956,9;null;31,5;25,2;20,5;null;null;15,2;1,4;
2007-02-22;,4;959,8;null;32,8;26,8;22,7;null;null;9,3;1,5;
2007-02-23;0;961,2;null;32,7;27,4;22,8;null;null;7,7;2,2;
2007-02-24;0;960,4;null;33,6;27,3;21;null;null;6,5;1,2;
2007-02-25;0;958,7;null;32,9;26,2;21,4;null;null;7;1,3;
2007-02-26;0;958;null;28,8;23,3;20,6;null;null;13,7;1,3;
2007-02-27;7;957,9;null;31,1;24,9;20,4;null;null;8,6;1,7;
2007-02-28;,2;958,1;null;30,7;25,3;21,8;null;null;8,3;1,6;
2007-03-01;0;957,8;null;32,1;25,8;21,6;null;null;10;2,3;
2007-03-02;0;958,7;null;33;26,7;22,2;53,7;36;8;1,7;
2007-03-03;0;959,3;17,7;33;26,4;21,3;60,1;35;8,6;1,6;
2007-03-04;0;959,4;null;32,9;26,3;20,4;79,6;36;8,2;1,4;
2007-03-05;0;959,6;null;34,2;27,4;22,3;null;null;7,8;1,1;
2007-03-06;0;960,1;null;34,2;27,1;21,9;null;null;7,8;1,4;
2007-03-07;0;960,9;null;33,9;26,9;20,6;null;null;7,3;1,2;
2007-03-08;0;959,1;null;34;26,4;21;null;null;13,6;1,2;
2007-03-09;0;957,7;null;33,5;26,9;21,6;null;null;8,2;1,2;
2007-03-10;0;957,6;null;34,7;26,5;21,5;null;null;12,3;1,6;
2007-03-11;6,2;957,7;null;33;26,5;21,9;null;null;7,8;1,8;
2007-03-12;4;958,1;null;33;26,6;21,6;null;null;8,9;1,7;
2007-03-13;0;958,9;null;31,7;26,2;22,4;null;null;10,1;1,8;
2007-03-14;0;957,7;null;34,2;27;22;null;null;9,7;1,6;
2007-03-15;4,6;957,5;null;32,3;25,7;21,6;81,5;62;10,8;2,1;
2007-03-16;5;957,6;null;31,8;25,1;21,3;85,8;72;10,6;1,6;
2007-03-17;,4;957,2;null;30,2;24,6;21,6;null;79;6,2;1,6;
2007-03-18;21;956,9;null;28,8;23,3;20,9;93,6;87;12,2;2,1;
2007-03-19;37;958,1;18,8;24,7;22,1;20,6;82,7;57;7,3;1,6;
2007-03-20;0;958,5;17,9;29,2;23,2;18,4;74,9;47;6,6;,8;
2007-03-21;0;957,5;19,7;29,3;24,2;20,5;76,7;55;6,5;1,5;
2007-03-22;,4;958;21,1;29,2;24,9;21,8;80,3;58;4,6;1;
2007-03-23;0;959,2;20,8;33;27,2;23;70,6;37;7,6;1,1;
2007-03-24;0;959,8;20,1;34,3;27,4;21,9;67,2;33;7,4;1,5;
2007-03-25;0;958,8;19,7;34,1;26,8;21,6;67,6;35;8;1,5;
2007-03-26;0;957,8;19,1;34,5;27;21,9;64,8;34;14,8;1,9;
2007-03-27;2;958,1;18,9;34,4;27,9;22,6;61,9;30;7;1,2;
2007-03-28;0;958,9;18,8;35,4;28,2;22,1;59,9;31;6,1;1;
2007-03-29;0;957,6;19,2;35,3;28,1;21,7;61,9;31;6,6;1;
2007-03-30;0;956,7;18,1;34,7;28,4;23,5;56,2;28;6,7;1,2;
2007-03-31;0;957,1;19;34,3;27,5;21,1;62,5;35;7,6;1,2;
2007-04-01;0;957,6;18,7;35;27,1;21,2;63,5;32;9,3;1,1;
2007-04-02;0;957,8;18,3;34,9;27,3;21,2;61,3;30;7,6;1,3;
2007-04-03;0;957,4;16,6;34,9;27,4;21,3;55,7;26;7,4;,8;
2007-04-04;0;956,7;16,5;35,4;27,5;20,7;54,5;28;6;,7;
2007-04-05;0;957,9;19,8;34,8;27,3;21,4;65,9;38;6,8;1,7;
2007-04-06;0;958,4;20;34;26;19,9;71,3;42;7,6;1,9;
2007-04-07;4;959,2;19,6;29,7;25;21,5;72,7;53;10;2,4;
2007-04-08;9,4;957,8;19,9;29,3;23,7;20;80,3;52;13,1;1,1;
2007-04-09;2,8;957;18,8;29,5;24,2;20,3;74,3;47;8;2;
2007-04-10;0;957,4;16,4;30,9;23,4;16;68,5;38;7,6;1,1;
2007-04-11;0;959,2;15,7;32,8;25;18,3;60,4;28;6,7;1,2;
2007-04-12;0;960,5;18;32,5;26,4;21,5;61,5;42;10;1,7;
2007-04-13;0;960,6;17,7;33,1;26,2;21,3;62,2;33;6,4;1,2;
2007-04-14;0;960,2;17;33,1;26,2;20,1;60;31;9,9;2,4;
2007-04-15;0;961;16,8;33,1;26,7;21,6;56,3;34;6,9;1,7;
2007-04-16;0;960,3;17,1;33,1;26,6;21;58,1;31;6,2;1,7;
2007-04-17;0;958,4;16,8;32,7;25,9;20,3;59,3;32;6,7;1,8;
2007-04-18;0;958,8;15,8;31;23,9;17,6;64,1;34;9;2,3;
2007-04-19;0;959,6;17,2;31,9;25,7;20,7;61,1;34;10,8;3;
2007-04-20;0;961,1;18,9;29,4;23,5;20,2;76,3;52;8,9;1,6;
2007-04-21;,4;960,5;18,3;31,1;24,6;19;70,3;40;6,4;1,1;
2007-04-22;0;959,6;18,5;32,3;25;19,6;69,9;37;7,4;1,6;
2007-04-23;0;959,1;19,1;33,2;25,9;20,6;68;38;8,9;1;
2007-04-24;4,4;958,1;19,2;33,4;26,6;20,5;66,3;35;7,9;1,4;
2007-04-25;0;957,1;19,2;32,9;26,4;21;66,1;39;8,4;1,4;
2007-04-26;0;955,9;19,9;33,6;26,5;21,2;69,2;41;13,4;2;
2007-04-27;,8;959,1;20,4;26,7;23,1;20,8;84,9;68;9,6;2,1;
