Nome: CHAPADAO DO SUL
Codigo Estacao: A730
Latitude: -18.80222222
Longitude: -52.6025
Altitude: 820.82
Situacao: Operante
Data Inicial: 2006-12-19
Data Final: 2024-07-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2006-12-19;null;null;null;27,7;null;null;null;65;10,6;null;
2006-12-20;null;920,6;20,1;28,7;23,4;20,5;82,6;59;9,7;2,9;
2006-12-21;3,4;922,5;20,6;28,8;23,3;19,6;85,5;59;15,2;2,8;
2006-12-22;1,2;923,4;19,6;28,9;23;20,1;82;50;8,3;1,6;
2006-12-23;0;922,5;20,2;29,9;23,2;20,9;84,1;51;10;1;
2006-12-24;,2;921,6;20,5;30,9;24;19,7;82,7;48;19,7;1,4;
2006-12-25;10;921,5;19,1;31,6;25,3;20,5;70,7;44;12,4;1,8;
2006-12-26;0;921,7;19,2;31,5;24,9;20,1;72,6;39;6,7;,9;
2006-12-27;2,8;922,5;19,9;30,2;23,4;20,7;82,3;48;12,7;1,2;
2006-12-28;22,8;923,6;19,4;29,5;23,5;19,9;79,7;48;8,5;1,9;
2006-12-29;,4;923,3;19,5;30,2;22,9;19;82,9;46;6,8;1;
2006-12-30;26,6;922,1;19,6;29,2;22,2;19,3;86,6;54;7,8;1,3;
2006-12-31;,4;921,7;20,1;28,1;22,2;20,4;88,9;58;11,6;1,3;
2007-01-01;5,4;920,7;20,2;26,7;21,9;19,8;90,6;72;11,6;2,1;
2007-01-02;5,2;921,8;19,6;26,1;21,8;19,8;87,8;65;13,3;3,7;
