Nome: SAO GABRIEL DO OESTE
Codigo Estacao: A732
Latitude: -19.42027777
Longitude: -54.55305555
Altitude: 646
Situacao: Operante
Data Inicial: 2006-12-17
Data Final: 2024-07-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2006-12-17;null;null;null;null;null;null;null;null;null;null;
2006-12-18;null;null;null;null;null;null;86,4;70;9,8;null;
2006-12-19;5,8;937,4;21,9;29,2;24,6;21,5;85,5;65;10,7;3,2;
2006-12-20;3,8;937,5;21,5;30,4;25,4;21,5;80,5;55;13,8;3,5;
2006-12-21;0;939,4;21,5;29,5;24,4;20,9;84,9;64;14;3,2;
2006-12-22;4,4;940,6;21,4;30;24,5;21,2;83,4;57;7,2;1,6;
2006-12-23;2,2;940,3;21,3;29,6;null;21;89,9;62;11;1,9;
2006-12-24;null;938,7;20,9;30,3;24,3;20,3;82,8;55;9,5;2,6;
2006-12-25;null;null;null;null;null;20,2;null;53;11,9;null;
2006-12-26;null;null;null;null;null;null;null;63;10;null;
2006-12-27;null;null;null;null;null;null;null;50;7,3;null;
2006-12-28;null;null;null;null;null;null;null;60;7,2;null;
2006-12-29;null;941,2;20,3;29,1;23,1;19,8;85,3;52;9,3;2,3;
2006-12-30;0;940,1;20,6;28,6;23,2;20,4;85,8;61;8,3;2,3;
2006-12-31;0;939,3;20,9;30,2;23,5;19,5;86,5;53;7,9;2,4;
2007-01-01;6;938;20,8;28,6;22,6;19,8;90,3;63;10,7;2,5;
2007-01-02;0;938,9;20,8;25,4;21,9;20,6;93,5;79;17,5;2,4;
2007-01-03;18;939,3;21,3;27,6;23,3;20,5;88,8;71;14,5;2,8;
2007-01-04;1;937,3;21,7;28,5;22,9;21,8;93;71;17,7;3;
2007-01-05;19,2;935,2;21,6;27,4;22,7;20,3;93,6;78;12;4,7;
2007-01-06;35,8;935,3;21,5;27,5;22,8;20,1;92,6;75;10,1;3,4;
2007-01-07;,8;937,3;22,2;26,8;23,3;21,9;93,7;76;10;2,8;
2007-01-08;1,8;938,3;21,9;28,8;23,9;21,8;89,5;67;10,5;2,2;
2007-01-09;0;938,8;21,6;30,4;23,5;20,6;90,3;62;9,6;1,7;
2007-01-10;8,6;938,4;21,7;30,4;24,2;20,8;86,7;59;12;1,9;
2007-01-11;,6;938,4;22;30;24,4;21,4;87;66;8,4;2;
2007-01-12;0;936,6;22;31,2;24,2;20,6;88,1;58;12,3;2,6;
2007-01-13;2;933,6;22,1;30,1;23,8;21,6;90,6;67;14,2;3,2;
2007-01-14;2,6;934;22,2;27,1;23,6;22,3;92;77;10,6;2,5;
2007-01-15;1,6;935,7;21,6;28,8;23,7;20,8;88,7;63;7,9;1,8;
2007-01-16;67,8;937,3;21,6;28,1;23,4;20,9;90,1;68;11,9;3,5;
2007-01-17;0;937,2;21,4;30,7;24,4;20,9;84,6;59;13,6;3;
2007-01-18;0;938,1;21,6;32,2;24,6;21;85,1;54;13,8;3;
2007-01-19;16,4;938;22,3;31,3;25,3;21,5;84,5;60;10,6;2,2;
2007-01-20;,2;939,5;21,4;32,5;23,7;21,2;88,1;53;16,7;2,3;
2007-01-21;15,6;940,4;21,1;29,7;23,9;20,5;85,3;59;6,2;2,1;
2007-01-22;1,4;939,1;21,5;30,2;23,9;20,7;87,2;60;8,2;1,5;
2007-01-23;14,4;937,4;21,3;29;23,2;20,5;89,5;65;15,9;2,3;
2007-01-24;2;937,6;21,4;29,6;24,2;20,8;85,4;63;8,7;1,9;
2007-01-25;9,6;937,5;21,3;27,6;22,8;20,4;91,3;72;9,2;1,7;
2007-01-26;7,2;938,3;21,6;26,9;22,8;20,7;93,4;76;10,6;2;
2007-01-27;10;938,5;21,9;29,2;24,1;21,4;88,6;62;9,5;2,8;
2007-01-28;,6;937,6;22,1;27;23,5;21,7;91,9;76;16,4;2,7;
2007-01-29;21;937,2;21,6;28,6;23,6;20,3;89,1;70;13,6;4,2;
2007-01-30;,4;938,5;22;28,1;23,7;22,1;90,5;73;12,2;3,7;
2007-01-31;1,2;938,3;21,6;31,3;23,5;20,2;89,8;59;14,6;2,3;
2007-02-01;4,2;938,4;21,6;31,6;23,9;20,7;88,2;53;16,2;1,5;
2007-02-02;10,8;937,8;21,9;30,6;24,8;21,1;84,8;60;7,9;2,4;
2007-02-03;0;936,8;21,7;28,8;24,1;20,6;87,1;66;6,2;2,1;
2007-02-04;,6;935,9;22,1;30,4;24,5;20,2;87,3;60;8,5;1,8;
2007-02-05;,8;936,3;22,6;28,5;24,2;22,4;91,2;72;11,8;2,3;
2007-02-06;4;936,3;22,6;28,9;24,3;21,5;90,7;70;14,2;2,7;
2007-02-07;12,2;937,9;20,6;25;22;19;92,4;70;16,4;2,5;
2007-02-08;6,8;938,3;20,3;31,7;23,9;18,6;81,8;51;9,2;1,9;
2007-02-09;15,6;939,7;21,6;29,6;23,9;20,9;88,2;62;14,9;2,3;
2007-02-10;2,2;941,7;21,5;30,8;24,5;21,6;84,6;55;12,5;3,2;
2007-02-11;0;940,2;21,5;29,6;23,7;21,1;88;59;12,9;2,6;
2007-02-12;,4;937,5;21,6;28,3;22,9;19,9;92,8;66;10,9;1,9;
2007-02-13;15,8;936,6;20,4;28,8;23,3;19,9;85,3;53;9,1;3,1;
2007-02-14;0;935,8;16,7;30,4;23,4;17,8;68,8;40;6,3;2,5;
2007-02-15;0;935,2;18,2;29,9;23,4;18,6;74,5;40;10,8;2;
2007-02-16;13,4;935,5;20,9;28,4;23,8;19,8;84,6;61;10,9;2,6;
2007-02-17;2,2;936,2;20,9;29,6;23,2;20,2;87,4;60;15,2;3,1;
2007-02-18;21,2;937,4;20,6;24;21,5;20,1;94,6;84;14,4;2,3;
2007-02-19;7,8;936,2;19,6;24,4;21,1;19,1;91,5;72;9,1;1,9;
2007-02-20;2,8;936,3;20,2;25,3;21,2;19,7;94,4;76;6,5;1,7;
2007-02-21;53,8;936,7;20,7;30;22,9;20,4;88,8;51;10;2,6;
2007-02-22;6,4;939,7;20,5;30,2;24;20,2;82,8;52;11,7;3,3;
2007-02-23;1,2;942;20,2;31,3;24,8;19,5;78,3;48;10,9;2;
2007-02-24;,2;942;20,6;31,6;25,4;20,5;76,9;46;8,2;2,5;
2007-02-25;0;940,5;18,9;33,8;25;20,2;73;34;14,7;3;
2007-02-26;28,6;938,9;19,5;31,2;23,8;19,1;78,8;44;11,2;2,4;
2007-02-27;3,2;938,4;19,6;30,6;23,3;19,3;81;50;17;2,7;
2007-02-28;34,4;938,3;19,6;31,1;24,4;19,4;76,1;48;9,7;2,5;
2007-03-01;0;937,8;19,9;31,7;24,7;19,6;76,6;45;9,9;2,7;
2007-03-02;0;939,5;20,3;31,3;23,5;20,3;84,5;42;10,1;2,3;
2007-03-03;13;940,4;19,4;31,6;25,1;20,3;74,2;35;9,4;3,3;
2007-03-04;0;940;17,9;32,1;25,8;20,2;65,5;31;10,8;3;
2007-03-05;0;940,3;17,5;32,9;24,9;18,9;66,2;30;9,8;2,6;
2007-03-06;0;941,1;16,7;33;25,8;19,9;61,2;30;10,9;3,1;
2007-03-07;0;941,8;18;32,7;25,1;19,6;67;33;11,5;2,4;
