Nome: JOSE BONIFACIO
Codigo Estacao: A735
Latitude: -21.08555555
Longitude: -49.92027777
Altitude: 408.35
Situacao: Pane
Data Inicial: 2007-09-02
Data Final: 2024-07-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2007-09-02;null;null;null;null;null;null;null;null;null;null;
2007-09-03;null;null;null;null;null;null;null;null;null;null;
2007-09-04;null;null;null;null;null;null;null;28;0;null;
2007-09-05;null;null;null;null;null;null;null;null;null;null;
2007-09-06;null;null;null;null;null;null;null;null;null;null;
2007-09-07;null;null;null;null;null;null;null;null;null;null;
2007-09-08;null;null;null;null;null;null;null;null;null;null;
2007-09-09;null;null;null;null;null;null;null;null;null;null;
2007-09-10;null;null;null;null;null;null;null;null;null;null;
2007-09-11;null;null;null;null;null;null;null;null;null;null;
2007-09-12;null;null;null;null;null;null;null;null;null;null;
2007-09-13;null;null;null;null;null;null;null;null;null;null;
2007-09-14;null;null;null;null;null;null;null;null;null;null;
2007-09-15;null;null;null;null;null;null;null;null;null;null;
2007-09-16;null;null;null;null;null;null;null;null;null;null;
2007-09-17;null;null;null;null;null;null;null;null;null;null;
2007-09-18;null;null;null;null;null;null;null;null;null;null;
2007-09-19;null;null;null;null;null;null;null;null;null;null;
2007-09-20;null;null;null;null;null;null;null;null;null;null;
2007-09-21;null;null;null;null;null;null;null;null;null;null;
2007-09-22;null;null;null;null;null;null;null;null;null;null;
2007-09-23;null;null;null;null;null;null;null;null;null;null;
2007-09-24;null;null;null;null;null;null;null;null;null;null;
2007-09-25;null;null;null;null;null;null;null;null;null;null;
2007-09-26;null;null;null;null;null;null;null;null;null;null;
2007-09-27;null;null;null;null;null;null;null;null;null;null;
2007-09-28;null;null;null;null;null;null;null;null;null;null;
2007-09-29;null;null;null;null;null;null;null;null;null;null;
2007-09-30;null;970,1;13,8;32,1;24,2;null;54;34;14;5;
2007-10-01;0;969,3;13,6;33,7;24,5;16,9;53,7;29;13,8;4,1;
2007-10-02;0;969;13,3;34,4;26;18,2;48,8;19;10,4;4,5;
2007-10-03;0;967,6;12;34,9;25,8;17,6;46,7;19;10,8;3,5;
2007-10-04;0;965,6;9,6;36,2;26,7;18,2;38,2;16;9,8;3,3;
2007-10-05;0;964,2;9,2;36,5;27,1;18;36,5;14;12,5;2,9;
2007-10-06;0;963,8;11,3;34,9;27,7;19,5;37,2;25;14,3;3,1;
2007-10-07;0;964,8;14,6;35,8;27,8;20,2;47,6;24;7;1,9;
2007-10-08;0;965,6;13,9;36,9;28,1;21,2;45,3;20;10,1;3,6;
2007-10-09;0;966,1;12,3;36,5;27,9;19,4;43,3;17;11,6;3,9;
2007-10-10;0;965;9;36,6;28;20,7;34;15;11,2;2,7;
2007-10-11;0;962,6;9,2;36,9;27,6;18,5;35,5;15;7,9;1,8;
2007-10-12;0;960,7;9,7;38,2;29,1;18,3;32,9;14;11,2;3,4;
2007-10-13;0;963,4;18,7;29,3;25;22,4;69;37;8,1;2,4;
2007-10-14;0;964,9;19,1;31,1;24,6;20,7;73,5;40;7,6;2,5;
2007-10-15;,2;965,9;17,2;35,9;26;19,7;61,8;27;10;3,4;
2007-10-16;1,6;964,8;17,8;38,7;28,3;22,1;58,7;22;11,9;3,3;
2007-10-17;,2;963,8;19,1;35,4;28,3;21,7;61,7;29;8,2;1,8;
2007-10-18;0;964,2;17,7;31,5;25,6;22,4;62,8;39;8,4;2,9;
2007-10-19;,2;964,9;16,4;33,4;25,6;20;60,8;30;7,1;2;
