Nome: CASA BRANCA
Codigo Estacao: A738
Latitude: -21.78055554
Longitude: -47.07527777
Altitude: 734.15
Situacao: Operante
Data Inicial: 2007-06-24
Data Final: 2024-07-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2007-06-24;null;null;null;null;null;null;null;null;null;null;
2007-06-25;null;null;null;null;null;null;null;null;null;null;
2007-06-26;null;null;null;null;null;null;null;null;null;null;
2007-06-27;null;null;null;null;null;null;null;null;null;null;
2007-06-28;null;936,2;12,5;26,3;20,1;null;64,1;38;8;1,1;
2007-06-29;0;937,6;13,2;25,9;19,8;14,8;67,1;44;4,5;,8;
2007-06-30;0;938,6;11,8;25,7;19,4;13,3;64,9;33;5,1;1;
2007-07-01;0;940;9;24,5;18,3;12;58,3;30;5,6;,9;
2007-07-02;0;939,9;8,3;25,7;17,9;10,5;56,8;29;4,9;,9;
2007-07-03;0;938,2;9,2;26,3;18,3;10,9;59,5;27;6,6;1,3;
2007-07-04;0;937,6;9,7;27,1;19,8;13,8;54,7;31;6,9;1,4;
2007-07-05;0;937,8;11,5;27,5;20,8;14,9;56,8;32;9,7;2,5;
2007-07-06;0;936,8;11,4;27,5;21,4;16,7;54,5;31;9,6;2,6;
2007-07-07;0;935,3;11,3;27,1;21,1;17;55,2;32;8,8;2,5;
2007-07-08;0;935;9,3;28,2;20,7;15,1;50,7;25;9,1;2,1;
2007-07-09;0;935,9;9,6;27,4;20,8;14,4;51,2;27;8,4;1,9;
2007-07-10;0;934,2;10,9;27,9;21,5;16,2;52,5;30;9,1;2;
2007-07-11;0;934,3;11,3;28,2;21,3;14,6;55,8;29;5,1;,9;
2007-07-12;0;936,3;12,4;25,6;17,4;11,6;75;45;9,7;2,4;
2007-07-13;0;935,9;10,4;26,4;21,1;14;51,6;33;12,4;3,6;
2007-07-14;0;934,7;9,6;27,6;21,2;15,2;49,1;29;8,7;2,2;
2007-07-15;0;933,2;10,8;29,2;21,7;15,5;52,2;29;6,2;1,2;
2007-07-16;,2;934,1;13,5;23,1;17,6;15,2;77,6;49;15,1;2,4;
2007-07-17;2,4;934,7;12,9;21,2;16,9;14,5;77,8;58;8,3;2,5;
2007-07-18;17,2;932,3;13,8;19,5;15,8;14;88,2;72;9,3;2,3;
2007-07-19;1,8;933,9;11;20,1;14,6;10,6;81,5;47;4,8;1;
2007-07-20;0;934,5;8,2;26,1;16,8;8,9;61,6;29;7,7;1,2;
2007-07-21;0;934;8,2;29,4;20,1;11,6;51,2;17;6,3;1,1;
2007-07-22;0;930,5;10,4;29,8;22,9;17,5;46,3;28;11,4;3,4;
2007-07-23;0;929,4;14,8;26,8;21,9;21;65,9;46;8,8;3,2;
2007-07-24;54,6;932,1;17,4;23,2;18,9;17,5;91,9;73;10,7;1,9;
2007-07-25;46;932,3;16,4;18,4;17,3;16,7;94,1;82;11,8;2,2;
