Nome: BARRA BONITA
Codigo Estacao: A741
Latitude: -22.4711111
Longitude: -48.5575
Altitude: 533.68
Situacao: Operante
Data Inicial: 2008-04-23
Data Final: 2024-07-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2008-04-23;null;null;null;null;null;null;null;null;null;null;
2008-04-24;null;null;null;null;null;null;null;null;null;null;
2008-04-25;null;null;null;null;null;null;null;null;null;null;
2008-04-26;null;null;null;null;null;null;null;null;null;null;
2008-04-27;null;null;null;null;null;null;null;null;null;null;
2008-04-28;null;null;null;null;null;null;null;null;null;null;
2008-04-29;null;null;null;null;null;null;null;50;15,8;null;
2008-04-30;23,4;953,3;16,8;20,9;19,1;18,3;87,1;73;12,1;3,5;
2008-05-01;null;955,3;14,1;19,1;null;14,5;84,7;75;13,5;5;
2008-05-02;10,6;952,6;16,8;20,1;17,6;16,5;95;91;8,7;1,8;
2008-05-03;null;954,6;12;20,3;null;13,2;78,2;64;8,8;3;
2008-05-04;null;955,6;10,9;20,2;null;12,8;72,8;54;6,8;2,1;
2008-05-05;null;955;11,7;23;null;11,7;75,2;45;9,4;1,7;
2008-05-06;null;954,4;8,7;23,4;null;12,5;57,1;29;8,5;1,4;
2008-05-07;null;null;null;null;null;null;50,8;29;4,9;null;
2008-05-08;null;null;null;25,5;null;10,9;62,4;30;5,7;null;
2008-05-09;null;954,5;13,9;23,4;null;15,4;73,4;54;10,1;3;
2008-05-10;null;956,9;13,1;23,6;null;14,1;71,3;50;11,6;4,4;
2008-05-11;null;null;null;23,2;null;13,2;71,9;50;11,8;null;
2008-05-12;null;958,7;13,3;23,2;null;13,6;75,9;57;9,1;3,9;
2008-05-13;null;958,6;13,5;21,9;null;15,1;75,1;62;9,5;3,8;
2008-05-14;null;957,6;14,9;24,9;null;15,6;77,3;52;7;2,3;
2008-05-15;0;957;14,4;26,3;18,5;14,6;79,4;43;8,8;2,6;
2008-05-16;0;957;13,9;27,1;19,1;13,6;75,5;38;5,7;1,2;
2008-05-17;0;957,5;13;23,7;18,8;15,4;69,5;54;8,8;3,1;
2008-05-18;0;956,7;15,7;28,9;20,6;15,5;75,5;43;7,6;2,3;
2008-05-19;0;956,2;15,5;29,9;null;15,3;72,2;31;6,5;1;
2008-05-20;null;955,7;11,6;28,8;null;13,9;60,1;24;5,7;1,5;
2008-05-21;0;954,5;12,8;28,8;null;13,6;66,8;34;4,9;1,2;
2008-05-22;0;955,3;13,4;28,6;null;13,5;71,4;33;5,5;,9;
2008-05-23;null;954,6;13,6;28,1;null;13,8;68,9;36;5,7;1,2;
2008-05-24;0;954,1;13,6;28,2;null;13,5;68,3;39;8,8;1,6;
2008-05-25;null;952,3;13,3;27,7;null;12,8;66,6;39;7,5;1,6;
2008-05-26;0;953,7;12,5;27,9;21;13,7;61,7;34;6,6;1,5;
2008-05-27;null;null;null;null;null;13,8;null;52;4,2;null;
2008-05-28;null;null;null;null;null;null;null;null;null;null;
2008-05-29;null;null;null;null;null;null;null;null;null;null;
2008-05-30;null;null;null;null;null;null;null;null;null;null;
2008-05-31;null;null;null;null;null;null;null;null;null;null;
2008-06-01;null;null;null;null;null;null;null;null;null;null;
2008-06-02;null;null;null;null;null;null;null;null;null;null;
2008-06-03;null;null;null;null;null;null;null;null;null;null;
2008-06-04;null;null;null;null;null;null;null;57;4,7;null;
2008-06-05;,4;957,4;17,2;24,7;18,9;16,5;90,5;63;4,9;1,4;
2008-06-06;0;957,9;16,1;28;20,1;14,7;80,8;40;3,5;1;
2008-06-07;,2;957,4;16,2;25,9;19,4;15;82,7;56;6,5;1,6;
2008-06-08;0;956,5;15,5;27,4;20,9;16,1;73,8;34;6,8;2,2;
2008-06-09;0;954,9;15,5;27,2;21,2;15,8;71,8;46;9,5;1,8;
2008-06-10;0;953,8;14,8;26,7;21,6;17,7;65,8;48;11;2,6;
2008-06-11;0;955,7;14,5;27,4;19,7;13,8;73,5;49;6,4;1,1;
2008-06-12;0;956,2;16,1;29,4;21,4;16,1;75,3;37;7,4;1,7;
2008-06-13;0;955,6;15,5;29;21,2;16,9;72,5;35;9,4;2,6;
2008-06-14;0;952,7;14,3;28,8;21,3;15,5;69,5;33;9,6;1,9;
2008-06-15;0;953,6;15,4;27,2;20,8;14,8;73,1;52;11,6;2,1;
2008-06-16;1,4;958,7;9,6;21,1;15,5;12;68,5;50;11,9;3,7;
2008-06-17;0;958,1;7,7;20,8;11,9;6,6;77;49;9;2,4;
2008-06-18;0;955,8;10,3;24,9;14,6;8,3;78,8;39;6,4;1,7;
2008-06-19;,2;954,5;13;26,4;17,9;10;75,6;44;5,8;1,4;
2008-06-20;0;953,1;13,7;28,4;20,4;12,5;68,6;41;12,5;2;
2008-06-21;,4;952,4;16,3;25,9;20,9;15,7;75,8;59;9,2;2,6;
2008-06-22;0;955,2;14,9;21,3;18,5;16,7;80;69;9,1;2,2;
2008-06-23;1,6;958,6;12,5;19;15,7;13,2;81,3;68;11,7;4,3;
2008-06-24;,4;960,4;12,6;16,3;14,4;13,1;89,1;78;11;3,8;
2008-06-25;4,4;959,6;13;19,6;15,7;13,4;84,4;69;10,3;3,9;
2008-06-26;0;959;12,8;23;16,4;12,4;80,3;58;9,6;3,4;
2008-06-27;0;959,2;14;26,5;18,1;13,6;79,3;42;8,3;2,4;
2008-06-28;0;959,4;14,2;25,9;18,5;13,2;78,5;46;4,8;1,2;
2008-06-29;0;958,4;12,9;27,6;18,8;13,6;72,3;33;4,9;1,6;
2008-06-30;0;957,8;12,6;27,8;20,1;15,2;65,6;29;6,3;1,5;
2008-07-01;0;958,7;12,6;28,8;19;13,4;70,4;27;5,5;1,1;
2008-07-02;0;959,7;13,5;22,7;18,5;13,7;74;51;6,6;1,4;
2008-07-03;0;958,3;12,4;26,6;19,8;13,6;67;27;6,4;1,4;
2008-07-04;0;958;12,6;23,1;17,5;13,6;75;44;9,6;2,9;
2008-07-05;0;958,5;11,1;23,2;16,8;12,6;72;38;10,4;3,2;
2008-07-06;0;958,8;12,3;24;16,6;11,9;77,6;51;8,7;3;
2008-07-07;0;959,5;11,4;26,4;18,9;13,2;64,5;32;7;2,1;
2008-07-08;0;958,3;9,8;26,6;18,1;11,3;62;24;6,2;1,9;
2008-07-09;0;959;9;24;17,1;11,6;61,1;27;8,4;2,2;
2008-07-10;0;961,8;11,1;23,4;16,3;11,6;73,5;39;9,3;3,3;
2008-07-11;0;963,4;11,3;23,9;16,7;12,1;73,6;34;10,1;3,6;
2008-07-12;0;961,5;11,5;24,6;17,1;12,4;72,6;38;7,9;3,2;
2008-07-13;0;959,8;10,9;25,7;17,9;12;67,5;32;5,9;2,2;
2008-07-14;0;960,4;10;24,9;17,7;13,3;64,4;30;5,1;1,9;
2008-07-15;0;961,8;9,2;25,4;17,2;11,5;62,5;31;7,2;2,2;
2008-07-16;0;961;9,2;26,5;17,1;11,3;66,1;22;6,7;1,9;
2008-07-17;0;957,4;9,3;26,9;17,3;9,3;64,8;28;9,2;1,5;
2008-07-18;0;956,3;8,9;28,2;18,4;9,1;58,3;26;7,7;,9;
2008-07-19;0;957,1;9,4;28,3;19;11,1;58,7;24;5,6;1,3;
2008-07-20;0;957,6;9,5;28;19,5;13,6;56;26;7,1;2;
2008-07-21;0;956,4;9,7;29,2;20,1;14,4;53,9;24;7,4;2,1;
2008-07-22;0;954,7;9,8;30,4;21,1;11;54,3;23;11,8;2;
2008-07-23;0;954,5;9,4;30,1;21,8;12,7;49,5;26;12,1;2,1;
2008-07-24;0;956,8;12,6;25,5;19,3;14,5;67,2;38;11,3;2,6;
2008-07-25;0;956,9;13,1;26,7;18,8;12,5;71,6;45;5,8;,9;
2008-07-26;0;959,3;9,7;22,6;17;12,4;64,8;34;12,7;4,7;
2008-07-27;0;958,5;11,5;27,1;17,7;11,5;69,2;40;8,7;2,8;
2008-07-28;0;958,4;12,2;31,1;22,6;14;57;20;6;1,2;
