Nome: BRAGANCA PAULISTA
Codigo Estacao: A744
Latitude: -22.94916666
Longitude: -46.5261111
Altitude: 891
Situacao: Operante
Data Inicial: 2017-12-19
Data Final: 2024-07-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2017-12-19;null;null;null;null;null;null;null;null;null;null;
2017-12-20;null;915,2;17,1;30;23,1;null;72;42;9,4;1,6;
2017-12-21;1,2;914,3;17,8;23,1;20;18,6;87,2;77;12,3;1;
2017-12-22;15;914,8;17,8;23,2;20,5;17,7;85;68;8,1;1,4;
2017-12-23;3,6;914,3;17,4;28,8;22,2;18,8;75,8;50;15,2;2,2;
2017-12-24;1,8;912,8;17,6;30,1;23,6;19,7;70,8;46;11,2;2,2;
2017-12-25;0;913,2;18,4;31;22,7;19,6;78,7;44;16,8;1;
2017-12-26;19,6;914,6;18,6;30,5;23;18,2;78,7;45;8,2;1,5;
2017-12-27;6,8;915,3;19,3;30,9;23,5;20,2;79,3;44;11,7;1,5;
2017-12-28;0;914,2;18,8;29,4;23,5;20;76,4;51;8,2;1,8;
2017-12-29;4,8;913;18,7;25,4;21,8;18,7;83,1;59;7,2;1,2;
2017-12-30;null;912;18,4;23,2;null;18,4;87,5;73;11,3;2,9;
2017-12-31;18,6;912,6;18,2;24;20,3;18,9;87,9;73;12,4;3,6;
2018-01-01;26,8;913,1;18,6;27,2;22;18,4;81,9;59;9,1;2;
2018-01-02;0;910,4;18,8;27,4;23,1;20,2;77,4;55;13;2,9;
2018-01-03;,8;909,7;18,8;24,5;21,1;19,9;86,9;68;10,9;2,9;
2018-01-04;27,2;913,6;13,8;28;22,2;17,5;63,8;33;11;2,3;
2018-01-05;,2;914,5;15,8;30;22,3;15,9;68,8;44;7,7;2,2;
2018-01-06;0;914,7;18,4;26,3;21,8;20,2;81,5;62;7,3;1,3;
2018-01-07;24;915,2;16,1;18,8;17,3;16,3;92,9;79;10,3;2,1;
2018-01-08;47,8;917,5;17,5;20,4;18,5;16,2;94,1;86;8,5;1;
2018-01-09;11,6;919;17,9;24,7;20,3;17,3;86,8;69;7,2;1,5;
2018-01-10;,2;919,3;17;29,4;22,3;17,6;74,3;43;7,2;1,5;
2018-01-11;0;917,7;17,4;30,8;22,3;18,2;76,8;42;17,9;1,4;
2018-01-12;54;915,6;16,9;23,4;20,1;17,7;82,4;68;8;1,8;
2018-01-13;0;914;16,4;26,9;21,3;17,7;74,6;51;7,4;1,5;
2018-01-14;,2;914,7;17;29,8;22,5;18,6;73;42;10,5;1,4;
2018-01-15;0;915,8;17,1;29,6;23;19,1;71,1;45;10,9;2,3;
2018-01-16;3,6;917,2;17,8;29,2;22,8;19,1;75;49;9,7;1,5;
2018-01-17;7,2;916,5;18,6;31,8;23,5;18,9;76,6;40;11;1;
2018-01-18;1,6;915,8;18,4;31,7;25,3;19,2;68,3;40;13,7;2,1;
2018-01-19;0;916,4;17,7;30,6;23,4;20,1;72;47;11,9;1,7;
2018-01-20;14,6;916,2;17,6;28,4;21,8;17,7;78,9;47;11,8;1,2;
2018-01-21;20,2;915,3;17,9;30,4;23,1;18,5;75,4;38;8,1;1,5;
2018-01-22;0;913,4;18,2;31,8;23,5;20,3;74,5;37;15,6;1,2;
2018-01-23;9,4;913,8;18,1;32;23,6;19,1;74,1;43;10,6;1,4;
2018-01-24;13;914,1;18,6;32,5;23;19,3;79,1;32;12,2;1,2;
2018-01-25;33;913,4;18,7;30,2;23;18,6;78,9;48;10,8;1,6;
2018-01-26;2;914,1;18,3;28,1;22,1;19,6;79,4;54;11,1;2,7;
2018-01-27;,2;914,1;17,3;26,7;21,6;18,7;77,1;58;10,5;3;
2018-01-28;0;912,6;17,8;30,4;23,4;18,6;73,2;44;12,9;2,1;
2018-01-29;,2;910,9;19,5;27,5;22,9;20,6;82,2;57;9;1,3;
2018-01-30;8,2;910,7;17,4;22,8;18,6;17,7;92,2;80;10,4;2,1;
2018-01-31;19,6;912;15,1;26,7;20,1;15,8;74,8;48;10,9;2,2;
2018-02-01;,4;912,4;15,4;28,1;21,2;16,2;72,3;40;11;2,3;
2018-02-02;0;911;16,5;28,9;21,4;17,4;74,7;45;10,6;2,4;
2018-02-03;0;910,6;16,2;28,1;21,4;17,5;73,5;49;12,9;3,4;
2018-02-04;0;913,1;13,9;26,3;19,9;16,1;69;48;10,4;3,4;
2018-02-05;0;912,1;15,2;26,8;20,5;16,6;73,1;49;11,6;3;
2018-02-06;0;911,4;16,4;25,9;20,2;17,3;79,6;53;7,5;1,6;
2018-02-07;0;912,4;14,8;29,6;22,3;17,4;66,5;31;8,2;1,7;
2018-02-08;0;913,6;14,1;31,3;23,2;16;61,9;30;7,2;1,1;
2018-02-09;0;914,4;14,9;32,8;25;18,6;56;30;14;1;
2018-02-10;0;915,3;18;28,7;22,8;21;75,7;54;10,9;1,2;
2018-02-11;2,6;914,8;19;31,3;23,8;19,3;77,5;45;9;1,2;
2018-02-12;15,2;914,3;19,1;30,9;24,5;20,3;74,8;40;10,8;1,1;
2018-02-13;0;916,9;18,5;25,2;21,6;20,2;82,8;61;13,6;3,2;
2018-02-14;0;919,3;17,1;24,4;20,2;18,2;82,5;67;11,1;3,6;
2018-02-15;0;920;17,2;24,1;20,5;18;82,1;69;8,7;2,5;
2018-02-16;0;919,9;17,1;28,9;21,3;17,8;78,4;49;10,7;2,9;
2018-02-17;0;917,5;16,3;28,3;20,2;16,9;79,8;48;10,3;1,8;
2018-02-18;,6;915,4;17,1;20,5;18,5;17,9;91,8;76;8,5;,8;
2018-02-19;50,8;912,8;17,3;26,9;21,2;17;80,2;55;8,5;1,2;
2018-02-20;7,4;911,6;19;27,6;22,8;19,8;80,3;57;11,3;2,1;
2018-02-21;2;911,3;18,4;28,8;23,6;20;74,1;49;9,9;2,9;
