Nome: BARRA DO TURVO
Codigo Estacao: A746
Latitude: -24.96277777
Longitude: -48.41638888
Altitude: 659.89
Situacao: Operante
Data Inicial: 2008-07-02
Data Final: 2024-07-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2008-07-02;null;null;null;null;null;null;null;null;null;null;
2008-07-03;null;null;null;null;null;null;null;69;6;null;
2008-07-04;null;945,4;11,3;19,5;12,7;8,5;91,8;63;4;,4;
2008-07-05;0;946,2;10,9;20,8;13;6,7;88,5;47;4,4;,4;
2008-07-06;0;946,6;10,6;20,5;12,5;5;89,3;61;5;,4;
2008-07-07;0;947;12,1;22,8;14;9,4;90,1;49;3,9;,5;
2008-07-08;0;945,1;9,8;24;13,7;6,3;82,3;33;5,6;,6;
2008-07-09;0;947;12,7;22,4;15;10,7;87,5;46;5,4;,6;
2008-07-10;0;950,1;12,5;21,4;15,6;11,7;83,9;51;6,2;1;
2008-07-11;0;952,5;10,8;20,1;12,7;6,9;89,4;57;9,1;,6;
2008-07-12;0;949,9;11,8;21,3;14,4;9,1;86,3;52;6,4;,6;
2008-07-13;0;947,7;10,8;22,3;12,7;7,6;90,4;50;4,1;,3;
2008-07-14;,2;947,6;9,7;23,2;13,1;7,3;84,1;33;3,8;,5;
2008-07-15;0;949,4;8;21,9;10,3;2,1;88,2;39;5,5;,5;
2008-07-16;0;947,9;10,6;22,4;13,7;8,1;84,8;39;5,3;1;
2008-07-17;,2;942,9;9,9;23,1;13,8;6,9;80,6;44;7,8;1,4;
2008-07-18;,2;941,9;10,6;24,5;15,1;8,1;78,4;42;7,5;1,2;
2008-07-19;0;943,6;9,6;24,5;14;6,3;80,2;36;5,9;,6;
2008-07-20;0;944,7;11,1;24,5;14;5,4;85,3;46;5,7;,5;
2008-07-21;,2;943,8;10,7;24,7;13,8;6,2;85,2;35;5,3;,6;
2008-07-22;0;940,6;10,7;26,8;15,1;6,9;79,9;37;7,6;,8;
2008-07-23;1,8;941,7;13,9;20,1;15;12,1;92,9;74;4,9;,5;
2008-07-24;30,6;942,5;13,8;18,1;15,8;14,2;88,6;70;11,3;2,2;
2008-07-25;,2;943,8;13,1;21,1;15,6;13,2;85,7;61;7,7;1,3;
2008-07-26;0;948,2;9,1;18,3;12,1;7,1;83,9;52;5,6;,7;
2008-07-27;0;946,1;10,5;21,8;13,3;7,2;85,8;44;5,4;,8;
2008-07-28;,2;945,1;12;26,2;16,4;8,1;80,5;35;5,6;,9;
2008-07-29;,2;945,1;14,8;23,9;17,2;13,7;87,5;56;4,6;,8;
2008-07-30;0;940,3;14,2;24,6;18,2;13,7;79,7;51;7,2;1,6;
2008-07-31;0;940,6;14,5;22,3;16,6;12,5;88,3;59;4,4;,6;
2008-08-01;,6;941,2;14,8;19,6;16,2;13,5;92,2;72;2,8;,3;
2008-08-02;,8;936,4;15,3;22,8;17,9;15,4;85,3;60;10,5;1,3;
2008-08-03;4,6;937,5;13,8;18,5;15,4;12,8;91;75;6,8;1;
2008-08-04;0;941,3;11,8;18,7;13,8;12,4;88,4;61;4,2;,6;
2008-08-05;0;942;13,3;22,8;15,3;10,1;89;57;5,5;,7;
2008-08-06;0;943,4;13,6;16;14,4;13,4;95,2;88;6,4;1;
2008-08-07;11,2;941,2;14,3;16,8;15;12,9;95,8;87;12,2;1,2;
2008-08-08;44;944,3;12,5;15,7;13,3;12,6;94,8;85;8;1,2;
2008-08-09;3,6;946,2;12,1;13,4;12,5;11,7;97;94;5,1;,8;
2008-08-10;31;946,1;13;17,9;13,8;12;95,2;83;6,1;1,1;
2008-08-11;1,8;943,7;14;19,8;15,6;11,9;90,7;68;4,3;,5;
