Nome: PRADOPOLIS
Codigo Estacao: A747
Latitude: -21.33833333
Longitude: -48.11388888
Altitude: 544
Situacao: Operante
Data Inicial: 2008-04-21
Data Final: 2024-07-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2008-04-21;null;null;null;22;null;null;null;89;5,9;null;
2008-04-22;null;952,5;18,2;29;22;17,5;81,5;48;6,6;1,5;
2008-04-23;9,6;951,4;17,3;29,3;21,3;15,8;81;44;11,3;1,5;
2008-04-24;0;950,5;15,4;29,3;20,5;14,4;77,3;35;9,5;1,5;
2008-04-25;0;950,2;14,2;28,8;20;12,7;74,2;33;9,2;1,3;
2008-04-26;0;950,2;14,1;28,8;19,7;11,8;74,8;36;7,4;,9;
2008-04-27;0;950,9;14,1;30,4;20,6;12,7;72,2;29;5,2;,7;
2008-04-28;0;950,2;14,3;30,7;21;12,5;71,1;29;6,6;,9;
2008-04-29;0;949,9;17,6;31,5;22,6;15,9;76,3;44;18,4;2,3;
2008-04-30;4,8;952;18,3;26;21,5;18,7;82,9;60;9,2;2,8;
2008-05-01;0;953,5;15,2;23,3;19,3;16,6;77,7;65;8,5;3,3;
2008-05-02;13,8;952,1;18,1;22;19,2;17,4;93,1;84;6,7;1,4;
2008-05-03;42,6;954,3;13,1;19,8;16,3;14,5;82;59;8,1;3;
2008-05-04;0;955,4;10,5;22,5;16,2;10,9;71,3;44;6,8;1,2;
2008-05-05;0;954,5;12,7;24,7;17,8;13,3;74,8;44;7,8;1,6;
2008-05-06;0;953,7;9,6;23,7;16,6;10,9;68,7;27;7,2;1,7;
2008-05-07;,2;954,4;8,4;25;14,7;6,8;72,5;28;5;,8;
2008-05-08;0;953,8;9,4;26,9;16,3;7;70,8;25;5;,7;
2008-05-09;0;953,2;12,3;26,7;19,4;13,9;67,8;30;6;1,2;
2008-05-10;0;955;13,6;26,1;18,9;13,1;73,9;43;6,8;2,7;
2008-05-11;0;956,3;14,1;26,5;18,8;12,6;76,3;46;5,6;2,3;
2008-05-12;0;957,2;14,6;24,9;18,6;13,5;79;54;6,5;1,7;
2008-05-13;0;957,1;14,8;24,9;18,6;13,7;80,2;53;6,3;1,6;
2008-05-14;2,2;956,6;16,3;25,9;19,9;16,6;81,3;53;5,6;1,3;
2008-05-15;,2;955,9;14,7;27,6;19,4;13,1;77,9;40;7,5;1;
2008-05-16;0;955,9;14,8;27,5;19,7;12,9;76,7;41;5,7;,9;
2008-05-17;0;956,1;15,6;27,2;20,8;16,3;73,9;46;6,3;1,1;
2008-05-18;,2;955,9;15,4;29,1;20,9;13,7;75,3;38;5,6;,8;
2008-05-19;0;955,5;15,8;28,1;19,6;13;80,8;47;5,8;,5;
2008-05-20;,2;955,2;12,6;28,8;19,5;12;71,3;26;5,9;,8;
2008-05-21;0;953,8;12,2;29;18,8;10,7;70,9;31;5,8;,6;
2008-05-22;0;954,7;13,2;29,2;19,1;11,7;73,9;33;4,4;,5;
2008-05-23;0;954;13,6;28,9;19,4;12,3;73,4;36;6;,8;
2008-05-24;,2;953,7;13,5;28,4;18,7;10,7;76,3;38;7;1;
2008-05-25;0;952,2;12,5;28;18,1;10,5;74,8;35;5,5;,7;
2008-05-26;,2;953,4;11,9;28;18,1;9,7;72,6;30;8,4;,7;
2008-05-27;0;953,9;11,5;28,2;17,9;9,3;72;29;8;,9;
2008-05-28;0;953;12,9;30,3;19,5;11,6;71,2;31;7,3;1,2;
2008-05-29;0;952,8;15,5;25,7;18,8;14;82,7;54;8,3;1,5;
2008-05-30;9;956,3;18;23,4;19,7;17,9;90,2;75;6,1;1,5;
2008-05-31;0;958,7;13,7;23,3;17,9;14,8;77,2;63;9,5;3,5;
2008-06-01;2,8;959;13,6;18;15,4;13,3;89;79;6,9;2,5;
2008-06-02;1,2;958,2;14,8;24,8;18,1;12,5;82,3;56;6,4;1,5;
2008-06-03;,2;956,1;14,1;28;18,3;10,3;79,8;44;10,9;1,7;
2008-06-04;0;955,3;15,9;23,6;18,4;14,5;86,3;65;7,4;1,4;
2008-06-05;1;956,6;15,4;28,4;19;13;82,9;43;4;1,1;
2008-06-06;0;957,2;15;28,8;20,6;14,1;74,9;36;6,2;1,2;
2008-06-07;0;956,5;14,5;28,8;20,5;15;73;31;6,3;1,1;
2008-06-08;0;955,7;12,8;29,8;21,5;14,2;61,7;26;7,3;1,9;
2008-06-09;0;954,7;14;29,4;20,8;12,6;69,6;33;12,7;2,5;
2008-06-10;0;953,7;14,8;29,4;21,1;14,7;70,3;39;13,3;2,8;
2008-06-11;0;955;14,2;29,5;19,8;12,3;75,1;32;7;1,2;
2008-06-12;0;955,6;14,3;29,9;20,5;12,8;72,7;30;8,8;1,5;
2008-06-13;0;954,9;14;29,8;21;13,7;69,9;31;7,7;1;
2008-06-14;,2;952,6;13;29,5;19,5;11,4;72,2;30;10,2;1,4;
2008-06-15;0;953,7;14;30;20,2;12,4;71,4;34;11,1;2,3;
2008-06-16;0;956,7;14;24;18,5;14,4;76,9;43;9,7;2,6;
2008-06-17;0;956,6;8,2;25,7;14,4;5,9;72,7;24;5,1;1,4;
2008-06-18;0;954,8;10,6;28;16,7;8,3;72,4;30;7,4;1,2;
2008-06-19;,2;953,7;12,1;29,2;18,5;11;71,8;31;8,6;1,5;
2008-06-20;0;953,2;12,8;30,5;19,9;10,6;69,3;30;11,8;2,1;
2008-06-21;0;952,5;15,1;29,6;19,7;12,4;77,6;42;9,9;1,8;
2008-06-22;2,8;954,2;16,9;25,8;20,4;17,7;81,6;52;6,1;1,2;
2008-06-23;0;956,6;15;25,9;18,9;14,5;79,9;51;7,9;2,4;
2008-06-24;0;958,5;13,6;24,6;17,1;12,1;81;57;13,7;3,9;
2008-06-25;0;957,9;14,3;22,8;17;12,5;85,2;61;8,1;3,1;
2008-06-26;0;957,6;11,6;26,3;17,5;10,2;72,8;36;9,7;2,5;
2008-06-27;,2;958,4;12,1;26,7;18,2;10,6;71,3;36;7,4;1,8;
2008-06-28;0;959;11,3;27,1;17,9;9,6;70,9;29;7,3;1,3;
2008-06-29;0;957,8;11,7;27,6;18,1;10;71,3;32;7,2;1;
2008-06-30;0;957,2;11,6;28,5;18,7;11;69,3;28;10,1;1,3;
2008-07-01;0;957,8;11,1;28,7;18,8;13,1;67,2;21;7,3;1,3;
2008-07-02;0;958,5;9,9;28,5;19,5;12,9;60,8;22;7,5;1;
2008-07-03;0;957,5;10,7;27,7;20,1;14,8;59,4;21;6,8;1,1;
2008-07-04;0;956,7;10,3;26,7;17,8;8,7;66,3;28;8,2;1,8;
2008-07-05;0;957,1;8,2;27;16,4;6,9;66,1;21;9,2;1,6;
2008-07-06;0;957,5;8,4;29,2;17,6;8,5;61,7;22;7,2;1,4;
2008-07-07;0;958,7;9,3;27,4;18,1;9,8;61,9;27;6,5;1,6;
2008-07-08;0;957,5;8;28,4;17,6;8,7;60,8;21;8;1,6;
2008-07-09;0;957,8;7,1;26,3;16,1;6,6;61,9;22;9,2;1,9;
2008-07-10;0;960,2;7,9;25,3;15,7;5,9;64,9;32;9,6;2,3;
2008-07-11;0;961,6;9;26,3;16,8;8,1;64,8;29;11;2,9;
2008-07-12;0;960,1;9,2;27,4;17,4;8,5;64,3;25;11,1;2,7;
2008-07-13;0;958,9;8,5;25,7;17,5;9,3;60,2;27;10;2,3;
2008-07-14;0;959,4;6,9;25,7;15,5;5,9;63,4;22;6;1,2;
2008-07-15;0;960,8;7,3;26,3;15,8;5,8;63;26;7,1;1,4;
2008-07-16;0;960,2;7,1;26,4;15,7;5,1;63,6;26;8,2;1,5;
2008-07-17;0;957;8;26,9;16,1;6,7;65,2;28;8,5;1,3;
2008-07-18;0;955,9;8,3;29,2;17,1;6,6;64,4;20;9;1;
2008-07-19;0;956,3;8,7;29,1;18;9,3;62,1;22;6,6;1,2;
2008-07-20;0;956,8;8,3;29,7;17,9;8,2;61,6;19;6,8;,9;
2008-07-21;0;955,6;8,1;30,3;18,8;9,3;57,1;20;9,2;1,2;
2008-07-22;0;954,8;9;31;18,9;8,4;60,5;21;11;1,8;
2008-07-23;0;954,5;9,4;31,5;19,9;9,8;57,9;21;10,5;1,6;
2008-07-24;0;955,6;10,6;28,5;18,3;9,5;65,9;31;10,8;2,5;
2008-07-25;0;955,9;11,8;29,1;19,6;12,5;65,4;32;8,4;1,4;
2008-07-26;0;957,3;11,7;28,1;19,7;13,8;64,3;30;8;2,9;
2008-07-27;0;957,2;10,5;30,5;19,7;10,5;60;26;9,4;1,7;
2008-07-28;0;957,9;12,1;30,5;22,8;17;54,6;27;8,3;1,4;
2008-07-29;0;956,4;10,1;30,1;20,5;12,5;58;21;8,5;1,1;
2008-07-30;0;954,3;7,1;29,8;19,3;9,9;53,1;16;10,1;1,8;
2008-07-31;0;953,3;8,3;31;19;9;58,2;20;10,7;1,5;
2008-08-01;0;952,8;9,8;31,2;20,7;11,6;56,5;21;10,2;1,8;
2008-08-02;0;950,6;10,6;30,1;20,7;11,4;57;27;13,4;2,3;
2008-08-03;3,8;951,4;15,7;22,4;19;16,1;82;50;10,5;2,5;
2008-08-04;1,4;952,7;15,2;27,7;20,2;14,1;75,9;43;7,7;2;
