Nome: AMAMBAI
Codigo Estacao: A750
Latitude: -23.0025
Longitude: -55.32944443
Altitude: 433.59
Situacao: Operante
Data Inicial: 2008-06-10
Data Final: 2024-07-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2008-06-10;null;null;null;null;null;null;null;null;null;null;
2008-06-11;null;null;null;null;null;null;null;null;null;null;
2008-06-12;null;null;null;null;null;null;null;77;6,2;null;
2008-06-13;7,8;965,5;17,1;22,4;18;16;94,2;82;4,1;,7;
2008-06-14;4,6;962,3;17,7;28,5;20,3;16,7;86,9;52;9,9;1,3;
2008-06-15;0;967,4;11,1;20,2;15,9;15,8;76,4;32;14,3;3,6;
2008-06-16;,2;973,3;1;16,2;8,1;1,7;65,4;27;6,7;2,2;
2008-06-17;0;968,1;2,7;21,8;9,6;-,5;68,1;29;7,8;1,5;
2008-06-18;0;964,6;10,8;27,2;16,4;5,1;71,9;45;7;1,8;
2008-06-19;0;961,3;14,5;28,2;19,9;14;73,7;44;12,1;2,8;
2008-06-20;0;961,9;16,7;28,1;20,1;15,6;81,8;55;10,4;2,5;
2008-06-21;4;967,1;8,2;15,8;11,3;8,9;82;55;10,1;3,5;
2008-06-22;0;969;6,9;16,2;10,8;7,7;77,7;53;6,8;2,2;
2008-06-23;0;969,5;9,7;18,9;13,6;8,5;77,8;54;5,1;1,1;
2008-06-24;,2;970,3;13,7;21,1;16,3;11,7;85,5;69;6;1,4;
2008-06-25;0;968,7;14,9;24,9;18;14,3;83,9;57;8,6;2,7;
